# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraft_b5c
# Exported by: Razor
setting:	replacespawns 1
m9k_dbarrel	-858.408936 -311.800659 1120.829346	0.734 56.662 86.349
ttt_random_weapon	-224.000000 256.000000 33.000000	0.000 0.000 0.000
ttt_random_weapon	-192.000000 256.000000 33.000000	0.000 0.000 0.000
ttt_random_weapon	-1200.000000 -592.000000 -1104.000000	0.000 0.000 0.000
ttt_random_weapon	-704.000000 -448.000000 -112.000000	0.000 0.000 0.000
ttt_random_weapon	-704.000000 -416.000000 -112.000000	0.000 0.000 0.000
ttt_random_weapon	144.000000 -560.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	16.000000 -560.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	80.000000 -528.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	-1826.000000 611.000000 400.000000	0.000 0.000 0.000
ttt_random_weapon	-1890.000000 611.000000 400.000000	0.000 0.000 0.000
ttt_random_weapon	-1954.000000 611.000000 400.000000	0.000 0.000 0.000
ttt_random_weapon	-1328.000000 64.000000 224.000000	0.000 0.000 0.000
ttt_random_weapon	-240.000000 -816.000000 464.000000	0.000 0.000 0.000
ttt_random_weapon	-240.000000 -880.000000 464.000000	0.000 0.000 0.000
ttt_random_weapon	912.000000 112.000000 -48.000000	0.000 0.000 0.000
ttt_random_weapon	942.218994 464.312012 9.372910	0.000 0.000 0.000
ttt_random_weapon	912.000000 -112.000000 -48.000000	0.000 0.000 0.000
ttt_random_weapon	720.000000 -48.000000 -80.000000	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1232.000000 -80.000000	0.000 0.000 0.000
ttt_random_weapon	-2224.000000 976.000000 -86.627098	0.000 0.000 0.000
ttt_random_weapon	-2448.000000 752.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-2384.000000 336.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-2192.000000 144.000000 -80.000000	0.000 0.000 0.000
ttt_random_weapon	390.000000 45.000000 161.615997	0.000 0.000 0.000
ttt_random_weapon	390.000000 -15.000000 161.615997	0.000 0.000 0.000
ttt_random_weapon	485.000000 60.000000 161.615997	0.000 0.000 0.000
ttt_random_weapon	521.000000 37.000000 161.615997	0.000 0.000 0.000
ttt_random_weapon	-762.084229 -21.510187 -1246.751831	1.332 3.995 -93.841
