# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraft_haven
# Exported by: Razor  武士
setting:	replacespawns 0
weapon_ttt_smokegrenade	2059.070068 2178.520020 404.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	2061.530029 1942.229980 404.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	1541.739990 661.080017 364.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	1060.800049 300.820007 524.734009	0.000 90.000 0.000
weapon_ttt_smokegrenade	452.480011 -2339.479980 284.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	-656.299988 -1540.969971 324.734985	0.000 90.000 0.000
item_ammo_357_ttt	1580.000000 2048.000000 920.276001	0.000 0.000 0.000
item_ammo_357_ttt	1580.000000 2072.000000 920.276001	0.000 0.000 0.000
item_ammo_357_ttt	-775.500000 1611.300049 320.276001	0.000 0.000 0.000
item_ammo_357_ttt	-775.500000 1587.300049 320.276001	0.000 0.000 0.000
item_ammo_357_ttt	-93.150002 -670.010010 1200.280029	0.000 0.000 0.000
item_ammo_357_ttt	-93.150002 -694.010010 1200.280029	0.000 0.000 0.000
item_ammo_revolver_ttt	738.750000 -28.750000 760.276001	0.000 0.000 0.000
ttt_random_weapon	397.890015 -1860.069946 729.372986	0.000 0.000 0.000
ttt_random_weapon	-1076.920044 -901.859985 529.372986	0.000 0.000 0.000
ttt_random_weapon	-957.520020 -898.599976 529.372986	0.000 0.000 0.000
ttt_random_weapon	-1296.650024 -358.429993 689.372986	0.000 0.000 0.000
ttt_random_weapon	-1200.969971 179.910004 689.372986	0.000 0.000 0.000
ttt_random_weapon	-1298.319946 -0.970210 689.372986	0.000 0.000 0.000
ttt_random_weapon	-567.219971 -1142.329956 329.372986	0.000 0.000 0.000
ttt_random_weapon	1476.660034 -1381.869995 329.372986	0.000 0.000 0.000
ttt_random_weapon	-262.410004 -498.079987 809.372986	0.000 0.000 0.000
ttt_random_weapon	360.781006 420.415985 729.372986	0.000 0.000 0.000
ttt_random_weapon	1219.170044 -1139.260010 569.372986	0.000 0.000 0.000
ttt_random_weapon	1020.469971 -1019.679993 649.372986	0.000 0.000 0.000
ttt_random_weapon	1099.209961 -779.455017 529.372986	0.000 0.000 0.000
ttt_random_weapon	356.670990 -1910.060059 849.372986	0.000 0.000 0.000
ttt_random_weapon	-939.403015 222.087997 809.372986	0.000 0.000 0.000
ttt_random_weapon	-1016.140015 -786.672974 689.372986	0.000 0.000 0.000
ttt_random_weapon	-243.035004 -942.648987 729.372986	0.000 0.000 0.000
ttt_random_weapon	1137.359985 1777.489990 289.372986	0.000 0.000 0.000
ttt_random_weapon	601.775024 767.130005 289.372986	0.000 0.000 0.000
ttt_random_weapon	-105.103996 -1941.849976 329.372986	0.000 0.000 0.000
ttt_random_weapon	-1478.780029 -141.785004 369.372986	0.000 0.000 0.000
ttt_random_weapon	2000.989990 1942.500000 409.372986	0.000 0.000 0.000
ttt_random_weapon	1995.459961 2176.820068 409.372986	0.000 0.000 0.000
ttt_random_weapon	-82.154297 -700.114990 1689.369995	0.000 0.000 0.000
ttt_random_weapon	1235.599976 299.114990 649.372986	0.000 0.000 0.000
ttt_random_weapon	860.138794 -1968.580566 321.214478	1.712 4.187 -92.972
ttt_random_weapon	295.986481 -2413.926270 321.241364	1.406 4.057 -93.671
ttt_random_weapon	-947.084351 -702.270630 521.248108	1.332 4.226 -93.841
ttt_random_weapon	-622.306091 61.352390 641.230103	1.531 5.895 -93.386
ttt_random_weapon	-64.006081 -302.599274 1641.214600	1.699 4.187 -93.000
ttt_random_weapon	145.215271 339.855499 1241.229370	1.539 4.163 -93.367
ttt_random_weapon	795.724060 -58.866364 721.237976	1.447 4.063 -93.577
ttt_random_weapon	2016.697876 2026.063477 401.248077	1.332 4.211 -93.841
ttt_random_weapon	930.101135 2098.437744 281.248047	1.332 3.908 -93.841
ttt_random_weapon	922.149109 2018.721924 281.248047	1.332 0.121 -93.841
ttt_random_weapon	849.292175 2065.945313 281.248047	1.332 3.950 -93.841
weapon_zm_sledge	1110.839966 1061.349976 283.858002	0.000 0.000 0.000
weapon_zm_sledge	2100.000000 2024.000000 563.857971	0.000 90.000 0.000
weapon_zm_sledge	630.030029 -1261.180054 963.857971	0.000 0.000 0.000
weapon_zm_sledge	-506.839996 -342.230011 763.857971	0.000 0.000 0.000
weapon_ttt_m16	20.000000 1196.000000 284.683014	0.000 90.000 0.000
weapon_ttt_m16	1668.000000 -780.000000 284.683014	0.000 0.000 0.000
weapon_ttt_m16	-293.910004 99.934700 1164.680054	0.000 0.000 0.000
weapon_zm_molotov	-99.779999 940.130005 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-298.549988 902.479980 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-581.530029 779.729980 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-100.230003 420.880005 684.734009	0.000 0.000 0.000
weapon_zm_molotov	-463.079987 441.529999 684.734009	0.000 0.000 0.000
weapon_zm_molotov	-18.620100 -49.009800 1124.729980	0.000 0.000 0.000
weapon_zm_molotov	-18.799801 -302.470001 1644.729980	0.000 0.000 0.000
weapon_zm_molotov	20.730000 -343.369995 1644.729980	0.000 0.000 0.000
weapon_zm_molotov	-136.850006 -657.169983 764.734009	0.000 0.000 0.000
weapon_zm_molotov	-265.489990 -262.989990 764.734009	0.000 0.000 0.000
weapon_zm_molotov	580.840027 -498.399994 1484.729980	0.000 0.000 0.000
weapon_zm_molotov	-781.150024 -1457.839966 404.734009	0.000 0.000 0.000
weapon_zm_molotov	140.968002 -336.299011 2364.729980	0.000 0.000 0.000
weapon_zm_molotov	100.003998 -339.173004 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	182.593994 -218.123993 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	260.748993 -379.250000 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	298.622986 -300.694000 2484.729980	0.000 0.000 0.000
weapon_zm_molotov	619.640015 -1021.250000 924.734009	0.000 0.000 0.000
ttt_random_ammo	1005.320007 2076.270020 276.001007	0.000 90.000 0.000
ttt_random_ammo	1069.670044 2049.620117 276.001007	0.000 90.000 0.000
ttt_random_ammo	1241.989990 2069.129883 276.001007	0.000 90.000 0.000
ttt_random_ammo	1282.959961 2011.390015 276.001007	0.000 90.000 0.000
ttt_random_ammo	1432.020020 2100.189941 276.001007	0.000 90.000 0.000
ttt_random_ammo	1547.579956 2013.900024 276.001007	0.000 90.000 0.000
ttt_random_ammo	1698.709961 2100.909912 276.001007	0.000 90.000 0.000
ttt_random_ammo	1787.099976 2022.280029 276.001007	0.000 90.000 0.000
ttt_random_ammo	1857.040039 2090.750000 276.001007	0.000 90.000 0.000
ttt_random_ammo	1944.449951 2046.150024 276.001007	0.000 90.000 0.000
ttt_random_ammo	1439.719971 1943.689941 280.001007	0.000 90.000 0.000
ttt_random_ammo	1939.319946 1940.599976 280.001007	0.000 90.000 0.000
ttt_random_ammo	1206.800049 2181.280029 280.001007	0.000 90.000 0.000
ttt_random_ammo	-476.899994 925.289978 280.001007	0.000 0.000 0.000
ttt_random_ammo	614.010010 747.289978 280.001007	0.000 0.000 0.000
ttt_random_ammo	-366.299988 -2085.750000 280.001007	0.000 0.000 0.000
ttt_random_ammo	-1503.079956 539.020020 280.001007	0.000 0.000 0.000
ttt_random_ammo	-77.250000 1673.199951 280.001007	0.000 0.000 0.000
ttt_random_ammo	-101.410004 -378.720001 1680.000000	0.000 0.000 0.000
ttt_random_ammo	1579.229980 1740.630005 280.001007	0.000 90.000 0.000
ttt_random_ammo	1659.650024 1818.849976 300.001007	0.000 90.000 0.000
ttt_random_ammo	1619.359985 1541.650024 280.001007	0.000 90.000 0.000
ttt_random_ammo	1501.969971 1463.589966 280.001007	0.000 90.000 0.000
ttt_random_ammo	982.929993 1740.760010 280.001007	0.000 90.000 0.000
ttt_random_ammo	863.400024 1815.550049 280.001007	0.000 90.000 0.000
ttt_random_ammo	-92.790001 1655.810059 280.001007	0.000 0.000 0.000
ttt_random_ammo	-72.528801 1634.280029 280.001007	0.000 0.000 0.000
ttt_random_ammo	-91.343002 1612.030029 280.001007	0.000 0.000 0.000
ttt_random_ammo	-75.867203 1591.709961 280.001007	0.000 0.000 0.000
ttt_random_ammo	-118.942001 1674.420044 280.001007	0.000 0.000 0.000
ttt_random_ammo	-580.375977 -219.095993 1040.000000	0.000 90.000 0.000
ttt_random_ammo	1106.910034 1488.099976 276.001007	0.000 90.000 0.000
ttt_random_ammo	1428.030029 1297.829956 276.001007	0.000 90.000 0.000
ttt_random_ammo	1417.010010 1777.650024 280.001007	0.000 90.000 0.000
ttt_random_ammo	851.711975 1822.099976 280.001007	0.000 90.000 0.000
ttt_random_ammo	1257.969971 1942.670044 280.001007	0.000 90.000 0.000
ttt_random_ammo	1490.520020 2074.850098 276.001007	0.000 90.000 0.000
ttt_random_ammo	1855.670044 2049.919922 276.001007	0.000 90.000 0.000
ttt_random_ammo	1320.160034 2099.879883 276.001007	0.000 90.000 0.000
ttt_random_ammo	21.405701 -707.390015 1200.000000	0.000 0.000 0.000
ttt_random_ammo	1458.855591 651.445068 320.333313	0.066 0.000 -0.030
ttt_random_ammo	1458.906982 669.534546 320.361633	0.123 0.000 0.059
ttt_random_ammo	1222.747803 220.425522 640.464844	1.382 0.468 -1.604
ttt_random_ammo	1221.297607 253.416260 640.380615	-0.295 0.003 -0.196
ttt_random_ammo	1259.626099 221.063889 600.401306	1.634 0.025 1.960
ttt_random_ammo	1261.589478 252.122055 600.371582	0.325 0.001 0.314
ttt_random_ammo	1063.561768 261.435425 480.380554	0.750 0.007 0.837
ttt_random_ammo	1038.890015 262.077454 480.363190	0.168 0.000 0.117
ttt_random_ammo	1007.419556 263.024902 480.392639	1.658 0.031 1.970
ttt_random_ammo	1699.646851 -788.160156 280.326569	-0.007 -0.285 -0.375
ttt_random_ammo	1699.938721 -772.145813 280.482758	-0.494 0.019 -0.619
ttt_random_ammo	2100.028809 -771.559265 280.373505	0.009 0.000 -0.053
ttt_random_ammo	2101.153809 -788.343628 280.369110	0.178 0.000 0.131
ttt_random_ammo	1545.753906 -1373.926758 280.469421	-1.061 0.026 -1.340
ttt_random_ammo	1543.445190 -1390.757568 280.377289	-0.019 0.000 -0.082
ttt_random_ammo	1422.738647 -1423.276123 320.397064	-0.265 -0.003 0.137
ttt_random_ammo	1422.852295 -1461.999512 320.351593	0.073 0.000 -0.008
ttt_random_ammo	855.660706 -1941.718872 320.380554	1.084 -0.014 -1.242
ttt_random_ammo	856.423584 -1919.085938 320.315399	0.066 0.000 0.041
ttt_random_ammo	856.926636 -1894.921631 320.340302	0.080 -0.000 0.008
ttt_random_ammo	857.573608 -1863.045410 320.402466	1.407 0.033 1.656
ttt_random_ammo	624.012024 -2222.158936 320.407135	1.549 0.031 1.854
ttt_random_ammo	297.169281 -2376.969482 320.468079	0.468 0.018 0.559
ttt_random_ammo	296.167816 -2389.204590 320.382233	0.759 0.007 0.847
ttt_random_ammo	-533.385498 -1144.928467 320.384460	1.605 0.029 1.886
ttt_random_ammo	-531.197998 -1130.029297 320.347076	0.098 0.000 0.018
ttt_random_ammo	-937.515625 -861.533813 520.335693	0.075 0.000 -0.017
ttt_random_ammo	-957.990662 -867.802551 520.427185	1.098 0.025 1.305
ttt_random_ammo	-1097.365845 -867.502014 520.373047	0.389 0.002 0.390
ttt_random_ammo	-1074.534546 -865.672607 520.411438	-0.319 -0.003 0.006
ttt_random_ammo	-940.024536 -728.627808 520.422424	1.209 0.027 1.442
ttt_random_ammo	-958.267334 -729.654053 520.469421	0.425 0.017 0.507
ttt_random_ammo	-1303.986938 -383.369110 680.374695	0.376 -0.002 -0.376
ttt_random_ammo	-1300.605835 -334.410889 680.340515	0.076 0.000 -0.013
ttt_random_ammo	-1298.863892 21.163633 680.393921	1.572 0.024 1.856
ttt_random_ammo	-1292.637939 -26.125217 680.392761	1.567 0.024 1.847
ttt_random_ammo	-1260.659058 176.319244 640.373779	0.304 0.001 0.288
ttt_random_ammo	-1217.141602 141.206284 640.374939	0.391 0.002 0.393
ttt_random_ammo	-1185.437744 141.137009 640.382141	1.017 0.012 1.160
ttt_random_ammo	-941.913818 -47.629360 280.394623	0.689 0.006 0.785
ttt_random_ammo	-942.831543 -7.000327 280.355469	0.052 0.000 -0.009
ttt_random_ammo	-1224.025391 -421.026764 320.377441	0.505 0.003 0.535
ttt_random_ammo	-1217.000977 -383.608215 320.392975	0.731 0.007 0.835
ttt_random_ammo	-1420.385010 -337.453003 320.338074	0.067 0.000 -0.025
ttt_random_ammo	-1418.348633 -375.111694 320.376892	-0.282 -0.003 0.230
ttt_random_ammo	-1096.697998 58.524723 320.441864	0.955 0.023 1.147
ttt_random_ammo	-617.638245 93.644257 640.403137	1.303 -0.026 -1.525
ttt_random_ammo	-647.060364 89.519081 640.347168	0.089 0.000 0.009
ttt_random_ammo	29.806051 1223.572754 280.377960	0.133 0.000 0.101
ttt_random_ammo	13.548565 1223.484985 280.445068	1.035 0.027 1.246
ttt_random_ammo	-258.217468 -15.617628 1120.353516	0.111 0.000 0.039
ttt_random_ammo	-255.547073 14.774723 1120.357544	0.131 0.000 0.066
ttt_random_ammo	-258.392273 97.653450 1160.340454	0.079 0.000 -0.009
ttt_random_ammo	59.410049 -58.022194 1120.377319	0.524 0.004 0.557
ttt_random_ammo	58.119083 -27.711739 1120.408569	1.271 0.026 1.492
ttt_random_ammo	-17.811161 19.308683 1120.347290	0.091 0.000 0.010
ttt_random_ammo	663.163696 -1217.710693 920.440063	0.871 0.022 1.033
ttt_random_ammo	624.531921 -1220.835571 920.353394	0.051 0.000 -0.011
ttt_random_ammo	580.598206 -1223.056885 880.387207	0.651 0.006 0.736
ttt_random_ammo	576.068542 -1257.958130 920.327881	0.048 0.000 -0.029
ttt_random_ammo	577.523376 -1337.908813 920.355713	0.116 0.000 0.046
ttt_random_ammo	578.780640 -1299.144409 920.417358	1.291 0.028 1.537
ttt_random_ammo	499.148102 -1460.943359 920.401917	1.326 -0.027 -1.552
ttt_random_ammo	466.416443 -1460.603394 920.368713	0.233 0.001 0.197
ttt_random_ammo	429.954987 -1459.275757 920.462891	0.528 0.018 0.628
ttt_random_ammo	358.651672 -1879.477051 840.361694	0.132 0.000 0.071
ttt_random_ammo	356.032837 -1940.851563 840.376831	0.364 0.002 0.363
ttt_random_ammo	354.072235 -1970.751221 840.441589	0.872 0.023 1.034
ttt_random_ammo	359.176208 -1854.084351 840.399658	1.518 0.029 1.794
ttt_random_ammo	18.139040 -669.225769 1200.387207	1.627 0.030 1.918
ttt_random_ammo	-97.980736 -665.553589 1680.382324	0.251 0.001 0.247
