# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_nuclear_power_v4_fix
# Exported by: MIkasa
setting:	replacespawns 1
weapon_ttt_ak47	623.958008 -404.587433 1053.036133	-0.263 77.694 88.371
ttt_playerspawn	246.938263 -4808.054688 384.541351	0.071 -0.000 0.071
ttt_playerspawn	115.840668 -4805.802734 384.572876	0.043 -0.000 -0.043
ttt_playerspawn	10.788079 -4804.368652 384.559906	0.064 -0.000 -0.064
ttt_playerspawn	-124.198502 -4802.427246 384.569397	0.048 -0.000 -0.048
ttt_playerspawn	-259.184265 -4800.484375 384.568451	0.050 -0.000 -0.050
ttt_playerspawn	241.338638 -4688.552734 384.568939	0.049 -0.000 -0.049
ttt_playerspawn	113.729065 -4681.206543 384.562225	0.060 -0.000 -0.060
ttt_playerspawn	-5.563726 -4679.303223 384.559906	0.064 -0.000 -0.064
ttt_playerspawn	-140.521637 -4675.911133 384.572876	0.043 -0.000 -0.043
ttt_playerspawn	-260.289001 -4672.613281 384.534821	-0.079 0.000 -0.079
ttt_playerspawn	-11.205332 -4544.811523 384.572876	0.043 -0.000 -0.043
ttt_playerspawn	-12.214808 -4411.041504 384.569397	0.048 -0.000 -0.048
ttt_playerspawn	-209.126419 -3675.005127 384.570862	0.041 -0.000 -0.041
ttt_playerspawn	-425.473053 -3447.337158 384.560059	0.056 -0.000 -0.056
ttt_playerspawn	-553.354126 -3460.473389 384.526764	-0.072 -0.000 0.072
ttt_playerspawn	521.071655 -3441.868164 384.570862	0.041 -0.000 -0.041
ttt_playerspawn	365.150848 -3444.651123 384.548431	0.073 -0.000 -0.073
ttt_playerspawn	-185.111649 -2799.802490 384.524231	-0.166 -6.144 -0.326
ttt_playerspawn	175.507889 -2817.232910 384.569977	0.042 -0.000 -0.042
ttt_playerspawn	148.244644 -2996.704102 384.567627	0.046 -0.000 -0.046
ttt_playerspawn	-175.241287 -2989.775146 384.571716	0.040 -0.000 -0.040
ttt_playerspawn	139.791061 -3175.004883 384.578735	0.030 -0.000 -0.030
ttt_playerspawn	-189.569885 -3189.834717 384.551422	0.069 -0.000 -0.069
ttt_playerspawn	-23.531525 -2987.371094 384.561249	0.055 -0.000 -0.055
ttt_playerspawn	-34.939682 -3177.514893 384.556274	0.062 -0.000 -0.062
ttt_playerspawn	-25.998032 -2803.346436 384.555634	0.063 -0.000 -0.063
ttt_playerspawn	742.426514 -2971.005127 384.577332	0.022 0.000 0.022
ttt_playerspawn	1062.933350 -3118.881348 384.561829	0.054 -0.000 -0.054
ttt_playerspawn	1063.626221 -2936.214111 384.556305	0.062 -0.000 -0.062
ttt_playerspawn	916.170837 -2894.964111 384.576385	0.033 -0.000 -0.033
ttt_playerspawn	892.420471 -2609.242432 384.572571	0.039 -0.000 -0.039
ttt_playerspawn	929.295227 -2427.598633 384.558228	0.059 -0.000 -0.059
ttt_playerspawn	943.908508 -2182.865234 384.549194	0.072 -0.000 -0.072
ttt_playerspawn	948.054810 -1923.038086 384.570862	0.041 -0.000 -0.041
ttt_playerspawn	951.303955 -1706.543823 384.562408	0.053 -0.000 -0.053
ttt_playerspawn	499.594360 -2717.327148 384.559448	0.057 -0.000 -0.057
ttt_playerspawn	321.280670 -2715.909180 384.558228	0.059 -0.000 -0.059
ttt_playerspawn	-360.674866 -2814.567139 384.554962	0.064 -0.000 -0.064
ttt_playerspawn	-370.178375 -2947.410645 384.569061	0.044 -0.000 -0.044
ttt_playerspawn	-369.056793 -3084.461426 384.575287	0.035 -0.000 -0.035
ttt_playerspawn	75.302101 -3363.725586 384.569519	0.043 -0.000 -0.043
ttt_playerspawn	-74.985451 -3363.540527 384.567627	0.046 -0.000 -0.046
ttt_playerspawn	64.811111 -4130.317871 384.572021	0.044 -0.000 -0.044
ttt_playerspawn	-126.183891 -4132.633789 384.576294	0.038 -0.000 -0.037
weapon_ttt_smokegrenade	-272.000000 -3326.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-270.000000 -3318.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	250.000000 -3332.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	252.000000 -3324.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	640.000000 -2470.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	640.000000 -2476.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	646.000000 -2476.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	646.000000 -2470.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2399.229980 -1352.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2405.229980 -1352.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2405.229980 -1346.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2399.229980 -1346.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	-2464.000000 -612.000000 -299.265015	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2470.000000 -612.000000 -299.265015	0.000 0.000 0.000
weapon_ttt_smokegrenade	-996.000000 448.000000 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	-996.000000 442.000000 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	46.444099 719.476013 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	46.444099 713.476013 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	608.000000 278.000000 1052.739990	0.000 90.000 0.000
weapon_ttt_smokegrenade	-50.000000 914.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-50.000000 920.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-56.000000 920.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-56.000000 914.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	2059.533691 -787.924683 -115.479057	0.475 0.005 -0.192
weapon_ttt_smokegrenade	2074.416748 -791.683167 -115.465263	1.386 0.011 -1.218
item_box_buckshot_ttt	-508.000000 -2617.000000 391.489014	0.000 0.000 0.000
item_box_buckshot_ttt	-484.000000 -2616.000000 391.489014	0.000 0.000 0.000
item_box_buckshot_ttt	-484.000000 -2638.000000 391.489014	0.000 0.000 0.000
item_box_buckshot_ttt	-508.000000 -2639.000000 391.489014	0.000 0.000 0.000
item_box_buckshot_ttt	199.000000 -1538.000000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	185.000000 -1536.000000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	199.000000 -1556.000000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-755.124023 405.572998 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-741.463013 407.123993 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-1709.130005 687.200989 -432.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-1649.359985 625.206970 -432.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-1519.770020 577.450012 -432.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-1543.579956 612.661987 -432.705994	0.000 0.000 0.000
item_box_buckshot_ttt	2172.000000 111.000000 -302.705994	0.000 270.000 0.000
item_box_buckshot_ttt	2155.000000 111.000000 -302.705994	0.000 270.000 0.000
item_box_buckshot_ttt	2139.000000 111.000000 -302.705994	0.000 270.000 0.000
item_box_buckshot_ttt	2139.000000 125.000000 -302.705994	0.000 270.000 0.000
item_box_buckshot_ttt	2155.000000 125.000000 -302.705994	0.000 270.000 0.000
