# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_orange_v8_reworked
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	66.613914 -1067.461304 302.097473	-0.055 0.622 0.054
ttt_playerspawn	310.247711 -1064.807983 307.477722	-0.086 1.544 0.086
ttt_playerspawn	310.507904 -887.411316 306.250305	-0.072 0.171 0.073
ttt_playerspawn	93.987976 -909.860779 301.378296	-0.085 -0.366 0.085
ttt_playerspawn	-552.929504 -431.966003 306.864349	0.047 1.130 -0.047
ttt_playerspawn	-565.359741 -619.552368 303.240662	-0.073 2.265 0.073
ttt_playerspawn	-512.125244 -845.203552 297.096832	-0.067 -5.947 -0.306
ttt_playerspawn	-1062.754883 -639.783325 18.002537	-0.010 -0.965 0.010
ttt_playerspawn	-1471.535522 -631.684631 22.818159	0.047 1.630 0.028
ttt_playerspawn	-1673.825928 -630.409973 15.582710	-0.014 1.684 0.014
ttt_playerspawn	-1947.430054 -630.677002 18.677639	-0.009 2.271 0.010
ttt_playerspawn	-2245.136475 -483.283936 13.001057	0.096 -13.215 -0.003
ttt_playerspawn	-2466.125000 -392.765320 11.607291	-0.013 -1.306 0.013
ttt_playerspawn	-2072.498779 -108.814903 11.342921	-0.006 0.351 0.008
ttt_playerspawn	-1792.443237 -135.296432 17.239937	-0.010 -1.232 0.010
ttt_playerspawn	-1867.932007 206.783386 6.366419	-0.015 -2.399 0.015
ttt_playerspawn	-1374.278076 173.673767 7.623312	0.000 -0.799 0.048
ttt_playerspawn	-902.640503 203.987045 7.903975	-0.011 0.374 0.012
ttt_playerspawn	-285.603912 222.091309 9.354996	-0.013 -4.209 0.013
ttt_playerspawn	-272.256226 443.446106 20.372585	-0.014 -0.895 0.014
ttt_playerspawn	-958.420776 1001.013428 8.022035	-0.013 0.109 0.013
ttt_playerspawn	-885.667419 1226.790283 17.391171	-0.015 -0.105 0.015
ttt_playerspawn	-342.518494 -27.237284 11.850333	-0.085 -1.302 -0.085
ttt_playerspawn	-268.901123 -147.607880 16.771267	-0.009 3.593 0.009
ttt_playerspawn	190.670532 -181.006744 8.365406	-0.007 0.496 0.007
ttt_playerspawn	332.325684 352.890106 6.905060	-0.105 1.463 -0.035
ttt_playerspawn	766.683472 425.413361 15.185642	-0.007 0.628 0.007
ttt_playerspawn	1207.231689 418.889984 11.361270	-0.012 0.092 0.012
ttt_playerspawn	375.266724 485.884644 11.736155	-0.010 0.488 0.010
ttt_playerspawn	108.111259 302.394104 4.340612	-0.001 -0.770 0.122
ttt_playerspawn	163.535873 -523.011169 10.956779	-0.013 -2.483 0.013
ttt_playerspawn	178.322037 -770.514038 14.479111	-0.009 -4.464 0.009
ttt_playerspawn	189.807190 -930.029358 10.516944	-0.015 -0.109 0.012
ttt_playerspawn	390.353058 -968.220093 9.946445	-0.000 -1.963 -0.000
ttt_playerspawn	-102.976776 -962.220764 9.102828	-0.005 1.285 0.005
ttt_playerspawn	-310.748444 -949.316040 18.861181	-0.013 -1.346 0.013
ttt_playerspawn	-493.923279 -951.862366 10.912017	-0.007 -0.424 0.007
ttt_playerspawn	-544.570923 -668.337097 9.286383	-0.010 -1.815 0.010
ttt_playerspawn	-796.812927 -644.371094 16.635187	-0.014 -1.427 0.014
ttt_playerspawn	697.205566 -468.283142 8.768296	-0.052 -2.222 0.052
ttt_playerspawn	703.618713 -599.559082 10.670465	-0.046 -1.165 0.046
ttt_playerspawn	708.119507 -754.159790 12.474746	-0.063 -2.306 0.063
ttt_playerspawn	933.531433 -1157.290283 12.337106	-0.051 0.751 0.051
ttt_playerspawn	1088.194458 -1155.385132 10.425784	-0.061 -5.066 0.061
ttt_playerspawn	1206.959595 -849.002319 14.282160	-0.063 -0.098 0.063
ttt_playerspawn	1199.432983 -632.409302 12.929449	-0.026 2.357 0.027
ttt_playerspawn	1341.015625 -257.851166 -146.975418	0.105 6.751 -0.105
ttt_playerspawn	1637.814453 26.161240 -151.727417	-0.034 -17.978 0.034
ttt_playerspawn	1646.169067 265.156036 -153.568451	-0.029 -4.257 0.028
ttt_playerspawn	1503.035278 260.745575 -159.837585	-0.067 -0.880 0.067
weapon_ttt_ak47	719.494568 216.996796 144.882690	-0.093 -10.862 -88.495
weapon_ttt_ak47	714.590515 173.006561 144.932648	0.068 13.130 -88.079
item_box_buckshot_ttt	1445.905762 -480.950623 0.449405	-0.655 -0.007 0.549
item_box_buckshot_ttt	1436.309937 -479.120270 0.373996	0.753 -0.022 -0.522
item_box_buckshot_ttt	1439.681885 -490.311798 0.484490	-0.453 -3.746 0.679
item_box_buckshot_ttt	1441.766846 -500.258026 0.475484	-0.618 -10.769 0.013
weapon_ttt_smokegrenade	399.380005 -692.945984 293.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	406.903015 -708.507996 293.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	416.972992 -707.018982 293.734985	0.000 0.000 0.000
item_ammo_357_ttt	1611.964966 -882.861206 0.360403	0.456 0.058 0.044
item_ammo_357_ttt	1592.708496 -881.699768 0.328220	0.449 0.068 0.057
item_ammo_357_ttt	1453.275146 -418.893890 0.336552	0.451 0.063 0.054
item_ammo_357_ttt	1435.816528 -418.069183 0.351779	0.454 0.059 0.048
item_ammo_357_ttt	362.204834 -686.926514 335.279602	0.456 0.047 0.023
item_ammo_357_ttt	337.855164 -684.829346 335.214508	0.375 0.015 0.043
item_ammo_357_ttt	-343.757172 -316.852509 416.314789	0.447 0.071 0.062
item_ammo_357_ttt	-332.011536 -299.644989 416.372894	0.458 0.046 0.039
item_ammo_revolver_ttt	970.964417 -312.514496 0.410245	0.466 0.053 0.024
item_ammo_revolver_ttt	957.688416 -297.950378 0.393827	0.462 0.049 0.031
item_ammo_revolver_ttt	981.549866 -291.042419 0.380002	0.459 0.055 0.036
item_ammo_revolver_ttt	1058.219727 -280.698181 0.348145	0.453 0.061 0.049
item_ammo_revolver_ttt	1058.874390 -292.985992 0.330351	0.449 0.067 0.056
item_ammo_revolver_ttt	1079.243286 -305.297516 0.380002	0.459 0.046 0.036
item_ammo_smg1_ttt	-134.972397 -664.972168 0.492731	-0.336 0.002 -0.203
item_ammo_smg1_ttt	-136.851990 -694.540344 0.481691	-0.379 -0.001 -0.365
item_ammo_smg1_ttt	127.239265 -1155.203979 0.420151	-0.423 0.004 0.272
item_ammo_smg1_ttt	149.596924 -1154.005981 0.483359	0.791 -0.003 -0.637
item_ammo_smg1_ttt	1265.292114 -334.353088 0.498362	-0.835 0.011 -0.620
item_ammo_smg1_ttt	1245.809570 -332.632263 0.413503	0.303 -0.005 0.192
item_ammo_smg1_ttt	692.678894 238.084686 144.391663	0.109 -0.005 0.060
item_ammo_smg1_ttt	693.655457 213.485641 144.517166	0.327 -0.643 0.073
item_ammo_smg1_ttt	1045.201782 185.226547 166.547729	-0.177 0.018 -0.150
item_ammo_smg1_ttt	1064.741455 181.151413 166.452499	0.796 -0.002 0.520
item_ammo_smg1_ttt	943.674683 449.543274 24.327684	0.869 0.109 -0.579
item_ammo_smg1_ttt	1015.003723 449.667175 24.327682	0.669 0.079 -0.446
