# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_poolparty
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	2954.254883 620.999939 30.813171	-0.033 1.899 -0.128
ttt_playerspawn	3084.997559 624.430237 30.800001	0.233 1.450 -0.052
ttt_playerspawn	3083.825195 770.254211 34.373737	0.133 0.056 -0.106
ttt_playerspawn	2952.235352 756.752197 33.820660	-0.243 1.475 -0.004
ttt_playerspawn	3082.177002 905.890198 34.425381	0.331 -0.951 -0.104
ttt_playerspawn	2962.716309 897.184753 36.385437	-0.280 -0.221 0.064
ttt_playerspawn	3088.034668 1023.294128 34.546230	0.160 -0.639 0.025
ttt_playerspawn	3088.932373 1176.595703 33.693729	-0.044 -1.093 -0.180
ttt_playerspawn	3811.730225 2494.074951 55.948814	-0.061 -0.277 0.061
ttt_playerspawn	3928.930420 3434.127930 61.925751	-0.063 1.848 0.063
ttt_playerspawn	3827.323975 3433.568848 61.520920	-0.061 -2.311 0.061
ttt_playerspawn	3084.230713 1319.938599 28.828321	0.106 -0.787 0.178
ttt_playerspawn	3076.820801 1491.141602 28.384836	-0.023 0.205 0.157
ttt_playerspawn	3086.411133 1626.505981 28.656382	-0.038 -1.024 0.148
ttt_playerspawn	-666.440979 2371.416504 52.029255	-0.060 -26.057 0.060
ttt_playerspawn	-836.792175 2364.107910 23.934299	-0.052 -1.109 -0.052
ttt_playerspawn	-302.934631 1929.862793 26.852840	-0.061 -0.924 0.061
ttt_playerspawn	-482.655365 1959.944458 42.980862	-0.071 -0.046 0.071
ttt_playerspawn	-835.236389 1619.282471 34.372704	-0.069 2.309 0.069
ttt_playerspawn	-832.126953 2012.760132 36.256252	-0.056 1.756 0.056
ttt_playerspawn	-660.997803 1676.988281 31.909807	-0.075 1.756 0.075
ttt_playerspawn	-655.630188 2054.337402 36.164539	-0.050 0.554 0.050
ttt_playerspawn	-832.403748 1423.900635 17.576750	0.008 0.001 0.052
ttt_playerspawn	-662.270691 1429.133423 17.568615	-0.031 0.000 0.029
ttt_playerspawn	-475.855652 3058.945313 37.040539	-0.072 1.293 0.072
ttt_playerspawn	-278.501984 3057.936279 36.176922	-0.062 -0.739 0.062
ttt_playerspawn	-460.731110 2790.064453 32.919563	-0.054 -8.821 0.054
ttt_playerspawn	-287.639923 2808.643799 38.821648	-0.037 -3.416 0.037
ttt_playerspawn	-277.496613 2568.570801 39.078594	-0.049 -1.109 0.049
ttt_playerspawn	-438.926483 729.130371 62.414581	-0.067 1.663 0.067
ttt_playerspawn	1510.132690 825.560791 31.720810	-0.083 -1.663 -0.083
ttt_playerspawn	1289.555176 839.927979 38.640213	-0.055 -2.217 0.056
ttt_playerspawn	1075.841797 843.599548 37.566944	-0.069 -0.647 0.069
ttt_playerspawn	819.466675 834.742310 40.036076	0.167 0.174 0.036
ttt_playerspawn	542.322571 824.341064 41.676342	0.050 -2.219 0.050
ttt_playerspawn	542.531799 632.168274 39.120506	0.086 -1.848 -0.086
ttt_playerspawn	826.504700 643.520447 45.002338	0.080 -0.092 -0.080
ttt_playerspawn	1296.362671 664.840210 32.515251	-0.103 -1.293 -0.126
ttt_playerspawn	1538.546997 666.170715 33.269894	-0.027 -1.573 0.144
ttt_playerspawn	474.578491 427.594025 33.257076	-0.047 0.785 -0.046
ttt_playerspawn	332.939758 778.866455 38.175629	-0.039 -0.812 -0.192
ttt_playerspawn	1647.125366 3274.297852 28.222740	-0.076 0.462 0.076
ttt_playerspawn	1652.239014 3371.714844 28.662727	-0.051 -1.571 0.051
ttt_playerspawn	1108.007446 3300.115723 38.401848	0.000 -8.154 -0.065
ttt_playerspawn	1483.717285 3283.264404 29.539639	-0.058 0.370 0.058
weapon_ttt_ak47	827.427246 173.319168 16.885847	0.140 11.253 -87.481
weapon_ttt_ak47	704.360107 170.545273 16.875330	0.154 11.211 -87.365
weapon_ttt_ak47	2533.486084 915.591003 16.889616	0.157 -179.932 87.295
weapon_ttt_ak47	2255.096924 654.881592 16.905725	0.113 11.849 -87.710
item_box_buckshot_ttt	1791.039917 1065.196411 16.444696	-0.536 -0.007 0.475
item_box_buckshot_ttt	1780.271851 1022.957458 16.441967	-0.553 -0.007 0.492
item_box_buckshot_ttt	-368.173340 659.999390 40.331932	0.331 0.004 -0.257
item_box_buckshot_ttt	-313.665527 706.640015 40.375751	0.666 -0.000 -0.451
item_box_buckshot_ttt	2257.540039 3526.089844 112.407440	-0.830 -0.004 0.736
item_box_buckshot_ttt	2253.562500 3452.152344 112.417976	-0.747 -0.006 0.662
item_box_buckshot_ttt	1503.619385 3478.897461 16.427361	-0.673 -0.007 0.597
item_box_buckshot_ttt	1441.169922 3469.257324 16.390877	-0.978 0.004 0.870
item_ammo_357_ttt	3652.707520 1602.961426 208.374374	0.459 0.057 0.038
item_ammo_357_ttt	3705.252930 1599.077637 208.342484	0.452 0.061 0.051
item_ammo_357_ttt	4051.769531 735.114319 16.372938	0.458 0.056 0.039
item_ammo_357_ttt	4055.625977 808.862610 16.319405	0.447 0.072 0.060
item_ammo_357_ttt	-598.491638 1404.035400 16.317066	0.447 0.072 0.062
item_ammo_357_ttt	-601.261475 1456.925171 16.348141	0.453 0.061 0.049
item_ammo_357_ttt	37.644424 957.790833 295.362091	0.456 0.058 0.043
item_ammo_357_ttt	39.617424 897.095093 295.355347	0.455 0.060 0.046
item_ammo_357_ttt	35.081139 1041.630859 295.357056	0.455 0.060 0.045
item_ammo_357_ttt	41.257698 1110.996826 295.357056	0.455 0.060 0.045
item_ammo_357_ttt	-165.154663 670.629150 295.353607	0.455 0.060 0.047
item_ammo_357_ttt	-187.904465 663.654663 295.385315	0.461 0.056 0.034
item_ammo_357_ttt	-144.427933 700.016907 295.338593	0.452 0.065 0.053
item_ammo_357_ttt	-123.354004 711.884460 295.369965	0.458 0.057 0.040
item_ammo_357_ttt	867.156616 1976.559692 592.326050	0.449 0.067 0.058
item_ammo_357_ttt	906.639893 1970.572388 592.330322	0.450 0.067 0.057
item_ammo_357_ttt	-484.618866 3350.699219 656.323914	0.449 0.069 0.058
item_ammo_357_ttt	-591.006897 3366.867920 656.368408	0.458 0.057 0.041
