# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_2016_v1
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	2978.952148 -722.107788 321.599854	0.000 1.953 0.000
ttt_playerspawn	2854.424805 -720.433899 321.598419	-0.125 0.204 0.121
ttt_playerspawn	2849.533203 -847.992859 321.599274	0.311 -2.909 -0.309
ttt_playerspawn	2977.964844 -850.729736 321.473328	0.033 0.751 -0.033
ttt_playerspawn	1978.394775 -908.633118 65.597527	-0.001 -0.968 -0.008
ttt_playerspawn	1908.045776 -1217.298828 65.537941	0.061 0.000 0.061
ttt_playerspawn	60.834572 1152.306396 257.532043	-0.066 -0.000 0.066
ttt_playerspawn	68.720383 900.386597 257.553375	-0.046 -0.000 0.045
ttt_playerspawn	567.096069 899.411133 257.528900	-0.069 -0.000 0.069
ttt_playerspawn	580.183105 1153.436523 257.536987	-0.062 -0.000 0.061
ttt_playerspawn	1078.751831 1155.321167 257.517334	-0.081 -0.000 0.081
ttt_playerspawn	1083.065796 896.950317 257.551941	-0.047 -0.000 0.047
ttt_playerspawn	1596.098633 893.785156 257.538849	-0.060 -0.000 0.060
ttt_playerspawn	1594.586548 1149.607910 257.529968	0.068 0.000 0.068
ttt_playerspawn	1841.130737 1156.896851 257.522186	0.076 0.000 0.076
ttt_playerspawn	1838.714722 890.142334 257.532043	-0.066 -0.000 0.066
ttt_playerspawn	99.115616 1991.310547 266.734558	-0.076 1.609 0.076
ttt_playerspawn	285.280151 1989.367188 263.799408	-0.034 -0.000 0.035
ttt_playerspawn	451.466339 1988.100952 268.074371	-0.089 -0.741 0.089
ttt_playerspawn	1208.120850 2100.996094 385.538879	-0.060 -0.000 0.060
ttt_playerspawn	1212.119141 2003.174805 385.528992	-0.069 -0.000 0.069
ttt_playerspawn	2589.356445 2031.904541 769.565491	0.054 0.000 -0.055
ttt_playerspawn	3308.111572 2246.506836 769.541687	-0.057 -0.000 0.057
ttt_playerspawn	3315.322510 2112.977539 769.527893	-0.071 -0.000 0.070
ttt_playerspawn	3388.298828 2432.958740 641.538086	0.061 0.000 0.060
ttt_playerspawn	3802.606689 2307.647705 641.517517	-0.081 -0.000 0.081
ttt_playerspawn	3580.796875 2317.168213 769.549744	-0.050 -0.000 0.048
ttt_playerspawn	3444.310791 2316.063721 769.523438	-0.075 -0.000 0.075
ttt_playerspawn	3019.940918 52.047935 634.376038	0.070 0.000 0.070
ttt_playerspawn	3029.229980 234.921356 634.403748	0.048 -0.000 -0.047
ttt_playerspawn	2782.279785 159.748123 372.959595	-0.637 -0.085 -0.278
ttt_playerspawn	2570.999756 157.378220 375.574860	-2.000 0.549 0.246
ttt_playerspawn	2577.411377 303.824036 376.502502	-1.966 0.670 0.244
ttt_playerspawn	2784.685059 318.872437 374.863281	-0.713 -0.052 -0.147
ttt_playerspawn	2712.602783 413.645996 111.499092	-0.040 -0.000 0.041
