# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rpgvillage_edit
# Exported by: JogadorDesconhecido
setting:	replacespawns 0
weapon_ttt_smokegrenade	410.471039 -2273.526367 192.161530	-2.504 -1.323 -1.367
weapon_ttt_smokegrenade	-2060.878662 -736.111633 16.171932	-2.120 -1.402 -1.159
weapon_ttt_smokegrenade	2285.088623 999.849365 -63.826355	-2.057 -1.402 -1.125
weapon_ttt_smokegrenade	2304.210938 1013.598083 -63.827206	-2.088 -1.401 -1.142
weapon_ttt_smokegrenade	409.050720 -850.860901 -71.822289	-1.908 -1.428 -1.043
weapon_ttt_smokegrenade	426.264343 -853.408508 -71.817085	-1.718 -1.464 -0.939
weapon_ttt_smokegrenade	959.904602 -481.376953 -71.842697	-2.657 -1.239 -1.453
weapon_ttt_smokegrenade	959.421570 -511.225006 -71.839500	-2.540 -1.297 -1.389
weapon_ttt_smokegrenade	-2026.832520 -368.502411 116.191231	-1.413 -1.484 -0.772
weapon_ttt_smokegrenade	-1908.203735 -373.396301 116.158386	-2.618 -1.234 -1.431
weapon_ttt_smokegrenade	-1789.692749 -378.187408 116.171928	-2.120 -1.402 -1.159
weapon_ttt_smokegrenade	26.418915 -1680.373047 -47.839500	-2.540 -1.297 -1.389
weapon_ttt_smokegrenade	2.219555 -1684.667847 -47.789833	-0.721 -1.511 -0.394
weapon_ttt_smokegrenade	2.968684 -1685.033081 -19.807070	-1.351 -1.490 -0.738
weapon_ttt_smokegrenade	33.011631 -1686.788208 -19.815702	-1.667 -1.464 -0.911
ttt_random_weapon	-348.000000 -1356.000000 -44.000000	-1.498 270.079 86.999
ttt_random_weapon	-348.000000 -1395.699951 -44.000000	-1.498 270.079 86.999
ttt_random_weapon	-360.000000 -1388.000000 -44.000000	-1.498 270.079 86.999
ttt_random_weapon	-360.000000 -1348.300049 -44.000000	-1.498 270.079 86.999
ttt_random_weapon	-360.000000 -1388.300049 -92.000000	-1.498 270.079 86.999
