# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_sai_park
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	1716.461548 -2321.757324 527.572021	0.026 0.713 -0.000
ttt_playerspawn	1580.883301 -2478.022949 533.955322	-0.087 -0.844 0.087
ttt_playerspawn	1685.317017 -2608.972412 529.084229	-0.064 -2.237 0.126
ttt_playerspawn	1576.763672 -2647.619141 520.512207	-0.086 -0.000 0.086
ttt_playerspawn	1575.327148 -2828.703369 532.427002	-0.085 -0.423 0.085
ttt_playerspawn	1336.958618 -2905.229004 527.799011	-0.077 -0.929 0.077
ttt_playerspawn	1095.686523 -2903.956299 525.447021	-0.074 -0.902 0.074
ttt_playerspawn	889.028870 -2901.888916 530.399780	-0.067 -0.856 0.068
ttt_playerspawn	707.271057 -2904.625488 529.985291	-0.078 0.205 0.079
ttt_playerspawn	533.453674 -2849.053467 526.953125	-0.054 1.297 0.055
ttt_playerspawn	491.012848 -2710.644531 526.450500	-0.081 0.032 0.080
ttt_playerspawn	502.117859 -2326.193115 368.215576	-0.035 -0.411 0.034
ttt_playerspawn	500.191437 -2099.828125 371.747620	-0.055 -0.200 0.054
ttt_playerspawn	683.500916 -2016.433472 370.010162	-0.076 2.766 0.076
ttt_playerspawn	1030.872559 -2010.689087 528.034729	0.025 -2.836 0.027
ttt_playerspawn	1024.644653 -1755.388184 527.018616	-0.022 -3.640 0.126
ttt_playerspawn	1022.343628 -1491.484619 530.650391	-0.087 -0.904 0.087
ttt_playerspawn	1025.829346 -1213.990967 493.058563	-0.074 3.322 0.074
ttt_playerspawn	773.331116 -1182.712280 488.556091	-0.042 -4.875 0.042
ttt_playerspawn	612.544922 -1174.952026 487.672333	0.077 -1.303 -0.077
ttt_playerspawn	907.388306 -1032.325684 815.342224	0.115 -2.121 0.274
ttt_playerspawn	1064.915283 -1042.995117 813.516357	0.189 1.082 0.148
ttt_playerspawn	1296.345337 -1058.729492 772.642883	0.145 5.489 0.191
ttt_playerspawn	1578.262207 -1313.386963 770.635986	-0.022 0.494 0.284
ttt_playerspawn	1581.725952 -1576.518921 772.658081	0.025 -3.135 0.168
ttt_playerspawn	1571.102661 -1838.907715 772.455017	-0.071 -4.154 0.071
ttt_playerspawn	1599.030884 -2086.907471 770.328003	0.033 -1.219 0.137
ttt_playerspawn	1888.870850 -2055.859619 774.415100	0.010 2.173 0.099
ttt_playerspawn	1593.544922 -2229.083252 765.817505	-0.012 -1.299 0.012
ttt_playerspawn	1796.917358 -1119.247437 770.328125	0.025 0.816 0.176
ttt_playerspawn	1990.465332 -974.630371 771.858093	-1.311 -0.436 0.255
ttt_playerspawn	1465.196045 -2229.599609 768.868774	-0.000 -0.425 0.000
ttt_playerspawn	1214.925415 -2221.102539 768.274719	0.082 1.105 -0.081
ttt_playerspawn	2096.341309 -2053.512207 770.012207	-0.122 -1.348 0.116
ttt_playerspawn	2384.756348 -2054.868164 769.296875	-0.015 -0.473 0.015
ttt_playerspawn	1845.799438 -1763.428955 769.429321	-0.101 0.305 -0.074
ttt_playerspawn	1371.531738 -1856.996582 773.179810	-0.009 0.421 0.009
ttt_playerspawn	189.110626 -981.162476 771.421692	-0.015 2.178 0.015
ttt_playerspawn	271.213318 -1812.223267 768.514404	-0.011 -0.000 0.010
ttt_playerspawn	1524.083740 -831.945374 767.617554	0.022 -2.268 0.162
weapon_ttt_ak47	2402.975586 -1791.812134 760.911133	0.090 13.131 -87.941
item_box_buckshot_ttt	2384.105957 -887.790833 1000.369873	-0.758 -0.104 -0.560
item_box_buckshot_ttt	2383.878906 -833.435486 1000.456055	-0.446 -0.007 0.395
item_box_buckshot_ttt	2612.845703 -2938.565674 560.384155	-0.755 -0.006 0.695
item_box_buckshot_ttt	2585.366455 -2939.951660 600.434692	-0.653 -0.005 0.506
item_box_buckshot_ttt	2580.331299 -2864.633789 600.334595	-0.324 -0.003 -0.251
item_box_buckshot_ttt	292.259949 -1512.052734 1000.383728	0.562 -0.001 0.509
item_box_buckshot_ttt	304.589661 -1511.682129 1000.451477	-0.674 0.031 -1.219
item_box_buckshot_ttt	336.598938 -1500.387939 1000.384338	-0.995 -0.010 0.892
item_ammo_357_ttt	2299.978027 -975.380005 1320.383545	0.547 0.030 -0.011
item_ammo_357_ttt	2316.063232 -974.638550 1320.365356	0.459 0.059 0.042
item_ammo_357_ttt	2311.177734 -734.164429 1320.357056	0.457 0.059 0.045
item_ammo_357_ttt	2327.044922 -731.078796 1320.372925	0.460 0.057 0.039
item_ammo_357_ttt	2481.490967 -790.187988 800.380737	0.676 0.276 0.123
item_ammo_357_ttt	2498.816162 -790.764954 800.327393	0.504 -0.042 0.001
item_ammo_357_ttt	2175.534668 -868.293213 520.330444	0.450 0.068 0.056
item_ammo_357_ttt	2185.879639 -870.132202 520.330444	0.450 0.067 0.056
item_ammo_357_ttt	1583.193970 -1038.064087 1000.315247	0.904 -0.030 -0.418
item_ammo_357_ttt	1568.023071 -1037.148071 1000.418579	0.443 -0.042 0.114
item_ammo_357_ttt	1902.699707 -1241.625977 1040.327393	0.534 -0.032 -0.022
item_ammo_357_ttt	1892.100464 -1242.275024 1040.383545	0.511 -0.027 -0.010
item_ammo_357_ttt	2150.083008 -1208.454712 1040.315430	0.462 0.021 0.056
item_ammo_357_ttt	2136.607422 -1208.947510 1040.357666	0.466 0.062 0.041
item_ammo_357_ttt	2294.764893 -1730.872437 1160.339111	0.465 0.028 0.047
item_ammo_357_ttt	2277.128418 -1732.627808 1160.315674	0.535 -0.039 -0.010
item_ammo_357_ttt	1379.748657 -1311.729980 1000.344910	0.465 0.064 0.046
item_ammo_357_ttt	1390.548828 -1312.136597 1000.313049	0.462 0.076 0.057
item_ammo_357_ttt	1292.828735 -1479.017456 1000.324768	0.549 -0.039 -0.038
item_ammo_357_ttt	1306.207764 -1478.215454 1000.377686	0.530 -0.042 -0.026
item_ammo_357_ttt	1094.580322 -1559.598755 1040.353149	0.510 0.084 0.001
item_ammo_357_ttt	1084.308838 -1554.874268 1040.370361	0.468 0.059 0.036
item_ammo_357_ttt	1071.621948 -1808.636108 1000.417236	0.472 0.056 0.019
item_ammo_357_ttt	1051.810669 -1811.208862 1000.305786	0.461 0.082 0.060
item_ammo_357_ttt	543.487366 -1721.369507 1000.385620	0.469 0.051 0.031
item_ammo_357_ttt	525.716431 -1721.237671 1000.354065	0.466 0.062 0.042
item_ammo_revolver_ttt	791.034119 -2553.718994 600.330383	0.450 0.066 0.056
item_ammo_revolver_ttt	792.107605 -2572.899414 600.317139	0.447 0.074 0.062
item_ammo_revolver_ttt	815.152527 -2551.960205 600.417114	0.467 0.052 0.021
item_ammo_revolver_ttt	1465.978149 -2267.075684 520.351807	0.454 0.060 0.047
item_ammo_revolver_ttt	1448.403809 -2266.013428 520.365295	0.457 0.059 0.042
item_ammo_revolver_ttt	2349.581787 -1818.474365 760.384338	0.469 0.058 0.031
item_ammo_revolver_ttt	2362.029541 -1819.075684 760.421082	0.473 0.056 0.018
item_ammo_revolver_ttt	2378.606689 -1817.707520 760.322266	0.463 0.069 0.053
item_ammo_revolver_ttt	2096.593506 -2605.838135 520.338623	0.452 0.066 0.052
item_ammo_revolver_ttt	2033.655640 -2608.727295 520.353577	0.455 0.039 0.046
item_ammo_revolver_ttt	1881.989624 -2613.793457 520.369995	0.458 0.045 0.040
item_ammo_revolver_ttt	1835.083618 -2617.761475 520.435974	0.471 0.053 0.014
item_ammo_smg1_ttt	2579.887939 -2728.851807 600.436035	-0.037 -0.000 -0.028
item_ammo_smg1_ttt	2579.454102 -2749.986328 600.519531	-0.237 0.016 -0.211
item_ammo_smg1_ttt	2591.950928 -2737.410645 600.426514	0.611 -0.003 0.398
item_ammo_smg1_ttt	2574.907471 -2612.048584 601.646362	-0.191 -1.704 -0.171
item_ammo_smg1_ttt	2573.400391 -2634.384033 601.213501	0.185 0.852 0.237
item_ammo_smg1_ttt	2587.903076 -2621.496582 600.850281	-0.220 -0.392 -0.193
item_ammo_smg1_ttt	2737.160400 -2571.826904 520.399292	0.153 -0.005 0.091
item_ammo_smg1_ttt	2752.250977 -2570.003418 520.487000	0.497 0.012 0.389
item_ammo_smg1_ttt	2178.430908 -1216.990845 760.426392	0.590 -0.003 0.384
item_ammo_smg1_ttt	2175.936035 -1188.083862 760.512329	-0.287 0.012 -0.242
item_ammo_smg1_ttt	2378.273926 -1754.560303 760.462402	0.460 0.107 -0.104
item_ammo_smg1_ttt	2399.364502 -1754.887085 760.473328	0.321 0.024 -0.034
item_ammo_smg1_ttt	2416.872070 -1756.088745 760.481995	0.072 0.034 0.468
item_ammo_smg1_ttt	2545.673340 -1744.605103 760.545654	-0.088 -0.017 0.075
item_ammo_smg1_ttt	2561.732666 -1741.239868 760.502991	-0.473 0.013 -0.372
item_ammo_smg1_ttt	2613.414307 -1477.189087 760.513245	0.050 0.087 0.279
item_ammo_smg1_ttt	2631.437988 -1478.001953 760.478577	0.085 0.116 0.367
item_ammo_smg1_ttt	2870.997314 -924.032898 760.428528	0.661 -0.003 0.431
item_ammo_smg1_ttt	2852.795166 -923.640015 760.477356	0.551 -0.084 0.245
item_ammo_smg1_ttt	2821.127930 -1144.344116 760.554199	0.694 -0.023 -0.411
item_ammo_smg1_ttt	2821.140381 -1116.506348 760.563354	-0.000 -2.243 -0.000
item_ammo_smg1_ttt	2223.156738 -792.058411 760.489563	-0.366 -0.110 -0.008
item_ammo_smg1_ttt	2224.738281 -744.136597 760.519165	-0.234 0.014 -0.203
item_ammo_smg1_ttt	2330.492188 -1580.746826 1080.520508	-0.214 0.014 -0.184
item_ammo_smg1_ttt	2259.084229 -1578.139648 1080.507080	-0.424 0.011 -0.337
item_ammo_smg1_ttt	2140.885986 -1585.172729 960.519958	-0.235 0.014 -0.200
item_ammo_smg1_ttt	2177.177246 -1540.793335 960.496765	-0.863 -0.013 -0.639
item_ammo_smg1_ttt	2021.913208 -1822.135010 1000.533508	-0.156 0.017 -0.133
item_ammo_smg1_ttt	1982.174805 -1781.722412 1000.473450	0.576 0.013 -0.268
item_ammo_smg1_ttt	1808.104614 -921.251038 960.470581	-0.771 0.003 -0.517
item_ammo_smg1_ttt	1821.451904 -921.283020 960.477600	0.099 0.100 0.208
item_ammo_smg1_ttt	1569.331909 -721.925842 1040.482788	0.079 0.098 0.173
item_ammo_smg1_ttt	1587.187866 -721.479736 1040.478271	-0.004 -0.028 -0.013
item_ammo_smg1_ttt	1727.223755 -543.869080 960.417908	0.372 -0.005 0.238
item_ammo_smg1_ttt	1710.912598 -549.338501 960.417908	0.375 -0.005 0.240
item_ammo_pistol_ttt	1786.085083 -3064.195068 560.383606	-0.100 -0.020 -0.030
item_ammo_pistol_ttt	1785.837036 -3018.690186 560.354309	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	1770.101807 -3019.718994 560.374512	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	1770.418579 -3066.404053 560.333252	-0.144 -0.018 -0.043
item_ammo_pistol_ttt	2413.658936 -1340.547363 760.378479	0.025 0.032 0.003
item_ammo_pistol_ttt	2432.955078 -1339.534302 760.363037	0.028 0.031 0.003
item_ammo_pistol_ttt	2212.843018 -974.613281 760.335632	-0.142 -0.019 -0.042
item_ammo_pistol_ttt	2232.771240 -975.552063 760.349792	-0.129 -0.019 -0.039
item_ammo_pistol_ttt	1345.344116 -1772.023438 1080.406860	-0.080 -0.019 -0.024
item_ammo_pistol_ttt	1334.497070 -1768.357544 1080.372681	-0.051 0.013 0.016
item_ammo_pistol_ttt	1892.513672 -1524.745972 1000.354736	-0.112 0.014 -0.016
item_ammo_pistol_ttt	1905.894531 -1525.390625 1000.373474	-0.261 -0.006 -0.070
weapon_ttt_g3sg1	2491.305664 -776.025818 801.325806	-0.813 1.997 -87.965
weapon_ttt_g3sg1	2145.343750 -871.975647 521.312805	-0.819 2.490 -87.662
weapon_ttt_g3sg1	1580.548584 -1011.365112 1001.244629	-0.615 0.440 -88.020
weapon_ttt_g3sg1	1903.703369 -1268.961914 1041.293457	-0.654 0.033 -87.578
weapon_ttt_g3sg1	1090.781494 -1536.425659 1041.261353	-0.468 0.043 -87.624
ttt_random_weapon	1600.033203 -957.453552 761.182800	1.653 5.279 -93.169
ttt_random_weapon	1371.211548 -951.971252 761.215759	1.480 5.343 -93.508
ttt_random_weapon	1306.730225 -1407.973999 761.162415	1.731 5.344 -92.955
ttt_random_weapon	898.998291 -1703.258179 761.183716	1.630 5.348 -93.175
ttt_random_weapon	602.686401 -1738.040039 761.208740	1.526 5.263 -93.440
ttt_random_weapon	165.583023 -1324.318848 761.166138	1.713 5.345 -92.994
ttt_random_weapon	225.600952 -700.637695 761.188477	1.625 5.280 -93.228
ttt_random_weapon	359.628418 -448.744293 761.212708	1.508 5.264 -93.481
ttt_random_weapon	1113.533813 -530.550110 761.187561	1.615 5.349 -93.215
ttt_random_weapon	2427.899902 -771.887878 801.221497	1.379 5.865 -93.445
ttt_random_weapon	2499.792725 -951.223206 808.306885	1.628 12.341 -93.163
ttt_random_weapon	2458.124512 -951.529785 806.619934	1.559 5.918 -93.321
ttt_random_weapon	2412.133545 -947.367981 801.227356	1.563 5.896 -93.312
ttt_random_weapon	2361.066162 -947.742554 801.230896	1.521 5.891 -93.407
ttt_random_weapon	2308.157959 -947.761292 801.221252	1.636 5.749 -93.144
ttt_random_weapon	2445.343262 -789.639404 767.470886	1.765 9.230 -92.850
ttt_random_weapon	2449.395264 -936.144836 766.913574	1.549 9.393 -93.344
ttt_random_weapon	2340.909180 -937.586304 768.005249	1.810 11.377 -92.746
ttt_random_weapon	1980.036377 -2221.752930 541.210693	1.754 4.191 -92.875
ttt_random_weapon	1937.513184 -2221.760986 541.212952	1.729 4.188 -92.932
ttt_random_weapon	1813.853271 -2220.462891 541.238892	1.433 4.059 -93.609
ttt_random_weapon	2042.089111 -2696.386719 521.237671	1.448 4.141 -93.574
ttt_random_weapon	1868.416504 -2709.932373 521.209595	1.766 4.190 -92.847
ttt_random_weapon	2150.145996 -3125.291748 521.228333	1.555 4.160 -93.330
ttt_random_weapon	2458.465332 -2578.083984 521.227417	1.566 5.922 -93.306
ttt_random_weapon	2730.673584 -3064.475830 521.204773	1.821 4.196 -92.720
ttt_random_weapon	1625.502197 -3538.140381 521.210205	1.760 4.188 -92.862
ttt_random_weapon	1777.851074 -2816.255615 569.390930	0.000 22.581 -90.000
ttt_random_weapon	1778.051147 -2784.781982 566.090637	0.000 45.632 -90.000
ttt_random_weapon	670.479004 -2966.208984 521.207886	1.786 4.192 -92.802
ttt_random_weapon	1149.947266 -2544.634766 567.367859	1.354 19.181 -93.791
ttt_random_weapon	1196.500244 -2548.076416 567.465820	1.332 16.584 -93.841
ttt_random_weapon	899.200378 -2743.353027 566.612244	1.332 21.729 -93.840
ttt_random_weapon	821.744507 -2742.194580 565.331543	1.333 7.968 -93.840
ttt_random_weapon	1253.521240 -2430.926758 521.217346	1.679 4.182 -93.046
ttt_random_weapon	1195.793213 -2424.626465 521.217346	1.679 4.182 -93.046
ttt_random_weapon	1610.784058 -1991.589478 521.208374	1.780 4.195 -92.815
ttt_random_weapon	1487.286011 -1890.551636 521.208374	1.780 4.195 -92.815
ttt_random_weapon	1480.222900 -1751.095093 521.225647	1.585 4.033 -93.262
ttt_random_weapon	1210.876343 -1877.751831 521.221375	1.635 4.040 -93.148
ttt_random_weapon	1198.926392 -1752.781128 521.209045	1.773 4.195 -92.830
ttt_random_weapon	2528.536865 -867.835205 521.226807	1.572 4.166 -93.291
ttt_random_weapon	1855.998169 -1513.496216 761.184692	1.627 5.347 -93.186
ttt_random_weapon	1950.184082 -1256.012207 761.225342	1.437 5.339 -93.606
ttt_random_weapon	2630.806396 -943.621460 761.204468	1.532 5.344 -93.391
