# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_silenthill
# Exported by: Soldado_08
setting:	replacespawns 1
ttt_random_weapon	1195.694824 2058.868652 1.213023	1.728 4.460 -92.933
ttt_random_weapon	1193.888794 1993.482300 1.208704	1.777 4.386 -92.822
ttt_random_weapon	1194.235718 1937.588867 1.191710	1.968 4.419 -92.383
ttt_random_weapon	1314.474365 1090.446777 1.218905	1.662 4.642 -93.085
ttt_random_weapon	1386.071045 1094.086304 1.237611	1.450 4.667 -93.570
ttt_random_weapon	1452.851440 1093.267334 1.211595	1.745 4.262 -92.896
ttt_random_weapon	1535.488525 1092.075562 1.202754	1.844 4.714 -92.668
ttt_random_weapon	-603.985840 94.361267 1.214537	1.712 4.981 -92.972
ttt_random_weapon	-681.583679 95.306541 1.216501	1.689 4.985 -93.023
ttt_random_weapon	1186.706421 3090.594482 1.211352	1.747 8.164 -92.890
ttt_random_weapon	1185.502441 3028.928955 1.206191	1.805 4.660 -92.757
ttt_random_weapon	1186.685425 2960.797607 1.190583	1.981 4.286 -92.354
ttt_random_weapon	1187.760864 2901.002686 1.130190	1.143 3.566 -93.050
ttt_random_weapon	-1124.974365 2078.833252 9.864856	5.091 -8.299 90.694
ttt_random_weapon	-1116.900024 2118.333008 13.792565	5.103 -8.298 90.668
ttt_random_weapon	-1074.955444 2130.425781 10.849649	5.436 -7.898 89.867
ttt_random_weapon	-745.222656 4040.713135 1.194815	1.934 4.601 -92.463
ttt_random_weapon	-687.734741 4043.323242 1.199092	1.885 4.619 -92.573
ttt_random_weapon	-268.262421 4037.971191 1.215598	1.699 4.701 -93.000
ttt_random_weapon	-205.871063 4037.397461 1.209126	1.772 4.708 -92.832
ttt_random_weapon	-869.232056 3726.463379 1.210857	1.753 4.706 -92.877
ttt_random_weapon	-810.359558 3725.436035 1.228358	1.555 4.684 -93.330
ttt_random_weapon	-745.837891 3729.709473 1.190307	1.984 4.720 -92.347
ttt_random_weapon	-212.942703 3108.385986 1.192875	1.955 4.720 -92.413
ttt_random_weapon	-210.462967 3154.148438 1.211967	1.740 4.705 -92.906
ttt_random_weapon	-280.090546 3112.388672 1.210856	1.753 4.706 -92.877
ttt_random_weapon	-274.102875 3162.900146 1.193705	1.946 4.720 -92.435
ttt_random_weapon	-176.968491 2836.481689 1.206671	1.800 4.775 -92.769
ttt_random_weapon	-181.672180 2817.553223 1.483619	3.573 4.194 -94.328
ttt_random_weapon	-228.528976 2636.753418 1.218356	1.668 4.987 -93.071
ttt_random_weapon	-170.991272 2633.964600 1.220934	1.639 4.988 -93.138
ttt_random_weapon	416.118835 2418.940430 1.225092	1.592 4.986 -93.245
ttt_random_weapon	362.941071 2420.388916 1.215038	1.706 4.987 -92.985
ttt_random_weapon	552.385437 3133.203613 1.229887	1.538 4.448 -93.370
ttt_random_weapon	504.184662 3128.241943 1.211416	1.747 4.706 -92.892
ttt_random_weapon	447.442963 3132.415771 1.209711	1.766 4.708 -92.848
ttt_random_weapon	1980.600464 3067.735596 1.068368	-3.508 -3.589 84.328
ttt_random_weapon	1978.842773 3030.879395 0.182348	-1.319 3.828 -92.384
ttt_random_weapon	-48.615074 -254.304916 1.197676	1.901 4.718 -92.537
ttt_random_weapon	-52.886059 -309.513611 1.198435	1.893 4.717 -92.557
ttt_random_weapon	-108.871735 -257.349060 1.224077	1.604 4.689 -93.219
ttt_random_weapon	-112.568375 -308.522827 1.233274	1.499 4.675 -93.457
ttt_random_weapon	-956.470276 181.285751 1.233243	1.500 4.977 -93.457
ttt_random_weapon	-954.298767 231.407501 1.220099	1.648 4.988 -93.116
ttt_random_weapon	-955.424438 279.127686 1.230028	1.536 4.981 -93.373
ttt_random_weapon	-955.705688 325.963440 1.214538	1.712 4.981 -92.972
ttt_random_weapon	-588.753906 464.236328 1.219241	1.658 4.987 -93.094
ttt_random_weapon	-558.256104 412.418213 1.230827	1.527 4.980 -93.394
ttt_random_weapon	-659.619324 439.115601 193.205994	1.808 8.171 -92.751
ttt_random_weapon	-613.048157 436.291107 193.201279	1.861 8.179 -92.630
ttt_random_weapon	-562.183838 435.130676 193.191940	1.966 8.191 -92.389
ttt_random_weapon	55.693951 1217.674438 301.229218	1.545 4.757 -93.352
ttt_random_weapon	56.805355 1255.456787 301.217010	1.683 4.767 -93.037
ttt_random_weapon	55.313553 1294.826294 301.214569	1.711 4.769 -92.974
ttt_random_weapon	570.631958 1384.615601 301.191071	1.976 8.191 -92.367
ttt_random_weapon	569.471863 1342.373657 301.191071	1.976 8.191 -92.367
ttt_random_weapon	1484.036743 1477.757446 1.219241	1.658 4.987 -93.094
ttt_random_weapon	1484.825684 1455.109009 1.226441	1.577 4.985 -93.280
ttt_random_weapon	370.474182 1107.833130 1.191175	1.975 4.719 -92.369
ttt_random_weapon	429.609406 1107.657227 1.207514	1.791 4.267 -92.791
ttt_random_weapon	489.451843 1107.001465 1.220159	1.648 4.695 -93.118
ttt_random_weapon	-77.171028 546.694885 1.229074	1.547 4.926 -93.349
ttt_random_weapon	-77.682365 571.176514 1.151515	0.975 4.765 -93.122
ttt_random_weapon	-133.169907 536.945679 1.391753	-1.209 -10.582 87.225
ttt_random_weapon	-134.991989 575.290833 1.229515	1.542 4.682 -93.360
ttt_random_weapon	-1432.882446 1331.504395 2.151020	1.617 4.722 -92.810
ttt_random_weapon	-1330.571655 1330.498047 2.247710	1.290 4.444 -93.885
ttt_random_weapon	-1432.693604 1289.117432 1.869071	1.801 4.425 -92.118
ttt_random_weapon	-1326.950195 1288.443848 2.144616	1.814 4.701 -92.469
ttt_random_weapon	-376.602905 1117.935913 1.207315	1.793 4.710 -92.786
ttt_random_weapon	-314.646210 1117.497803 1.208531	1.779 4.695 -92.817
ttt_random_weapon	-611.263245 2114.215088 18.023794	1.539 4.681 -93.367
ttt_random_weapon	-632.807495 2083.224121 18.019144	1.591 4.689 -93.247
ttt_random_weapon	-926.793396 2973.698975 1.351907	3.380 2.784 -93.259
ttt_random_weapon	-993.826782 2982.460205 5.899799	6.842 2.876 -95.139
ttt_random_weapon	-931.785828 3027.199707 1.212447	1.735 8.161 -92.918
ttt_random_weapon	-995.774597 3039.094482 2.662885	7.152 3.203 -97.246
ttt_random_weapon	404.010376 2093.049805 1.221742	1.630 4.989 -93.159
ttt_random_weapon	467.246063 2098.639893 1.222526	1.621 4.988 -93.179
ttt_random_weapon	411.611389 2054.499512 1.221340	1.634 4.988 -93.148
ttt_random_weapon	469.807922 2053.947510 1.221743	1.630 4.989 -93.159
weapon_ttt_m16	-146.912994 2531.770020 39.767700	0.000 109.500 90.000
weapon_ttt_m16	-408.826996 2901.429932 8.000000	0.000 257.000 90.000
weapon_ttt_m16	-111.609001 -202.154999 36.438702	0.000 220.000 90.000
weapon_ttt_m16	1529.160034 543.625977 2.529370	0.000 40.000 90.000
weapon_ttt_m16	-848.523010 101.699997 47.720001	0.000 352.500 90.000
weapon_ttt_m16	-916.523010 472.058014 200.994995	-75.044 267.471 91.280
weapon_ttt_m16	-58.244301 1384.760010 3.720000	0.000 0.000 90.000
weapon_ttt_m16	-581.127014 2068.550049 20.918501	0.000 41.000 90.000
weapon_ttt_m16	439.246002 1684.000000 49.198502	0.000 276.000 90.000
weapon_ttt_m16	-95.098602 2647.459961 1.432970	0.000 262.500 90.000
weapon_ttt_m16	-785.622009 2234.979980 2.195530	0.000 262.500 90.000
weapon_ttt_m16	1793.800049 2791.469971 11.247000	0.000 7.500 90.000
weapon_ttt_m16	-56.000000 2800.000000 1.432970	0.000 352.500 90.000
weapon_ttt_m16	-867.039978 4377.229980 2.195530	0.000 357.000 90.000
weapon_ttt_m16	576.958008 1478.949951 303.391998	0.000 172.500 90.000
weapon_ttt_m16	1277.660034 3109.879883 265.838013	0.000 40.000 90.000
weapon_ttt_m16	-910.142029 976.000000 31.009701	0.000 99.500 90.000
weapon_ttt_m16	414.724457 1711.538696 176.866608	2.047 -4.861 84.169
weapon_ttt_m16	1309.864258 2775.557373 260.857025	2.204 -5.650 84.008
