# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simple_otat1
# Exported by: Razor
setting:	replacespawns 1
ttt_random_weapon	363.398254 -935.774231 385.235474	1.474 4.890 -93.515
ttt_random_weapon	171.974533 -1239.533691 129.244400	1.373 4.741 -93.747
ttt_random_weapon	347.424255 -1243.098877 1.241426	1.407 4.753 -93.669
ttt_random_weapon	212.627808 -1502.447021 -126.764702	1.476 4.174 -93.510
ttt_random_weapon	149.706924 -1237.533936 -126.758881	1.410 4.753 -93.661
ttt_random_weapon	341.078369 -1256.344604 -126.758385	1.405 4.753 -93.674
ttt_random_weapon	329.647980 -1182.434570 -126.757332	1.393 4.750 -93.702
ttt_random_weapon	-24.229107 -1241.190186 -93.717865	-2.138 8.851 86.160
ttt_random_weapon	-80.022255 -1239.293213 -126.757080	1.390 4.750 -93.708
ttt_random_weapon	-351.529907 -923.747131 -126.770470	1.542 4.904 -93.361
ttt_random_weapon	-151.328384 -869.955261 -126.777519	1.378 4.870 -93.457
ttt_random_weapon	-92.585129 -672.584229 -126.770172	1.538 4.904 -93.368
ttt_random_weapon	91.944855 -664.555054 -126.757240	1.392 4.750 -93.704
ttt_random_weapon	-352.060577 -656.826294 -126.758278	1.403 4.753 -93.677
ttt_random_weapon	235.219528 -477.073395 -126.781288	1.385 4.838 -93.401
ttt_random_weapon	154.647156 -476.235168 -126.756401	1.382 4.747 -93.726
ttt_random_weapon	228.558212 -206.560715 1.243150	1.387 4.748 -93.714
ttt_random_weapon	-229.559937 -225.023102 1.243437	1.384 4.746 -93.721
ttt_random_weapon	-413.788727 -201.559311 -212.057800	1.584 3.888 -93.263
ttt_random_weapon	-605.901917 104.783287 -254.779984	1.382 4.881 -93.420
ttt_random_weapon	-328.947388 67.930489 -254.757706	1.397 4.751 -93.691
ttt_random_weapon	-228.616867 740.359680 257.241455	1.407 4.753 -93.669
ttt_random_weapon	599.569153 614.135193 257.241547	1.405 4.753 -93.672
ttt_random_weapon	317.942841 357.406921 257.243561	1.381 4.746 -93.727
ttt_random_weapon	738.689758 293.286560 257.218292	1.385 4.832 -93.394
ttt_random_weapon	687.991638 292.075348 257.241119	1.411 4.752 -93.661
ttt_random_weapon	728.707947 233.836472 257.241333	1.408 4.753 -93.666
ttt_random_weapon	288.322906 245.609924 257.241760	1.403 4.752 -93.677
ttt_random_weapon	278.430298 -227.947235 257.223175	1.377 4.844 -93.468
ttt_random_weapon	602.128052 82.829758 259.570892	1.493 10.418 -93.472
ttt_random_weapon	431.256348 82.448936 256.882233	1.477 9.624 -93.510
ttt_random_weapon	423.878387 -87.665260 256.290710	1.458 8.215 -93.551
ttt_random_weapon	597.157654 -89.328217 253.234100	1.490 9.258 -93.479
ttt_random_weapon	1507.273804 -224.129868 257.240143	1.422 4.752 -93.635
ttt_random_weapon	1496.031006 -218.495926 437.226715	1.370 4.847 -93.522
ttt_random_weapon	1377.196411 -221.796814 437.241180	1.410 4.754 -93.661
ttt_random_weapon	1488.804321 -206.190720 153.243988	1.377 4.742 -93.737
ttt_random_weapon	1064.063599 221.602676 129.243591	1.382 4.747 -93.726
ttt_random_weapon	1635.245483 219.726379 129.245712	1.358 4.731 -93.782
ttt_random_weapon	1979.533081 -1078.621338 144.703079	1.587 5.273 -93.396
ttt_random_weapon	1984.426147 -1210.897461 144.716385	1.480 5.329 -93.542
ttt_random_weapon	1601.652954 -937.655090 330.403015	1.352 7.530 -93.801
ttt_random_weapon	1448.561035 -929.239136 385.243469	1.384 4.750 -93.722
ttt_random_weapon	1471.393066 -985.984802 565.244141	1.376 4.744 -93.740
ttt_random_weapon	1627.107910 -1250.728638 513.243713	1.381 4.748 -93.729
ttt_random_weapon	1182.652710 -676.505676 257.231415	1.520 4.906 -93.410
ttt_random_weapon	-1066.665649 -2254.768799 -254.755554	1.371 4.740 -93.750
ttt_random_weapon	-1241.172852 -2265.690430 -254.755280	1.369 4.739 -93.757
ttt_random_weapon	-1240.548828 -2082.972168 -254.759262	1.415 4.753 -93.651
