# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simpsons_b2
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	410.337555 -913.998230 -587.436707	-0.037 0.685 0.037
ttt_playerspawn	342.620636 -919.693604 -588.012268	-0.058 0.005 0.092
ttt_playerspawn	285.319397 -919.421814 -587.832520	-0.052 -0.303 0.052
ttt_playerspawn	211.695236 -922.953369 -586.977722	-0.042 -0.000 0.042
ttt_playerspawn	145.741791 -923.306335 -587.452515	-0.029 0.012 0.083
ttt_playerspawn	93.120552 -921.384705 -589.066956	-0.062 0.607 0.062
ttt_playerspawn	413.255585 -1013.738708 -586.947449	-0.073 2.928 0.073
ttt_playerspawn	337.711334 -1014.070679 -588.448242	-0.074 1.342 0.074
ttt_playerspawn	277.087708 -1012.789063 -587.441223	-0.063 0.306 0.062
ttt_playerspawn	204.159256 -1012.444763 -586.634705	-0.074 0.039 0.074
ttt_playerspawn	140.840302 -1018.329224 -588.208557	-0.076 0.017 0.076
ttt_playerspawn	86.723259 -1022.570679 -586.008423	-0.068 -1.297 0.068
ttt_playerspawn	707.512573 -2245.810303 -593.411072	-0.051 0.962 0.051
ttt_playerspawn	-113.291519 -2029.032959 -601.447388	0.048 -0.311 -0.049
ttt_playerspawn	1056.585815 -2045.302856 -603.646301	-0.208 -0.544 0.133
ttt_playerspawn	800.047058 -2021.644897 -598.770874	-0.070 0.635 0.070
ttt_playerspawn	503.877655 -2020.929810 -601.057678	-0.011 -1.958 0.016
ttt_playerspawn	271.026550 -2008.346313 -601.282959	-0.063 -0.633 0.063
ttt_playerspawn	793.122498 -1895.481689 -598.166626	-0.068 -2.133 0.068
ttt_playerspawn	511.475677 -1877.357788 -600.758179	-0.065 1.676 0.065
ttt_playerspawn	209.482574 -1878.244873 -602.867676	-0.072 -0.630 0.071
ttt_playerspawn	108.534027 -192.069275 -698.216370	-0.014 -1.628 0.015
ttt_playerspawn	105.712234 -107.288643 -700.767395	-0.010 -1.956 0.010
ttt_playerspawn	1131.222534 -84.307777 -694.873413	-0.007 -2.284 0.007
ttt_playerspawn	1133.805176 -169.107407 -692.248108	-0.009 -3.429 0.009
ttt_playerspawn	1691.492798 -78.842369 -694.633545	-0.013 -2.665 0.013
ttt_playerspawn	1692.950806 -178.473785 -694.225281	-0.006 -1.451 0.008
ttt_playerspawn	717.140991 1019.847595 -605.007935	-0.010 2.460 0.011
ttt_playerspawn	569.257019 1027.015137 -605.698853	-0.013 0.969 0.011
ttt_playerspawn	572.420959 1310.801636 -599.170227	-0.014 -0.300 0.014
ttt_playerspawn	730.395142 1299.167847 -599.565369	-0.014 0.507 0.013
ttt_playerspawn	1335.112671 1216.588989 -602.328857	-0.063 -3.598 0.063
ttt_playerspawn	1317.109863 1026.410522 -603.304199	-0.047 -0.970 0.047
ttt_playerspawn	-1666.952026 -469.677917 -595.388733	0.009 -0.964 0.010
ttt_playerspawn	-1569.749390 -464.559326 -602.005554	0.007 -1.281 0.008
ttt_playerspawn	713.175293 -773.420349 -331.975037	-0.052 2.726 -0.069
ttt_playerspawn	1020.845581 -842.387878 -284.266235	-0.047 -1.292 0.047
ttt_playerspawn	-1455.936890 -1820.585327 -740.056885	-0.074 -1.346 0.074
ttt_playerspawn	-1459.219971 -1925.683228 -740.614075	0.346 2.202 -0.346
ttt_playerspawn	-1450.906494 -2102.758545 -741.511047	-0.075 0.028 0.075
ttt_playerspawn	-1446.735352 -2186.851807 -740.781921	-0.081 -1.015 0.081
ttt_playerspawn	-1968.197144 -1560.727661 -604.358948	-0.019 0.028 0.019
ttt_playerspawn	-1566.619141 -1115.988159 -596.418884	-0.012 0.959 0.012
ttt_playerspawn	-1710.731812 -1124.544189 -600.151672	-0.010 0.307 0.009
ttt_playerspawn	-81.030167 1682.124023 -604.342651	-0.074 0.479 0.074
ttt_playerspawn	-84.650337 1632.753540 -602.292175	0.068 -0.357 -0.068
ttt_playerspawn	287.335449 2175.740723 -601.421143	-0.079 -0.973 0.078
ttt_playerspawn	375.868469 2169.539063 -601.373657	-0.056 -1.294 0.056
weapon_ttt_ak47	-1948.632690 -520.013123 -607.121887	0.152 11.844 -87.412
weapon_ttt_ak47	-1855.794922 -702.197693 -601.488525	-0.429 12.486 -88.821
weapon_ttt_ak47	-2097.197510 115.563835 -667.914368	0.099 9.557 -87.814
weapon_ttt_ak47	-1721.325073 766.999634 -664.401367	0.102 26.491 -87.783
item_box_buckshot_ttt	721.024963 -1334.112915 -597.591919	-0.892 -0.632 0.791
item_box_buckshot_ttt	734.581909 -1336.443115 -597.741394	0.838 -0.630 -0.671
item_box_buckshot_ttt	748.609924 -1338.993408 -598.813538	-0.919 -2.617 0.826
item_box_buckshot_ttt	-1025.718140 -422.773773 -553.731018	-0.713 0.627 0.635
item_box_buckshot_ttt	-1041.401611 -421.043732 -553.062561	-1.051 2.352 0.837
item_box_buckshot_ttt	-1042.110840 -404.998230 -553.865967	-0.757 2.981 0.674
item_box_buckshot_ttt	-1023.877014 -405.136200 -554.223633	-0.032 2.367 -0.600
item_box_buckshot_ttt	-1043.107422 30.629774 -495.845795	-0.295 -7.407 0.277
item_box_buckshot_ttt	-1042.265991 60.088444 -499.521759	0.146 29.792 0.010
item_box_buckshot_ttt	-762.140747 1522.449341 -526.961060	-0.724 1.295 0.647
item_box_buckshot_ttt	-765.492981 1565.400269 -526.944824	-0.952 -1.624 0.843
item_box_buckshot_ttt	-763.183350 1614.968506 -526.184448	-0.839 -0.015 0.759
item_box_buckshot_ttt	-766.015625 1368.243652 -526.172363	0.477 -0.618 -0.299
item_box_buckshot_ttt	-769.128479 1318.921509 -526.607422	-0.454 -1.632 0.402
item_box_buckshot_ttt	-772.115173 1271.210083 -526.614258	0.468 -0.023 -0.268
item_box_buckshot_ttt	-92.055313 240.180405 -605.007751	-0.794 -1.188 0.703
item_box_buckshot_ttt	-75.597557 240.218048 -605.766846	-0.758 -1.636 0.673
item_box_buckshot_ttt	-58.258636 243.297119 -605.789185	0.280 -2.337 -0.138
item_box_buckshot_ttt	326.626556 -1454.588135 -596.046387	-0.693 1.836 0.618
item_box_buckshot_ttt	304.832642 -1454.139648 -596.640198	-0.584 -0.316 0.523
item_box_buckshot_ttt	668.805115 -1067.084106 -544.490601	-0.060 0.504 -0.116
item_box_buckshot_ttt	654.055664 -1055.640625 -546.146973	0.156 -1.249 0.171
item_box_buckshot_ttt	648.584534 -1072.646606 -545.463989	-0.185 0.395 0.003
