# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_slender_descent
# Exported by: Kopa King
setting:	replacespawns 0
weapon_ttt_ak47	6258.931641 -8701.497070 -255.140274	0.178 11.848 -87.211
weapon_ttt_ak47	8513.981445 -9280.335938 0.921061	0.092 11.850 -87.876
weapon_ttt_ak47	8482.286133 -9296.122070 0.900766	0.120 11.849 -87.656
weapon_ttt_ak47	7633.255371 -9022.445313 256.859711	0.178 11.848 -87.211
item_box_buckshot_ttt	7179.768066 -9210.566406 256.486023	-0.259 -0.018 0.253
item_box_buckshot_ttt	7191.492188 -9210.507813 256.460236	-0.687 -0.021 0.803
item_box_buckshot_ttt	7200.356445 -9210.594727 256.407471	-1.045 -0.007 0.848
item_ammo_357_ttt	6201.653809 -8970.009766 -255.682877	0.447 0.073 0.061
item_ammo_357_ttt	6224.659668 -8971.765625 -255.592514	0.465 0.054 0.025
item_ammo_357_ttt	6192.451172 -9046.916016 -255.694901	0.445 0.080 0.066
item_ammo_357_ttt	6219.835449 -9040.726563 -255.671738	0.449 0.068 0.057
item_ammo_357_ttt	6343.426270 -9018.569336 -255.617279	0.460 0.056 0.035
item_ammo_357_ttt	6359.251465 -9053.449219 -255.661407	0.452 0.065 0.052
item_ammo_357_ttt	6371.951172 -8956.320313 -255.649979	0.454 0.062 0.048
item_ammo_357_ttt	6371.509277 -9000.371094 -255.613403	0.461 0.056 0.033
item_ammo_revolver_ttt	6345.374512 -8690.296875 -255.648178	0.454 0.060 0.047
item_ammo_revolver_ttt	6357.024902 -8690.712891 -255.651810	0.453 0.062 0.049
item_ammo_revolver_ttt	6312.607422 -8690.129883 -255.659424	0.452 0.065 0.052
item_ammo_revolver_ttt	6386.888672 -8691.315430 -255.653671	0.453 0.062 0.049
item_ammo_revolver_ttt	6397.266113 -8694.443359 -255.648178	0.454 0.060 0.047
item_ammo_revolver_ttt	6407.757813 -8694.478516 -255.593475	0.465 0.054 0.025
item_ammo_revolver_ttt	7381.774902 -8116.599121 257.517273	-21.008 -2.709 -0.204
item_ammo_revolver_ttt	7389.975098 -8115.635254 257.881592	12.518 0.438 -11.049
item_ammo_revolver_ttt	7396.371094 -8115.716797 257.091064	15.355 3.321 -0.133
item_ammo_revolver_ttt	7906.338867 -8705.108398 416.365295	0.457 0.058 0.042
item_ammo_revolver_ttt	7900.416504 -8694.771484 416.432953	0.138 -0.479 0.235
item_ammo_revolver_ttt	7895.935059 -8685.410156 416.407623	0.129 -0.105 0.336
item_ammo_revolver_ttt	7030.540527 -8877.475586 0.366881	0.457 0.058 0.041
item_ammo_revolver_ttt	7032.617676 -8911.631836 0.409350	0.466 0.054 0.024
item_ammo_revolver_ttt	7032.870605 -8943.543945 0.449747	0.474 0.054 0.008
item_ammo_revolver_ttt	7032.478516 -8974.331055 0.317118	0.447 0.073 0.061
item_ammo_revolver_ttt	7032.014160 -9007.687500 0.334559	0.451 0.065 0.054
item_ammo_revolver_ttt	7032.627930 -9038.092773 0.408423	0.465 0.054 0.025
item_ammo_revolver_ttt	6926.762695 -8977.342773 0.350014	0.454 0.062 0.048
item_ammo_revolver_ttt	6928.783691 -9008.083984 0.323907	0.449 0.068 0.058
item_ammo_revolver_ttt	6928.489258 -9028.267578 0.447053	0.917 -0.027 -0.638
item_ammo_revolver_ttt	6924.000488 -8943.007813 0.358766	0.456 0.060 0.044
item_ammo_revolver_ttt	6926.620117 -8913.267578 0.368432	0.457 0.057 0.041
item_ammo_revolver_ttt	6923.920410 -8875.564453 0.365307	0.457 0.058 0.042
item_ammo_smg1_ttt	6221.765625 -8688.053711 -255.482407	0.232 -0.014 -0.198
item_ammo_smg1_ttt	6237.069824 -8686.602539 -255.621796	0.065 -0.005 0.030
item_ammo_smg1_ttt	6283.862305 -8685.758789 -255.490448	-0.362 0.010 -0.297
item_ammo_smg1_ttt	6296.489746 -8689.350586 -255.502182	-0.866 -0.013 -0.643
item_ammo_smg1_ttt	8521.667969 -9314.898438 0.485361	-0.797 0.003 -0.647
item_ammo_smg1_ttt	8511.063477 -9357.020508 0.415748	0.337 -0.005 0.215
item_ammo_smg1_ttt	8491.895508 -9322.803711 0.404162	-0.192 -0.005 -0.117
item_ammo_smg1_ttt	8483.684570 -9350.970703 0.417963	0.377 -0.005 0.241
item_ammo_smg1_ttt	7653.989746 -9025.023438 256.502686	-0.315 -3.442 0.212
item_ammo_smg1_ttt	7657.910645 -9045.611328 256.508881	0.559 -1.532 0.000
item_ammo_smg1_ttt	8503.754883 -9541.289063 0.522509	0.236 -0.016 -0.203
item_ammo_smg1_ttt	8471.303711 -9553.478516 0.413503	-0.298 0.005 0.188
item_ammo_smg1_ttt	8193.788086 -9563.836914 0.415748	-0.338 -0.005 -0.215
item_ammo_smg1_ttt	8145.275879 -9489.477539 0.502589	0.802 0.013 0.597
item_ammo_smg1_ttt	7451.943848 -8976.584961 416.413483	0.299 -0.005 0.189
item_ammo_smg1_ttt	7411.241211 -8914.672852 416.424408	0.529 -0.004 0.343
item_ammo_smg1_ttt	7617.668457 -8979.379883 416.483582	-0.374 -0.001 -0.367
item_ammo_smg1_ttt	7571.043457 -8990.923828 416.408875	0.240 -0.005 0.149
item_ammo_smg1_ttt	8161.149414 -7989.926758 257.719025	-0.022 0.406 -8.096
item_ammo_smg1_ttt	8169.169922 -7968.252930 256.504730	-1.134 0.411 -0.352
item_ammo_smg1_ttt	8164.267578 -7866.658203 256.526215	0.109 1.423 0.326
item_ammo_smg1_ttt	8176.297363 -7853.136230 256.491211	-0.544 0.680 0.038
item_ammo_smg1_ttt	6212.335449 -9309.457031 0.437056	-1.102 -0.002 0.726
item_ammo_smg1_ttt	6170.113770 -9364.057617 0.504367	0.593 -0.010 -0.453
item_ammo_smg1_ttt	6193.123535 -9407.231445 0.430592	-0.749 0.002 0.490
item_ammo_smg1_ttt	6159.435547 -9463.374023 0.401742	-0.170 0.005 0.102
item_ammo_smg1_ttt	6163.324219 -9508.990234 0.519490	0.233 -0.015 -0.203
item_ammo_smg1_ttt	6161.483398 -9573.256836 0.415751	-0.335 0.005 0.213
item_ammo_pistol_ttt	6548.514160 -9997.410156 0.371986	-0.468 0.577 -0.254
item_ammo_pistol_ttt	6534.444824 -9993.222656 0.399742	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	7086.646484 -8202.606445 256.393585	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	7057.358398 -8203.482422 256.374573	-0.108 -0.020 -0.033
item_ammo_pistol_ttt	7071.611816 -8201.558594 256.430420	-0.478 0.032 -0.249
item_ammo_pistol_ttt	6858.653809 -8208.932617 256.366821	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	6874.632324 -8207.341797 256.372681	-0.110 -0.020 -0.033
item_ammo_pistol_ttt	6890.004883 -8208.921875 256.390350	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	8481.541992 -7910.860352 256.487823	0.016 -0.338 -0.066
item_ammo_pistol_ttt	8482.249023 -7942.018066 256.481415	-0.031 -1.254 0.068
item_ammo_pistol_ttt	8482.422852 -7927.726563 268.050049	-0.275 3.026 0.034
item_ammo_pistol_ttt	8521.558594 -7931.255371 256.472137	-0.005 -0.113 0.004
item_ammo_pistol_ttt	8522.718750 -7911.892090 256.476044	0.000 0.053 0.032
item_ammo_pistol_ttt	8522.902344 -7919.563477 267.997040	0.015 -0.854 0.017
ttt_random_weapon	6302.390137 -10575.799805 425.372986	0.000 90.000 90.000
ttt_random_weapon	6321.839844 -10532.900391 425.372986	0.000 90.000 90.000
ttt_random_weapon	6364.770020 -10508.500000 425.372986	0.000 90.000 90.000
ttt_random_weapon	6354.720215 -10556.700195 425.372986	0.000 90.000 90.000
ttt_random_weapon	7487.069824 -8751.000000 477.000000	0.000 90.000 90.000
ttt_random_weapon	7472.000000 -8724.669922 477.000000	0.000 90.000 90.000
ttt_random_weapon	7587.620117 -8644.759766 436.457001	0.000 90.000 90.000
ttt_random_weapon	7630.399902 -8661.400391 436.457001	0.000 90.000 90.000
ttt_random_weapon	7592.220215 -8695.190430 436.457001	0.000 90.000 90.000
ttt_random_weapon	7606.049805 -8733.320313 436.457001	0.000 90.000 90.000
ttt_random_weapon	7665.009766 -8714.030273 436.457001	0.000 90.000 90.000
ttt_random_weapon	7831.319824 -8414.690430 477.322998	0.000 90.000 90.000
ttt_random_weapon	7363.339844 -7881.000000 298.000000	0.000 77.500 0.000
ttt_random_weapon	7400.000000 -7822.000000 298.000000	0.000 0.000 0.000
ttt_random_weapon	7369.000000 -7812.169922 298.000000	0.000 77.500 0.000
ttt_random_weapon	7377.399902 -8257.459961 298.000000	0.000 0.000 0.000
ttt_random_weapon	7515.399902 -8418.309570 298.000000	0.000 0.000 0.000
ttt_random_weapon	7427.419922 -8492.009766 298.000000	0.000 0.000 0.000
ttt_random_weapon	8146.000000 -9151.589844 298.000000	0.000 0.000 0.000
ttt_random_weapon	7226.000000 -8334.000000 298.000000	0.000 0.000 0.000
ttt_random_weapon	7072.000000 -8480.000000 298.000000	0.000 90.000 0.000
ttt_random_weapon	6413.000000 -9608.000000 70.000000	0.000 0.000 0.000
ttt_random_weapon	6424.000000 -9652.000000 69.000000	0.000 0.000 0.000
ttt_random_weapon	6059.000000 -9724.000000 -210.000000	0.000 0.000 0.000
ttt_random_weapon	6588.000000 -9749.000000 -210.000000	0.000 0.000 0.000
ttt_random_weapon	6583.000000 -8737.040039 -210.000000	0.000 0.000 0.000
ttt_random_weapon	6004.819824 -8742.280273 -210.000000	0.000 0.000 0.000
ttt_random_weapon	6951.000000 -9443.660156 48.000000	0.000 0.000 0.000
ttt_random_weapon	6924.279785 -9412.780273 48.000000	0.000 0.000 0.000
ttt_random_weapon	5858.000000 -11093.000000 -199.000000	0.000 172.000 0.000
ttt_random_weapon	5875.330078 -11063.099609 -199.000000	0.000 172.000 0.000
ttt_random_weapon	6702.000000 -11051.299805 -199.000000	0.000 355.000 0.000
ttt_random_weapon	6698.169922 -11095.099609 -199.000000	0.000 355.000 0.000
ttt_random_weapon	6695.290039 -11128.000000 -199.000000	0.000 355.000 0.000
ttt_random_weapon	6701.000000 -10998.000000 -199.000000	0.000 0.000 0.000
ttt_random_weapon	6730.000000 -10979.000000 -199.000000	0.000 0.000 0.000
ttt_random_weapon	6373.000000 -10779.000000 -457.000000	0.000 0.000 0.000
ttt_random_weapon	6297.100098 -10192.200195 -245.626999	0.000 0.000 0.000
ttt_random_weapon	8131.209961 -9329.429688 10.372900	0.000 4.000 0.000
ttt_random_weapon	8205.790039 -9233.719727 10.372900	0.000 12.000 0.000
ttt_random_weapon	8151.370117 -9268.469727 10.372900	0.000 127.000 0.000
ttt_random_weapon	8124.470215 -9758.360352 10.372900	0.000 97.000 0.000
ttt_random_weapon	8167.950195 -9707.110352 10.372900	0.000 205.000 0.000
ttt_random_weapon	8500.580078 -9715.120117 10.372900	0.000 88.000 0.000
ttt_random_weapon	8178.729980 -10066.000000 42.372898	0.000 294.000 0.000
ttt_random_weapon	6884.430176 -10939.099609 -245.626999	0.000 213.000 0.000
ttt_random_weapon	6908.810059 -10991.200195 -245.626999	0.000 148.000 0.000
ttt_random_weapon	7283.270020 -10397.000000 -245.626999	0.000 8.000 0.000
ttt_random_weapon	5860.240234 -11010.000000 -245.626999	0.000 268.000 0.000
ttt_random_weapon	5855.680176 -10949.599609 -245.626999	0.000 244.000 0.000
ttt_random_weapon	6262.430176 -11266.500000 -245.626999	0.000 165.000 0.000
ttt_random_weapon	6288.970215 -10434.200195 -245.626999	0.000 207.000 0.000
ttt_random_weapon	6659.350098 -10987.299805 -245.626999	0.000 53.000 0.000
ttt_random_weapon	6644.029785 -11062.900391 -245.626999	0.000 17.000 0.000
ttt_random_weapon	6637.259766 -11132.700195 -245.626999	0.000 239.000 0.000
ttt_random_weapon	6650.259766 -11178.000000 -245.626999	0.000 339.000 0.000
ttt_random_weapon	5977.589844 -10004.299805 -245.626999	0.000 349.000 0.000
ttt_random_weapon	6888.000000 -9755.000000 -174.000000	0.000 307.000 0.000
ttt_random_weapon	7050.000000 -9786.000000 -174.000000	0.000 307.000 0.000
ttt_random_weapon	5808.000000 -8336.000000 -170.000000	0.000 0.000 0.000
ttt_random_weapon	5808.000000 -8336.000000 -215.000000	0.000 0.000 0.000
ttt_random_weapon	7018.000000 -9762.000000 -174.000000	0.000 307.000 0.000
ttt_random_weapon	6880.000000 -8480.000000 298.000000	0.000 90.000 0.000
ttt_random_weapon	7590.000000 -7955.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7590.000000 -7986.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7647.000000 -7987.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7648.000000 -7957.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7642.000000 -7889.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7641.000000 -7919.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7584.000000 -7918.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7584.000000 -7887.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7772.000000 -7887.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7771.000000 -7917.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7714.000000 -7916.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7714.000000 -7885.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7773.000000 -7956.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7772.000000 -7986.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7715.000000 -7985.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	7715.000000 -7954.000000 319.000000	0.000 0.000 0.000
ttt_random_weapon	6418.000000 -9566.000000 70.000000	0.000 0.000 0.000
ttt_random_weapon	6418.000000 -9435.000000 70.000000	0.000 0.000 0.000
ttt_random_weapon	6413.000000 -9477.000000 70.000000	0.000 0.000 0.000
ttt_random_weapon	6424.000000 -9521.000000 69.000000	0.000 0.000 0.000
ttt_random_weapon	5948.966797 -8947.388672 -254.802856	1.907 4.928 -92.523
ttt_random_weapon	6070.273926 -9338.026367 -254.784637	1.603 4.875 -93.380
ttt_random_weapon	8285.175781 -7786.740723 257.220306	1.646 4.922 -93.121
ttt_random_weapon	8381.882813 -7795.729980 257.221130	1.637 4.922 -93.143
ttt_random_weapon	6295.803711 -9614.331055 -254.790695	1.770 4.927 -92.837
ttt_random_weapon	6298.377441 -9543.875977 -254.793747	1.805 4.927 -92.758
ttt_random_weapon	5841.599121 -9815.179688 -94.812096	2.011 4.924 -92.285
weapon_ttt_sg550	6378.566406 -8987.166992 -254.825821	0.118 -14.974 -86.195
weapon_ttt_sg550	6368.892090 -9039.220703 -254.715164	0.181 -14.959 -87.020
weapon_ttt_m16	7022.345215 -8215.785156 256.859344	2.180 -5.785 83.948
weapon_ttt_m16	6911.459961 -8222.152344 256.832214	2.048 -5.142 83.555
weapon_ttt_m16	8497.442383 -7944.038574 256.878876	2.205 48.963 84.133
weapon_ttt_m16	8505.194336 -7899.774902 256.914642	2.221 5.238 -83.838
weapon_zm_sledge	8487.126953 -7817.883789 253.783997	18.568 -1.391 2.404
weapon_zm_sledge	8481.300781 -8057.893066 253.808441	18.634 -0.124 2.992
weapon_zm_sledge	8187.963379 -7779.948242 253.808441	18.634 -0.131 2.992
weapon_zm_sledge	8172.184570 -8084.210449 253.808441	18.634 -0.122 2.992
weapon_ttt_mp5	8159.455566 -8009.466797 258.709503	0.910 6.643 -97.706
weapon_ttt_mp5	8164.709473 -7897.746582 257.093140	0.322 6.549 -87.293
weapon_ttt_revolver	6323.678711 -8700.695313 -254.020798	9.038 26.253 74.670
weapon_ttt_revolver	7025.427246 -8896.817383 2.018161	9.437 24.921 74.567
weapon_ttt_revolver	7025.723145 -8926.805664 1.960089	8.544 24.828 75.769
weapon_ttt_revolver	7025.685059 -8960.037109 0.915685	-6.048 25.236 89.133
weapon_ttt_revolver	7025.565430 -8993.161133 1.126783	-2.616 23.029 86.596
weapon_ttt_revolver	7025.975586 -9025.370117 1.038025	-4.210 32.403 87.920
weapon_zm_molotov	5903.812988 -10033.532227 0.136270	-1.999 -1.232 -2.037
weapon_zm_molotov	6841.878418 -10042.111328 0.137667	-1.969 -1.212 -2.007
weapon_zm_molotov	6867.541016 -9625.636719 0.164586	-1.395 -1.486 -1.419
ttt_random_ammo	7385.350098 -8297.889648 288.627991	0.000 0.000 0.000
ttt_random_ammo	7481.250000 -8302.730469 288.627991	0.000 0.000 0.000
ttt_random_ammo	7351.600098 -7988.640137 288.627991	0.000 0.000 0.000
ttt_random_ammo	7388.000000 -7956.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	7378.000000 -7972.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	7392.549805 -7942.000000 318.000000	0.000 0.000 0.000
ttt_random_ammo	7380.000000 -7837.000000 318.000000	0.000 0.000 0.000
ttt_random_ammo	7338.000000 -7902.299805 318.000000	0.000 0.000 0.000
ttt_random_ammo	7415.729980 -8563.580078 288.627991	0.000 0.000 0.000
ttt_random_ammo	7466.009766 -8448.750000 288.627991	0.000 0.000 0.000
ttt_random_ammo	7575.169922 -8418.599609 288.627991	0.000 0.000 0.000
ttt_random_ammo	7251.000000 -8599.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	7196.000000 -8599.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	6880.000000 -8639.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	6880.000000 -8549.000000 288.627991	0.000 0.000 0.000
ttt_random_ammo	6531.000000 -9658.000000 -219.371994	0.000 0.000 0.000
ttt_random_ammo	6515.620117 -9512.139648 -219.371994	0.000 0.000 0.000
ttt_random_ammo	6508.540039 -9621.450195 -219.371994	0.000 0.000 0.000
ttt_random_ammo	6077.250000 -9516.150391 -219.371994	0.000 0.000 0.000
ttt_random_ammo	6076.740234 -9629.440430 -219.371994	0.000 0.000 0.000
ttt_random_ammo	6052.000000 -9745.000000 -219.371994	0.000 0.000 0.000
ttt_random_ammo	5735.160156 -9182.799805 38.627701	0.000 0.000 0.000
ttt_random_ammo	5729.640137 -9974.349609 38.627701	0.000 0.000 0.000
ttt_random_ammo	6872.439941 -9967.059570 38.627701	0.000 0.000 0.000
ttt_random_ammo	6914.509766 -9252.669922 38.627701	0.000 0.000 0.000
ttt_random_ammo	6899.140137 -9447.250000 38.627701	0.000 0.000 0.000
ttt_random_ammo	5932.660156 -11086.299805 -199.000000	0.000 172.000 0.000
ttt_random_ammo	5921.399902 -11051.400391 -199.000000	0.000 172.000 0.000
ttt_random_ammo	5913.000000 -11025.000000 -199.000000	0.000 172.000 0.000
