# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_sw_ragtomb_r3
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-407.746277 -798.430359 -39.111530	0.136 13.130 -87.510
weapon_ttt_ak47	37.492489 -813.961365 -39.139874	0.175 13.128 -87.197
weapon_ttt_ak47	-464.820404 -1288.130249 -39.076702	0.088 13.134 -87.895
weapon_ttt_ak47	72.491180 -1282.821045 -39.113426	0.139 13.130 -87.489
ttt_playerspawn	-780.524963 -892.733337 -165.065308	-0.013 0.275 0.013
ttt_playerspawn	-641.580505 -896.134094 -164.544662	-0.014 -0.092 0.014
ttt_playerspawn	-440.696198 -900.214722 -162.442001	-0.011 -0.178 0.011
ttt_playerspawn	-255.742188 -898.887512 -164.215179	-0.013 -0.832 0.013
ttt_playerspawn	-76.340889 -896.315308 -164.214600	-0.012 1.293 0.012
ttt_playerspawn	140.866531 -895.154541 -164.795044	-0.014 0.924 0.014
ttt_playerspawn	286.033081 -1181.643555 -163.070267	0.012 0.647 0.012
ttt_playerspawn	107.488770 -1180.349609 -159.032791	0.011 0.000 0.011
ttt_playerspawn	-53.028374 -1186.780640 -162.244858	-0.011 1.525 0.011
ttt_playerspawn	-209.320694 -1185.445923 -158.614059	-0.011 0.370 0.011
ttt_playerspawn	-403.575958 -1184.905640 -162.783478	-0.015 0.601 0.015
ttt_playerspawn	-617.058105 -1178.893677 -162.882736	-0.012 -0.554 0.012
ttt_playerspawn	484.423767 -938.167603 -163.254807	-0.014 0.739 0.014
ttt_playerspawn	501.105560 -1195.906494 -162.147919	0.004 -0.785 -0.004
ttt_playerspawn	-866.533875 -1141.978638 -164.254089	-0.015 0.277 -0.015
ttt_playerspawn	-885.804382 -920.913818 -162.857361	-0.010 0.832 -0.010
ttt_playerspawn	471.033844 280.694366 -354.730865	-0.009 -0.277 0.009
ttt_playerspawn	304.615509 263.829529 -351.471619	-0.012 -0.185 0.012
ttt_playerspawn	524.035828 37.963234 -372.831970	-0.009 1.703 0.009
ttt_playerspawn	312.092133 32.496643 -369.233398	-0.012 0.646 0.012
ttt_playerspawn	458.725098 -199.795700 -353.596497	-0.012 1.109 0.012
ttt_playerspawn	297.436615 -199.387680 -349.049042	-0.009 0.370 0.009
ttt_playerspawn	759.556702 195.042892 -355.842926	-0.007 0.277 0.007
