# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_terraria
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-382.294159 214.411682 528.854675	0.185 13.138 -87.150
weapon_ttt_ak47	-383.323456 361.323517 528.868103	0.166 13.137 -87.296
weapon_ttt_ak47	-86.705399 -377.980652 528.882751	0.145 13.136 -87.456
weapon_ttt_ak47	-99.687271 -221.559860 528.897217	0.125 13.136 -87.614
ttt_playerspawn	-1177.263916 -245.658340 678.237488	-0.028 1.122 0.028
ttt_playerspawn	-1152.296143 -391.173584 679.479004	0.027 0.418 0.027
ttt_playerspawn	-1167.551514 -42.349689 932.193237	-0.001 -4.959 0.170
ttt_playerspawn	-1160.083496 60.182049 932.876465	-0.044 -0.185 0.044
ttt_playerspawn	-1155.747437 177.870926 677.788025	-0.029 0.524 0.029
ttt_playerspawn	-1145.071777 348.343079 676.142700	-0.051 -0.673 0.051
ttt_playerspawn	647.332275 358.422119 706.403259	-0.055 -0.092 0.055
ttt_playerspawn	667.345764 230.227463 707.344849	-0.075 -0.462 0.075
ttt_playerspawn	676.385315 28.807014 931.929199	-0.081 -0.046 0.081
ttt_playerspawn	664.100525 -31.390308 932.900024	-0.023 0.872 0.024
ttt_playerspawn	658.038818 -232.010269 708.577515	-0.085 -2.772 0.085
ttt_playerspawn	640.313477 -344.747284 707.404846	-0.025 1.663 0.025
ttt_playerspawn	778.270447 -569.968689 518.614929	-0.014 1.294 0.014
ttt_playerspawn	537.659302 -572.849915 517.777100	-0.002 -0.092 0.003
ttt_playerspawn	462.441315 -348.886719 520.061401	-0.135 1.254 -0.054
ttt_playerspawn	434.515625 -183.090042 517.575378	0.057 0.719 -0.031
ttt_playerspawn	434.751434 -11.316839 518.128601	-0.211 0.650 -0.065
ttt_playerspawn	428.951508 165.872116 517.945251	-0.089 0.329 -0.219
ttt_playerspawn	415.460754 368.235809 521.425964	-0.156 0.430 0.065
ttt_playerspawn	490.606201 555.759094 517.901978	-0.014 0.185 0.014
ttt_playerspawn	698.998962 553.835022 518.226196	-0.012 0.139 0.012
ttt_playerspawn	-1038.660156 543.130249 518.732239	0.011 -0.141 -0.131
ttt_playerspawn	-1139.051270 578.603455 518.966858	-0.023 0.000 0.023
ttt_playerspawn	-1250.800049 554.185486 521.068909	0.095 -2.015 0.095
ttt_playerspawn	-1319.445190 233.993896 516.740051	-0.212 -0.127 -0.064
ttt_playerspawn	-1328.881836 31.828735 517.497803	-0.150 1.772 -0.055
ttt_playerspawn	-1341.520996 -243.261780 517.018127	0.010 0.673 0.010
ttt_playerspawn	-1320.790527 -458.052704 518.592896	0.018 0.897 0.165
ttt_playerspawn	-1192.755859 -597.606689 517.491699	-0.012 -0.224 0.011
ttt_playerspawn	-942.372192 -566.847900 523.352234	-0.195 0.004 -0.055
ttt_playerspawn	-696.950989 -501.245361 514.659851	-0.006 1.010 0.006
ttt_playerspawn	-384.303101 -509.102142 516.433167	-0.007 0.370 0.007
ttt_playerspawn	-91.052414 -553.510437 514.907593	-0.012 0.647 0.012
ttt_playerspawn	194.997940 -536.097595 516.192810	-0.012 1.709 0.012
ttt_playerspawn	167.025131 534.844482 517.792542	-0.009 0.748 0.008
ttt_playerspawn	-112.972252 475.234985 519.995178	0.049 0.381 -0.134
ttt_playerspawn	-390.107300 517.917725 517.889893	-0.009 0.896 0.009
ttt_playerspawn	-669.960510 525.708679 519.318298	0.008 1.646 0.008
ttt_playerspawn	-885.748779 -279.385223 519.255554	-0.010 0.813 0.108
