# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_terrortown
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	428.473358 -1044.830688 64.467232	-0.013 -0.000 0.013
ttt_playerspawn	302.094971 -1046.227539 64.480881	0.016 2.856 -0.011
ttt_playerspawn	173.569214 -1045.434448 64.445602	-0.015 -0.000 0.015
ttt_playerspawn	424.746368 -912.653687 64.506149	-0.009 -0.000 0.009
ttt_playerspawn	302.001953 -920.790527 64.437691	0.002 5.027 -0.002
ttt_playerspawn	179.381821 -919.657227 64.494110	-0.010 -0.000 0.011
ttt_playerspawn	-169.491302 -1048.918579 64.480530	-0.012 -0.000 0.012
ttt_playerspawn	-160.569733 -914.306274 64.484108	-0.011 -0.000 0.011
ttt_playerspawn	-281.674164 -898.460510 64.461075	-0.014 -0.000 0.014
ttt_playerspawn	-296.163574 -1053.001953 64.482323	-0.012 -0.000 0.012
ttt_playerspawn	-416.054321 -1054.222534 64.494110	-0.011 -0.000 0.010
ttt_playerspawn	-412.228027 -909.945862 64.495697	-0.010 -0.000 0.010
ttt_playerspawn	-702.808289 -64.413170 65.523338	-0.075 -0.000 0.075
ttt_playerspawn	-805.929871 -63.418102 65.522186	-0.076 -0.000 0.076
ttt_playerspawn	1547.122925 -453.056213 65.557404	-0.041 -0.000 0.042
ttt_playerspawn	1549.406250 -319.421722 65.533066	-0.065 -0.000 0.065
ttt_playerspawn	1406.952881 -451.951355 65.536987	-0.061 -0.000 0.062
ttt_playerspawn	1400.362183 -327.864441 65.524452	0.074 0.000 0.074
ttt_playerspawn	1608.704834 -1220.951050 96.519493	-0.032 -0.000 0.032
ttt_playerspawn	1608.765991 -1073.470093 96.521873	-0.031 -0.000 0.031
ttt_playerspawn	-121.867027 963.883850 65.524490	-0.074 -0.000 0.074
ttt_playerspawn	-235.039520 969.918274 65.523346	-0.075 -0.000 0.075
ttt_playerspawn	518.673462 1618.202393 65.543297	-0.055 -0.000 0.055
ttt_playerspawn	519.919983 1524.520630 65.528831	-0.070 -0.000 0.069
ttt_playerspawn	729.491821 1550.284912 -127.461761	-0.059 -0.000 0.059
ttt_playerspawn	1037.675659 1547.063965 -127.459045	-0.056 -0.000 0.056
ttt_playerspawn	1303.167480 1544.133545 -127.419113	-0.018 -0.000 0.018
ttt_playerspawn	-1725.717041 2753.818604 65.543304	0.056 -0.000 -0.055
ttt_playerspawn	-1536.167847 2753.526367 65.503349	-0.020 -0.498 -0.007
ttt_playerspawn	-1364.335205 2754.546143 65.513908	-0.002 -2.451 -0.010
ttt_playerspawn	-1205.092651 2753.942627 65.485863	0.037 4.316 -0.035
