# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_titanic
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	4727.289063 -0.003026 -769.308350	-0.179 -18.897 0.004
ttt_playerspawn	-2540.218750 382.414948 -659.441467	0.024 -0.176 0.024
ttt_playerspawn	-2381.945068 380.915527 -658.620850	0.022 0.176 0.021
ttt_playerspawn	-2207.851074 384.186951 -659.803650	-0.031 -0.000 0.031
ttt_playerspawn	-1976.858887 383.562714 -659.431030	-0.035 -0.000 0.035
ttt_playerspawn	-1764.000244 387.605621 -658.652344	-0.047 0.176 0.047
ttt_playerspawn	-2501.500244 -383.802521 -658.154602	-0.041 -0.000 0.041
ttt_playerspawn	-2305.049072 -378.494781 -656.069031	-0.039 -0.000 0.039
ttt_playerspawn	-2017.866455 -367.371185 -657.545898	0.089 4.207 -0.090
ttt_playerspawn	-1456.870605 -411.994843 -659.028320	-0.038 0.616 0.038
ttt_playerspawn	-1114.284302 -415.661041 -659.042542	-0.042 0.176 0.042
ttt_playerspawn	-250.197174 188.638916 -629.499390	-0.040 -0.000 0.040
ttt_playerspawn	-250.488251 -188.713440 -629.519104	-0.048 -0.000 0.048
ttt_playerspawn	5077.775391 249.666367 -910.753296	-0.133 0.614 -0.047
ttt_playerspawn	5113.466309 -213.638367 -912.018677	-0.032 -0.352 0.032
ttt_playerspawn	4210.048340 -458.497925 -913.791077	-0.024 0.528 0.024
ttt_playerspawn	4168.132813 433.765900 -912.676758	-0.033 0.000 -0.033
ttt_playerspawn	3650.846924 -365.205261 -1040.624023	-0.030 -0.000 0.030
ttt_playerspawn	3675.190430 425.360565 -1035.791260	-0.032 -0.000 0.032
ttt_playerspawn	3322.158691 -192.073700 -912.402649	-0.230 0.313 -0.057
ttt_playerspawn	3317.698486 214.517288 -909.778076	-0.242 2.130 -0.008
ttt_playerspawn	3127.052734 176.962952 -783.197021	-0.033 0.176 0.033
ttt_playerspawn	3112.141357 -174.772095 -783.765625	-0.038 0.088 0.038
ttt_playerspawn	2727.486328 -108.385933 -658.125427	-0.029 0.352 0.029
ttt_playerspawn	2701.162354 104.480194 -657.187561	-0.031 -0.176 0.031
ttt_playerspawn	2398.345215 -277.420166 -657.474731	-0.034 -0.088 0.034
ttt_playerspawn	2386.157715 267.951599 -655.396851	-0.037 -0.000 0.037
ttt_playerspawn	2183.835693 244.447205 -606.215698	-0.046 -0.000 0.046
ttt_playerspawn	2183.414063 -243.884979 -609.685242	-0.041 -0.000 0.041
ttt_playerspawn	1679.448853 253.346008 -613.464172	-0.026 -0.000 0.026
ttt_playerspawn	1693.820801 -258.433502 -613.520935	-0.049 -0.000 0.049
ttt_playerspawn	1000.521790 -351.971619 -661.490845	-0.036 -0.000 0.036
ttt_playerspawn	902.435059 328.231995 -656.125244	-0.027 -0.704 0.027
ttt_playerspawn	423.628723 410.049591 -657.478455	0.061 0.528 -0.061
ttt_playerspawn	77.668175 -463.805389 -661.495056	-0.038 -0.000 0.038
ttt_playerspawn	-499.845276 489.155823 -659.075684	-0.029 -0.000 0.029
ttt_playerspawn	-1369.832275 439.346222 -659.330933	-0.049 -0.000 0.049
ttt_playerspawn	-262.391449 -512.301941 -661.508850	-0.044 -0.000 0.044
ttt_playerspawn	-657.258301 -466.445831 -661.493591	-0.038 -0.000 0.038
ttt_playerspawn	-1013.644470 -236.603302 -657.491638	-0.042 -0.000 0.042
ttt_playerspawn	-1392.962036 -229.201614 -513.706116	-0.037 -0.034 0.037
ttt_playerspawn	-1419.859497 216.703033 -514.863098	-0.049 0.176 0.049
ttt_playerspawn	-737.567505 245.407562 -516.988586	-0.034 -1.019 0.034
ttt_playerspawn	-947.871033 236.937607 -516.307922	-0.042 0.176 0.042
ttt_playerspawn	-2723.963135 125.991264 -529.301147	-0.032 -0.527 0.032
ttt_playerspawn	-2715.699219 -157.976578 -531.359741	0.128 0.352 -0.128
ttt_playerspawn	-2967.513672 124.526382 -528.145752	-0.000 12.915 -0.154
ttt_playerspawn	-2972.592285 -148.960602 -529.510376	-0.037 2.608 0.037
ttt_playerspawn	-2932.673584 -512.088989 -784.023865	0.076 -0.000 -0.075
