# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_torre_entel
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	318.000000 -114.779999 7581.000000	0.000 0.000 0.000
ttt_random_weapon	-156.369003 -212.028000 7625.069824	0.000 0.000 0.000
ttt_random_weapon	-458.070007 -154.205002 7545.069824	0.000 0.000 0.000
ttt_random_weapon	-360.602997 272.042999 7545.069824	0.000 0.000 0.000
ttt_random_weapon	-421.428009 429.204010 7144.870117	0.000 0.000 0.000
ttt_random_weapon	-626.935974 -83.074303 7144.870117	0.000 0.000 0.000
ttt_random_weapon	-118.802002 277.947998 7144.870117	0.000 0.000 0.000
ttt_random_weapon	13.668100 572.929016 7144.870117	0.000 0.000 0.000
ttt_random_weapon	208.401001 34.715000 7144.870117	0.000 0.000 0.000
ttt_random_weapon	-272.806000 -450.170990 6567.870117	0.000 0.000 0.000
ttt_random_weapon	-400.312988 -443.460999 6567.870117	0.000 0.000 0.000
ttt_random_weapon	-350.855988 -386.079010 6567.870117	0.000 0.000 0.000
ttt_random_weapon	-350.838013 -214.417999 6567.870117	0.000 0.000 0.000
ttt_random_weapon	-230.612000 -248.365997 6567.870117	0.000 0.000 0.000
ttt_random_weapon	-312.955994 -86.670601 6567.870117	0.000 0.000 0.000
ttt_random_weapon	168.188004 548.794983 6200.169922	0.000 0.000 0.000
ttt_random_weapon	498.808014 78.171501 6200.169922	0.000 0.000 0.000
ttt_random_weapon	256.546997 -461.436005 6200.169922	0.000 0.000 0.000
ttt_random_weapon	-320.598999 -471.433014 6200.169922	0.000 0.000 0.000
ttt_random_weapon	-615.379028 55.407501 6200.169922	0.000 0.000 0.000
ttt_random_weapon	-239.669006 518.520020 6200.169922	0.000 0.000 0.000
ttt_random_weapon	-50.140499 354.938995 6200.169922	0.000 0.000 0.000
ttt_random_weapon	49.819801 202.679001 6200.169922	0.000 0.000 0.000
ttt_random_weapon	655.648010 -142.776993 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-61.549099 -728.570007 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-793.202026 -86.622902 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-549.895020 485.519989 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-381.286987 35.272999 5801.370117	0.000 0.000 0.000
ttt_random_weapon	13.132600 -295.153992 5801.370117	0.000 0.000 0.000
ttt_random_weapon	243.324005 -9.946320 5801.370117	0.000 0.000 0.000
ttt_random_weapon	46.790001 277.997986 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-149.979996 256.971008 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-110.037003 320.445007 5801.370117	0.000 0.000 0.000
ttt_random_weapon	-232.524002 262.127014 6200.169922	0.000 0.000 0.000
ttt_random_weapon	-356.696014 477.979004 6789.370117	0.000 0.000 0.000
ttt_random_weapon	-542.812988 -316.809998 6789.370117	0.000 0.000 0.000
ttt_random_weapon	-150.154007 -237.091003 6789.370117	0.000 0.000 0.000
ttt_random_weapon	486.500000 -73.094101 6789.370117	0.000 0.000 0.000
ttt_random_weapon	245.768005 466.744995 6789.370117	0.000 0.000 0.000
ttt_random_weapon	462.950989 238.712997 6965.870117	0.000 0.000 0.000
ttt_random_weapon	163.037994 -212.212006 6965.870117	0.000 0.000 0.000
ttt_random_weapon	-388.571014 -79.393997 6965.870117	0.000 0.000 0.000
ttt_random_weapon	-84.316200 -284.601013 7144.870117	0.000 0.000 0.000
ttt_random_weapon	-16.627501 19.833401 7837.069824	0.000 0.000 0.000
ttt_random_weapon	-20.272100 14.516800 8045.069824	0.000 0.000 0.000
ttt_random_weapon	-25.097500 4.590450 8247.070313	0.000 0.000 0.000
ttt_random_weapon	-24.470600 -13.443600 8466.070313	0.000 0.000 0.000
ttt_random_weapon	-5.732450 -16.371401 8682.070313	0.000 0.000 0.000
ttt_random_weapon	-29.635099 56.909199 8682.070313	0.000 0.000 0.000
ttt_random_weapon	-68.203400 -59.996899 8682.070313	0.000 0.000 0.000
ttt_random_weapon	-140.716995 -95.162102 5250.370117	0.000 0.000 0.000
ttt_random_weapon	-150.951996 155.570999 5250.680176	0.000 0.000 0.000
ttt_random_weapon	29.739500 152.947998 5250.680176	0.000 0.000 0.000
ttt_random_weapon	-1649.630005 585.434021 2723.370117	0.000 0.000 0.000
ttt_random_weapon	112.116997 -63.352299 98.372597	0.000 0.000 0.000
ttt_random_weapon	107.695999 -119.008003 98.372597	0.000 0.000 0.000
ttt_random_weapon	117.663002 -180.559006 98.372597	0.000 0.000 0.000
ttt_random_weapon	125.689003 -167.658005 6200.169922	0.000 0.000 0.000
