# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_toysoldiers
# Exported by: Blade_351
setting:	replacespawns 1
ttt_random_weapon	-5661.825684 4260.560547 573.192871	1.955 4.721 -92.413
ttt_random_weapon	-5679.344238 4331.927734 573.206726	1.800 4.711 -92.770
ttt_random_weapon	-5687.211914 4296.492188 573.237305	1.454 4.668 -93.562
ttt_random_weapon	-4268.036133 6039.101563 573.204773	1.821 4.712 -92.720
ttt_random_weapon	-4326.271484 6040.405273 573.216064	1.694 4.700 -93.012
ttt_random_weapon	-6220.369141 5781.446777 273.198456	1.893 4.717 -92.557
ttt_random_weapon	-6014.644043 5791.306152 273.210297	1.759 4.707 -92.863
ttt_random_weapon	-6017.775391 5865.721191 273.199188	1.884 4.716 -92.576
ttt_random_weapon	-6217.686035 5858.828613 273.202759	1.844 4.714 -92.668
ttt_random_weapon	-6332.737793 5539.942871 257.209106	1.773 4.773 -92.832
ttt_random_weapon	-6331.302246 5607.108887 257.228058	1.559 4.758 -93.322
ttt_random_weapon	-6364.900391 5456.000000 257.235901	1.470 4.751 -93.526
ttt_random_weapon	-6367.116211 5488.994629 257.210846	1.753 4.772 -92.877
ttt_random_weapon	-6327.523438 5409.174805 257.240082	1.422 4.747 -93.634
ttt_random_weapon	-6323.608398 5344.535645 257.228943	1.549 4.757 -93.345
ttt_random_weapon	-6035.155273 5960.497070 273.210297	1.759 4.707 -92.863
ttt_random_weapon	-6033.712402 6036.050781 273.211975	1.740 4.706 -92.906
ttt_random_weapon	-6192.329590 5957.249023 273.210876	1.753 4.706 -92.877
ttt_random_weapon	-6191.139648 6036.478027 273.204102	1.829 4.713 -92.703
ttt_random_weapon	-6033.843750 6117.033203 273.226807	1.573 4.686 -93.290
ttt_random_weapon	-6189.859375 6121.300781 273.244415	1.373 4.651 -93.747
ttt_random_weapon	-5560.674805 5813.987793 273.206696	1.800 4.711 -92.770
ttt_random_weapon	-5763.363281 5811.596191 273.223358	1.612 4.691 -93.200
ttt_random_weapon	-5563.429199 5908.208984 273.200653	1.868 4.716 -92.614
ttt_random_weapon	-5770.662109 5903.272949 273.203430	1.837 4.714 -92.686
ttt_random_weapon	-5562.284180 5992.578125 273.224792	1.595 4.689 -93.238
ttt_random_weapon	-5768.759766 5987.643555 273.210876	1.753 4.706 -92.877
ttt_random_weapon	-5559.909180 6073.178223 273.199921	1.876 4.716 -92.595
ttt_random_weapon	-5768.529785 6067.734375 273.192963	1.870 4.825 -92.512
ttt_random_weapon	-6350.781250 4155.697266 321.213593	1.722 4.703 -92.947
ttt_random_weapon	-4161.671387 6357.065918 321.178680	1.456 4.823 -92.801
ttt_random_weapon	-5443.015137 5250.193848 261.225830	1.584 4.687 -93.264
ttt_random_weapon	-5415.274414 5220.500488 261.214111	1.716 4.703 -92.961
ttt_random_weapon	-5382.940918 5181.722656 261.216583	1.688 4.700 -93.025
ttt_random_weapon	-5361.246094 5138.803223 261.198456	1.893 4.717 -92.557
ttt_random_weapon	-5690.437500 5256.110840 261.194519	1.937 4.719 -92.456
ttt_random_weapon	-5736.730469 5224.816895 261.202759	1.844 4.714 -92.668
ttt_random_weapon	-5777.532715 5195.060059 261.209137	1.772 4.709 -92.833
ttt_random_weapon	-5804.703613 5151.222656 261.224792	1.595 4.689 -93.238
ttt_random_weapon	-5292.736328 4907.748535 261.194519	1.937 4.719 -92.456
ttt_random_weapon	-5318.592773 4855.385254 261.205414	1.814 4.712 -92.737
ttt_random_weapon	-5347.591797 4821.622559 261.220154	1.648 4.695 -93.118
ttt_random_weapon	-5384.706543 4781.083496 261.198456	1.893 4.717 -92.557
ttt_random_weapon	-5699.921875 4721.699219 261.190308	1.984 4.720 -92.347
ttt_random_weapon	-5756.835449 4777.976563 261.237122	1.456 4.668 -93.557
ttt_random_weapon	-5794.334473 4839.169922 261.192047	1.965 4.719 -92.391
ttt_random_weapon	-5826.181641 4899.044922 261.204773	1.821 4.712 -92.720
ttt_random_weapon	-4843.619629 5492.441895 -382.791504	1.779 4.773 -92.817
ttt_random_weapon	-4907.754395 5435.475098 -382.792084	1.786 4.774 -92.801
ttt_random_weapon	-4948.497070 5408.390137 -382.795258	1.822 4.776 -92.719
ttt_random_weapon	-4994.494629 5366.841797 -382.794617	1.814 4.776 -92.736
ttt_random_weapon	-5392.886230 4980.625977 -382.789154	1.753 4.772 -92.877
