# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_traitor_express
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_random_weapon	-16.000000 -2448.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2504.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2560.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2616.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2680.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2728.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	-16.000000 -2784.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	32.000000 -2512.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	32.000000 -2584.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	32.000000 -2656.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	32.000000 -2720.000000 138.000000	0.000 0.000 0.000
ttt_random_weapon	12.000000 -1314.000000 10.000000	0.000 0.000 0.000
ttt_random_weapon	24.000000 -1336.000000 10.000000	0.000 0.000 0.000
ttt_random_weapon	16.000000 -1360.000000 10.000000	0.000 0.000 0.000
ttt_random_weapon	67.000000 -1271.000000 49.000000	0.000 0.000 0.000
ttt_random_weapon	43.000000 -831.000000 30.000000	0.000 0.000 0.000
ttt_random_weapon	43.000000 -708.000000 29.000000	0.000 0.000 0.000
ttt_random_weapon	63.000000 -473.000000 46.000000	0.000 0.000 0.000
ttt_random_weapon	40.000000 -200.000000 41.000000	0.000 0.000 0.000
ttt_random_weapon	-62.000000 -66.000000 41.000000	0.000 0.000 0.000
ttt_random_weapon	-56.000000 -43.000000 41.000000	0.000 0.000 0.000
ttt_random_weapon	24.000000 1746.000000 113.000000	0.000 90.000 0.000
ttt_random_weapon	76.000000 1742.000000 113.000000	0.000 90.000 0.000
ttt_random_weapon	27.000000 1656.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	-34.000000 1670.000000 34.000000	0.000 0.000 0.000
ttt_random_weapon	-34.000000 2167.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	41.000000 2165.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	2.000000 2194.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	56.000000 -65.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	54.000000 -48.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	-58.000000 5.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	-63.000000 -124.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	-58.000000 -96.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	-67.000000 -228.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	-14.000000 -627.000000 176.000000	0.000 0.000 0.000
ttt_random_weapon	-65.000000 -563.000000 165.000000	0.000 0.000 0.000
ttt_random_weapon	-64.000000 -813.000000 165.000000	0.000 0.000 0.000
ttt_random_weapon	1.000000 -779.000000 175.000000	0.000 0.000 0.000
ttt_random_weapon	-8.000000 -1119.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	-70.000000 -1167.000000 201.000000	0.000 0.000 0.000
ttt_random_weapon	61.000000 -1836.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	58.000000 -1877.000000 169.000000	0.000 0.000 0.000
ttt_random_weapon	31.000000 -1945.000000 165.000000	0.000 0.000 0.000
ttt_random_weapon	51.000000 -2115.000000 165.000000	0.000 0.000 0.000
ttt_random_weapon	21.000000 -3142.000000 166.000000	0.000 0.000 0.000
ttt_random_weapon	0.000000 -3280.000000 159.000000	0.000 0.000 0.000
ttt_random_weapon	13.000000 -3518.000000 166.000000	0.000 0.000 0.000
ttt_random_weapon	-34.000000 577.000000 181.000000	0.000 0.000 0.000
ttt_random_weapon	37.000000 681.000000 179.000000	0.000 0.000 0.000
ttt_random_weapon	-74.000000 665.000000 53.000000	0.000 0.000 0.000
ttt_random_weapon	-68.000000 595.000000 53.000000	0.000 0.000 0.000
ttt_random_weapon	62.000000 691.000000 53.000000	0.000 0.000 0.000
ttt_random_weapon	67.000000 527.000000 57.000000	0.000 0.000 0.000
ttt_random_weapon	56.000000 -3742.000000 50.000000	0.000 0.000 0.000
ttt_random_weapon	17.000000 -3811.000000 50.000000	0.000 0.000 0.000
ttt_random_weapon	59.000000 -4695.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	61.000000 -4670.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	-7.000000 -4864.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	37.000000 -4851.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	3.000000 -1880.000000 41.000000	0.000 0.000 0.000
ttt_random_weapon	35.000000 -1960.000000 29.000000	0.000 0.000 0.000
ttt_random_weapon	55.000000 -2216.000000 34.000000	0.000 0.000 0.000
ttt_random_weapon	-2.000000 -3201.000000 57.000000	0.000 0.000 0.000
ttt_random_weapon	16.000000 -3471.000000 50.000000	0.000 0.000 0.000
ttt_random_weapon	17.000000 -3397.000000 50.000000	0.000 0.000 0.000
ttt_random_weapon	27.000000 -3252.000000 41.329601	0.000 0.000 0.000
ttt_random_weapon	-64.000000 -3392.000000 178.000000	0.000 0.000 0.000
ttt_random_weapon	49.204967 -4081.583984 65.515480	1.449 5.901 -93.572
ttt_random_weapon	45.488129 -4093.385254 65.509293	1.520 5.915 -93.411
ttt_random_weapon	-55.813114 -4397.712402 129.248032	1.332 3.977 -93.841
ttt_random_weapon	10.985885 -4393.343750 129.248032	1.332 4.185 -93.841
ttt_random_weapon	-71.614189 -3773.080078 129.662231	-1.871 119.556 85.275
ttt_random_weapon	-72.161674 -3995.604736 129.248062	1.332 4.226 -93.840
ttt_random_weapon	61.859436 -4164.623047 129.164993	2.192 11.167 -92.177
ttt_random_weapon	36.548645 -3130.667969 19.748030	1.332 4.737 -93.841
ttt_random_weapon	-6.195882 -3128.749268 19.748034	1.332 4.681 -93.841
ttt_random_weapon	28.359182 -2188.743408 129.216934	1.477 5.343 -93.519
ttt_random_weapon	51.983479 1740.460571 1.235407	1.234 4.140 -93.789
ttt_random_weapon	21.516386 1739.073730 1.224160	1.603 0.754 -93.221
ttt_random_weapon	-36.563126 1746.515503 3.887247	1.094 -18.732 67.532
ttt_random_ammo	28.092857 -4181.604004 64.680351	1.517 0.031 1.802
ttt_random_ammo	14.393615 -4163.657227 64.670494	1.656 0.029 1.965
ttt_random_ammo	65.092316 -4602.656250 128.346985	0.033 -0.000 0.037
ttt_random_ammo	64.868401 -4548.414063 128.462631	-0.989 -0.024 1.229
ttt_random_ammo	72.537277 -4514.637207 128.444794	-1.560 -0.031 1.940
ttt_random_ammo	-68.273140 -4588.345215 128.396851	-0.187 -0.000 0.279
ttt_random_ammo	-71.576866 -4548.386230 128.416824	-0.890 -0.007 1.124
