# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_whitehouse_b2_d11
# Exported by: Donato Dias
setting:	replacespawns 1
ttt_playerspawn	2449.589111 -1164.893921 64.494141	-0.010 -0.000 0.010
ttt_playerspawn	2450.829590 -1090.008423 64.531631	-0.007 -0.000 0.007
ttt_playerspawn	2726.846191 -1020.250183 64.489235	-0.011 -0.000 0.011
ttt_playerspawn	2643.795898 -1019.708557 64.490891	-0.011 -0.000 0.011
ttt_playerspawn	2555.847900 -1020.666687 64.478745	-0.012 -0.000 0.012
ttt_playerspawn	2559.688232 -927.928894 64.561989	-0.004 -0.000 0.004
ttt_playerspawn	2648.582275 -928.139343 64.473129	-0.013 -0.000 0.013
ttt_playerspawn	2738.577148 -927.491821 64.461105	-0.014 -0.000 0.014
ttt_playerspawn	2652.991455 -841.114807 64.489235	-0.011 -0.000 0.011
ttt_playerspawn	2740.409668 -843.431885 64.456848	-0.014 -0.000 0.014
ttt_playerspawn	243.590561 -775.053223 64.530296	-0.067 -0.000 0.067
ttt_playerspawn	243.231445 -684.090210 64.542694	-0.055 -0.000 0.055
ttt_playerspawn	507.513000 -678.155212 64.546043	-0.052 -0.000 0.052
ttt_playerspawn	505.713623 -773.004333 64.549194	-0.049 -0.000 0.049
ttt_playerspawn	-452.642334 -232.701752 64.475029	-0.012 -0.000 0.012
ttt_playerspawn	-451.720367 -391.541992 64.492531	-0.011 -0.000 0.011
ttt_playerspawn	-442.503204 -533.913330 64.520508	-0.008 -0.000 0.008
ttt_playerspawn	-439.827332 -727.251648 64.476898	-0.012 -0.000 0.012
ttt_playerspawn	-312.816833 -733.943787 64.520508	-0.008 -0.000 0.008
ttt_playerspawn	-314.676086 -537.787720 64.473129	-0.013 -0.000 0.013
ttt_playerspawn	-318.487091 -386.772552 64.471199	-0.013 -0.000 0.013
ttt_playerspawn	-324.942871 -225.298401 64.463181	-0.014 -0.000 0.014
ttt_playerspawn	1312.872192 -728.545898 64.525963	-0.071 -0.000 0.071
ttt_playerspawn	1200.105713 -731.174316 64.556946	-0.041 -0.000 0.041
ttt_playerspawn	1196.840332 -579.325623 64.591957	0.000 0.387 0.025
ttt_playerspawn	1313.639282 -572.515808 64.552879	-0.045 -0.000 0.045
ttt_playerspawn	1037.825317 -574.960144 64.566154	-0.032 -0.000 0.032
ttt_playerspawn	857.845825 -572.368896 64.532364	-0.065 -0.000 0.065
ttt_playerspawn	692.861694 -569.996460 64.546852	-0.051 -0.000 0.051
ttt_playerspawn	830.796509 -266.694672 64.539139	-0.058 -0.000 0.058
ttt_playerspawn	711.007874 -268.459473 64.567650	-0.140 0.031 -0.037
ttt_playerspawn	1699.227661 -699.771912 64.490891	-0.011 -0.000 0.011
ttt_playerspawn	1696.442139 -587.146240 64.507576	-0.009 -0.000 0.009
ttt_playerspawn	1550.106445 -588.807495 64.489235	-0.011 -0.000 0.011
