# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_winter_project
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	254.029999 2348.939941 26.719101	0.000 75.000 -90.000
ttt_random_weapon	284.940002 2340.659912 26.719101	0.000 75.000 -90.000
ttt_random_weapon	-340.679993 2560.840088 -230.000000	0.000 75.000 -90.000
ttt_random_weapon	-309.769989 2552.560059 -230.000000	0.000 75.000 -90.000
ttt_random_weapon	-2176.000000 448.000000 138.373001	0.000 0.000 90.000
ttt_random_weapon	-2344.000000 208.000000 137.373001	0.000 315.000 90.000
ttt_random_weapon	-2276.000000 242.496002 9.372890	0.000 150.000 90.000
ttt_random_weapon	-2264.790039 454.997009 49.758400	0.000 90.000 90.000
ttt_random_weapon	1989.880005 -2175.449951 202.373001	0.000 135.000 90.000
ttt_random_weapon	2278.379883 -2124.540039 201.373001	0.000 90.000 90.000
ttt_random_weapon	2047.709961 -2243.179932 113.758003	0.000 225.000 90.000
ttt_random_weapon	-2240.000000 -2176.000000 362.372986	0.000 90.000 90.000
ttt_random_weapon	-2000.000000 -2344.000000 361.372986	0.000 45.000 90.000
ttt_random_weapon	-2034.500000 -2276.000000 233.373001	0.000 240.000 90.000
ttt_random_weapon	-2247.000000 -2264.790039 273.757996	0.000 180.000 90.000
ttt_random_weapon	-64.000000 -64.000000 33.372898	0.000 0.000 -90.000
ttt_random_weapon	280.000000 -64.000000 75.372902	0.000 345.000 -90.000
ttt_random_weapon	24.000000 -136.000000 75.372902	0.000 75.000 -90.000
ttt_random_weapon	156.576996 -174.830002 75.372902	0.000 165.000 -90.000
ttt_random_weapon	368.000000 120.000000 51.372898	0.000 345.000 -90.000
ttt_random_weapon	464.000000 120.000000 51.372898	0.000 345.000 -90.000
ttt_random_weapon	416.000000 120.000000 51.372898	0.000 345.000 -90.000
ttt_random_weapon	376.000000 -120.000000 9.372920	0.000 165.000 -90.000
ttt_random_weapon	456.000000 -120.000000 9.372920	0.000 165.000 -90.000
ttt_random_weapon	536.000000 -120.000000 9.372920	0.000 165.000 -90.000
ttt_random_weapon	-352.000000 3936.000000 138.373001	0.000 180.000 90.000
ttt_random_weapon	-160.000000 3936.000000 138.373001	0.000 180.000 90.000
ttt_random_weapon	256.000000 3216.000000 -118.626999	0.000 75.000 -90.000
ttt_random_weapon	-448.000000 3664.000000 137.373001	0.000 75.000 -90.000
ttt_random_weapon	-480.000000 2348.000000 -176.000000	0.000 90.000 -90.000
ttt_random_weapon	-480.000000 2432.000000 -176.000000	0.000 90.000 -90.000
ttt_random_weapon	-480.000000 2432.000000 -228.000000	0.000 90.000 -90.000
ttt_random_weapon	-480.000000 2348.000000 -228.000000	0.000 90.000 -90.000
ttt_random_weapon	248.000000 -176.000000 33.372898	0.000 180.000 -90.000
ttt_random_weapon	303.268005 93.990097 33.372898	0.000 270.000 -90.000
ttt_random_weapon	0.000000 176.000000 33.372898	0.000 0.000 -90.000
ttt_random_weapon	-448.000000 3744.000000 137.373001	0.000 75.000 -90.000
ttt_random_weapon	-72.000000 176.000000 177.373001	0.000 0.000 -90.000
ttt_random_weapon	72.000000 176.000000 177.373001	0.000 0.000 -90.000
ttt_random_weapon	48.000000 -176.000000 177.373001	0.000 180.000 -90.000
ttt_random_weapon	-48.000000 -176.000000 177.373001	0.000 180.000 -90.000
ttt_random_weapon	96.000000 -16.000000 33.372898	0.000 180.000 -90.000
ttt_random_weapon	-26.205448 185.342102 169.197723	1.901 4.649 -92.538
ttt_random_weapon	15.140482 184.197342 169.205399	1.814 4.776 -92.736
ttt_random_weapon	-2131.108887 649.381958 -2.371620	-1.134 -8.344 93.121
ttt_random_weapon	-2101.114258 670.093567 2.579648	-8.880 -4.733 94.044
ttt_random_weapon	-2081.475098 698.348389 6.209511	-0.595 3.498 -92.247
ttt_random_weapon	-2050.213867 714.699951 7.802005	-0.631 2.344 -91.754
ttt_random_weapon	-2234.341064 70.663048 8.777852	4.954 30.930 63.891
ttt_random_weapon	-2197.156982 83.905853 10.921925	-4.266 24.384 59.428
ttt_random_weapon	-2165.299805 67.756378 21.902084	1.047 6.562 -115.032
ttt_random_weapon	-2143.874756 63.324860 24.587370	0.131 4.422 -114.793
ttt_random_weapon	-2116.445313 59.766991 25.983643	-0.691 3.147 -99.689
ttt_random_weapon	-1509.022949 451.385071 5.255624	-8.260 -28.902 -75.477
ttt_random_weapon	-1459.016602 439.832642 14.881947	1.890 -15.695 89.861
ttt_random_weapon	-1407.445557 405.784546 9.400821	7.404 -6.644 90.433
ttt_random_weapon	-1352.914551 415.215210 3.008254	6.399 2.207 -89.012
ttt_random_weapon	-1301.732056 415.384979 1.373485	3.705 3.822 -91.663
ttt_random_weapon	-1241.007080 440.756500 1.431664	1.239 4.239 -91.401
ttt_random_weapon	-1179.173096 456.526154 2.057294	1.361 4.426 -92.414
ttt_random_weapon	-1121.592041 474.557465 1.774722	3.171 2.741 -91.246
ttt_random_weapon	-1087.648315 508.230042 1.795796	2.792 -5.232 -93.534
ttt_random_weapon	-939.189880 580.599548 1.990945	1.836 -11.629 89.999
ttt_random_weapon	-872.554749 635.055054 4.776720	4.514 -10.238 88.330
ttt_random_weapon	-815.942932 674.775085 -0.049031	5.469 -9.558 84.880
ttt_random_weapon	-750.459717 733.822693 -2.327072	5.093 3.197 -90.756
ttt_random_weapon	-675.710266 784.438416 -0.581530	2.192 4.341 -91.544
ttt_random_weapon	-612.663696 836.315979 1.060339	2.003 5.275 -92.094
ttt_random_weapon	-513.703003 872.325989 2.194961	-1.662 1.450 -96.734
ttt_random_weapon	-445.173859 889.168091 4.179195	0.636 7.067 -98.667
ttt_random_weapon	-348.084930 908.399597 3.922120	3.849 5.159 -94.671
ttt_random_weapon	-259.266968 921.020264 1.231705	1.517 4.230 -93.417
ttt_random_weapon	-191.817642 923.467285 1.210473	1.757 4.263 -92.867
ttt_random_weapon	-137.984695 933.060425 1.180131	2.098 4.295 -92.085
ttt_random_weapon	-77.249451 968.135986 1.196474	1.776 4.205 -92.979
ttt_random_weapon	-2.387811 981.843811 1.210513	1.757 5.183 -92.868
ttt_random_weapon	72.519485 976.649231 0.987902	3.074 3.550 -93.119
ttt_random_weapon	128.826111 1000.984802 0.257703	1.738 4.770 -94.514
ttt_random_weapon	1276.921265 830.497620 50.451508	-1.000 25.604 92.060
ttt_random_weapon	1246.035889 807.222900 50.053509	2.648 -4.352 90.131
ttt_random_weapon	1223.858154 778.333496 47.609192	2.317 -3.614 90.393
ttt_random_weapon	1192.612549 738.301453 45.076775	-0.284 -0.846 87.754
ttt_random_weapon	1189.405273 697.577515 43.326000	3.298 -10.874 88.304
