# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_woodshop
# Exported by: <^ S.￦AT? GoGoNaL ^>
setting:	replacespawns 1
ttt_random_weapon	-797.119019 -1871.859985 -245.626999	0.000 0.000 0.000
ttt_random_weapon	-792.304993 -1892.349976 -245.626999	0.000 0.000 0.000
ttt_random_weapon	-110.066002 1373.199951 -998.627014	0.000 0.000 0.000
ttt_random_weapon	-105.251999 1352.709961 -998.627014	0.000 0.000 0.000
ttt_random_weapon	-2948.820068 825.666016 -375.588989	0.000 0.000 0.000
ttt_random_weapon	-2944.010010 805.174988 -375.588989	0.000 0.000 0.000
ttt_random_weapon	-2852.770020 715.341980 -1030.630005	0.000 0.000 0.000
ttt_random_weapon	-2847.959961 694.851990 -1030.630005	0.000 0.000 0.000
ttt_random_weapon	-2484.219971 1282.569946 -1242.739990	0.000 0.000 0.000
ttt_random_weapon	-2479.409912 1262.079956 -1242.739990	0.000 0.000 0.000
ttt_random_weapon	2474.159912 -530.817017 -1098.140015	0.000 0.000 0.000
ttt_random_weapon	2478.979980 -551.307007 -1098.140015	0.000 0.000 0.000
ttt_random_weapon	-1153.329956 -2087.419922 -1734.630005	0.000 0.000 0.000
ttt_random_weapon	-1148.520020 -2107.909912 -1734.630005	0.000 0.000 0.000
ttt_random_weapon	-2949.020020 -2524.709961 -1110.630005	0.000 0.000 0.000
ttt_random_weapon	-2944.209961 -2545.199951 -1110.630005	0.000 0.000 0.000
ttt_random_weapon	-2550.199951 -1357.719971 -294.627014	0.000 0.000 0.000
ttt_random_weapon	-2545.389893 -1378.209961 -294.627014	0.000 0.000 0.000
ttt_random_weapon	-1423.260010 1244.459961 -223.197006	0.000 0.000 0.000
ttt_random_weapon	-1418.439941 1223.969971 -223.197006	0.000 0.000 0.000
ttt_random_weapon	-865.380981 566.768005 -1735.359985	0.000 0.000 0.000
ttt_random_weapon	-860.567993 546.278015 -1735.359985	0.000 0.000 0.000
ttt_random_weapon	-1999.739990 -827.241028 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	-1994.920044 -847.731018 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	1971.660034 -127.081001 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	1976.469971 -147.570999 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	1256.630005 -2128.560059 -1244.650024	0.000 0.000 0.000
ttt_random_weapon	1261.449951 -2149.050049 -1244.650024	0.000 0.000 0.000
ttt_random_weapon	416.127014 1248.880005 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	420.940002 1228.390015 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	-1333.489990 1141.319946 -540.757019	0.000 0.000 0.000
ttt_random_weapon	-1328.680054 1120.829956 -540.757019	0.000 0.000 0.000
ttt_random_weapon	-2493.600098 -832.943970 -1030.630005	0.000 0.000 0.000
ttt_random_weapon	-2488.780029 -853.434021 -1030.630005	0.000 0.000 0.000
ttt_random_weapon	-951.716980 -2034.449951 -921.892029	0.000 0.000 0.000
ttt_random_weapon	-946.903992 -2054.939941 -921.892029	0.000 0.000 0.000
ttt_random_weapon	540.513000 -1703.329956 -1025.160034	0.000 0.000 0.000
ttt_random_weapon	545.325989 -1723.819946 -1025.160034	0.000 0.000 0.000
ttt_random_weapon	120.363998 -1369.170044 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	125.178001 -1389.660034 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	-2274.169922 -515.038025 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	-2269.350098 -535.528015 -1750.630005	0.000 0.000 0.000
ttt_random_weapon	354.405518 1070.557495 -1006.774536	1.587 5.900 -93.257
ttt_random_weapon	301.934845 1068.667847 -1006.765381	1.480 5.889 -93.502
ttt_random_weapon	256.146118 1063.165771 -1006.774170	1.583 5.901 -93.266
ttt_random_weapon	-382.707825 1070.955933 -1006.771362	1.548 5.899 -93.346
ttt_random_weapon	-378.843658 1059.902710 -1006.768066	1.510 5.894 -93.434
ttt_random_weapon	-1456.607910 1066.424927 -899.885376	1.523 5.898 -93.403
ttt_random_weapon	-1472.928467 1047.444824 -899.881897	1.485 5.891 -93.491
ttt_random_weapon	-1466.598267 1031.550781 -899.884155	1.509 5.895 -93.435
ttt_random_weapon	-2531.001465 1240.560059 -899.879517	1.459 5.886 -93.550
ttt_random_weapon	-2522.561035 1155.002197 -899.889099	1.569 5.901 -93.299
ttt_random_weapon	-2517.684814 1066.851685 -899.890320	1.584 5.900 -93.265
ttt_random_weapon	-2510.078857 1036.732666 -899.883728	1.504 5.895 -93.447
ttt_random_weapon	-2305.007813 -1407.326416 -854.797241	1.842 4.208 -92.672
ttt_random_weapon	-2291.601807 -1451.438232 -854.796570	1.835 4.207 -92.690
ttt_random_weapon	-2284.376709 -1501.489380 -854.770691	1.541 4.167 -93.362
ttt_random_weapon	-2299.031006 -1703.985474 -854.791992	1.784 4.200 -92.805
ttt_random_weapon	-2293.964355 -1669.360840 -854.783203	1.682 4.186 -93.039
ttt_random_weapon	-2292.576904 -1636.951050 -854.770203	1.535 4.166 -93.377
ttt_random_weapon	-2531.775879 -2413.403564 -1118.802490	1.744 4.269 -93.412
ttt_random_weapon	-2527.065674 -2373.359131 -1118.786499	1.614 4.272 -93.547
ttt_random_weapon	-2529.615967 -2329.637207 -1118.797363	1.703 4.270 -93.455
ttt_random_weapon	-1965.749512 -2209.998047 -1294.805542	1.770 4.266 -93.386
ttt_random_weapon	-1910.187256 -2193.351318 -1294.777100	1.533 4.255 -93.677
ttt_random_weapon	-1856.959229 -2167.243896 -1294.799072	1.718 4.245 -93.527
ttt_random_weapon	-660.504456 -134.759949 -1758.792725	1.668 4.247 -93.570
ttt_random_weapon	-698.516907 -140.028671 -1758.782715	1.584 4.251 -93.636
ttt_random_weapon	-680.583313 -166.823898 -1758.785278	1.429 4.443 -93.536
ttt_random_weapon	736.621887 -1368.307129 -1758.796997	1.700 4.246 -93.543
ttt_random_weapon	721.827026 -1285.671875 -1758.791260	1.653 4.250 -93.581
ttt_random_weapon	715.759338 -1221.516479 -1758.776611	1.529 4.250 -93.683
ttt_random_weapon	1646.386963 -1858.981323 -1758.802734	1.747 4.239 -93.505
ttt_random_weapon	1666.623779 -1806.494263 -1758.764282	1.415 3.864 -93.843
ttt_random_weapon	1583.387573 -1877.730347 -1758.781250	1.507 4.323 -93.536
ttt_random_weapon	1634.996094 -1747.287598 -1758.783813	1.592 4.252 -93.630
ttt_random_weapon	1602.345703 -1787.993286 -1758.775757	1.494 4.227 -94.056
ttt_random_weapon	1576.230835 -1745.648926 -1758.808350	1.660 4.300 -93.261
ttt_random_weapon	1574.109009 -1809.874268 -1758.817749	1.714 4.300 -93.167
ttt_random_weapon	651.155151 -1886.308960 -1758.801147	1.735 4.243 -93.515
ttt_random_weapon	685.241211 -1873.180786 -1758.772461	1.499 4.252 -93.705
ttt_random_weapon	712.246033 -1841.295532 -1758.783813	1.592 4.252 -93.630
ttt_random_weapon	525.708740 -1514.483887 -1033.281982	1.332 4.001 -93.841
ttt_random_weapon	522.449768 -1474.261108 -1033.281982	1.332 3.994 -93.841
ttt_random_weapon	515.374939 -1441.967041 -1033.281982	1.332 4.016 -93.841
ttt_random_weapon	2514.933594 -1068.561890 -1054.761230	1.438 5.879 -93.599
ttt_random_weapon	2449.563232 -1061.086548 -1054.768799	1.518 5.897 -93.416
ttt_random_weapon	2391.921875 -1067.113281 -1054.773682	1.576 5.902 -93.284
ttt_random_weapon	2913.790771 335.167419 -1758.787476	1.621 4.249 -93.607
ttt_random_weapon	2923.841797 288.472137 -1758.807129	1.785 4.231 -93.478
ttt_random_weapon	2939.051025 240.987595 -1758.775757	1.523 4.251 -93.687
ttt_random_weapon	2920.354980 194.869858 -1758.798950	1.715 4.241 -93.534
ttt_random_weapon	2380.493408 1050.921875 -1466.765137	1.469 5.868 -93.527
ttt_random_weapon	2406.309814 1033.916138 -1466.774414	1.586 5.886 -93.259
ttt_random_weapon	2401.137451 996.387451 -1466.762573	1.380 5.851 -93.778
ttt_random_weapon	1361.730957 725.062134 -1054.768799	1.518 5.897 -93.416
