# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zs_abandoned_mallmart_b4
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	9033.366211 8728.711914 21.757627	-0.049 -3.801 0.049
ttt_playerspawn	9030.100586 8979.500000 14.205194	-0.025 -1.688 0.025
ttt_playerspawn	9049.362305 9157.802734 10.562242	-0.053 0.580 0.053
ttt_playerspawn	9047.392578 9373.695313 13.800876	-0.078 -1.155 0.078
ttt_playerspawn	8656.291016 9481.781250 24.691065	-0.062 1.555 0.062
ttt_playerspawn	8670.550781 9185.328125 19.627592	-0.052 -0.736 0.052
ttt_playerspawn	8639.179688 8906.419922 12.067289	-0.076 -0.354 0.076
ttt_playerspawn	8607.683594 8660.001953 16.701509	0.049 0.619 -0.049
ttt_playerspawn	8614.394531 8460.972656 12.314090	0.062 0.247 -0.062
ttt_playerspawn	10372.961914 6228.394531 254.889420	0.062 -0.506 0.058
ttt_playerspawn	10387.792969 6577.051758 251.542282	-0.061 -2.381 0.057
ttt_playerspawn	10882.535156 6586.301270 252.337875	-0.073 1.816 0.071
ttt_playerspawn	10876.784180 6181.222656 252.658646	-0.051 0.900 0.038
ttt_playerspawn	11366.018555 6202.513184 252.143982	-0.076 -0.113 0.072
ttt_playerspawn	11371.877930 6566.514160 253.333389	-0.072 -2.347 0.070
ttt_playerspawn	11346.961914 9765.557617 261.146851	0.064 -0.891 -0.064
ttt_playerspawn	11110.881836 9771.442383 251.376724	-0.057 -0.225 0.051
ttt_playerspawn	10713.795898 9783.234375 247.525208	-0.075 -1.286 0.073
ttt_playerspawn	10643.549805 10186.536133 251.871918	-0.026 -2.335 0.026
ttt_playerspawn	10942.452148 10198.007813 254.111557	-0.067 1.100 0.067
ttt_playerspawn	11329.482422 10154.083008 261.546783	-0.057 -0.470 0.057
ttt_playerspawn	13008.672852 8381.273438 254.640564	-0.052 0.370 0.043
ttt_playerspawn	13024.858398 8811.740234 258.660431	-0.071 1.822 0.069
