# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_gold_dust2
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	-451.600342 -742.948669 125.039330	-0.093 -7.285 0.093
ttt_playerspawn	-161.624405 -733.465576 56.497108	-0.073 -15.054 0.073
ttt_playerspawn	-640.835754 -852.742249 135.488190	-0.090 0.095 0.090
ttt_playerspawn	-637.005920 -740.567993 136.073975	-0.073 -5.254 0.073
ttt_playerspawn	-776.022156 -715.430847 141.643555	-0.050 -1.345 0.049
ttt_playerspawn	-765.150452 -853.267334 143.247116	-0.071 -16.070 0.071
ttt_playerspawn	-875.137939 -720.490967 136.678040	-0.301 -2.211 -0.088
ttt_playerspawn	-894.211548 -828.595032 134.441803	-0.224 4.793 -0.015
ttt_playerspawn	-976.888611 -724.843628 141.336777	-0.069 -1.712 0.069
ttt_playerspawn	-1051.163452 -847.216553 138.887665	-0.085 5.567 0.085
ttt_playerspawn	-1327.414185 -648.873535 138.136520	-0.011 -3.280 0.011
ttt_playerspawn	-1198.670288 -816.921387 141.578537	-0.081 0.843 0.081
ttt_playerspawn	-1176.821289 -662.431030 135.016251	-0.075 -9.843 0.075
ttt_playerspawn	-358.522827 -722.902039 102.396172	0.000 -5.969 0.000
ttt_playerspawn	-400.872894 -835.533691 109.658142	0.002 -1.990 0.000
ttt_playerspawn	-239.123016 -787.579102 68.608810	3.768 0.488 -1.038
ttt_playerspawn	135.441864 2446.209229 -118.796722	-0.008 -6.963 0.007
ttt_playerspawn	122.093857 2368.359863 -117.351715	-0.012 4.402 0.011
ttt_playerspawn	213.464798 2463.323242 -116.614426	-0.010 0.900 0.009
ttt_playerspawn	228.452087 2359.784912 -118.520752	-0.009 4.447 0.008
ttt_playerspawn	319.176178 2455.877686 -119.127907	-0.015 -4.244 0.015
ttt_playerspawn	311.992706 2338.586182 -120.112534	-0.009 -1.156 0.009
ttt_playerspawn	396.723907 2446.032715 -119.447983	-0.010 3.207 0.009
ttt_playerspawn	413.729401 2360.011963 -115.860962	-0.013 -3.241 0.013
ttt_playerspawn	437.530151 2267.929688 -118.974602	-0.007 -5.296 0.208
ttt_playerspawn	427.874146 2181.264404 -113.765350	-0.027 -7.980 0.028
ttt_playerspawn	337.463745 2170.797119 -115.753738	-0.049 -3.972 0.049
ttt_playerspawn	272.738617 2247.054932 -119.599846	0.158 3.797 0.158
ttt_playerspawn	242.713593 2125.043945 -114.739403	-0.000 10.119 -0.031
ttt_playerspawn	141.779068 2209.148682 -119.079208	-0.088 4.435 0.088
ttt_playerspawn	81.365898 2101.615479 -118.027176	-0.078 -1.873 0.078
ttt_playerspawn	44.944611 2184.443359 -118.107574	-0.037 -0.138 0.038
weapon_ttt_ak47	-1745.213013 -176.074341 256.889648	0.135 13.138 -87.529
item_ammo_357_ttt	1746.612427 1007.130859 128.385361	0.461 0.051 0.033
item_ammo_357_ttt	1765.429565 1006.358276 128.346359	0.454 0.064 0.049
item_ammo_357_ttt	1052.597656 3012.317139 192.340668	0.453 0.030 0.051
item_ammo_357_ttt	1078.213379 3009.610596 192.409470	0.466 0.056 0.024
item_ammo_357_ttt	1765.615234 382.345490 256.342621	0.453 0.041 0.050
item_ammo_357_ttt	1753.390503 382.781555 256.387939	0.462 0.058 0.032
item_ammo_357_ttt	1740.129883 381.981232 256.342621	0.453 0.040 0.050
item_ammo_357_ttt	1730.811646 382.402557 256.335358	0.532 0.153 0.005
item_ammo_revolver_ttt	1766.982666 335.301971 256.317230	0.448 0.075 0.060
item_ammo_revolver_ttt	1748.865356 335.736450 256.360504	0.457 0.044 0.043
item_ammo_revolver_ttt	1731.822266 335.273132 256.314911	0.448 0.013 0.061
item_ammo_revolver_ttt	1707.407837 347.571228 256.351898	0.455 0.060 0.047
item_ammo_revolver_ttt	1706.704468 360.132538 256.365387	0.457 0.047 0.041
item_ammo_revolver_ttt	1719.305664 352.833435 256.328369	0.450 0.070 0.056
item_ammo_smg1_ttt	-1712.092773 -181.132996 256.501923	-0.586 0.012 -0.449
item_ammo_smg1_ttt	-1712.312134 -208.094086 256.508911	-0.393 0.010 -0.318
item_ammo_pistol_ttt	16.049334 2292.111328 -31.641396	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	31.480818 2291.891113 -31.633183	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	47.396667 2289.715088 -31.623583	-0.107 -0.019 -0.032
weapon_ttt_g3sg1	1754.078857 975.260193 129.312180	-0.769 2.030 -88.055
weapon_ttt_g3sg1	1755.452759 358.659821 257.307281	-0.752 2.040 -88.101
ttt_random_weapon	-1385.259277 2743.785400 9.017991	-6.389 6.824 -94.097
ttt_random_weapon	-1583.061279 2743.611328 64.731277	1.533 3.711 -93.380
ttt_random_weapon	-1696.561401 2867.042480 1.248030	1.332 4.775 -93.841
ttt_random_weapon	-1629.114746 2867.791992 1.248030	1.332 3.991 -93.841
ttt_random_weapon	-1561.905640 2863.358643 1.248029	1.332 3.953 -93.841
ttt_random_weapon	-2014.325073 3098.228271 33.248032	1.332 4.752 -93.841
ttt_random_weapon	-2078.460205 3225.489258 193.225998	1.582 5.778 -93.269
ttt_random_weapon	-2000.678711 3233.950439 225.232101	1.512 5.911 -93.428
ttt_random_weapon	-1933.824097 3216.265625 225.239365	1.430 5.745 -93.617
ttt_random_weapon	-1975.521362 3171.109131 209.230042	1.536 5.912 -93.375
ttt_random_weapon	-1927.127563 3245.993408 161.234589	1.485 0.763 -93.492
ttt_random_weapon	-2056.917725 2861.740967 129.228760	1.550 5.918 -93.341
ttt_random_weapon	-1631.251465 1621.227783 1.172072	1.685 5.345 -93.055
ttt_random_weapon	-1610.904297 1712.080933 129.224686	1.597 5.898 -93.235
ttt_random_weapon	-1178.049927 2074.487305 49.231331	1.521 5.894 -93.407
ttt_random_weapon	-279.408142 1733.758789 -126.751961	1.332 3.982 -93.841
ttt_random_weapon	-291.672211 1510.774414 -126.751945	1.332 4.026 -93.840
ttt_random_weapon	-773.373779 1302.195923 -110.751961	1.332 3.945 -93.841
ttt_random_weapon	-1180.754517 1488.692261 -46.766781	1.500 5.889 -93.456
ttt_random_weapon	-1104.448853 1496.105469 -46.775646	1.601 5.898 -93.226
ttt_random_weapon	-1182.496704 1308.520630 -110.751961	1.332 3.995 -93.841
ttt_random_weapon	-2138.974121 1179.612427 33.248028	1.332 3.998 -93.841
ttt_random_weapon	484.323364 2494.765869 -126.827934	1.685 5.346 -93.055
ttt_random_weapon	413.479553 2504.759033 -126.796677	1.540 5.345 -93.378
ttt_random_weapon	205.185532 2516.807617 -126.808128	1.593 5.346 -93.260
ttt_random_weapon	158.509155 2514.796387 -126.800911	1.560 5.346 -93.334
ttt_random_weapon	96.856766 2500.153320 -126.839020	1.737 5.346 -92.941
ttt_random_weapon	676.425354 2330.530762 1.230272	1.533 5.896 -93.380
ttt_random_weapon	676.256165 2360.118408 1.226725	1.574 5.898 -93.288
ttt_random_weapon	684.237061 2385.291992 1.227367	1.566 5.898 -93.304
ttt_random_weapon	621.809570 2357.364502 41.232742	1.505 5.890 -93.444
ttt_random_weapon	625.082886 2381.630615 41.228168	1.557 5.857 -93.325
ttt_random_weapon	1082.040283 2416.329102 160.724609	1.586 3.718 -93.260
ttt_random_weapon	1078.547363 2442.641357 160.729156	1.534 3.706 -93.377
ttt_random_weapon	1226.615723 2534.008545 160.737915	1.447 3.697 -93.578
ttt_random_weapon	1227.459595 2495.979004 160.715424	1.701 3.739 -92.995
ttt_random_weapon	1239.152466 2360.869629 97.248039	1.332 4.210 -93.841
ttt_random_weapon	1239.771118 2421.135010 97.248039	1.332 4.188 -93.841
ttt_random_weapon	1237.435181 2455.436768 97.248039	1.332 4.188 -93.841
ttt_random_weapon	1238.649902 2392.877930 97.248039	1.332 4.210 -93.841
ttt_random_weapon	1077.324951 2954.039795 129.170074	1.699 5.345 -93.034
ttt_random_weapon	1769.288086 1816.944336 137.229736	1.540 5.896 -93.365
ttt_random_weapon	1721.400635 1818.422241 137.238617	1.439 5.875 -93.596
ttt_random_weapon	1482.787720 39.850281 -190.751968	1.332 4.013 -93.841
ttt_random_weapon	1422.929688 47.826725 -190.751968	1.332 4.753 -93.841
ttt_random_weapon	1376.279053 43.551590 -190.751968	1.332 3.964 -93.841
ttt_random_weapon	1318.626587 29.298456 -126.770439	1.541 5.899 -93.362
ttt_random_weapon	1563.223145 230.585205 -126.767159	1.504 5.894 -93.446
ttt_random_weapon	1663.643066 343.320923 65.248032	1.332 4.004 -93.841
ttt_random_weapon	1760.617676 445.632538 65.248032	1.332 3.941 -93.841
ttt_random_weapon	1676.123291 996.300110 65.248032	1.332 3.977 -93.841
ttt_random_weapon	1009.764954 291.807556 97.229523	1.542 5.898 -93.360
ttt_random_weapon	1001.862366 331.925232 97.235435	1.475 5.889 -93.513
ttt_random_weapon	1059.420044 231.853165 129.231888	1.515 5.894 -93.422
ttt_random_weapon	1007.721375 232.548721 129.237473	1.452 5.882 -93.566
ttt_random_weapon	794.296936 1194.054932 129.228790	1.550 5.902 -93.341
ttt_random_weapon	853.393127 1189.215942 129.227585	1.564 5.903 -93.310
ttt_random_weapon	810.104980 1124.993774 129.234222	1.488 5.893 -93.483
ttt_random_weapon	813.877075 1144.624756 129.229935	1.537 5.901 -93.371
ttt_random_weapon	-471.143494 -579.879517 1.183815	1.632 5.348 -93.176
ttt_random_weapon	-421.242767 -574.400208 1.174449	1.676 5.347 -93.079
ttt_random_weapon	-490.939484 -211.328049 1.172076	1.685 5.345 -93.056
ttt_random_weapon	-484.112518 -241.532776 1.182742	1.636 5.347 -93.166
ttt_random_weapon	-486.677277 -264.402496 1.198303	1.563 5.346 -93.326
ttt_random_weapon	-994.539124 -476.198059 257.229065	1.547 5.753 -93.349
ttt_random_weapon	-1008.822388 -607.087952 257.234833	1.482 5.891 -93.498
ttt_random_weapon	-1046.376221 -599.150879 257.229004	1.547 5.901 -93.348
ttt_random_weapon	-1062.291870 -556.171387 257.233734	1.494 5.893 -93.471
ttt_random_weapon	-1614.733765 -171.272339 129.196030	1.574 5.346 -93.303
ttt_random_weapon	-1607.705811 -213.454254 129.191940	1.593 5.347 -93.260
ttt_random_weapon	-1615.425537 -243.414261 129.234909	1.393 5.339 -93.705
ttt_random_weapon	-1519.727295 -218.661621 129.224350	1.442 5.342 -93.595
ttt_random_weapon	-1454.939819 -198.371765 129.209015	1.514 5.345 -93.437
ttt_random_weapon	-1449.041138 -177.197311 129.218781	1.468 5.343 -93.538
ttt_random_weapon	-2219.149658 -523.969299 129.199326	1.575 5.279 -93.338
ttt_random_weapon	-2176.602539 -530.057190 129.167496	1.708 5.348 -93.007
ttt_random_weapon	-2108.745605 -541.529175 129.171066	1.692 5.346 -93.044
ttt_random_weapon	-2113.292236 -597.948669 129.200974	1.566 5.265 -93.360
ttt_random_weapon	-2167.696777 -591.436584 129.174454	1.676 5.347 -93.079
ttt_random_weapon	-2217.155029 -585.870422 129.206619	1.525 5.345 -93.412
ttt_random_weapon	-2024.238770 619.174316 129.236862	1.459 5.887 -93.551
ttt_random_weapon	-1980.628784 616.523682 129.227707	1.562 5.864 -93.313
weapon_ttt_m16	22.721540 2323.466553 -31.164061	2.120 -5.962 84.088
weapon_zm_molotov	1717.263916 370.023224 256.137939	-0.920 -1.611 -1.404
weapon_zm_molotov	1718.683228 379.856415 256.132233	-0.976 -1.572 -1.491
weapon_zm_molotov	1718.732544 391.366272 256.129211	-1.013 -1.579 -1.533
weapon_zm_molotov	1776.481567 395.322083 256.147156	-0.828 -1.649 -1.264
weapon_zm_molotov	1777.730957 382.808868 256.156586	-0.735 -1.696 -1.120
weapon_zm_molotov	1779.529907 367.326843 256.116364	-1.134 -1.377 -1.734
weapon_zm_molotov	1776.106445 352.524261 256.116364	-1.134 -1.378 -1.734
weapon_zm_molotov	1756.968018 351.481628 256.150818	-0.798 -1.677 -1.205
weapon_zm_molotov	1745.311279 350.649719 256.116364	-1.134 -1.377 -1.734
weapon_zm_molotov	1734.049683 351.092987 256.126160	-1.036 -1.489 -1.584
weapon_ttt_sg550	1064.816895 3034.035645 193.573410	0.341 -12.592 -89.936
weapon_ttt_sg550	1747.507690 392.951355 257.537598	0.382 -12.630 -89.714
