# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_inferno_night
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-507.913818 -292.619812 192.918213	0.009 11.148 -87.947
weapon_ttt_ak47	-555.070374 -77.992012 192.895935	-0.019 11.146 -87.777
weapon_ttt_ak47	682.752319 987.642212 96.908966	0.109 11.849 -87.745
weapon_ttt_ak47	799.524475 989.058350 96.894920	0.025 9.937 -87.945
ttt_playerspawn	2453.226318 2083.187012 136.679047	-1.372 1.248 -2.201
ttt_playerspawn	2263.213623 2102.261719 139.043823	3.916 0.028 1.681
ttt_playerspawn	2469.257080 2223.836426 137.109192	-2.965 0.480 -0.528
ttt_playerspawn	2314.700684 2214.592285 140.341629	3.605 0.989 0.814
ttt_playerspawn	2448.039551 2317.562012 133.144409	-3.981 2.634 0.901
ttt_playerspawn	2344.143555 2360.720215 137.746994	5.685 -1.701 -0.759
ttt_playerspawn	2495.469971 2473.277344 141.044296	-3.843 0.576 -0.268
ttt_playerspawn	2342.331299 2484.549561 132.813156	2.485 0.437 -2.268
ttt_playerspawn	2473.947754 2577.691650 137.292206	-4.057 0.347 -0.258
ttt_playerspawn	2352.052490 2611.052002 129.974136	-2.086 1.564 -1.434
ttt_playerspawn	2468.877930 2721.185059 140.707489	-4.179 0.208 3.005
ttt_playerspawn	2361.372314 2785.166504 142.087173	-3.596 -4.347 6.850
ttt_playerspawn	2132.841309 2073.886230 136.888809	0.023 -2.986 -4.277
ttt_playerspawn	2276.082031 900.909424 152.851639	2.829 -0.161 1.588
ttt_playerspawn	2284.231934 710.195801 145.913757	0.570 0.309 3.515
ttt_playerspawn	2281.258057 517.583130 138.841660	1.028 0.665 2.340
ttt_playerspawn	2265.660889 319.065643 133.482224	-2.768 0.530 -0.173
ttt_playerspawn	-1713.775757 843.894775 -54.030827	-0.048 -0.924 0.046
ttt_playerspawn	-1583.030396 780.688171 -59.395378	-0.080 0.554 0.080
ttt_playerspawn	-1710.138428 682.011963 -55.975311	-0.039 -1.848 0.038
ttt_playerspawn	-1617.695923 672.640747 -58.768730	-0.086 -0.000 0.086
ttt_playerspawn	-1554.432495 546.307495 -58.965893	-0.079 -0.462 0.079
ttt_playerspawn	-1696.108765 522.061157 -57.894680	0.010 0.072 0.139
ttt_playerspawn	-1558.663330 426.995575 -56.647255	-0.042 0.924 0.040
ttt_playerspawn	-1528.560303 -329.198761 8.616412	-5.032 -8.767 -10.267
ttt_playerspawn	-1486.586670 -94.697464 8.564565	-4.653 0.681 2.283
ttt_playerspawn	-1605.361450 -114.246887 5.179415	4.483 3.665 4.783
ttt_playerspawn	-986.150085 -351.042755 4.713173	0.173 -2.597 -2.774
ttt_playerspawn	-1195.020752 -376.244080 9.722030	0.012 -2.884 -9.688
ttt_playerspawn	-1313.474854 -358.545868 7.028440	3.020 -4.400 -6.306
ttt_playerspawn	-752.416016 -134.006592 10.126496	-8.587 -3.360 1.467
ttt_playerspawn	-773.988403 -308.642456 5.370915	-1.577 1.005 3.457
ttt_playerspawn	-758.057678 260.605835 -1.138511	-2.520 -0.496 2.534
ttt_playerspawn	-750.693787 108.121841 -2.295146	-1.191 -2.057 0.075
item_box_buckshot_ttt	2559.835693 150.064590 80.482468	-0.237 -0.005 0.210
item_box_buckshot_ttt	2546.441895 114.874557 80.487808	-0.195 -0.005 0.173
item_box_buckshot_ttt	2558.322998 4.952202 80.378029	0.289 0.003 -0.147
item_box_buckshot_ttt	2524.303711 -7.857262 80.424797	-0.693 -0.007 0.614
item_box_buckshot_ttt	2491.938232 -138.421829 80.482918	-0.233 -0.005 0.207
item_box_buckshot_ttt	2509.088623 -78.966309 80.417915	-0.747 -0.006 0.662
item_ammo_357_ttt	1102.215576 -12.629539 256.344482	0.454 0.064 0.049
item_ammo_357_ttt	1097.075073 18.340050 256.387878	0.462 0.057 0.032
item_ammo_357_ttt	1108.870972 589.605103 256.362122	0.457 0.060 0.043
item_ammo_357_ttt	1116.842163 548.613647 256.319458	0.449 0.075 0.059
item_ammo_357_ttt	2540.743164 770.408508 212.374405	0.459 0.057 0.038
item_ammo_357_ttt	2548.535645 726.398438 212.323898	0.449 0.069 0.058
item_ammo_357_ttt	2515.745117 309.358551 212.358765	0.456 0.060 0.044
item_ammo_357_ttt	2483.049316 301.195251 212.326096	0.449 0.068 0.058
item_ammo_357_ttt	2546.642822 533.122375 212.375839	0.459 0.056 0.038
item_ammo_357_ttt	2522.826660 541.972412 212.317108	0.447 0.073 0.061
item_ammo_revolver_ttt	2457.688965 1175.592163 160.340561	0.452 0.064 0.052
item_ammo_revolver_ttt	2438.179932 1172.447754 160.323883	0.449 0.068 0.059
item_ammo_revolver_ttt	2431.142334 1217.234497 160.355331	0.455 0.059 0.046
item_ammo_revolver_ttt	2451.345215 1208.402588 160.319397	0.448 0.072 0.061
item_ammo_smg1_ttt	-530.110413 -319.645996 192.417969	0.376 -0.005 0.240
item_ammo_smg1_ttt	-580.912842 -305.285858 192.529404	-0.177 0.015 -0.150
item_ammo_smg1_ttt	-508.818787 -74.374191 192.536713	-0.141 0.017 -0.123
item_ammo_smg1_ttt	-536.482727 -103.537987 192.408920	0.237 -0.005 0.148
item_ammo_smg1_ttt	1278.009277 1496.841431 165.611923	3.768 -0.335 1.770
item_ammo_smg1_ttt	1316.467041 1496.311157 163.346542	3.446 0.051 1.829
item_ammo_smg1_ttt	2106.188721 -58.705364 80.432602	0.841 -0.001 0.552
item_ammo_smg1_ttt	2125.493896 -127.163712 80.391685	0.110 -0.005 0.061
item_ammo_smg1_ttt	2074.030762 3.485849 80.401749	0.170 -0.005 0.102
item_ammo_smg1_ttt	2079.895264 68.182617 80.522079	-0.218 0.015 -0.190
item_ammo_smg1_ttt	1945.854858 922.441162 160.519806	-0.248 0.014 -0.211
item_ammo_smg1_ttt	1984.490967 912.563965 160.486877	0.398 0.282 -0.390
item_ammo_smg1_ttt	1805.897095 704.259399 160.507080	-0.433 0.011 -0.343
item_ammo_smg1_ttt	1834.534058 713.851379 160.543625	-0.104 0.018 -0.090
item_ammo_smg1_ttt	748.372375 991.365356 96.404175	0.191 -0.005 0.116
item_ammo_smg1_ttt	713.821472 986.757202 96.484154	-0.793 0.003 -0.641
item_ammo_pistol_ttt	1795.418213 952.915710 160.376434	0.107 0.019 -0.032
item_ammo_pistol_ttt	1823.791992 954.373718 160.356476	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	1843.565430 951.170227 160.374573	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	1845.318115 909.921631 160.360718	-0.121 -0.019 -0.037
ttt_random_weapon	-342.591003 240.154633 193.227707	1.562 4.984 -93.313
ttt_random_weapon	-349.656525 177.639679 193.226120	1.581 4.986 -93.272
ttt_random_weapon	-356.615936 100.102028 193.222916	1.617 4.988 -93.189
ttt_random_weapon	-359.852112 54.861145 193.215042	1.706 4.987 -92.985
ttt_random_weapon	-402.467651 -318.241638 193.239212	1.432 4.747 -93.611
ttt_random_weapon	685.029114 3197.870117 130.725021	-1.981 0.891 -87.714
ttt_random_weapon	455.789276 2734.001221 161.224075	1.604 4.689 -93.219
ttt_random_weapon	291.744904 2730.659180 161.204117	1.829 4.713 -92.703
ttt_random_weapon	18.783802 3449.920654 161.199188	1.884 4.716 -92.576
ttt_random_weapon	88.087273 3371.024658 161.203445	1.837 4.713 -92.685
ttt_random_weapon	5.924526 3319.569580 161.243500	1.383 4.654 -93.723
ttt_random_weapon	-489.623138 2296.278564 233.224075	1.604 4.689 -93.219
ttt_random_weapon	-516.371216 2479.582520 233.213043	1.728 4.704 -92.934
ttt_random_weapon	-201.593872 2385.477539 233.205414	1.814 4.712 -92.737
ttt_random_weapon	-347.812805 2228.248291 233.204758	1.821 4.712 -92.720
ttt_random_weapon	-209.755249 2217.176758 233.210281	1.759 4.707 -92.863
ttt_random_weapon	14.376733 2030.316406 233.209702	1.766 4.708 -92.848
ttt_random_weapon	22.146412 2161.088135 233.228653	1.552 4.683 -93.338
ttt_random_weapon	403.127655 2018.764648 121.219109	1.660 4.938 -93.091
ttt_random_weapon	371.458618 1971.360352 121.224899	1.594 4.919 -93.241
ttt_random_weapon	323.327209 1885.454468 113.193130	1.952 4.926 -92.420
ttt_random_weapon	269.885559 1777.838135 105.202271	1.850 4.928 -92.656
ttt_random_weapon	-94.385735 1677.403198 107.224792	1.595 4.689 -93.238
ttt_random_weapon	-37.021152 1673.256470 107.202751	1.844 4.714 -92.668
ttt_random_weapon	-64.666748 1601.429688 107.232391	1.509 4.945 -93.435
ttt_random_weapon	-19.272839 1600.833008 107.201134	1.862 4.712 -92.626
