# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_poporoom
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-444.083954 832.951538 1561.493896	-0.040 -0.900 0.040
ttt_playerspawn	-1268.157959 2219.217773 1074.436523	89.780 -138.190 -91.392
ttt_playerspawn	511.221436 948.003357 15.482354	-0.000 0.026 0.000
ttt_playerspawn	385.475647 1101.438232 15.186678	-0.061 -0.025 0.061
ttt_playerspawn	114.862556 1956.919312 18.137363	-0.035 -3.027 0.035
ttt_playerspawn	275.960938 1948.612915 17.729502	-0.044 -3.054 0.044
ttt_playerspawn	-2534.533447 1878.743530 14.647030	-0.046 3.055 0.045
ttt_playerspawn	-2724.473633 1242.709106 11.251925	-0.292 0.452 -0.217
ttt_playerspawn	395.904907 1907.400757 157.345016	-0.039 1.126 0.039
ttt_playerspawn	306.276062 2004.294922 161.316833	-0.040 -2.751 0.040
ttt_playerspawn	96.147446 2036.002930 144.535095	-0.001 -17.509 0.207
ttt_playerspawn	95.389122 1913.072144 155.022644	-0.040 2.683 0.040
ttt_playerspawn	353.408020 1899.817505 501.200836	-0.034 4.690 0.034
ttt_playerspawn	117.846512 1982.509766 498.000946	0.075 -6.788 -0.076
ttt_playerspawn	239.033081 1992.398193 496.240997	-0.039 -21.520 0.039
ttt_playerspawn	-1175.429077 632.532776 2161.537354	0.000 7.479 -0.000
ttt_playerspawn	185.485428 976.302856 23.031490	-0.086 -16.877 0.086
ttt_playerspawn	-485.313934 1339.263794 0.583321	0.000 -0.271 -0.053
ttt_playerspawn	-75.767616 1545.587891 4.719963	0.137 0.723 0.001
ttt_playerspawn	-444.083954 832.951538 1562.493896	-0.040 -0.900 0.040
ttt_playerspawn	83.583900 809.966797 13.061498	-0.059 -3.958 0.059
ttt_playerspawn	114.862556 1956.919312 19.137363	-0.035 -3.027 0.035
ttt_playerspawn	275.960938 1948.612915 18.729502	-0.044 -3.054 0.044
ttt_playerspawn	395.904907 1907.400757 158.345016	-0.039 1.126 0.039
ttt_playerspawn	306.276062 2004.294922 162.316833	-0.040 -2.751 0.040
ttt_playerspawn	96.147446 2036.002930 145.535095	-0.001 -17.509 0.207
ttt_playerspawn	95.389122 1913.072144 156.022644	-0.040 2.683 0.040
ttt_playerspawn	353.408020 1899.817505 502.200836	-0.034 4.690 0.034
ttt_playerspawn	117.846512 1982.509766 499.000946	0.075 -6.788 -0.076
ttt_playerspawn	239.033081 1992.398193 497.240997	-0.039 -21.520 0.039
ttt_playerspawn	-519.927307 1961.061646 95.232475	-0.079 -145.372 179.999
ttt_playerspawn	-1175.429077 632.532776 2162.537354	0.000 7.479 -0.000
ttt_playerspawn	-2513.151855 1683.746094 9.200829	-0.027 0.421 0.013
ttt_playerspawn	-2652.912354 1774.314941 5.004826	-0.032 -2.182 0.031
ttt_playerspawn	243.452698 1090.955811 18.074406	0.049 -7.456 -0.049
ttt_playerspawn	-295.559753 2020.607300 0.585918	-0.044 12.968 -0.000
ttt_playerspawn	-1363.443604 837.336792 -843.148743	-0.069 1.788 0.069
ttt_playerspawn	-2267.350342 1356.835571 -846.923096	0.042 3.167 0.064
weapon_ttt_ak47	126.233383 2040.587280 -488.286072	0.000 0.032 -90.000
weapon_ttt_ak47	127.724503 2063.317383 -491.105255	-0.124 1.554 -89.277
weapon_ttt_ak47	102.810165 1959.558838 -484.842194	0.152 6.108 -87.400
weapon_ttt_ak47	28.798498 2064.839111 -491.113068	0.139 9.656 -87.501
weapon_ttt_ak47	33.312275 1989.192017 -491.152405	0.194 9.658 -87.071
weapon_ttt_ak47	-1236.516357 688.649902 96.942528	0.094 10.729 -88.373
weapon_ttt_ak47	-2758.474854 802.742737 0.843785	-0.094 11.132 -87.389
weapon_ttt_ak47	565.245911 1791.495972 1616.913574	0.098 13.143 -87.822
weapon_ttt_ak47	-1581.512695 410.527374 568.901489	0.118 13.135 -87.661
item_box_buckshot_ttt	252.546814 2076.818848 -491.586700	-0.780 -0.006 0.685
item_box_buckshot_ttt	237.353470 2074.554688 -491.588470	-0.776 -0.003 0.692
item_box_buckshot_ttt	216.837494 2075.427002 -491.543396	-0.439 -0.006 0.386
item_box_buckshot_ttt	280.716736 2072.056396 -491.629639	0.771 0.008 -0.535
item_box_buckshot_ttt	-1983.958984 484.451691 1640.419312	-0.824 -0.008 0.702
weapon_ttt_smokegrenade	-1881.541626 503.776184 1680.189087	-0.410 -1.751 -0.625
weapon_ttt_smokegrenade	-1856.217041 503.757355 1680.189087	-0.410 -1.751 -0.625
item_ammo_357_ttt	413.807861 2163.031494 1640.328125	0.453 0.024 0.055
item_ammo_357_ttt	428.149231 2163.872803 1640.398193	0.465 0.056 0.028
item_ammo_357_ttt	-115.950928 788.316162 1552.429199	1.052 -0.384 -0.984
item_ammo_357_ttt	-135.487885 793.282654 1552.403564	0.466 0.056 0.026
item_ammo_357_ttt	-582.245178 914.692749 1552.338623	0.453 0.066 0.052
item_ammo_357_ttt	-558.172974 914.735779 1552.343872	0.492 0.241 -0.041
item_ammo_357_ttt	565.251465 1612.637695 1472.427246	1.237 0.823 0.060
item_ammo_357_ttt	584.656189 1613.939209 1472.363647	0.459 0.046 0.041
item_ammo_357_ttt	467.278748 2101.723145 1472.398193	0.465 0.056 0.028
item_ammo_357_ttt	493.942322 2119.871094 1472.419434	0.469 0.055 0.020
item_ammo_357_ttt	528.645081 1789.160522 1750.360596	0.458 0.046 0.043
item_ammo_357_ttt	554.987000 1790.130981 1750.391602	0.463 0.052 0.031
item_ammo_357_ttt	544.340759 1886.335083 800.326050	0.449 0.069 0.058
item_ammo_357_ttt	526.377625 1887.512939 800.404541	0.465 0.054 0.026
item_ammo_357_ttt	580.513916 1582.173096 1328.314941	0.449 0.077 0.061
item_ammo_357_ttt	574.005981 1583.127808 1328.370117	0.459 0.049 0.040
item_ammo_357_ttt	500.345428 1339.117188 1328.360596	0.458 0.045 0.043
item_ammo_357_ttt	499.089966 1387.541382 1328.387939	0.463 0.057 0.032
item_ammo_357_ttt	582.378601 1867.453857 1328.377441	0.461 0.058 0.037
item_ammo_357_ttt	568.112488 1867.641113 1328.408447	0.466 0.056 0.024
item_ammo_357_ttt	-2745.193359 758.745117 1024.371826	0.468 0.059 0.036
item_ammo_357_ttt	-2704.106445 762.018066 1024.328857	0.464 0.024 0.052
item_ammo_357_ttt	-1097.815063 526.295837 2152.344971	0.467 0.034 0.046
item_ammo_357_ttt	-1110.439819 527.128662 2152.357422	0.468 0.061 0.041
item_ammo_357_ttt	-1426.594604 815.850464 -847.665527	0.451 0.028 0.055
item_ammo_357_ttt	119.484375 751.683594 2320.397217	0.465 0.056 0.028
item_ammo_357_ttt	92.579849 754.981140 2320.336426	0.454 0.067 0.052
item_ammo_357_ttt	92.508415 692.858215 2320.323730	0.452 0.071 0.057
item_ammo_357_ttt	106.068810 707.094482 2320.340332	0.455 0.066 0.050
item_ammo_357_ttt	395.378082 923.896912 2162.486084	0.418 -0.020 -0.038
item_ammo_357_ttt	406.211304 926.139771 2162.439209	0.444 0.012 0.061
item_ammo_357_ttt	237.158066 662.663147 2320.322754	0.625 0.054 -0.130
item_ammo_357_ttt	212.717041 751.070129 2320.353516	0.457 0.040 0.045
item_ammo_357_ttt	-2677.366943 2120.416260 2376.325928	0.452 0.069 0.056
item_ammo_357_ttt	-2693.167480 2127.480957 2376.314697	0.450 0.074 0.060
item_ammo_357_ttt	-2775.227051 1049.175171 2320.381348	0.462 0.058 0.034
item_ammo_357_ttt	-2799.600830 1066.783203 2320.319336	0.451 0.075 0.058
item_ammo_revolver_ttt	291.147888 2014.959351 -491.643036	0.428 0.156 0.049
item_ammo_revolver_ttt	293.890839 2036.672852 -491.639679	0.429 0.156 0.048
item_ammo_revolver_ttt	292.206268 2059.191895 -491.659576	0.420 0.157 0.056
item_ammo_revolver_ttt	319.348785 2062.605225 -491.627197	0.435 0.156 0.042
item_ammo_revolver_ttt	327.022705 2042.797241 -491.671906	0.415 0.154 0.062
item_ammo_revolver_ttt	313.890991 2022.780396 -491.621429	0.437 0.155 0.040
item_ammo_revolver_ttt	312.507996 2043.532349 -491.646515	0.426 0.155 0.051
item_ammo_revolver_ttt	350.486267 2043.336548 -491.695068	0.405 0.151 0.072
item_ammo_revolver_ttt	337.845062 2042.200317 -491.638031	0.430 0.155 0.047
item_ammo_revolver_ttt	-1897.690063 761.016785 1024.385864	0.460 0.058 0.037
item_ammo_revolver_ttt	-1547.441406 571.875671 2192.382568	0.462 0.058 0.034
item_ammo_smg1_ttt	242.343826 2003.421387 -491.481079	-0.276 0.017 -0.244
item_ammo_smg1_ttt	217.094238 2006.566772 -491.483978	-0.301 0.016 -0.265
item_ammo_smg1_ttt	199.190186 2008.445190 -491.509247	-0.779 0.011 -0.612
item_ammo_smg1_ttt	63.714100 2054.188232 -491.579803	0.375 -0.005 0.242
item_ammo_smg1_ttt	67.868408 2018.993408 -491.502594	-0.524 0.011 -0.434
item_ammo_smg1_ttt	109.177368 1992.461792 -491.492798	-0.361 0.012 -0.316
item_ammo_smg1_ttt	-1305.759766 692.465027 113.985397	78.458 168.907 -178.863
item_ammo_smg1_ttt	-1225.690552 666.272766 113.387947	-70.403 -132.378 -178.408
item_ammo_smg1_ttt	-2810.158936 821.322876 0.432594	0.847 -0.001 0.556
item_ammo_smg1_ttt	-2820.436035 787.934753 0.502255	-0.814 0.012 -0.614
item_ammo_smg1_ttt	578.825256 1831.172729 1616.399292	0.151 -0.005 0.089
item_ammo_smg1_ttt	581.424316 1871.220703 1616.520752	-0.220 0.014 -0.192
item_ammo_smg1_ttt	582.204834 928.001282 1568.401855	0.170 -0.005 0.102
item_ammo_smg1_ttt	555.762085 921.315125 1568.415771	0.336 -0.005 0.214
item_ammo_smg1_ttt	582.223389 1362.375977 1750.406738	0.210 -0.005 0.129
item_ammo_smg1_ttt	560.397095 1357.900024 1750.428711	0.655 -0.003 0.428
item_ammo_smg1_ttt	-364.456482 867.112488 1216.527710	0.185 -0.016 -0.161
