# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_alstoybarn
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	-87.499222 -1772.299805 72.891304	0.133 13.136 -87.549
weapon_ttt_ak47	1085.512939 -843.330994 342.904602	0.049 12.524 -87.888
ttt_playerspawn	-1076.381470 224.074341 64.553375	-0.045 -0.000 0.045
ttt_playerspawn	-1071.947144 112.978477 64.537926	-0.061 -0.000 0.061
ttt_playerspawn	-1072.851440 10.278161 64.510872	-0.087 -0.000 0.087
ttt_playerspawn	-1075.516113 -109.702866 64.580185	-0.019 -0.000 0.019
ttt_playerspawn	-1071.377441 -235.885635 64.510872	-0.087 -0.000 0.087
ttt_playerspawn	-1073.933228 -393.375366 64.538857	-0.060 -0.000 0.060
ttt_playerspawn	-1076.721558 -565.853149 64.541557	-0.057 -0.000 0.057
ttt_playerspawn	-1074.197754 -747.576660 64.521004	-0.077 -0.000 0.077
ttt_playerspawn	-1079.178223 -933.782471 64.801933	-0.521 -0.001 0.069
ttt_playerspawn	-1079.557129 -1087.923340 64.523346	-0.075 -0.000 0.075
ttt_playerspawn	-1084.593628 -1207.819214 64.542427	-0.056 -0.000 0.056
ttt_playerspawn	-1077.835083 -1364.357666 64.535057	-0.063 -0.000 0.063
ttt_playerspawn	-1081.722412 -1505.096436 64.551216	-0.048 -0.000 0.048
ttt_playerspawn	-1085.007324 -1639.370605 64.532059	-0.066 -0.000 0.066
ttt_playerspawn	-1080.071411 -1769.831055 64.537926	-0.061 -0.000 0.061
ttt_playerspawn	-1081.626099 -1897.320923 64.551949	-0.047 -0.000 0.047
ttt_playerspawn	-1083.089111 -2017.311279 64.528908	-0.069 -0.000 0.069
ttt_playerspawn	-991.691345 -2019.182495 64.546608	-0.052 -0.000 0.052
ttt_playerspawn	-986.055359 -1902.342407 64.561600	-0.037 -0.000 0.037
ttt_playerspawn	-983.741455 -1774.863037 64.538849	-0.060 -0.000 0.060
ttt_playerspawn	-981.291626 -1639.885132 64.576630	-0.023 -0.000 0.023
ttt_playerspawn	-977.903442 -1505.695923 64.525620	-0.073 -0.000 0.073
ttt_playerspawn	-976.909302 -1367.241089 64.527832	-0.070 -0.000 0.070
ttt_playerspawn	-976.237244 -1218.388428 64.513519	-0.085 -0.000 0.085
ttt_playerspawn	-974.940308 -1090.898926 64.545792	-0.053 -0.000 0.053
ttt_playerspawn	-973.596802 -931.209900 64.777115	-0.026 -0.201 -1.034
ttt_playerspawn	-971.191528 -746.348877 64.524490	-0.074 -0.000 0.074
ttt_playerspawn	-964.428833 -562.697754 64.557396	-0.042 -0.000 0.042
ttt_playerspawn	-958.720215 -391.709595 64.540672	-0.058 -0.000 0.058
ttt_playerspawn	-954.506409 -234.423645 64.582932	-0.017 -0.000 0.016
ttt_playerspawn	-963.516357 -112.928146 64.551949	-0.047 -0.000 0.047
ttt_playerspawn	-960.262512 15.226785 64.583923	-0.016 -0.000 0.015
ttt_playerspawn	-957.332092 112.682129 64.529976	-0.068 -0.000 0.068
ttt_playerspawn	-953.866333 225.131866 64.522163	0.076 0.000 0.076
weapon_ttt_smokegrenade	54.297501 614.820984 68.734596	0.000 90.000 0.000
weapon_ttt_smokegrenade	641.820007 1484.000000 342.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	2050.290039 1246.089966 416.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	2206.860107 290.061005 335.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	2479.060059 168.850998 69.734596	0.000 180.000 0.000
weapon_ttt_smokegrenade	2702.449951 -1290.489990 68.734596	0.000 165.500 0.000
weapon_ttt_smokegrenade	2577.899902 -1094.380005 266.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	687.458008 -1336.699951 90.734596	0.000 90.000 0.000
weapon_ttt_smokegrenade	-479.325012 1393.729980 68.734596	0.000 90.000 0.000
weapon_ttt_smokegrenade	-688.343262 341.749512 180.171936	-2.120 -1.402 -1.159
weapon_ttt_smokegrenade	-575.593933 414.792572 180.172791	-2.088 -1.401 -1.142
weapon_ttt_smokegrenade	-834.977905 21.825897 64.175392	-1.164 -1.521 -1.184
weapon_ttt_smokegrenade	-835.626831 10.063698 64.158463	-1.525 -1.456 -1.553
weapon_ttt_smokegrenade	-834.547607 258.616364 64.176208	-1.147 -1.529 -1.167
weapon_ttt_smokegrenade	-835.043640 244.003555 64.154037	-1.620 -1.419 -1.649
weapon_ttt_smokegrenade	-841.522461 -762.841370 64.170250	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-843.749817 -776.861206 64.180092	-1.064 -1.539 -1.082
weapon_ttt_smokegrenade	-834.488342 -1734.168579 64.208046	-0.469 -1.570 -0.475
weapon_ttt_smokegrenade	-835.078491 -1754.119507 64.143051	-1.854 -1.283 -1.889
weapon_ttt_smokegrenade	-838.902344 -2004.867188 64.160576	-1.480 -1.456 -1.507
weapon_ttt_smokegrenade	-838.912903 -2020.455444 64.187668	-0.903 -1.553 -0.917
item_box_buckshot_ttt	-86.205002 -128.350998 73.212097	0.000 90.000 0.000
item_box_buckshot_ttt	-411.987000 791.945007 65.293900	0.000 90.000 0.000
item_box_buckshot_ttt	363.544006 763.651978 65.293900	0.000 90.000 0.000
item_box_buckshot_ttt	472.894989 1197.329956 335.907990	0.000 90.000 0.000
item_box_buckshot_ttt	2108.820068 478.235992 229.294006	0.000 90.000 0.000
item_box_buckshot_ttt	1628.630005 -90.106201 64.293900	0.000 90.000 0.000
item_box_buckshot_ttt	1044.020020 -1768.079956 161.388000	0.000 90.000 0.000
item_box_buckshot_ttt	702.419006 -1318.859985 86.293900	0.000 90.000 0.000
item_box_buckshot_ttt	-449.522003 1392.329956 64.293900	0.000 90.000 0.000
item_box_buckshot_ttt	2512.280029 -1217.050049 65.293900	0.000 90.000 0.000
item_box_buckshot_ttt	1659.729980 -2062.620117 388.294006	0.000 90.000 0.000
item_box_buckshot_ttt	1933.829956 -1824.849976 190.294006	0.000 90.000 0.000
item_box_buckshot_ttt	-548.452026 807.328003 442.294006	0.000 90.000 0.000
item_box_buckshot_ttt	-794.214661 -1968.109131 64.444481	-0.536 -0.007 0.476
item_box_buckshot_ttt	-813.686279 -1967.760620 64.433479	-0.623 -0.007 0.553
item_box_buckshot_ttt	-792.607178 -1984.454346 64.344170	0.618 0.003 -0.491
item_box_buckshot_ttt	-812.397034 -1984.761475 64.448540	-0.504 -0.007 0.447
item_box_buckshot_ttt	-793.451050 146.628677 64.382904	0.454 -0.002 0.424
item_box_buckshot_ttt	-809.758972 147.301590 64.381638	0.241 0.001 0.249
item_box_buckshot_ttt	-794.783936 161.530579 64.419418	0.820 0.003 0.659
item_box_buckshot_ttt	-810.120422 163.196442 64.370064	-0.759 -0.105 -0.559
item_box_buckshot_ttt	-791.684082 -76.531532 64.435493	-0.605 -0.007 0.538
item_box_buckshot_ttt	-791.063354 -64.172028 64.413971	-0.770 -0.005 0.687
item_box_buckshot_ttt	-805.263550 -64.004448 64.432274	-0.632 -0.007 0.561
item_box_buckshot_ttt	-805.973511 -77.575966 64.404648	-0.843 -0.007 0.752
item_box_buckshot_ttt	-792.077698 -716.342407 64.374298	0.751 -0.022 -0.518
item_box_buckshot_ttt	-809.419189 -716.488403 64.410339	-0.807 -0.006 0.716
item_box_buckshot_ttt	-793.189148 -728.960876 64.411873	-0.795 -0.006 0.705
item_box_buckshot_ttt	-807.062622 -729.037720 64.415421	-0.759 -0.006 0.676
item_box_buckshot_ttt	-796.167847 -1742.687500 64.453186	-0.467 -0.007 0.415
item_box_buckshot_ttt	-812.778748 -1742.787598 64.373817	0.754 -0.022 -0.523
item_box_buckshot_ttt	-794.861572 -1755.800293 64.375717	0.666 -0.001 -0.452
item_box_buckshot_ttt	-811.408508 -1755.351074 64.379173	0.119 0.003 -0.010
item_box_buckshot_ttt	2070.551758 1341.317871 412.450562	-0.513 -0.005 0.407
item_box_buckshot_ttt	2058.416992 1341.452148 412.380157	-0.032 0.002 0.111
item_box_buckshot_ttt	2070.062744 1329.899780 412.420288	-0.725 -0.006 0.645
item_box_buckshot_ttt	2058.794678 1330.633057 412.391846	-0.982 0.004 0.869
item_box_buckshot_ttt	940.895325 675.716858 86.462784	-0.416 -0.005 0.324
item_box_buckshot_ttt	941.097168 693.273438 86.384232	-0.753 -0.006 0.694
item_box_buckshot_ttt	-256.882355 -63.869522 248.369476	0.778 0.008 -0.540
item_box_buckshot_ttt	-239.954834 -67.381508 248.416275	-0.907 -0.025 0.706
item_ammo_357_ttt	-239.274002 -2161.560059 537.276001	0.000 90.000 0.000
item_ammo_357_ttt	-239.399002 -2174.379883 537.276001	0.000 90.000 0.000
item_ammo_357_ttt	1382.170044 1710.839966 547.276001	0.000 90.000 0.000
item_ammo_357_ttt	1382.290039 1723.650024 547.276001	0.000 90.000 0.000
item_ammo_357_ttt	2208.179932 -40.024700 586.276001	0.000 90.000 0.000
item_ammo_357_ttt	2208.310059 -27.209200 586.276001	0.000 90.000 0.000
item_ammo_357_ttt	2765.489990 -549.031006 350.243011	0.000 90.000 0.000
item_ammo_357_ttt	2765.610107 -536.215027 350.243011	0.000 90.000 0.000
item_ammo_357_ttt	-794.375366 -1768.615479 64.353592	0.455 0.060 0.047
item_ammo_357_ttt	-812.564209 -1768.592041 64.310013	0.446 0.073 0.064
item_ammo_357_ttt	-795.957520 -2142.323975 64.378654	0.460 0.056 0.037
item_ammo_357_ttt	-813.517578 -2141.603760 64.350014	0.454 0.062 0.048
item_ammo_357_ttt	-793.063232 -1816.965332 64.353592	0.455 0.060 0.047
item_ammo_357_ttt	-808.876465 -1815.615112 64.397232	0.463 0.055 0.029
item_ammo_357_ttt	-809.605286 -1122.801025 64.366882	0.457 0.058 0.041
item_ammo_357_ttt	-828.069946 -1122.760864 64.432137	0.470 0.054 0.015
item_ammo_357_ttt	-794.282288 -772.965942 64.302574	0.445 0.080 0.067
item_ammo_357_ttt	-809.650146 -772.750000 64.334557	0.451 0.065 0.054
item_ammo_357_ttt	-790.717651 -48.696056 64.366882	0.457 0.058 0.041
item_ammo_357_ttt	-807.415344 -49.225578 64.381378	0.460 0.056 0.035
item_ammo_357_ttt	-790.775879 178.456787 64.350014	0.454 0.062 0.048
item_ammo_357_ttt	-811.281494 178.170670 64.391502	0.462 0.055 0.031
item_ammo_357_ttt	-810.094604 -1143.952393 64.377258	0.459 0.056 0.037
item_ammo_357_ttt	-827.750061 -1145.049438 64.307571	0.446 0.080 0.065
item_ammo_357_ttt	-791.808777 196.684616 64.389084	0.462 0.055 0.032
item_ammo_357_ttt	-816.268250 197.337158 64.365303	0.457 0.058 0.042
item_ammo_357_ttt	-691.223083 370.992340 570.381409	0.461 0.058 0.035
item_ammo_357_ttt	-703.826416 371.792664 570.346375	0.454 0.064 0.049
item_ammo_357_ttt	1040.127930 -1194.276855 586.340515	0.452 0.064 0.052
item_ammo_357_ttt	1054.431763 -1195.421753 586.340515	0.452 0.064 0.052
item_ammo_357_ttt	2072.303467 1279.064941 412.371429	0.458 0.057 0.040
item_ammo_357_ttt	2054.825684 1280.066284 412.382690	0.460 0.055 0.035
item_ammo_357_ttt	971.478943 677.331665 86.377251	0.459 0.056 0.037
item_ammo_357_ttt	971.409607 693.462341 86.338577	0.451 0.064 0.053
item_ammo_357_ttt	2080.344727 -297.223694 595.377258	0.459 0.056 0.037
item_ammo_357_ttt	2094.675293 -296.873322 595.362061	0.456 0.058 0.044
item_ammo_357_ttt	-189.451584 -635.949768 859.431702	0.474 0.056 0.014
item_ammo_357_ttt	-168.050003 -636.023071 859.365723	0.467 0.060 0.038
item_ammo_revolver_ttt	-791.642395 -2005.379272 64.321671	0.448 0.068 0.059
item_ammo_revolver_ttt	-809.917236 -2003.887573 64.332489	0.450 0.065 0.055
item_ammo_revolver_ttt	-797.708313 -1833.090576 64.348183	0.454 0.062 0.049
item_ammo_revolver_ttt	-813.703186 -1832.036499 64.358765	0.456 0.060 0.044
item_ammo_revolver_ttt	-798.672180 -1723.217285 64.378654	0.460 0.056 0.037
item_ammo_revolver_ttt	-813.856201 -1723.585327 64.328262	0.450 0.068 0.057
item_ammo_revolver_ttt	-794.266174 -790.315430 64.364456	-0.010 -0.102 -0.051
item_ammo_revolver_ttt	-811.427612 -790.181152 64.356926	0.766 -0.009 -0.065
item_ammo_revolver_ttt	-792.319702 -94.700722 64.384026	0.461 0.056 0.034
item_ammo_revolver_ttt	-807.303101 -93.906410 64.357063	0.455 0.060 0.045
item_ammo_revolver_ttt	-791.738770 127.572609 64.305092	0.445 0.080 0.066
item_ammo_revolver_ttt	-810.795654 127.407150 64.314781	0.447 0.073 0.062
item_ammo_revolver_ttt	-793.375488 -13.433569 64.346321	0.453 0.062 0.049
