# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bungalows
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	341.561005 -1419.880005 241.373001	0.000 0.000 0.000
ttt_random_weapon	341.561005 -1451.880005 241.373001	0.000 0.000 0.000
ttt_random_weapon	-318.468994 -1295.750000 241.373001	0.000 0.000 0.000
ttt_random_weapon	-318.468994 -1327.750000 241.373001	0.000 0.000 0.000
ttt_random_weapon	323.630005 -1990.619995 241.373001	0.000 0.000 0.000
ttt_random_weapon	323.630005 -2022.619995 241.373001	0.000 0.000 0.000
ttt_random_weapon	-360.148010 -2022.550049 241.373001	0.000 0.000 0.000
ttt_random_weapon	-360.148010 -2054.550049 241.373001	0.000 0.000 0.000
ttt_random_weapon	927.258972 -777.822998 241.373001	0.000 0.000 0.000
ttt_random_weapon	927.258972 -809.822998 241.373001	0.000 0.000 0.000
ttt_random_weapon	1624.319946 -190.287994 241.373001	0.000 0.000 0.000
ttt_random_weapon	1624.319946 -222.287994 241.373001	0.000 0.000 0.000
ttt_random_weapon	1379.869995 -837.888977 241.373001	0.000 0.000 0.000
ttt_random_weapon	1379.869995 -869.888977 241.373001	0.000 0.000 0.000
ttt_random_weapon	-821.030029 -115.730003 241.373001	0.000 0.000 0.000
ttt_random_weapon	-821.030029 -147.729996 241.373001	0.000 0.000 0.000
ttt_random_weapon	-1329.040039 -122.942001 241.373001	0.000 0.000 0.000
ttt_random_weapon	-1329.040039 -154.942001 241.373001	0.000 0.000 0.000
ttt_random_weapon	236.000000 -768.000000 242.373001	0.000 0.000 0.000
ttt_random_weapon	236.000000 -782.000000 242.373001	0.000 0.000 0.000
ttt_random_weapon	-212.253998 -1294.880005 241.373001	0.000 0.000 0.000
ttt_random_weapon	-212.253998 -1308.880005 241.373001	0.000 0.000 0.000
ttt_random_weapon	-1505.310059 -868.442017 241.373001	0.000 0.000 0.000
ttt_random_weapon	161.000000 -3018.000000 538.372986	0.000 0.000 0.000
ttt_random_weapon	108.508003 -2899.570068 298.049011	0.000 0.000 0.000
ttt_random_weapon	87.192001 -2883.639893 298.049011	0.000 0.000 0.000
ttt_random_weapon	-256.000000 -3027.800049 360.000000	0.000 0.000 0.000
ttt_random_weapon	-536.000000 -2869.000000 304.953003	0.000 0.000 0.000
ttt_random_weapon	237.164001 -2833.899902 274.372986	0.000 0.000 0.000
ttt_random_weapon	160.904007 -2911.770020 401.372986	0.000 0.000 0.000
ttt_random_weapon	-217.082001 -3025.560059 401.372986	0.000 0.000 0.000
ttt_random_weapon	-599.674011 -3318.419922 401.372986	0.000 0.000 0.000
ttt_random_weapon	-90.927597 -3369.639893 441.757996	0.000 0.000 0.000
ttt_random_weapon	-256.416992 -3028.000000 279.000000	0.000 0.000 0.000
ttt_random_weapon	161.000000 -3006.000000 538.372986	0.000 0.000 0.000
ttt_random_weapon	161.000000 -2993.000000 538.372986	0.000 0.000 0.000
ttt_random_weapon	47.374901 -475.196014 241.373001	0.000 0.000 0.000
ttt_random_weapon	111.698997 -389.039001 241.373001	0.000 0.000 0.000
ttt_random_weapon	-351.576996 -401.407013 241.373001	0.000 0.000 0.000
ttt_random_weapon	-342.945007 -574.411987 241.373001	0.000 0.000 0.000
ttt_random_weapon	2285.310059 -959.260010 241.373001	0.000 0.000 0.000
ttt_random_weapon	2337.000000 -959.000000 241.373001	0.000 0.000 0.000
ttt_random_weapon	2525.129883 -871.388000 241.373001	0.000 0.000 0.000
ttt_random_weapon	2798.979980 -684.044006 241.373001	0.000 0.000 0.000
ttt_random_weapon	2800.850098 -634.668030 241.373001	0.000 0.000 0.000
ttt_random_weapon	2791.310059 -264.825989 241.373001	0.000 0.000 0.000
ttt_random_weapon	2343.429932 -123.427002 241.373001	0.000 0.000 0.000
ttt_random_weapon	483.843994 -2836.550049 537.372986	0.000 0.000 0.000
ttt_random_weapon	234.500000 -2838.979980 345.372986	0.000 0.000 0.000
ttt_random_weapon	233.279007 -2835.459961 465.372986	0.000 0.000 0.000
ttt_random_weapon	238.807999 -3076.330078 521.372986	0.000 0.000 0.000
ttt_random_weapon	-162.901001 -2902.270020 273.372986	0.000 0.000 0.000
ttt_random_weapon	-571.693970 -2599.739990 241.373001	0.000 0.000 0.000
ttt_random_weapon	490.920990 -2595.929932 241.373001	0.000 0.000 0.000
ttt_random_weapon	191.240997 -1945.630005 241.373001	0.000 0.000 0.000
ttt_random_weapon	-2154.830078 -430.687012 241.373001	0.000 0.000 0.000
ttt_random_weapon	-2214.659912 -428.277008 241.373001	0.000 0.000 0.000
ttt_random_weapon	-2222.429932 -584.614014 241.373001	0.000 0.000 0.000
ttt_random_weapon	-2141.909912 -589.606018 241.373001	0.000 0.000 0.000
ttt_random_weapon	-2178.040039 -589.614990 241.373001	0.000 0.000 0.000
ttt_random_weapon	322.890015 946.536987 417.372986	0.000 0.000 0.000
ttt_random_weapon	-162.292999 25.695999 209.373001	0.000 0.000 0.000
ttt_random_weapon	-204.151001 25.907700 209.373001	0.000 0.000 0.000
ttt_random_weapon	-247.464996 25.594200 209.373001	0.000 0.000 0.000
ttt_random_weapon	-166.533005 -64.172401 241.373001	0.000 0.000 0.000
ttt_random_weapon	328.364014 -320.503998 241.373001	0.000 0.000 0.000
ttt_random_weapon	329.980988 -366.558014 241.373001	0.000 0.000 0.000
ttt_random_weapon	330.458008 -644.469971 241.373001	0.000 0.000 0.000
ttt_random_weapon	330.056000 -691.002991 241.373001	0.000 0.000 0.000
ttt_random_weapon	-62.000000 -2857.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-62.000000 -2894.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-103.000000 -2894.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-103.000000 -2857.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-150.000000 -2894.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-150.000000 -2857.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-188.000000 -2894.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-188.000000 -2857.000000 537.372986	0.000 0.000 0.000
ttt_random_weapon	-402.653534 961.277161 233.217621	1.642 5.572 -93.264
ttt_random_weapon	-408.278900 990.471619 233.214050	1.717 4.731 -92.960
ttt_random_weapon	-403.740173 1017.682129 233.202072	1.852 4.732 -92.650
ttt_random_weapon	-394.657593 1053.516479 233.244431	1.212 3.907 -94.731
ttt_random_weapon	-396.938660 1117.278198 233.214584	1.711 4.769 -92.973
ttt_random_weapon	-370.910156 1100.196655 232.953308	3.286 0.383 -92.079
ttt_random_weapon	-197.369370 937.397217 233.236710	1.402 10.337 -94.470
ttt_random_weapon	-208.890152 944.135620 234.533432	-1.146 -4.610 -114.319
ttt_random_weapon	-210.173889 1220.112061 233.212448	1.594 4.527 -93.340
ttt_random_weapon	-209.376160 1175.308350 233.242508	1.347 4.711 -94.110
ttt_random_weapon	-214.837311 1154.289063 233.206665	1.800 4.775 -92.769
ttt_random_weapon	-215.339584 1116.327026 233.228302	1.508 4.745 -93.622
ttt_random_weapon	-212.041473 1086.886353 233.221832	1.623 6.206 -93.168
ttt_random_weapon	-395.652283 401.365204 232.747940	1.331 2.788 -93.841
ttt_random_weapon	-395.214417 433.639740 232.748032	1.332 4.886 -93.841
ttt_random_weapon	-366.322601 428.778015 232.748032	1.332 4.321 -93.841
ttt_random_weapon	-330.665100 390.961578 232.673935	2.168 5.883 -91.926
ttt_random_weapon	-303.427399 391.304688 233.961929	2.455 -6.952 85.112
ttt_random_weapon	-307.905945 400.665924 232.748032	1.332 2.799 -93.841
ttt_random_weapon	-349.528778 424.997864 233.246658	-2.039 -6.314 85.358
ttt_random_weapon	-392.965088 420.025635 232.745331	1.362 -10.297 -93.771
ttt_random_weapon	-403.372253 479.310883 232.748032	1.332 2.799 -93.841
ttt_random_weapon	-380.302368 600.223694 232.748016	1.332 2.799 -93.841
ttt_random_weapon	-373.979431 571.661743 232.735306	1.355 6.324 -93.699
ttt_random_weapon	-358.821716 556.545288 232.746460	1.316 2.971 -93.839
ttt_random_weapon	-379.961365 584.648560 233.247757	-2.035 4.452 85.368
ttt_random_weapon	-386.503845 617.965637 232.747696	1.334 2.103 -93.840
ttt_random_weapon	-362.079163 641.767517 232.748016	1.332 3.485 -93.841
ttt_random_weapon	-331.874847 635.422058 232.748032	1.332 2.819 -93.841
ttt_random_weapon	-359.094940 637.718445 233.639221	-3.100 4.110 -91.451
ttt_random_weapon	-384.337555 623.229492 233.741394	-0.556 -1.627 -109.361
ttt_random_weapon	-376.113739 588.554688 232.748016	1.332 1.704 -93.840
ttt_random_weapon	-210.943649 361.909973 232.937576	3.311 4.316 -94.042
ttt_random_weapon	-207.902649 371.483643 233.757782	-2.647 -1.769 63.951
ttt_random_weapon	-200.753983 379.337402 233.247726	-2.036 -1.466 85.368
ttt_random_weapon	-215.994553 355.355316 232.747818	1.332 7.703 -93.839
ttt_random_weapon	-221.850815 367.666901 235.763794	-11.156 15.411 97.500
ttt_random_weapon	-215.281708 631.796631 232.748169	1.330 4.364 -93.844
ttt_random_weapon	-209.225250 603.786316 232.746445	1.278 4.011 -94.239
ttt_random_weapon	-213.937347 577.560791 232.742310	1.143 3.989 -95.238
ttt_random_weapon	-224.466736 552.802185 232.719040	1.182 4.046 -94.403
ttt_random_weapon	-220.894196 542.430786 232.748032	1.332 5.512 -93.841
ttt_random_weapon	-205.042068 520.234680 232.737869	1.164 4.277 -94.505
ttt_random_weapon	-208.567566 514.846741 232.648453	0.994 2.507 -93.933
ttt_random_weapon	349.994385 -1585.882690 233.217484	1.678 4.766 -93.049
ttt_random_weapon	350.623138 -1567.315308 233.214737	1.608 4.613 -93.945
ttt_random_weapon	357.747162 -1541.906860 233.236084	1.467 9.971 -93.531
ttt_random_weapon	362.414917 -1548.059692 233.246521	1.281 1.059 -94.218
ttt_random_weapon	342.164612 -1596.808350 233.209427	1.622 4.297 -93.877
ttt_random_weapon	326.829590 -1613.574341 233.209000	1.649 4.330 -92.973
ttt_random_weapon	-383.303833 -1470.554688 233.191391	1.421 4.946 -93.626
ttt_random_weapon	-386.555206 -1433.074219 233.170425	2.189 6.192 -91.953
ttt_random_weapon	-386.336243 -1415.915527 233.217026	1.683 4.767 -93.037
ttt_random_weapon	-360.081482 -1431.562866 233.945618	4.891 10.730 -91.714
ttt_random_weapon	-371.602478 -1481.505127 233.220963	1.537 4.429 -93.871
ttt_random_weapon	-384.283752 -1456.854492 233.229843	1.530 3.396 -93.384
ttt_random_weapon	-382.835144 -1438.259399 234.216110	-1.638 1.759 -54.603
ttt_random_weapon	-373.199890 -1474.130615 234.477768	-3.622 1.523 50.548
ttt_random_weapon	308.305878 -2169.761963 233.217880	1.567 3.606 -93.717
ttt_random_weapon	316.448273 -2146.529541 233.214584	1.711 4.769 -92.974
ttt_random_weapon	339.128387 -2126.570068 233.232681	1.323 4.563 -93.509
ttt_random_weapon	347.864960 -2109.697998 233.249115	1.916 4.737 -89.603
ttt_random_weapon	363.665894 -2091.267334 233.230820	1.452 5.273 -93.813
ttt_random_weapon	362.347290 -2114.400391 234.445847	4.925 -16.548 -80.979
ttt_random_weapon	345.836548 -2117.271484 234.011322	-0.453 -4.233 -65.049
ttt_random_weapon	344.052155 -2102.888916 234.634598	-3.794 1.164 46.631
ttt_random_weapon	-381.464142 -1842.593506 233.228271	1.497 5.975 -93.694
ttt_random_weapon	-339.496582 -1837.712646 233.249863	1.278 14.645 -93.926
ttt_random_weapon	-325.940002 -1841.836060 233.247452	1.308 2.658 -94.035
ttt_random_weapon	-369.653839 -1823.314697 233.193680	1.946 4.785 -92.434
ttt_random_weapon	-385.433990 -1859.376953 233.237427	1.395 3.688 -93.971
ttt_random_weapon	-374.452148 -1886.827271 233.234894	1.433 6.502 -93.864
ttt_random_weapon	-371.811432 -1900.736816 233.238617	1.397 2.483 -93.854
ttt_random_weapon	-378.254181 -1895.576050 234.685455	-3.959 8.201 44.609
ttt_random_weapon	-383.599915 -1846.129517 234.634872	-4.054 11.640 100.410
ttt_random_weapon	-351.483063 -1845.525269 233.950226	-0.472 2.797 -65.973
ttt_random_weapon	469.263458 -2626.972656 233.231537	1.372 4.815 -93.828
ttt_random_weapon	494.303741 -2651.123291 233.231094	1.465 5.358 -93.469
ttt_random_weapon	505.708710 -2670.309570 233.247635	1.405 4.624 -94.088
ttt_random_weapon	521.264099 -2633.812500 233.214569	1.711 4.769 -92.973
ttt_random_weapon	495.514893 -2607.552979 233.198730	1.748 4.746 -93.392
ttt_random_weapon	482.466217 -2596.771973 233.223526	1.601 4.526 -93.239
ttt_random_weapon	459.092316 -2618.363525 233.147644	2.270 3.039 -92.461
ttt_random_weapon	-569.577881 -2652.472656 233.220978	1.639 4.764 -93.139
ttt_random_weapon	-573.533691 -2674.416504 233.237991	1.430 4.720 -93.678
ttt_random_weapon	-593.907227 -2617.092285 233.222168	1.625 4.763 -93.170
ttt_random_weapon	-576.990784 -2596.181885 233.199539	1.716 4.202 -93.446
ttt_random_weapon	-573.337830 -2574.037109 233.205872	1.809 5.684 -92.749
ttt_random_weapon	-595.067322 -2624.864990 233.209702	1.646 4.747 -93.589
ttt_random_weapon	-582.340271 -2643.606934 233.246521	1.281 4.373 -94.221
ttt_random_weapon	-588.772766 -2827.587158 393.202271	1.849 4.928 -92.656
ttt_random_weapon	-614.154785 -2860.233154 393.204132	1.728 6.912 -92.819
ttt_random_weapon	-614.169312 -2907.990234 393.200134	1.873 4.930 -92.601
ttt_random_weapon	-587.275391 -2943.422363 393.220276	1.646 4.922 -93.121
ttt_random_weapon	-575.349487 -2957.488770 393.207275	0.909 5.093 -93.798
ttt_random_weapon	-585.473572 -3353.390869 393.240082	1.393 4.850 -93.813
ttt_random_weapon	-600.530762 -3343.395264 393.224915	1.532 4.583 -93.936
