# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_canalwarehouse
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	-1655.189941 -724.380005 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1623.459961 -735.263000 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1618.150024 -719.783020 10.372900	0.000 0.000 0.000
ttt_random_weapon	675.973877 -1290.614380 1.235596	1.473 4.909 -93.518
ttt_random_weapon	719.973816 -1280.653320 1.239889	1.424 4.904 -93.629
ttt_random_weapon	766.291748 -1293.157959 1.225928	1.583 4.918 -93.267
ttt_random_weapon	801.541382 -1287.031128 1.219436	1.656 4.923 -93.099
ttt_random_weapon	818.758850 -1267.071899 1.241922	1.401 4.901 -93.682
ttt_random_weapon	772.071960 -1230.610596 1.154230	2.388 5.650 -91.420
ttt_random_weapon	754.824158 -1221.744995 1.239758	1.322 4.501 -93.763
ttt_random_weapon	748.427307 -1226.855835 2.010511	-0.440 5.416 -64.975
ttt_random_weapon	708.592773 -1229.120850 1.213209	1.726 4.926 -92.938
ttt_random_weapon	675.840393 -1208.381104 1.229148	1.261 1.248 -93.888
ttt_random_weapon	660.665833 -1210.411255 3.324441	-8.110 2.367 -93.027
ttt_random_weapon	1035.002930 -847.437866 1.214249	1.715 4.926 -92.965
ttt_random_weapon	1024.556885 -917.065186 1.223826	1.606 4.920 -93.213
ttt_random_weapon	1053.429932 -981.279907 1.190577	1.981 4.920 -92.354
ttt_random_weapon	1040.168091 -1043.944824 1.225767	1.405 5.073 -93.843
ttt_random_weapon	1019.630554 -1099.413086 1.217186	1.681 4.924 -93.041
ttt_random_weapon	1016.647156 -1138.479736 1.204313	1.827 4.929 -92.708
ttt_random_weapon	1040.226807 -1017.655884 1.223826	1.606 4.920 -93.213
ttt_random_weapon	1013.584717 -950.875061 1.487478	4.031 5.520 -93.855
ttt_random_weapon	986.127441 -880.909424 1.224901	1.594 4.919 -93.240
ttt_random_weapon	969.586060 -863.984558 1.205619	1.812 4.928 -92.742
ttt_random_weapon	1032.544434 -953.177307 2.592381	7.623 6.461 -94.457
ttt_random_weapon	1027.215698 -1034.571533 1.223413	1.563 6.150 -93.257
ttt_random_weapon	1014.657471 -1079.127441 1.206887	1.798 4.929 -92.775
ttt_random_weapon	535.881226 -772.980652 1.223636	1.608 6.729 -93.208
ttt_random_weapon	577.705627 -721.552795 1.208717	1.777 4.928 -92.822
ttt_random_weapon	555.714111 -640.747375 1.200866	1.865 4.929 -92.619
ttt_random_weapon	591.455322 -592.660950 1.215258	1.703 4.926 -92.991
ttt_random_weapon	568.811340 -701.901489 1.238120	1.444 4.906 -93.583
ttt_random_weapon	600.607422 -766.733765 1.218107	1.671 4.924 -93.065
ttt_random_weapon	633.310303 -756.772888 1.193134	1.952 4.926 -92.420
ttt_random_weapon	-1432.528442 -759.704468 1.228452	1.554 4.916 -93.332
ttt_random_weapon	-1506.116821 -758.684875 1.198674	1.890 4.927 -92.563
ttt_random_weapon	-1554.251587 -729.393433 1.230283	1.211 1.201 -94.240
ttt_random_weapon	-1567.937988 -722.691223 1.132766	2.150 5.851 -92.224
ttt_random_weapon	-1588.188843 -771.540466 1.226571	1.374 4.859 -93.671
ttt_random_weapon	-1583.679321 -791.222534 1.211035	1.751 4.927 -92.882
ttt_random_weapon	-1505.864136 -776.069519 1.225593	1.586 4.918 -93.258
ttt_random_weapon	-1446.966187 -814.383423 1.202986	1.178 5.627 -93.374
ttt_random_weapon	-1464.875854 -782.187500 1.229879	1.538 4.915 -93.369
ttt_random_weapon	-1454.006714 -729.714722 1.221924	1.628 4.921 -93.163
ttt_random_weapon	-1582.174316 -1119.199097 1.238903	1.398 4.569 -93.844
ttt_random_weapon	-1565.887695 -1104.767212 1.198663	1.890 4.927 -92.562
ttt_random_weapon	-1597.589844 -1091.954102 1.233635	1.478 4.791 -93.486
ttt_random_weapon	-1611.161377 -1075.099121 1.189698	1.991 4.921 -92.331
ttt_random_weapon	-1501.755859 -1080.138306 1.206361	1.594 4.900 -93.603
ttt_random_weapon	-1488.239380 -1123.368896 1.221118	1.637 4.922 -93.143
ttt_random_weapon	-1550.770752 -1116.873047 1.230867	1.527 5.287 -93.395
ttt_random_weapon	-1595.428223 -1111.987183 1.070195	1.904 6.505 -91.885
ttt_random_weapon	-1581.199097 -1066.851807 1.203084	1.658 4.743 -92.885
ttt_random_weapon	-882.317139 -1187.058350 3.041777	-7.513 -2.506 85.286
ttt_random_weapon	-888.460022 -1215.390869 2.295876	-4.693 13.149 84.398
ttt_random_weapon	-917.019775 -1260.312134 1.233137	1.406 4.942 -93.682
ttt_random_weapon	-946.641418 -1285.753052 1.230683	1.529 4.914 -93.390
ttt_random_weapon	-982.602844 -1297.519287 1.200144	1.874 4.930 -92.601
ttt_random_weapon	-996.631104 -1254.661499 1.223544	1.392 5.039 -93.455
ttt_random_weapon	-947.874939 -1218.719971 1.194781	1.934 4.925 -92.462
ttt_random_weapon	-928.487549 -1191.457397 1.202965	1.842 4.927 -92.673
ttt_random_weapon	-924.231812 -1200.702637 1.202965	1.842 4.927 -92.673
ttt_random_weapon	-913.536804 -1242.322876 1.237876	1.410 5.005 -93.807
ttt_random_weapon	-934.541138 -1255.965576 2.083155	-0.603 5.537 -107.222
ttt_random_weapon	-943.653259 -1252.644287 3.720173	-0.941 26.682 73.794
ttt_random_weapon	-545.887085 -2098.855957 2.872483	3.378 4.903 -92.514
ttt_random_weapon	-561.671082 -2129.793701 2.831944	4.078 1.752 -91.215
ttt_random_weapon	-633.349182 -2170.196533 2.789529	1.017 3.417 -93.186
ttt_random_weapon	-659.916199 -2138.291748 1.896111	-0.915 5.003 -95.323
ttt_random_weapon	-551.469971 -2056.613037 -0.143701	-0.251 3.014 -96.022
ttt_random_weapon	-499.778595 -2057.352051 1.678762	2.822 0.251 -92.919
ttt_random_weapon	-586.544373 -2078.073242 0.836189	0.206 6.577 -99.758
ttt_random_weapon	-686.316406 -2132.675781 0.607800	0.487 2.437 -94.792
ttt_random_weapon	-736.921814 -2161.832520 -0.578814	-0.959 3.809 -91.929
ttt_random_weapon	-816.239502 -2165.717773 -1.595125	3.205 3.184 -90.994
ttt_random_weapon	-896.788452 -2156.047119 0.615315	-0.456 -5.710 84.057
ttt_random_weapon	-991.408142 -2169.730713 1.462489	-0.797 7.028 -92.181
ttt_random_weapon	-1013.968506 -2131.806641 0.089573	-3.610 21.237 81.767
ttt_random_weapon	-1110.392822 -2159.695313 2.592505	5.579 5.366 -96.974
ttt_random_weapon	-1138.515503 -2152.081543 3.768062	6.163 5.321 -95.716
ttt_random_weapon	941.245972 -2103.246826 1.214252	1.715 4.926 -92.965
ttt_random_weapon	952.704041 -2128.872314 1.206891	1.798 4.929 -92.775
ttt_random_weapon	1075.162354 -2122.104736 1.220293	1.646 4.922 -93.121
ttt_random_weapon	1160.687134 -2124.149414 1.224192	1.602 4.919 -93.222
ttt_random_weapon	1267.408325 -2128.257568 1.244538	1.372 4.563 -93.750
ttt_random_weapon	1212.035034 -2052.083008 1.194781	1.934 4.925 -92.462
ttt_random_weapon	1406.467529 -2096.295898 1.202056	1.808 3.758 -92.769
ttt_random_weapon	1439.889404 -2071.175293 1.197918	1.899 4.927 -92.543
ttt_random_weapon	1476.164551 -2078.296143 1.223454	1.611 4.920 -93.203
ttt_random_weapon	1527.418823 -2067.710938 1.231455	1.520 4.913 -93.410
ttt_random_weapon	1566.905396 -2067.960449 1.198673	1.890 4.927 -92.563
ttt_random_weapon	1663.866943 -2070.394531 1.248030	1.332 4.277 -93.841
ttt_random_weapon	1637.274292 -2064.016602 1.747773	-2.035 13.543 85.368
ttt_random_weapon	1651.521484 -2076.911377 1.815200	0.183 2.777 -71.974
ttt_random_weapon	1700.922729 -2109.072021 1.206253	1.805 4.927 -92.758
ttt_random_weapon	1828.349731 -2096.761719 1.207510	1.791 4.929 -92.791
ttt_random_weapon	1868.621826 -2139.458008 1.238842	1.436 4.905 -93.602
ttt_random_weapon	1870.337769 -2123.504639 1.203644	1.834 4.930 -92.691
ttt_random_weapon	1814.988770 -2126.522217 1.224190	1.602 4.919 -93.222
ttt_random_weapon	1661.309326 -2080.610352 2.517910	-3.346 6.466 -70.349
ttt_random_weapon	1525.385254 -2108.042236 1.209892	1.764 4.928 -92.852
ttt_random_weapon	1466.709717 -2143.305420 1.219436	1.656 4.923 -93.099
