# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_citadel
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-725.156921 334.109344 0.863133	0.171 11.252 -87.231
weapon_ttt_ak47	-563.873230 371.717957 0.889622	0.134 11.253 -87.523
ttt_playerspawn	-1741.608765 1715.220947 12.390948	-0.057 2.129 0.057
ttt_playerspawn	-1605.245972 1698.487549 10.056446	-0.084 10.022 0.084
ttt_playerspawn	-1428.074707 1692.254761 4.384583	-0.052 -0.224 0.052
ttt_playerspawn	-1223.156494 1684.024414 5.116985	-0.076 0.374 0.077
ttt_playerspawn	-476.144165 1236.804932 3.089958	-0.227 16.787 -0.003
ttt_playerspawn	-480.519501 1050.637573 2.799107	-0.066 25.006 0.194
ttt_playerspawn	-1213.490967 626.781189 6.817981	-0.061 159.981 0.061
ttt_playerspawn	-1429.154907 637.515076 10.475726	-0.052 146.650 0.000
ttt_playerspawn	-1692.598999 636.541504 7.560883	-0.057 -0.528 0.057
ttt_playerspawn	-1673.440186 872.386963 6.601013	-0.130 2.058 0.004
ttt_playerspawn	-1686.572876 1109.435303 7.193877	2.877 2.853 2.596
ttt_playerspawn	-1651.323242 1455.498535 6.809284	-0.081 -0.150 0.081
ttt_playerspawn	-1474.669312 1498.111328 -2559.416504	-0.002 -141.285 0.053
ttt_playerspawn	-2280.594727 1663.394653 67.901604	-0.089 -0.264 0.089
ttt_playerspawn	-2137.326660 1688.659302 67.244408	0.124 2.491 0.124
ttt_playerspawn	-1677.017334 2238.135498 4.527369	-0.049 -0.264 0.049
ttt_playerspawn	-1671.507690 2104.261963 2.419907	-0.034 -0.132 0.034
ttt_playerspawn	-1465.245117 2211.448730 6.555077	-0.090 -0.000 0.090
ttt_playerspawn	-1472.443237 2110.541504 5.103220	-0.084 -0.000 0.084
ttt_playerspawn	-1214.151611 2217.609131 8.581151	-0.032 0.354 0.032
ttt_playerspawn	-1242.914063 2100.816895 7.030040	-0.058 -0.022 0.058
ttt_playerspawn	-1167.853516 2429.330322 1.728209	0.003 2.110 0.112
ttt_playerspawn	-1357.838379 2427.915771 3.691770	-0.080 -0.000 0.080
ttt_playerspawn	-966.289673 2086.107666 7.536886	-0.036 -0.660 0.037
ttt_playerspawn	-1000.225525 2207.112061 73.931412	-4.716 -117.766 -168.557
ttt_playerspawn	-385.237305 2120.232178 -86.156754	-0.062 -0.792 0.062
ttt_playerspawn	-156.742157 1997.271973 -88.253960	-0.071 0.264 0.071
ttt_playerspawn	180.318329 1856.019287 -93.446121	0.003 0.694 0.033
ttt_playerspawn	180.841995 1719.825806 -90.799919	-0.014 -1.188 0.017
ttt_playerspawn	273.589203 1347.334717 -119.005379	-0.028 -0.396 0.028
ttt_playerspawn	439.791534 1331.430298 -123.664734	-0.079 -0.924 0.079
ttt_playerspawn	482.168488 1043.792969 -124.159454	-0.071 -0.660 0.071
ttt_playerspawn	234.606354 996.060730 -121.451790	-0.088 -0.132 0.088
ttt_playerspawn	211.708588 613.743652 -92.679596	-0.059 1.980 0.059
ttt_playerspawn	215.438507 461.340393 -90.260162	-0.092 -0.396 0.092
weapon_ttt_smokegrenade	-816.000000 84.000000 -240.000000	0.000 180.000 0.000
weapon_ttt_smokegrenade	-820.000000 92.000000 -238.000000	-90.000 225.000 0.000
weapon_ttt_smokegrenade	-44.000000 836.000000 -80.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2072.000000 748.000000 116.000000	0.000 345.000 -90.000
weapon_ttt_smokegrenade	-1296.000000 -28.000000 44.000000	0.000 345.000 -90.000
item_box_buckshot_ttt	-1771.625610 1215.419189 -287.616577	-0.602 -0.005 0.573
item_box_buckshot_ttt	-1755.015137 1247.297974 -287.622284	0.306 0.003 -0.163
item_box_buckshot_ttt	-1764.957397 1079.938843 -287.619537	-0.069 0.002 0.144
item_box_buckshot_ttt	-1734.617798 1027.716309 -287.568909	-0.643 -0.007 0.570
item_box_buckshot_ttt	-1776.895386 1404.577637 -287.618469	-0.245 0.000 0.286
item_box_buckshot_ttt	-1766.376099 1445.847778 -287.534027	-0.367 -0.006 0.326
item_ammo_357_ttt	-816.000000 176.000000 -272.000000	0.000 225.000 0.000
item_ammo_357_ttt	-2074.506104 -0.080772 64.362068	0.456 0.058 0.043
item_ammo_357_ttt	-2101.403076 0.663207 64.385307	0.461 0.055 0.034
item_ammo_357_ttt	-2072.218750 -87.903030 64.309982	0.446 0.072 0.064
item_ammo_357_ttt	-2107.914063 -92.751450 64.368416	0.457 0.057 0.041
item_ammo_357_ttt	-2088.236816 2402.662598 -287.667542	0.450 0.064 0.055
item_ammo_357_ttt	-2141.519043 2406.283936 -287.634705	0.457 0.058 0.042
item_ammo_357_ttt	-2286.304688 1577.832031 -287.651825	0.453 0.061 0.049
item_ammo_357_ttt	-2241.063477 1607.911987 -287.601685	0.463 0.054 0.029
item_ammo_357_ttt	-2108.991211 1699.737061 -287.649994	0.454 0.061 0.048
item_ammo_357_ttt	-2080.019043 1768.719849 -287.591583	0.465 0.054 0.025
item_ammo_357_ttt	-2324.028809 2260.809570 -287.587097	0.466 0.053 0.023
item_ammo_357_ttt	-2310.480469 2164.197754 -287.560120	0.472 0.053 0.012
item_ammo_357_ttt	-2269.457520 2351.920410 -287.592529	0.465 0.054 0.025
item_ammo_357_ttt	-2278.239502 2293.856689 -287.619995	0.460 0.056 0.036
item_ammo_revolver_ttt	-2266.867676 641.274109 -287.648193	0.454 0.059 0.048
item_ammo_revolver_ttt	-2246.994385 653.589722 -287.592529	0.465 0.054 0.025
item_ammo_revolver_ttt	-2215.077148 666.340088 -287.603882	0.463 0.054 0.030
item_ammo_revolver_ttt	-2208.449707 631.323608 -287.669617	0.450 0.068 0.056
item_ammo_revolver_ttt	-2245.799316 614.357788 -287.634705	0.457 0.058 0.042
item_ammo_revolver_ttt	-2269.841553 611.991577 -287.619995	0.460 0.056 0.036
item_ammo_revolver_ttt	-2309.954346 609.195618 -287.606171	0.462 0.055 0.031
item_ammo_revolver_ttt	-2324.176758 620.222168 -287.642944	0.455 0.059 0.045
item_ammo_revolver_ttt	-2334.658203 649.549438 -287.649200	0.685 0.139 0.096
item_ammo_revolver_ttt	-2286.536865 638.527039 -287.605011	0.463 0.054 0.030
item_ammo_revolver_ttt	-896.047607 68.311264 -287.603882	0.463 0.054 0.030
item_ammo_revolver_ttt	-930.773926 73.660072 -287.580566	0.468 0.053 0.020
item_ammo_revolver_ttt	-966.537598 71.932617 -287.628540	0.458 0.057 0.040
item_ammo_revolver_ttt	-1005.396667 74.236557 -287.673920	0.449 0.068 0.058
item_ammo_revolver_ttt	-1021.356506 75.144051 -287.617310	0.460 0.055 0.035
item_ammo_revolver_ttt	-977.382996 87.853539 -287.594452	0.465 0.054 0.026
item_ammo_revolver_ttt	-953.139709 82.286072 -287.669617	0.450 0.068 0.056
item_ammo_revolver_ttt	-933.734375 88.324120 -287.663422	0.451 0.064 0.054
item_ammo_revolver_ttt	-913.968811 111.648743 -287.627075	0.458 0.057 0.039
item_ammo_revolver_ttt	-892.942505 115.934029 -287.657501	0.452 0.061 0.051
item_ammo_revolver_ttt	-932.491943 107.706215 -287.599548	0.464 0.054 0.028
item_ammo_revolver_ttt	-969.318970 114.294838 -287.673920	0.449 0.068 0.058
item_ammo_revolver_ttt	-1011.166321 124.276917 -287.653687	0.453 0.061 0.050
item_ammo_smg1_ttt	-44.000000 844.000000 -112.000000	0.000 30.000 0.000
item_ammo_smg1_ttt	-1416.000000 2512.000000 16.000000	0.000 165.000 0.000
item_ammo_smg1_ttt	-1392.000000 2512.000000 16.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-2232.000000 1552.000000 -272.000000	0.000 225.000 0.000
item_ammo_smg1_ttt	-2208.000000 1552.000000 -272.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-724.344788 383.398834 0.428568	0.670 -0.003 0.437
item_ammo_smg1_ttt	-683.302673 389.238342 0.404171	0.191 -0.005 0.116
item_ammo_smg1_ttt	-576.911865 319.429535 0.408910	0.239 -0.005 0.149
item_ammo_smg1_ttt	-533.705688 333.699249 0.434571	0.948 -0.000 0.623
item_ammo_smg1_ttt	-838.375549 16.202318 0.516419	-0.260 0.014 -0.224
item_ammo_smg1_ttt	-859.450684 -1.110107 0.534173	-0.154 0.017 -0.135
item_ammo_smg1_ttt	-940.620911 -43.083981 0.424420	0.534 -0.004 0.347
item_ammo_smg1_ttt	-912.308655 -24.872313 0.422301	0.474 -0.004 0.306
item_ammo_smg1_ttt	-830.212341 389.639282 0.538630	-0.130 0.017 -0.114
item_ammo_smg1_ttt	-859.739868 391.413635 0.394253	0.122 -0.005 0.069
item_ammo_smg1_ttt	-901.991150 448.048981 0.518605	-0.251 0.014 -0.211
item_ammo_smg1_ttt	-908.739136 417.234680 0.496613	-0.844 0.013 -0.627
item_ammo_smg1_ttt	-1637.099976 -38.802681 0.511194	-0.212 0.087 -0.216
item_ammo_smg1_ttt	-1643.306519 -19.080572 0.494194	-0.542 0.137 -0.159
item_ammo_smg1_ttt	-1754.339111 -0.621642 0.518165	-0.239 0.014 -0.208
item_ammo_smg1_ttt	-1738.008301 6.557418 0.506760	-0.432 0.011 -0.343
item_ammo_smg1_ttt	-1610.195068 454.392731 0.535880	-0.148 0.017 -0.129
item_ammo_smg1_ttt	-1738.663696 453.220276 0.422346	0.585 -0.002 0.364
item_ammo_smg1_ttt	-1774.160767 362.791046 0.508737	-0.394 0.010 -0.317
item_ammo_smg1_ttt	-1750.961060 377.954803 0.511458	-0.764 0.009 -0.558
item_ammo_smg1_ttt	-1662.667847 1951.766479 -287.494690	0.595 -0.011 -0.461
item_ammo_smg1_ttt	-1702.352539 1965.772095 -287.463287	0.141 -0.017 -0.123
item_ammo_smg1_ttt	-1679.256348 1867.768921 -287.494202	0.533 -0.010 -0.412
item_ammo_smg1_ttt	-1714.850220 1853.064575 -287.605743	-0.123 0.005 0.070
item_ammo_smg1_ttt	-1894.062988 2017.966919 -287.472443	0.203 -0.016 -0.171
item_ammo_smg1_ttt	-1975.758057 2020.316040 -287.486115	0.278 -0.011 -0.234
item_ammo_smg1_ttt	-1371.257080 1895.599365 -287.621796	0.065 -0.005 0.030
item_ammo_smg1_ttt	-1384.573975 1931.772583 -287.521942	0.545 -0.083 0.239
item_ammo_smg1_ttt	-1464.765259 1902.921387 -287.600708	-0.152 0.005 0.090
item_ammo_smg1_ttt	-1475.837646 1962.946655 -287.582031	-0.376 0.005 0.240
item_ammo_smg1_ttt	-1477.287354 2018.680420 -287.573486	-0.601 0.003 0.391
item_ammo_smg1_ttt	-1416.258667 1971.925049 -287.575562	-0.526 0.004 0.341
item_ammo_smg1_ttt	-1768.541504 1684.855103 -287.502136	0.864 0.012 -0.647
item_ammo_smg1_ttt	-1744.578003 1610.798584 -287.514832	0.796 -0.003 -0.645
item_ammo_smg1_ttt	-1728.395630 1747.942627 -287.567413	-0.842 0.001 0.553
item_ammo_smg1_ttt	-1723.890015 1690.844971 -287.522980	-0.552 0.083 0.247
item_ammo_smg1_ttt	-359.189026 1509.538574 -287.579834	0.420 -0.004 0.270
item_ammo_smg1_ttt	-313.779572 1469.583374 -287.517914	-0.081 -0.002 -0.173
item_ammo_smg1_ttt	-309.977448 840.478088 -287.571442	0.664 -0.003 0.433
item_ammo_smg1_ttt	-360.427795 794.864502 -287.579834	0.425 -0.004 0.274
item_ammo_smg1_ttt	-1762.916748 711.297302 -287.577698	0.475 -0.004 0.307
item_ammo_smg1_ttt	-1751.714844 614.872375 -287.487640	-0.289 0.012 -0.248
item_ammo_smg1_ttt	-1691.638794 526.880676 -287.565430	0.955 -0.000 0.628
item_ammo_smg1_ttt	-1762.813110 568.910461 -287.588776	0.268 -0.005 0.168
item_ammo_pistol_ttt	-1168.000000 2516.000000 16.000000	0.000 285.000 0.000
item_ammo_pistol_ttt	-1140.000000 2512.000000 16.000000	0.000 195.000 0.000
item_ammo_pistol_ttt	-816.000000 144.000000 -272.000000	0.000 180.000 0.000
ttt_random_weapon	17.057346 834.603027 -126.793304	1.800 4.711 -92.770
ttt_random_weapon	14.564910 911.813843 -126.799355	1.868 4.716 -92.614
ttt_random_weapon	723.668274 987.619263 -126.804672	1.928 4.718 -92.476
ttt_random_weapon	716.702698 1044.378296 -126.795235	1.822 4.712 -92.720
ttt_random_weapon	737.801208 1263.942627 -126.768875	1.524 4.679 -93.402
ttt_random_weapon	688.785706 1325.024780 -126.797874	1.851 4.348 -92.652
ttt_random_weapon	14.373894 1384.024902 -126.754807	1.364 4.649 -93.767
ttt_random_weapon	25.751759 1461.749023 -126.773842	1.580 4.687 -93.273
ttt_random_weapon	-196.620529 1256.615112 -62.799706	1.872 4.676 -92.604
ttt_random_weapon	-187.598419 1307.902466 -62.765442	1.485 4.673 -93.491
ttt_random_weapon	-158.555939 998.079102 -62.802326	1.901 4.718 -92.537
ttt_random_weapon	-191.836823 1034.170166 -62.807125	1.955 4.720 -92.413
ttt_random_weapon	348.030914 657.701660 -94.766953	1.502 4.675 -93.452
ttt_random_weapon	354.604218 431.312439 -94.777809	1.625 4.692 -93.170
ttt_random_weapon	-283.506927 96.904655 -94.803879	1.919 4.718 -92.497
ttt_random_weapon	-50.360527 214.519485 -94.782494	1.678 4.699 -93.049
ttt_random_weapon	-197.927658 450.300415 -94.773842	1.580 4.687 -93.273
ttt_random_weapon	-134.081955 441.081665 -94.786430	1.722 4.703 -92.947
ttt_random_weapon	-1570.603271 540.188293 1.217966	1.673 4.698 -93.061
