# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_community_pool
# Exported by: Julianofloss
setting:	replacespawns 1
ttt_random_weapon	-551.000000 210.000000 110.000000	0.000 0.000 0.000
ttt_random_weapon	-541.771973 104.119003 117.916000	0.000 0.000 0.000
ttt_random_weapon	-597.982971 81.210297 124.700996	0.000 0.000 0.000
ttt_random_weapon	-749.229980 152.460999 141.026993	0.000 0.000 0.000
ttt_random_weapon	-732.000000 778.000000 97.000000	0.000 89.500 0.000
ttt_random_weapon	-634.000000 929.000000 97.540199	0.000 0.000 0.000
ttt_random_weapon	468.000000 101.000000 96.778198	0.000 0.000 0.000
ttt_random_weapon	551.000000 160.000000 96.542603	0.000 0.000 0.000
ttt_random_weapon	-284.000000 91.000000 101.000000	0.000 0.000 0.000
ttt_random_weapon	-361.000000 157.000000 99.193604	0.000 0.000 0.000
ttt_random_weapon	684.388977 850.797974 77.372902	0.000 0.000 0.000
ttt_random_weapon	665.150024 806.848999 77.372902	0.000 0.000 0.000
ttt_random_weapon	941.072998 762.492981 77.372902	0.000 0.000 0.000
ttt_random_weapon	934.476013 863.682007 77.372902	0.000 0.000 0.000
ttt_random_weapon	944.377014 959.869995 77.372902	0.000 0.000 0.000
ttt_random_weapon	946.418030 1056.939941 77.372902	0.000 0.000 0.000
ttt_random_weapon	945.906006 1168.709961 77.372902	0.000 0.000 0.000
ttt_random_weapon	199.501999 2436.000000 78.000000	0.000 0.000 0.000
ttt_random_weapon	455.824005 2437.879883 77.372902	0.000 0.000 0.000
ttt_random_weapon	-59.563499 2438.610107 77.372902	0.000 0.000 0.000
ttt_random_weapon	-318.520996 2440.459961 77.372902	0.000 0.000 0.000
ttt_random_weapon	-532.931030 2433.070068 77.372902	0.000 0.000 0.000
ttt_random_weapon	-820.953003 2429.530029 77.372902	0.000 0.000 0.000
ttt_random_weapon	-84.726402 2199.239990 104.373001	0.000 0.000 0.000
ttt_random_weapon	-868.434021 2141.030029 77.372902	0.000 0.000 0.000
ttt_random_weapon	-851.825989 1520.910034 77.372902	0.000 0.000 0.000
ttt_random_weapon	-659.247986 1159.599976 77.372902	0.000 0.000 0.000
ttt_random_weapon	-239.929993 1168.390015 77.372902	0.000 0.000 0.000
ttt_random_weapon	293.421997 1179.569946 77.372902	0.000 0.000 0.000
ttt_random_weapon	687.460999 1354.319946 77.372902	0.000 0.000 0.000
ttt_random_weapon	651.276978 2120.159912 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1216.329956 1143.699951 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1228.670044 1070.979980 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1248.689941 961.344971 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1223.520020 857.823975 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1222.030029 768.742004 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1233.680054 1284.449951 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1233.569946 1625.449951 77.372902	0.000 0.000 0.000
ttt_random_weapon	-1242.880005 1475.689941 77.372902	0.000 0.000 0.000
ttt_random_weapon	366.000000 831.000000 109.671997	0.000 0.000 0.000
ttt_random_weapon	-278.572998 755.911011 77.372902	0.000 0.000 0.000
ttt_random_weapon	-175.520004 749.896973 77.372902	0.000 0.000 0.000
ttt_random_weapon	-400.734009 746.143982 77.372902	0.000 0.000 0.000
ttt_random_weapon	-209.248001 920.541016 77.372902	0.000 0.000 0.000
ttt_random_weapon	-344.802002 939.366028 77.372902	0.000 0.000 0.000
ttt_random_weapon	-73.143089 738.221802 77.402855	0.000 -30.316 0.000
ttt_random_weapon	10.920300 1041.750000 77.372902	0.000 0.000 0.000
ttt_random_weapon	254.000000 2137.000000 -488.580994	0.000 0.000 0.000
ttt_random_weapon	106.778000 2037.680054 -461.615997	0.000 0.000 0.000
ttt_random_weapon	112.866997 1949.560059 -461.615997	0.000 0.000 0.000
ttt_random_weapon	196.520996 1864.579956 -461.615997	0.000 0.000 0.000
ttt_random_weapon	271.898987 1898.079956 -461.615997	0.000 0.000 0.000
ttt_random_weapon	189.996994 1939.540039 -461.615997	0.000 0.000 0.000
ttt_random_weapon	195.664993 2034.560059 -481.441986	0.000 0.000 0.000
ttt_random_weapon	208.617996 2083.300049 -509.493988	0.000 0.000 0.000
ttt_random_weapon	263.303009 2088.649902 -462.817993	0.000 0.000 0.000
ttt_random_weapon	32.895000 1662.180054 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-245.306000 1645.849976 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-284.790985 1412.689941 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-40.695900 1353.989990 -566.627014	0.000 0.000 0.000
ttt_random_weapon	607.180054 833.963318 69.242691	1.393 4.750 -93.702
ttt_random_weapon	583.500977 874.881531 69.241020	1.412 4.753 -93.658
ttt_random_weapon	704.401001 130.015915 69.241127	1.410 4.753 -93.661
ttt_random_weapon	642.584656 132.849503 69.248032	1.332 4.858 -93.841
ttt_random_weapon	-659.260559 845.936035 69.242081	1.399 4.752 -93.686
ttt_random_weapon	-586.424927 833.116089 69.241219	1.409 4.753 -93.664
ttt_random_weapon	-72.581345 999.727661 69.242599	1.394 4.750 -93.700
ttt_random_weapon	-75.222900 1067.010376 69.241898	1.402 4.752 -93.681
ttt_random_weapon	288.463043 758.638184 69.243706	1.381 4.744 -93.728
