# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_devoz_v2_3
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-1186.530273 -234.129105 -379.827942	-0.422 0.129 2.209
ttt_playerspawn	-1169.587524 -363.529694 -379.417114	-0.076 0.021 0.077
ttt_playerspawn	-1173.639282 -505.357086 -376.697296	-0.076 -2.624 0.077
ttt_playerspawn	-1331.844360 -591.511292 -374.609680	-0.046 -0.899 0.045
ttt_playerspawn	-1264.037842 -588.806702 -379.941681	-0.070 -3.487 0.070
ttt_playerspawn	-1566.047852 -538.812378 -376.404480	-0.074 -1.291 0.074
ttt_playerspawn	-1455.333130 -601.717041 -378.666504	-0.074 -3.263 0.074
ttt_playerspawn	-1059.838135 -232.658310 -376.750916	-0.593 -0.708 1.564
ttt_playerspawn	-1098.181885 -384.365082 -375.941498	-0.050 -0.421 0.051
ttt_playerspawn	-1094.789429 -516.300964 -378.273254	-0.088 1.741 0.088
ttt_playerspawn	-934.180298 -510.241150 -381.800629	-0.047 -3.774 0.048
ttt_playerspawn	-964.238281 -364.695953 -377.555237	-0.231 -2.802 -0.044
ttt_playerspawn	-918.765320 -217.635483 -375.662109	-0.197 -1.386 -0.012
ttt_playerspawn	-930.898132 358.049042 -355.673340	-0.071 0.867 0.071
ttt_playerspawn	-934.819275 491.584534 -353.826660	-0.072 3.484 0.072
ttt_playerspawn	-1346.079712 128.804504 -206.549789	0.072 0.035 -0.072
ttt_playerspawn	-1378.106445 -34.663933 -205.078690	-0.044 -0.854 0.045
ttt_playerspawn	-711.512695 -620.640991 -184.152206	-0.076 -1.228 -0.077
ttt_playerspawn	-315.147552 -39.640343 -375.161285	-0.037 -2.660 0.035
ttt_playerspawn	-163.933411 -42.443096 -371.807648	-0.056 1.760 0.088
ttt_playerspawn	-59.494701 -451.701416 -376.444885	-0.085 -1.296 0.085
ttt_playerspawn	-35.661766 -330.516602 -372.775299	-0.071 -0.266 0.071
ttt_playerspawn	223.778473 -170.680847 -369.552917	-0.089 -1.286 0.089
ttt_playerspawn	181.690109 0.881984 -570.347778	-0.089 -1.113 0.089
ttt_playerspawn	177.919708 -133.634277 -573.579895	-0.069 -1.744 0.069
ttt_playerspawn	-267.881653 -23.544403 -573.120850	0.067 -1.679 2.325
ttt_playerspawn	-281.710754 -136.864243 -573.586731	-0.096 0.485 0.096
