# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_forest_final
# Exported by: dduudu
setting:	replacespawns 0
ttt_playerspawn	-267.759552 212.985535 11.835328	-5.133 -1.558 -1.266
ttt_playerspawn	-1024.080322 330.371979 25.889166	1.991 -0.318 1.431
ttt_playerspawn	-1142.788818 583.333740 26.087036	0.394 -0.118 -2.069
ttt_playerspawn	-1215.694458 -748.547363 6.706501	4.399 2.281 8.566
ttt_playerspawn	1883.282471 1398.370117 9.471122	-0.944 -1.388 -0.073
ttt_playerspawn	1744.013550 1405.548950 9.139548	1.292 0.698 -0.101
ttt_playerspawn	1583.263794 1432.685913 20.012215	1.871 -0.113 1.024
ttt_playerspawn	-98.346848 2778.649902 21.774565	-0.052 -0.070 0.052
ttt_playerspawn	53.676090 2773.369141 22.999882	-0.068 -0.573 0.069
ttt_playerspawn	441.546600 2767.989014 19.448366	-0.067 -0.208 0.067
ttt_playerspawn	474.435059 3062.866699 264.521484	0.095 -0.000 -0.095
ttt_playerspawn	44.675449 3037.191406 264.529633	-0.085 0.000 0.085
ttt_playerspawn	277.380280 3184.583008 25.300945	-0.082 -0.568 0.082
ttt_playerspawn	-149.235779 3210.387451 21.224716	0.074 -1.083 0.074
ttt_playerspawn	658.614563 3189.897217 21.520510	0.055 -0.570 0.056
ttt_playerspawn	1416.546387 2116.196289 256.525299	-0.030 -0.000 0.030
ttt_playerspawn	2240.078857 1841.337158 384.532104	-0.066 -0.000 0.066
ttt_playerspawn	2056.906982 1834.502319 384.547455	-0.051 -0.000 0.051
ttt_playerspawn	2264.053711 -111.987373 384.526794	-0.072 -0.000 0.072
ttt_playerspawn	2085.207764 -124.188156 384.552734	-0.046 -0.000 0.046
ttt_playerspawn	-1246.658569 -597.119629 14.856615	-2.590 -0.683 3.233
ttt_playerspawn	1448.504517 1818.866699 9.021235	-2.695 0.269 0.179
ttt_playerspawn	1367.024536 1928.049438 8.087687	0.151 -0.533 1.455
ttt_playerspawn	1073.443848 2143.021484 12.495360	-2.585 -0.016 0.575
ttt_playerspawn	946.487549 2218.081787 16.550833	-0.481 2.564 9.323
ttt_playerspawn	-87.301094 2480.250488 14.067382	-1.472 0.213 -1.608
ttt_playerspawn	49.952892 2481.240479 19.921505	1.550 -0.801 -2.099
ttt_playerspawn	442.787567 2497.187988 11.367711	-0.409 0.139 -1.057
ttt_playerspawn	257.351654 2482.622070 14.884636	1.865 0.473 -0.829
ttt_playerspawn	266.064423 2756.883789 19.426765	-0.060 -0.215 0.061
ttt_playerspawn	-1041.100830 227.027161 20.806229	-0.530 -0.389 3.117
ttt_playerspawn	-171.179535 306.884491 12.808529	-1.711 1.670 -4.365
item_box_buckshot_ttt	565.666016 2770.770020 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	586.343018 2771.149902 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2053.889893 1160.089966 25.011101	0.000 0.000 0.000
item_box_buckshot_ttt	2040.530029 1161.010010 20.339001	0.000 0.000 0.000
item_box_buckshot_ttt	-896.700989 -1114.489990 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-884.260986 -1111.780029 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-1412.699951 -871.684021 -9.178850	0.000 0.000 0.000
item_box_buckshot_ttt	-1396.300049 -870.570984 -9.716400	0.000 0.000 0.000
item_box_buckshot_ttt	565.666016 2770.770020 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	586.343018 2771.149902 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2053.889893 1160.089966 25.011101	0.000 0.000 0.000
item_box_buckshot_ttt	2040.530029 1161.010010 20.339001	0.000 0.000 0.000
item_box_buckshot_ttt	-896.700989 -1114.489990 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-884.260986 -1111.780029 17.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-1412.699951 -871.684021 -9.178850	0.000 0.000 0.000
item_box_buckshot_ttt	-1396.300049 -870.570984 -9.716400	0.000 0.000 0.000
weapon_ttt_smokegrenade	-204.151993 -1480.579956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-203.822006 -1476.079956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-202.996994 -1469.579956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-897.476990 -852.197998 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-269.313995 -163.725006 -2.876490	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1048.719971 3175.300049 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1049.020020 3186.120117 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1051.380005 3198.219971 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-204.151993 -1480.579956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-203.822006 -1476.079956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-202.996994 -1469.579956 285.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-897.476990 -852.197998 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-269.313995 -163.725006 -2.876490	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1048.719971 3175.300049 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1049.020020 3186.120117 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1051.380005 3198.219971 21.734600	0.000 0.000 0.000
item_ammo_357_ttt	35.118801 2961.709961 265.276001	0.000 0.000 0.000
item_ammo_357_ttt	500.463013 2954.149902 265.276001	0.000 0.000 0.000
item_ammo_357_ttt	1839.689941 245.227005 1.318100	0.000 0.000 0.000
item_ammo_357_ttt	-196.548004 -1405.920044 281.276001	0.000 0.000 0.000
item_ammo_357_ttt	2142.679932 31.459600 385.276001	0.000 0.000 0.000
item_ammo_357_ttt	35.118801 2961.709961 265.276001	0.000 0.000 0.000
item_ammo_357_ttt	500.463013 2954.149902 265.276001	0.000 0.000 0.000
item_ammo_357_ttt	1839.689941 245.227005 1.318100	0.000 0.000 0.000
item_ammo_357_ttt	-196.548004 -1405.920044 281.276001	0.000 0.000 0.000
item_ammo_357_ttt	2142.679932 31.459600 385.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	313.049988 3084.189941 17.275801	0.000 0.000 0.000
item_ammo_revolver_ttt	2068.959961 2284.719971 29.595699	0.000 0.000 0.000
item_ammo_revolver_ttt	2096.760010 1101.640015 34.220200	0.000 0.000 0.000
item_ammo_revolver_ttt	-118.969002 -1441.819946 281.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1276.349976 397.648987 4.272210	0.000 0.000 0.000
item_ammo_revolver_ttt	-1278.239990 420.253998 3.868080	0.000 0.000 0.000
item_ammo_revolver_ttt	2154.989990 1980.839966 385.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	313.049988 3084.189941 17.275801	0.000 0.000 0.000
item_ammo_revolver_ttt	2068.959961 2284.719971 29.595699	0.000 0.000 0.000
item_ammo_revolver_ttt	2096.760010 1101.640015 34.220200	0.000 0.000 0.000
item_ammo_revolver_ttt	-118.969002 -1441.819946 281.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1276.349976 397.648987 4.272210	0.000 0.000 0.000
