# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_goldenplixprison_v3
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	1010.187866 95.316971 0.548973	-0.050 -0.000 0.050
ttt_playerspawn	1005.976135 -86.071678 0.554760	-0.044 -0.000 0.044
ttt_playerspawn	860.848145 93.088173 0.574274	0.041 -0.617 -0.041
ttt_playerspawn	854.166504 -77.066780 0.535071	-0.063 -0.000 0.063
ttt_playerspawn	705.479126 98.985886 0.537939	-0.061 -0.000 0.061
ttt_playerspawn	711.358765 -74.714088 0.517359	-0.081 -0.000 0.081
ttt_playerspawn	557.968384 103.746544 0.528846	-0.070 -0.000 0.069
ttt_playerspawn	558.905640 -75.385300 0.542437	-0.056 -0.000 0.056
ttt_playerspawn	380.943909 101.034805 0.574687	-0.136 0.676 -0.056
ttt_playerspawn	375.331665 -67.441315 0.572029	-0.027 -0.000 0.027
ttt_playerspawn	-681.973328 414.737396 160.568420	-0.031 -0.000 0.030
ttt_playerspawn	-683.531067 575.684814 160.528885	-0.069 -0.000 0.069
ttt_playerspawn	-568.865784 577.418396 160.576233	-0.023 -0.000 0.023
ttt_playerspawn	-572.015137 416.331024 160.522156	-0.076 -0.000 0.076
ttt_playerspawn	-1077.148193 1022.350952 160.545334	0.038 0.057 0.212
ttt_playerspawn	-960.592712 1020.066284 160.562958	0.033 0.044 0.150
ttt_playerspawn	-1384.873047 347.369568 14.832475	1.197 3.320 -0.017
ttt_playerspawn	-1390.336670 183.993683 22.182344	0.879 0.515 0.443
ttt_playerspawn	-1389.001099 18.960890 11.439274	-0.019 0.898 0.937
ttt_playerspawn	-1382.533691 680.477112 14.996775	-0.012 2.069 1.121
ttt_playerspawn	-1380.667480 828.290039 13.748288	-0.016 -1.029 -1.564
ttt_playerspawn	-1377.377563 993.131653 10.211024	-0.015 -0.905 -1.527
ttt_playerspawn	-492.683594 -76.402649 160.547394	-0.051 -0.000 0.051
ttt_playerspawn	-625.213745 -81.381187 160.554062	-0.045 -0.000 0.045
ttt_playerspawn	-1189.380371 -868.589478 0.554764	-0.087 0.227 -0.005
ttt_playerspawn	-1190.688477 -1040.171875 0.573469	-0.053 0.207 0.008
ttt_playerspawn	-1075.675659 -1037.755493 1.257801	-2.349 -0.155 0.046
ttt_playerspawn	-1069.502075 -876.317383 1.139495	-1.954 -0.184 0.007
ttt_playerspawn	-2355.736084 -95.665421 0.545413	0.031 -0.000 -0.032
ttt_playerspawn	-2240.782227 -87.695534 0.536019	-0.015 -0.224 0.122
ttt_playerspawn	-1794.429199 -89.321770 0.510105	-0.224 0.001 -0.043
ttt_playerspawn	-1688.232544 -92.309937 0.544425	0.000 -0.059 -0.147
weapon_ttt_smokegrenade	-2488.000000 2240.000000 -136.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-464.000000 -688.000000 264.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-472.000000 -672.000000 264.000000	0.000 0.000 0.000
item_ammo_357_ttt	-1144.000000 916.000000 482.000000	0.000 0.000 0.000
item_ammo_357_ttt	-1136.000000 916.000000 482.000000	0.000 0.000 0.000
item_ammo_357_ttt	-1160.000000 768.000000 482.000000	0.000 0.000 0.000
item_ammo_357_ttt	-1168.000000 768.000000 482.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-576.000000 48.000000 34.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-584.000000 48.000000 34.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-600.000000 48.000000 34.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-592.000000 48.000000 34.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	492.000000 -514.000000 41.000000	0.000 90.000 0.000
item_ammo_revolver_ttt	490.000000 -523.000000 41.000000	0.000 75.000 0.000
item_ammo_revolver_ttt	493.000000 -533.000000 41.000000	0.000 105.000 0.000
