# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_innocentmotel_sm
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	396.381195 181.101639 1.549210	-0.049 -0.000 0.049
ttt_playerspawn	398.908997 -12.960407 1.558235	-0.040 -0.000 0.040
ttt_playerspawn	392.563568 -272.610016 1.559473	-0.039 -0.000 0.039
ttt_playerspawn	393.102661 -439.569214 1.531355	-0.066 -0.000 0.066
ttt_playerspawn	201.609802 -449.254730 1.533393	-0.064 -0.000 0.064
ttt_playerspawn	204.174866 -266.652924 1.527090	-0.070 -0.000 0.070
ttt_playerspawn	204.749924 -44.193272 1.523717	-0.073 -0.000 0.073
ttt_playerspawn	206.317810 167.308853 1.518956	0.078 0.000 0.078
ttt_playerspawn	299.842407 92.659363 1.556959	-0.041 -0.000 0.041
ttt_playerspawn	307.478027 -132.126007 1.527090	-0.070 -0.000 0.070
ttt_playerspawn	304.488861 -364.419556 1.582501	-0.016 -0.000 0.017
ttt_playerspawn	117.267395 362.726440 1.528181	-0.069 -0.000 0.069
ttt_playerspawn	127.244530 808.067383 1.557283	-0.171 -0.041 -0.036
ttt_playerspawn	22.917677 -67.271133 97.450211	-0.015 -0.000 0.015
ttt_playerspawn	28.864456 -179.569565 97.500336	-0.010 -0.000 0.010
ttt_playerspawn	-415.629181 -241.630737 97.526283	-0.007 -0.000 0.007
ttt_playerspawn	-428.868683 -37.921696 97.463181	-0.014 -0.000 0.014
ttt_playerspawn	-645.320496 286.752136 97.510323	-0.009 -0.000 0.009
ttt_playerspawn	-1333.573486 -57.334133 97.504745	-0.009 -0.000 0.009
ttt_playerspawn	-884.628540 -589.702759 97.501823	-0.010 -0.000 0.010
ttt_playerspawn	-1306.423340 -732.676941 97.471191	-0.013 -0.000 0.013
ttt_playerspawn	-650.575806 -771.551270 97.525986	-0.071 -0.000 0.071
ttt_playerspawn	-494.049713 -569.299194 97.542709	-0.055 -0.000 0.055
ttt_playerspawn	-396.243500 -1033.422607 97.537292	-0.060 -0.000 0.060
ttt_playerspawn	-257.817444 -1422.209351 97.504745	-0.009 -0.000 0.009
ttt_playerspawn	-121.161011 -984.365051 97.495720	-0.010 -0.000 0.010
ttt_playerspawn	273.053894 -854.973083 97.485840	-0.011 -0.000 0.011
ttt_playerspawn	-244.098465 1360.572632 97.489235	-0.011 -0.000 0.011
ttt_playerspawn	-576.858704 835.741760 97.476891	-0.012 -0.000 0.012
ttt_playerspawn	-1301.674683 716.557617 97.514282	-0.009 -0.000 0.009
ttt_playerspawn	-131.221634 -101.807533 97.559021	-0.004 -0.000 0.004
ttt_playerspawn	-708.347595 -256.588226 97.562401	0.036 0.000 0.036
ttt_playerspawn	-419.845154 291.508728 97.485847	0.011 0.000 0.011
ttt_playerspawn	-141.948532 -454.998108 97.471191	-0.013 -0.000 0.013
ttt_playerspawn	277.360443 -1267.849609 97.487556	0.011 0.000 0.011
weapon_ttt_ak47	301.835968 97.140190 -214.974396	-0.152 -15.852 87.732
weapon_ttt_ak47	-498.154266 999.061401 -214.937408	-0.076 -15.856 88.094
weapon_ttt_ak47	-1032.258179 702.407593 353.063599	-0.019 -15.989 87.663
weapon_ttt_ak47	-1150.130493 815.271362 97.015045	-0.211 -15.514 87.931
weapon_ttt_ak47	-1230.444458 -213.939621 97.062454	-0.015 -15.990 87.595
weapon_ttt_ak47	278.186554 889.805603 1.047943	-0.122 -15.513 88.080
item_box_buckshot_ttt	-1244.901367 -1480.222900 96.334969	0.388 0.004 -0.303
item_box_buckshot_ttt	-1210.954712 -1479.847412 96.452393	-0.475 -0.007 0.421
item_box_buckshot_ttt	-1226.686157 -1481.208252 96.380463	-0.070 0.002 0.144
item_box_buckshot_ttt	-878.795837 -1329.380615 -215.620987	0.131 0.003 -0.021
item_box_buckshot_ttt	-888.313599 -1329.729004 -215.615051	-1.000 -0.010 0.896
item_box_buckshot_ttt	-899.093079 -1330.199219 -215.618484	-0.243 0.000 0.285
item_box_buckshot_ttt	-644.449829 662.340576 352.447449	-0.545 -0.005 0.423
item_box_buckshot_ttt	-655.575623 664.263733 352.469147	-0.337 -0.006 0.299
item_box_buckshot_ttt	-625.289734 664.563782 352.408447	-0.810 -0.005 0.719
item_box_buckshot_ttt	-337.864288 421.169861 416.409973	-1.023 -0.010 0.895
item_box_buckshot_ttt	-341.582794 403.424500 416.400726	-0.016 0.003 0.093
item_box_buckshot_ttt	-360.164185 409.735229 416.404877	-0.720 -0.005 0.663
item_box_buckshot_ttt	-789.731201 123.883881 96.393112	-0.964 -0.003 0.854
item_box_buckshot_ttt	-806.070374 120.051216 96.427010	-0.665 -0.006 0.591
item_box_buckshot_ttt	-793.774841 150.372330 96.380325	-0.065 0.002 0.139
item_box_buckshot_ttt	-1487.555542 846.761108 128.414825	-0.842 -0.015 0.676
item_box_buckshot_ttt	-1472.248901 840.919373 128.407089	-0.817 -0.005 0.730
item_box_buckshot_ttt	-1461.299194 831.543884 128.347305	0.719 0.003 -0.574
item_box_buckshot_ttt	-1238.802979 -311.552979 96.429543	-0.646 -0.007 0.574
item_box_buckshot_ttt	-1226.019531 -310.350098 96.429451	-0.687 -0.003 0.547
item_box_buckshot_ttt	-1207.972412 -312.063904 96.382378	-0.431 0.000 0.435
item_box_buckshot_ttt	-1128.937134 -193.662537 96.381149	-0.188 0.001 0.235
item_box_buckshot_ttt	-1144.807129 -193.907288 96.413063	-0.774 -0.005 0.687
item_box_buckshot_ttt	-1135.913574 -211.615829 96.408829	-0.993 0.001 0.802
weapon_ttt_smokegrenade	-630.234253 -439.872864 100.536293	1.647 0.008 -1.493
weapon_ttt_smokegrenade	-632.294678 -451.188354 100.533615	1.165 0.012 -0.956
weapon_ttt_smokegrenade	-1003.760010 -1301.769287 -211.443207	3.595 -0.096 -3.722
weapon_ttt_smokegrenade	-45.645123 -1051.543213 -211.506714	0.242 0.001 0.153
weapon_ttt_smokegrenade	-32.197201 -1070.461426 -211.485947	0.358 0.002 -0.020
weapon_ttt_smokegrenade	-470.196472 1137.577759 -211.401276	2.419 -0.130 -2.492
weapon_ttt_smokegrenade	-470.913879 1167.507202 -211.488403	0.328 0.002 0.019
weapon_ttt_smokegrenade	-797.382813 59.393261 100.528969	0.259 -0.181 -0.051
weapon_ttt_smokegrenade	-799.496765 47.397469 100.591866	0.153 -0.225 -0.026
weapon_ttt_smokegrenade	-1008.192139 956.447021 100.585175	2.751 -0.135 -2.833
weapon_ttt_smokegrenade	-867.762817 -164.933548 356.581055	0.171 -0.219 -0.030
weapon_ttt_smokegrenade	-685.106567 -196.228683 356.578156	0.176 -0.219 -0.032
weapon_ttt_smokegrenade	-702.640686 -197.108963 356.535461	0.248 -0.186 -0.048
weapon_ttt_smokegrenade	142.373886 -1412.354492 100.580986	2.814 -0.128 -2.890
item_ammo_357_ttt	-606.021973 -1485.444702 96.332451	0.450 0.063 0.056
item_ammo_357_ttt	-629.819336 -1487.439087 96.418663	0.467 0.053 0.021
item_ammo_357_ttt	-611.139404 -1398.541626 96.358734	0.455 0.059 0.045
item_ammo_357_ttt	-633.624023 -1398.437988 96.377235	0.459 0.055 0.038
item_ammo_357_ttt	-454.653320 278.664825 352.360870	0.467 0.060 0.040
item_ammo_357_ttt	-474.457825 272.812714 352.337128	0.464 0.066 0.048
item_ammo_357_ttt	-794.203369 76.472366 96.326691	0.463 0.070 0.052
item_ammo_357_ttt	-804.733765 76.445618 96.330971	0.464 0.070 0.051
