# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lego
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	1334.398804 90.626007 10.535753	-0.078 0.000 0.077
ttt_playerspawn	1336.063965 -10.639626 10.536714	-0.076 -0.000 0.077
ttt_playerspawn	1338.908447 -113.235321 10.536714	-0.077 0.000 0.076
ttt_playerspawn	1229.209351 -107.952637 10.542181	-0.070 -0.000 0.070
ttt_playerspawn	1224.131592 -9.414198 10.534780	-0.079 -0.000 0.079
ttt_playerspawn	1224.130737 92.715195 10.562053	-0.046 -0.000 0.045
ttt_playerspawn	1119.653198 99.122581 10.538590	-0.074 -0.000 0.074
ttt_playerspawn	1122.114746 -12.866674 10.560475	0.063 0.000 -0.063
ttt_playerspawn	1126.528564 -96.365471 10.539511	-0.073 -0.000 0.073
ttt_playerspawn	-1390.518555 75.407791 10.543037	-0.068 -0.000 0.069
ttt_playerspawn	-1388.067871 -16.970100 10.558476	-0.050 -0.000 0.051
ttt_playerspawn	-1385.867676 -110.545547 10.530727	-0.084 -0.000 0.084
ttt_playerspawn	-1491.249634 76.989929 10.543042	-0.069 0.000 0.069
ttt_playerspawn	-1495.235352 -15.943625 10.540414	-0.072 -0.000 0.072
ttt_playerspawn	-1496.830444 -110.432220 10.553867	-0.056 0.000 0.055
ttt_playerspawn	-1610.130127 74.906601 10.536704	0.076 0.000 0.077
ttt_playerspawn	-1610.341675 -15.579437 10.529674	-0.085 -0.000 0.085
ttt_playerspawn	-1608.943848 -111.862480 10.540414	-0.072 0.000 0.072
ttt_playerspawn	-97.883995 1938.382568 10.536714	-0.077 -0.000 0.076
ttt_playerspawn	3.170402 1943.335693 10.555906	-0.054 0.000 0.053
ttt_playerspawn	93.431915 1945.541748 10.529674	-0.085 -0.000 0.085
ttt_playerspawn	93.806053 1834.157715 10.550259	-0.060 -0.000 0.060
ttt_playerspawn	0.181859 1838.943726 10.541306	-0.071 -0.000 0.071
ttt_playerspawn	-98.467918 1840.172729 10.525304	-0.090 -0.000 0.090
ttt_playerspawn	-97.764343 1739.452759 10.548742	-0.062 -0.000 0.062
ttt_playerspawn	-0.514089 1736.060181 10.553168	-0.057 0.000 0.056
ttt_playerspawn	87.382034 1733.622070 10.537659	-0.075 -0.000 0.075
ttt_playerspawn	932.156494 -1051.471558 10.406761	-0.082 -0.000 0.082
ttt_playerspawn	1089.719849 -1056.082153 10.418041	-0.069 -0.000 0.069
ttt_playerspawn	-1073.099365 -1790.919434 10.532783	-0.081 -0.000 0.081
ttt_playerspawn	-947.248596 -1790.381714 10.530727	-0.084 -0.000 0.084
ttt_playerspawn	-829.060547 -1790.603149 10.568311	-0.039 0.000 0.037
item_box_buckshot_ttt	278.789001 410.273987 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	259.062988 441.170990 1.293890	0.000 0.000 0.000
