# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lumbridge_a4
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	112.265747 -107.215462 65.174957	2.111 5.694 -92.241
ttt_random_weapon	119.513084 -72.861588 65.190720	1.943 5.711 -92.585
ttt_random_weapon	125.603203 -127.416557 65.212746	1.709 5.717 -93.066
ttt_random_weapon	274.774536 -79.833740 65.168282	2.099 5.636 -92.318
ttt_random_weapon	275.822540 -106.267502 65.196487	1.882 5.711 -92.711
ttt_random_weapon	265.832001 -138.960602 65.199524	1.850 5.713 -92.777
ttt_random_weapon	-106.651276 -85.689796 65.138222	2.263 -0.254 -92.926
ttt_random_weapon	-101.653465 -113.822540 65.196495	1.882 5.711 -92.711
ttt_random_weapon	-113.372139 -135.557343 65.197266	1.874 5.711 -92.728
ttt_random_weapon	-269.397797 -135.547897 65.237671	1.443 5.728 -93.613
ttt_random_weapon	-274.694885 -109.372948 65.212746	1.709 5.717 -93.066
ttt_random_weapon	-272.523956 -86.013252 65.203064	1.812 5.715 -92.855
ttt_random_weapon	-335.207794 -104.612083 65.154846	2.323 5.662 -91.803
ttt_random_weapon	-334.679138 -126.266502 65.214317	1.692 5.719 -93.101
ttt_random_weapon	305.855804 -90.545029 65.212212	1.715 5.718 -93.055
ttt_random_weapon	313.896027 -116.383926 65.191582	1.934 5.710 -92.604
ttt_random_weapon	-102.710609 258.777435 113.232788	1.505 4.977 -93.445
ttt_random_weapon	-148.669098 256.797211 113.225441	1.588 4.986 -93.254
ttt_random_weapon	-194.742493 251.058273 113.228020	1.559 4.984 -93.321
ttt_random_weapon	-234.992554 250.743088 113.222137	1.625 4.988 -93.169
ttt_random_weapon	290.006073 427.882080 113.243294	1.283 5.377 -93.836
ttt_random_weapon	-1435.350952 -1136.166870 65.413948	-4.540 6.479 -93.695
ttt_random_weapon	-1433.719849 -1155.381714 66.332069	-3.870 -2.300 -1.331
ttt_random_weapon	-1321.411255 -1562.392578 67.961220	-2.402 7.982 -95.067
ttt_random_weapon	-1320.760864 -1523.489380 67.067848	-1.541 3.690 -92.341
ttt_random_weapon	-1323.352051 -1485.600586 66.302818	-1.705 6.552 -96.064
ttt_random_weapon	-1326.450562 -1449.774902 65.265533	0.935 3.573 -94.808
ttt_random_weapon	-1319.997070 -1589.524902 68.482346	-3.948 4.559 -94.607
ttt_random_weapon	-1318.770996 -1633.602905 67.815620	-3.079 2.697 -90.484
ttt_random_weapon	-962.376709 -1526.865479 66.199821	1.877 4.713 -92.592
ttt_random_weapon	-958.823303 -1549.143555 66.192802	1.793 5.017 -92.598
ttt_random_weapon	-960.882263 -1504.820923 66.224709	1.596 4.687 -93.235
ttt_random_weapon	-962.297180 -1471.944336 66.176544	1.928 5.020 -92.234
ttt_random_weapon	-1249.654785 -953.940796 59.734192	1.022 3.492 -91.405
ttt_random_weapon	-1261.025391 -918.451172 59.670437	1.992 2.930 -93.305
ttt_random_weapon	-1152.750122 -921.032410 62.055611	-2.533 5.269 -93.599
ttt_random_weapon	-1154.588135 -964.910217 62.096016	-5.581 -8.129 86.297
ttt_random_weapon	-194.436646 -1419.278198 97.219284	1.658 4.765 -93.095
ttt_random_weapon	-192.925293 -1397.081299 97.220566	1.643 4.764 -93.128
ttt_random_weapon	-190.430786 -1370.910400 97.209694	1.766 4.772 -92.847
ttt_random_weapon	-188.752213 -1350.486084 97.196098	1.919 4.783 -92.496
ttt_random_weapon	-191.867065 -1333.430908 97.227119	1.569 4.759 -93.298
ttt_random_weapon	-191.139862 -1312.825562 97.209694	1.766 4.772 -92.847
ttt_random_weapon	-184.752197 -1037.197632 97.166046	2.243 5.003 -91.738
ttt_random_weapon	-184.874115 -1007.422180 97.236877	1.459 3.284 -93.551
ttt_random_weapon	-188.680130 -1064.718384 97.202034	1.852 4.778 -92.649
ttt_random_weapon	-184.802521 -1090.957397 97.161011	2.154 2.681 -92.090
ttt_random_weapon	-184.780869 -1111.939575 97.205597	1.804 5.157 -92.789
ttt_random_weapon	-185.520416 -1136.750000 97.200615	1.868 4.779 -92.613
ttt_random_weapon	254.885788 -925.312378 65.034157	3.154 2.669 -91.987
ttt_random_weapon	243.380188 -864.389771 65.219429	1.656 4.251 -93.099
ttt_random_weapon	623.501465 -794.381653 82.051506	-0.854 6.751 -97.550
ttt_random_weapon	196.863297 -1926.557983 80.513588	2.960 -4.535 86.297
ttt_random_weapon	159.703339 -1931.079590 82.820770	1.488 -10.261 90.308
ttt_random_weapon	1330.978638 -1560.669678 40.623177	-2.809 -10.134 92.932
ttt_random_weapon	1574.456665 -1468.909668 33.217243	1.661 5.719 -93.165
ttt_random_weapon	1447.372681 -1594.862305 40.148067	-1.003 7.057 -94.879
ttt_random_weapon	1958.657349 -1538.385742 32.390144	0.009 1.344 -96.433
ttt_random_weapon	1952.802979 -1577.072021 33.545609	1.227 6.325 -94.484
ttt_random_weapon	-799.059204 -2228.009277 65.202164	1.851 4.124 -92.653
ttt_random_weapon	-768.937012 -2199.097656 65.178452	1.312 3.082 -92.617
ttt_random_weapon	509.956055 -408.173065 93.608574	3.527 12.775 -101.129
ttt_random_weapon	506.113373 -367.493195 87.535049	4.434 2.972 -99.582
ttt_random_weapon	997.312683 -639.534546 65.132965	1.759 4.773 -94.721
ttt_random_weapon	1162.945435 -258.043823 66.236710	1.460 4.437 -93.547
ttt_random_weapon	1077.014771 647.012146 72.981888	0.863 4.068 -92.616
ttt_random_weapon	1076.863403 676.543518 72.498283	0.864 5.664 -93.211
ttt_random_weapon	2101.691406 -14.469771 97.222168	1.625 6.617 -93.170
ttt_random_weapon	1880.002808 -347.401306 97.205376	1.815 6.630 -92.736
ttt_random_weapon	1874.030640 -310.416138 97.202019	1.853 6.632 -92.649
ttt_random_weapon	1751.722656 -362.341431 95.179161	1.548 4.611 -93.283
ttt_random_weapon	1736.568481 -32.600281 92.897118	2.964 4.194 -96.418
ttt_random_weapon	1739.867920 -57.438881 93.839622	0.800 6.406 -94.269
ttt_random_weapon	-479.693176 -304.503387 65.182732	1.209 3.699 -93.374
ttt_random_weapon	-444.196320 -313.120300 65.218437	1.667 4.457 -93.073
ttt_random_weapon	-555.672913 387.847992 113.191444	1.972 4.920 -92.376
ttt_random_weapon	-552.450684 422.231323 113.215256	1.703 4.926 -92.991
ttt_random_weapon	-554.557068 459.026093 113.213860	1.531 4.546 -93.265
ttt_random_weapon	-556.300537 489.412903 113.206261	1.805 4.927 -92.758
ttt_random_weapon	-552.931030 515.810059 113.226585	1.575 4.917 -93.284
ttt_random_weapon	-550.759399 553.983582 113.235596	1.473 4.909 -93.518
ttt_random_weapon	-550.835205 605.607117 113.197144	1.907 4.928 -92.523
ttt_random_weapon	-552.578796 645.217651 113.229599	1.541 4.915 -93.362
ttt_random_weapon	-553.852234 690.475403 113.206886	1.798 4.929 -92.775
ttt_random_weapon	-550.410339 744.189453 113.233994	1.491 4.910 -93.476
ttt_random_weapon	-377.217712 885.227051 385.218109	1.671 4.924 -93.065
