# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_magma_v2a
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	-209.216660 -103.180397 -254.460266	-0.059 -0.000 0.059
ttt_playerspawn	-440.284241 -108.344978 -254.464996	-0.063 -0.000 0.063
ttt_playerspawn	-343.126984 146.203369 -254.473343	-0.072 -0.000 0.072
ttt_playerspawn	-141.257080 143.615433 -254.470093	-0.068 -0.000 0.068
ttt_playerspawn	-536.667786 405.343018 -254.483978	-0.082 -0.000 0.082
ttt_playerspawn	-48.400982 -0.051394 1.523296	-0.075 -0.000 0.075
ttt_playerspawn	-50.782246 -113.450897 1.534027	-0.064 -0.000 0.064
ttt_playerspawn	-176.534348 -111.175163 1.547365	-0.051 -0.000 0.051
ttt_playerspawn	-174.289917 0.077822 1.519745	-0.078 -0.000 0.078
ttt_playerspawn	-43.203720 100.907532 1.541513	-0.057 -0.000 0.057
ttt_playerspawn	-168.958557 103.062958 1.536942	-0.062 -0.000 0.062
ttt_playerspawn	-302.241364 1.830718 1.538812	-0.060 -0.000 0.060
ttt_playerspawn	-440.853119 0.337121 1.536669	-0.062 -1.166 0.065
ttt_playerspawn	-529.430420 108.958092 1.542388	-0.056 -0.000 0.056
ttt_playerspawn	-528.879456 -92.319305 1.575173	-0.024 -0.000 0.025
ttt_playerspawn	-527.287292 6.042090 1.525575	-0.073 -0.000 0.073
ttt_playerspawn	-617.918213 112.459518 1.556062	-0.043 -0.000 0.043
ttt_playerspawn	-621.836365 2.969251 1.548928	-0.050 -0.000 0.050
ttt_playerspawn	-622.075134 -89.529449 1.558003	-0.041 -0.000 0.041
ttt_playerspawn	1075.681274 893.979858 1.473134	-0.013 -0.000 0.013
ttt_playerspawn	1077.875366 1056.418945 1.454675	-0.014 -0.000 0.014
ttt_playerspawn	1070.595581 1199.433105 1.467258	-0.013 -0.000 0.013
ttt_playerspawn	769.027527 -1220.488281 1.528865	-0.069 -0.000 0.069
