# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_cave_r
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	1907.890991 -2625.656250 1006.694397	0.066 -0.607 0.171
ttt_playerspawn	1908.590820 -2748.987793 1007.351624	0.066 -1.761 0.263
ttt_playerspawn	1805.984619 -2608.038330 1008.019714	-0.046 -2.392 0.046
ttt_playerspawn	1802.843872 -2741.093750 1006.705322	0.155 0.807 -0.157
ttt_playerspawn	1721.342407 -2751.126709 1008.285706	-0.057 0.003 0.090
ttt_playerspawn	1792.903564 -2833.501953 1008.725281	-0.223 -0.441 -0.044
ttt_playerspawn	1681.803955 -2975.666016 727.315430	0.281 -4.102 -0.091
ttt_playerspawn	1764.199463 -2846.054688 726.300110	-0.055 -1.379 0.168
ttt_playerspawn	1876.156616 -2839.643066 728.132141	0.000 -0.421 -0.000
ttt_playerspawn	2046.378540 -2778.968750 729.065369	-0.071 -0.868 0.072
ttt_playerspawn	1973.213867 -2832.296387 727.221436	-0.047 3.112 0.047
ttt_playerspawn	2065.667969 -2675.179932 725.998230	-0.062 3.942 0.063
ttt_playerspawn	1936.997437 -2626.885254 729.810974	-0.009 -2.986 0.233
ttt_playerspawn	2111.852051 -2586.399658 725.129883	-0.059 -2.396 0.059
ttt_playerspawn	2056.610596 -2495.531494 726.195435	-0.050 -0.000 0.050
ttt_playerspawn	1869.110474 -2457.264404 729.289185	-0.081 0.631 0.081
ttt_playerspawn	1842.929810 -2284.991455 726.276550	-0.062 -0.848 0.062
ttt_playerspawn	2081.204590 -2095.964844 727.682861	0.017 -5.669 0.210
ttt_playerspawn	2706.678711 -2051.869141 731.780823	-0.072 -0.861 0.072
ttt_playerspawn	2734.870850 -1832.960693 725.301392	0.006 -6.700 0.169
ttt_playerspawn	2610.602295 -1531.922852 686.400269	-0.052 0.132 0.202
ttt_playerspawn	2570.282471 -1238.057129 727.078796	-0.069 -0.862 0.072
ttt_playerspawn	2277.048584 -876.768799 731.775269	0.018 0.173 0.163
ttt_playerspawn	2046.573120 -850.461182 727.933105	-0.181 -0.854 0.109
ttt_playerspawn	1765.420288 -890.267090 764.947510	-0.033 1.739 0.032
ttt_playerspawn	1183.379883 -859.226318 764.534729	-0.048 7.054 0.048
ttt_playerspawn	1963.145996 -2548.802734 723.939880	-0.008 1.643 0.184
ttt_playerspawn	2068.420166 -2305.334229 765.927917	0.046 0.843 0.046
ttt_playerspawn	2597.103516 -2465.795898 730.223938	-0.003 -2.040 0.117
ttt_playerspawn	2756.453369 -2337.863037 732.193176	-0.006 -1.293 0.234
ttt_playerspawn	2379.939453 -2472.236572 729.111145	0.028 -4.232 -0.043
ttt_playerspawn	2516.086182 -2993.465332 487.043152	-0.125 -3.448 -0.014
ttt_playerspawn	2132.340576 -3017.241455 412.350891	-0.064 -2.623 0.065
ttt_playerspawn	1753.572632 -3056.558105 407.051483	0.057 -0.847 0.249
ttt_playerspawn	1253.311157 -2879.721924 606.000793	-0.063 -0.000 0.063
ttt_playerspawn	2375.810547 -837.321228 741.754272	0.147 1.413 -0.000
ttt_playerspawn	720.531311 -859.244446 769.180908	0.061 -0.415 0.061
ttt_playerspawn	2483.934082 -1309.362427 727.190186	-0.149 -3.418 -0.001
ttt_playerspawn	2050.701416 -1009.582092 729.766541	-0.015 -4.842 0.131
ttt_playerspawn	2090.883545 -1460.164551 813.812561	3.606 -5.590 3.614
ttt_playerspawn	2470.743652 -1863.059692 774.681213	0.030 -3.933 -0.030
ttt_playerspawn	2124.240723 -1675.446167 812.458130	-0.042 -0.895 0.042
ttt_playerspawn	1709.720459 -1797.517090 731.661621	0.017 -0.142 0.162
ttt_playerspawn	1243.325684 -1971.691284 733.355225	-0.060 -4.896 0.060
ttt_playerspawn	1435.044556 -2089.288330 730.758057	-0.074 -5.691 0.074
ttt_random_weapon	1732.001099 -2610.935303 1008.853699	-1.658 82.734 84.509
ttt_random_weapon	1772.438110 -2942.931152 1012.409119	1.671 0.218 -94.480
ttt_random_weapon	1656.993652 -2794.950684 761.195496	1.925 4.214 -92.482
ttt_random_weapon	1617.928467 -2649.003906 801.235168	1.473 4.151 -93.518
ttt_random_weapon	1975.191895 -2371.231934 761.215515	1.698 4.186 -93.003
ttt_random_weapon	2043.869263 -2373.567627 761.222595	1.619 4.175 -93.183
ttt_random_weapon	2128.044434 -2332.764648 761.215027	1.703 4.188 -92.990
ttt_random_weapon	2165.732910 -2291.740723 761.218323	1.665 4.179 -93.077
ttt_random_weapon	2162.252197 -2261.336426 761.229431	1.538 4.164 -93.370
ttt_random_weapon	2123.654541 -2228.957764 761.213989	1.715 4.189 -92.964
ttt_random_weapon	2087.470459 -2178.552979 761.212585	1.731 4.188 -92.926
ttt_random_weapon	1996.883789 -2217.275879 761.231506	1.514 4.159 -93.423
ttt_random_weapon	1990.896240 -2259.464844 761.247986	1.332 4.496 -93.840
ttt_random_weapon	2733.925293 -1324.661011 761.151184	2.228 1.933 -92.561
ttt_random_weapon	2755.764893 -1018.113647 761.228699	1.547 4.161 -93.348
ttt_random_weapon	1462.441650 -2540.405762 761.215576	1.697 4.185 -93.006
ttt_random_weapon	1063.360962 -2652.877197 721.221741	1.628 4.173 -93.163
ttt_random_weapon	2089.455566 -2902.148438 401.206696	1.800 4.195 -92.770
ttt_random_weapon	2420.887939 -3133.847412 481.222534	1.620 4.169 -93.180
ttt_random_weapon	2690.868652 -2868.110107 481.224243	1.600 4.163 -93.226
ttt_random_weapon	2686.347168 -2908.012451 481.213928	1.718 4.179 -92.958
ttt_random_weapon	2479.981201 -2573.464600 721.204956	1.818 4.199 -92.727
ttt_random_weapon	2903.729248 -2286.144287 766.337891	0.000 100.967 -90.000
ttt_random_weapon	2898.319092 -2147.270020 767.398987	-0.000 101.859 -90.000
ttt_random_weapon	2025.096191 -1530.301880 841.210571	1.755 4.194 -92.872
ttt_random_weapon	1899.286865 -1578.759644 841.208862	1.776 4.198 -92.825
ttt_random_weapon	1975.848999 -1202.354858 721.196289	1.674 8.591 -92.781
ttt_random_weapon	1260.639282 -1258.633179 721.212585	1.529 5.345 -93.497
ttt_random_weapon	982.335815 -1257.646362 721.208191	1.529 5.264 -93.434
ttt_random_weapon	984.761780 -1540.574951 721.202820	1.582 5.345 -93.403
ttt_random_weapon	503.243500 -1931.566284 721.201721	1.854 4.207 -92.644
