# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_dolls_r
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-968.997559 -121.854553 -599.100769	0.122 11.849 -87.640
weapon_ttt_ak47	-967.938354 -69.695976 -599.133667	0.169 11.848 -87.283
weapon_ttt_ak47	-977.290894 105.838814 -599.067017	0.107 11.819 -88.758
ttt_playerspawn	963.894409 308.408264 -626.416016	0.022 0.436 0.100
ttt_playerspawn	957.645630 129.434296 -626.275818	-0.055 0.739 0.055
ttt_playerspawn	711.246887 394.259644 -632.928955	0.054 -0.323 0.054
ttt_playerspawn	716.420776 240.847885 -635.743713	-0.086 0.554 0.086
ttt_playerspawn	720.151367 -94.844009 -626.559570	-0.054 -0.091 0.054
ttt_playerspawn	1063.955933 -182.050903 -631.763123	-0.086 -0.462 0.086
ttt_playerspawn	585.669189 -324.085480 -630.440857	-0.051 0.092 0.051
ttt_playerspawn	504.463715 91.900337 -633.731812	-0.077 -0.462 0.077
ttt_playerspawn	573.726746 398.555084 -630.903442	-0.093 0.832 0.093
ttt_playerspawn	324.155518 118.976578 -634.517761	-0.051 -0.092 0.051
ttt_playerspawn	375.868256 470.565247 -636.031555	-0.032 0.092 0.032
ttt_playerspawn	76.991928 133.047501 -632.432129	-0.075 0.918 0.075
ttt_playerspawn	129.247177 432.634338 -635.767761	-0.061 -0.277 0.061
ttt_playerspawn	-189.735245 261.355347 -633.680786	-0.065 0.462 0.065
ttt_playerspawn	-111.457939 446.794006 -633.534058	-0.054 0.370 0.054
ttt_playerspawn	-141.136765 52.755733 -632.932678	-0.056 -0.462 0.056
ttt_playerspawn	-300.104523 493.567291 -632.025940	-0.074 -0.554 0.074
ttt_playerspawn	-34.399654 586.605957 -633.966980	-0.080 -0.370 0.080
ttt_playerspawn	-687.730469 -555.099548 -637.250671	-0.088 0.277 0.088
ttt_playerspawn	-655.349304 -433.105164 -634.747559	-0.088 -0.739 0.088
ttt_playerspawn	-271.721832 -510.811920 -630.807007	-0.003 -1.210 0.088
ttt_playerspawn	-466.489075 -607.713196 -634.290527	-0.068 0.826 0.068
ttt_playerspawn	-426.646301 -492.227264 -637.456604	-0.061 0.185 0.061
ttt_playerspawn	-303.057434 -655.343445 -637.732239	-0.081 0.046 0.081
ttt_playerspawn	-120.912079 -588.544189 -632.058167	-0.056 -0.462 0.056
ttt_playerspawn	-131.509277 -451.382446 -636.120056	-0.084 0.554 0.084
ttt_playerspawn	1644.981445 -948.932739 -635.898438	-0.096 -0.277 0.096
ttt_playerspawn	1624.830933 -1020.218262 -635.120239	-0.068 -1.478 0.068
ttt_playerspawn	805.432312 -977.738037 -634.797424	-0.065 -0.171 0.065
ttt_playerspawn	458.487488 -983.242249 -635.731567	-0.054 0.225 0.054
ttt_playerspawn	-27.177551 -980.055115 -635.409058	-0.074 -0.277 0.074
ttt_playerspawn	-264.476501 -970.941345 -636.389099	-0.092 0.139 0.092
ttt_playerspawn	946.603882 -986.369873 -636.166260	-0.064 0.092 0.064
ttt_playerspawn	1395.519775 -988.608521 -636.699158	-0.086 1.201 0.086
ttt_playerspawn	652.342896 -976.921448 -635.849854	-0.031 -0.460 0.031
ttt_playerspawn	296.052490 -974.087646 -635.715576	-0.097 -0.000 0.097
ttt_playerspawn	-619.743225 -990.497925 -636.684814	-0.039 0.185 0.039
ttt_playerspawn	1262.079346 -980.673279 443.253113	-0.075 0.370 0.075
ttt_playerspawn	931.610168 -993.532166 446.230774	-0.072 0.370 0.072
ttt_playerspawn	1416.860107 617.083923 -476.961060	-0.209 -0.458 -0.189
ttt_playerspawn	1336.242065 -165.013412 -628.839294	-0.072 -0.277 0.072
ttt_playerspawn	1285.561523 127.182343 -629.701721	-0.073 0.185 0.073
ttt_playerspawn	1208.846313 -6.001826 -629.145996	-0.040 0.924 0.040
weapon_ttt_smokegrenade	120.786003 -711.122986 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-149.548996 -733.200012 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-414.657013 -726.369995 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-265.028015 -296.916992 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	221.082993 -250.723007 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	843.729980 -682.799011 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	1564.770020 -685.580017 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	1618.839966 601.434021 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	972.828979 715.504028 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	534.085999 702.690979 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	284.768005 695.533020 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-812.794006 923.312012 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-968.065002 595.169006 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-937.431030 192.125000 -639.057983	0.000 0.000 0.000
weapon_ttt_smokegrenade	-863.421997 747.411011 -399.058014	0.000 0.000 0.000
weapon_ttt_smokegrenade	-765.056030 906.070007 -359.058014	0.000 0.000 0.000
weapon_ttt_smokegrenade	-900.734009 195.332001 -439.058014	0.000 0.000 0.000
weapon_ttt_smokegrenade	-766.676025 89.510002 -439.058014	0.000 0.000 0.000
