# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_rooftops_2016_fix
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	2560.597168 -1965.820923 1532.449951	0.050 147.957 -88.192
weapon_ttt_ak47	3525.186768 -1807.421509 1612.851929	0.187 11.250 -87.107
weapon_ttt_ak47	6349.533203 -2186.610352 1412.885376	0.142 11.848 -87.489
ttt_playerspawn	689.337219 -6021.939453 977.924805	-0.024 0.462 0.024
ttt_playerspawn	834.830566 -6024.633789 979.390503	-0.078 -1.570 0.078
ttt_playerspawn	975.813049 -6020.714844 977.343506	-0.051 0.554 0.051
ttt_playerspawn	1121.875732 -6010.888184 978.969360	-0.077 -0.000 0.077
ttt_playerspawn	1303.386963 -6016.773438 977.284058	-0.057 1.756 0.057
ttt_playerspawn	969.551453 -5910.891602 981.184204	-0.067 1.109 0.067
ttt_playerspawn	961.922852 -5505.227051 901.273499	-0.082 -0.000 0.082
ttt_playerspawn	962.362610 -5340.356445 896.334106	-0.057 0.462 0.057
ttt_playerspawn	962.076050 -5140.351074 897.848145	-0.068 1.109 0.068
ttt_playerspawn	964.469299 -5042.175781 899.955383	-0.049 0.370 0.049
ttt_playerspawn	2210.466309 -5042.235352 1167.322632	-0.070 -0.092 0.070
ttt_playerspawn	2096.538818 -4801.772461 1169.077881	-0.034 5.313 0.034
ttt_playerspawn	1940.797607 -4806.203125 1157.741455	-0.022 1.479 0.022
ttt_playerspawn	4937.420410 -4599.981934 1199.366089	-0.028 0.832 0.028
ttt_playerspawn	5047.158691 -4605.023438 1198.954590	-0.047 0.476 0.047
ttt_playerspawn	5041.218262 -4978.586426 1199.200562	-0.044 -0.370 0.044
ttt_playerspawn	5395.019043 -4978.001953 1196.542480	-0.039 1.478 0.039
ttt_playerspawn	5490.171387 -4630.620117 1196.275391	-0.027 1.525 0.027
ttt_playerspawn	5353.070313 -4560.478516 1197.988281	-0.025 1.201 0.025
ttt_playerspawn	5468.280762 -5911.045410 1418.394165	-0.062 -0.092 0.062
ttt_playerspawn	5457.816406 -5770.828125 1418.461426	-0.019 0.277 0.019
ttt_playerspawn	5248.090820 -5939.562988 1424.467163	-0.065 -0.647 0.065
ttt_playerspawn	4848.132813 -5880.350098 1299.222778	-0.078 0.510 0.078
ttt_playerspawn	4267.359375 -6361.946777 1181.918457	-0.052 0.739 0.052
ttt_playerspawn	4268.565918 -6222.147949 1186.401978	-0.080 2.033 0.080
ttt_playerspawn	4291.964844 -6090.193848 1178.681274	-0.078 0.554 0.078
ttt_playerspawn	4357.621582 -5888.392090 1177.637329	0.080 0.647 0.080
ttt_playerspawn	4247.040527 -4596.787598 1136.736694	-0.079 -1.016 0.079
ttt_playerspawn	4211.876953 -5205.492676 1136.552246	-0.071 1.663 0.071
ttt_playerspawn	4217.208496 -5101.081543 1136.766113	-0.050 1.987 0.049
