# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_metropolis
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	916.223145 -1369.638184 1416.529907	-0.068 -0.000 0.068
ttt_playerspawn	914.321167 -1233.258545 1416.535156	-0.063 -0.000 0.063
ttt_playerspawn	1650.044922 425.655945 1544.553223	-0.046 -0.000 0.045
ttt_playerspawn	1641.607788 310.213501 1544.531860	-0.066 -0.000 0.066
ttt_playerspawn	-54.152172 463.401611 1152.531982	-0.066 -0.000 0.066
ttt_playerspawn	139.633453 449.129028 1152.514771	-0.083 -0.000 0.083
ttt_playerspawn	-219.548813 543.148926 1280.513428	-0.085 0.000 -0.085
ttt_playerspawn	-105.054489 551.647461 1280.567871	-0.106 -0.554 -0.070
ttt_playerspawn	-265.858124 333.179749 1152.531006	-0.067 -0.000 0.067
ttt_playerspawn	916.394653 347.721893 1152.539795	-0.059 -0.000 0.059
ttt_playerspawn	769.997864 343.500793 1152.533081	-0.065 -0.000 0.065
ttt_playerspawn	842.410522 659.445129 1152.485718	-0.011 -0.000 0.011
ttt_playerspawn	1010.018311 -963.977173 1280.546387	-0.065 -0.000 0.065
ttt_playerspawn	736.342163 -846.536926 1280.544067	-0.068 -0.000 0.068
ttt_playerspawn	605.152832 -850.208191 1280.559692	-0.048 -0.000 0.049
ttt_playerspawn	-5.818357 -1432.442505 1664.534058	-0.064 -0.000 0.064
ttt_playerspawn	-138.589676 -1431.669922 1664.543213	-0.055 -0.000 0.055
ttt_playerspawn	53.631081 -1098.677490 1664.521973	-0.076 -0.000 0.076
ttt_playerspawn	-76.319443 -1100.270386 1664.544922	-0.054 -0.000 0.054
ttt_playerspawn	2456.634033 630.547241 1408.526611	-0.072 -0.000 0.072
ttt_playerspawn	2588.011963 904.563110 1408.532959	-0.066 -0.000 0.065
ttt_playerspawn	1466.853638 892.778320 1408.517212	-0.081 -0.000 0.081
ttt_playerspawn	1194.001709 893.752991 1408.550293	-0.048 -0.000 0.048
ttt_playerspawn	2940.737305 487.504913 1408.547974	-0.051 -0.000 0.050
ttt_playerspawn	3758.237061 627.845459 1408.546509	-0.052 -0.000 0.052
ttt_playerspawn	3763.421387 786.290527 1408.521973	-0.076 -0.000 0.076
ttt_playerspawn	4099.619141 326.829620 1664.531860	-0.067 -0.000 0.066
ttt_playerspawn	3898.075195 329.953094 1664.531860	-0.067 -0.000 0.066
ttt_playerspawn	4409.523926 -1680.356567 1664.532959	-0.066 -0.000 0.065
ttt_playerspawn	4404.690430 -1493.856445 1664.528687	-0.070 -0.000 0.069
ttt_playerspawn	4245.476563 -1594.183594 1664.537720	-0.061 -0.000 0.060
ttt_playerspawn	4234.929688 -1769.907837 1664.526611	-0.072 -0.000 0.071
ttt_playerspawn	4231.095215 -339.690765 1664.546265	-0.065 -0.000 0.065
ttt_playerspawn	4227.592285 -522.162170 1664.543945	-0.068 -0.000 0.068
ttt_playerspawn	2494.443848 -1671.019165 1536.518433	-0.080 -0.000 0.080
ttt_playerspawn	2231.445068 -1664.807617 1536.526733	-0.072 -0.000 0.072
ttt_playerspawn	2023.913452 -1113.592773 1536.518433	-0.080 -0.000 0.080
ttt_playerspawn	2025.149414 -1282.145142 1536.545044	-0.053 -0.000 0.053
ttt_playerspawn	1653.613281 -1373.350220 1280.540283	-0.072 -0.000 0.072
ttt_playerspawn	1656.163940 -1233.517700 1280.549438	-0.061 -0.000 0.061
item_box_buckshot_ttt	2767.239990 737.164978 1409.290039	0.000 0.000 0.000
item_box_buckshot_ttt	2787.840088 736.500000 1409.290039	0.000 0.000 0.000
