# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_outset_island
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	3889.487793 -397.765381 122.354408	0.125 13.086 -87.598
weapon_ttt_ak47	-1244.227661 -6730.997559 -1758.559814	-0.570 4.380 -92.506
weapon_ttt_ak47	3439.801514 1661.102051 3115.399170	0.106 11.850 -87.764
ttt_playerspawn	593.400208 -2659.263916 -153.265930	0.042 -0.000 -0.042
ttt_playerspawn	740.346436 -2706.232910 -153.286591	0.050 -0.000 -0.050
ttt_playerspawn	606.717957 -2825.427734 -302.729797	-0.037 -0.000 0.037
ttt_playerspawn	576.794312 -2905.198486 -302.746460	-0.044 -0.000 0.044
ttt_playerspawn	626.813049 -3137.891357 -302.753265	-0.047 -0.000 0.047
ttt_playerspawn	656.037720 -3051.621582 -302.753265	-0.047 -0.000 0.047
ttt_playerspawn	692.889893 -2951.756104 -302.756775	-0.048 -0.000 0.048
ttt_playerspawn	717.569763 -2873.183350 -302.746460	-0.044 -0.000 0.044
ttt_playerspawn	508.961731 -3096.062012 -297.138794	-0.083 0.000 -0.083
ttt_playerspawn	400.837250 -3370.875244 -133.256699	0.039 0.000 0.039
ttt_playerspawn	250.836517 -3438.939453 -125.817703	-0.000 -33.423 0.000
ttt_playerspawn	302.670532 -3305.422119 -150.419510	-0.000 -16.065 0.000
ttt_playerspawn	501.862457 -3388.524902 -158.983932	-0.000 -15.582 0.000
ttt_playerspawn	459.622040 -3521.839355 -115.317261	-0.000 -21.383 0.000
ttt_playerspawn	1667.844849 -1778.530396 -381.719971	0.000 0.007 0.000
ttt_playerspawn	1538.573242 -1781.788818 -386.446960	-0.000 4.433 0.000
ttt_playerspawn	1407.331299 -1791.446045 -382.526184	0.000 1.399 0.000
ttt_playerspawn	1404.065186 -1960.642212 -412.290192	0.199 0.168 0.868
ttt_playerspawn	1534.958862 -1953.976929 -412.393707	0.201 -0.239 0.835
ttt_playerspawn	1665.431152 -1949.158203 -407.129120	0.199 1.561 0.871
ttt_playerspawn	2426.718262 -1551.552612 -383.197571	-0.000 45.000 0.000
ttt_playerspawn	2607.392334 -1466.468750 -386.273743	-0.000 35.787 0.001
ttt_playerspawn	2742.299805 -1408.931519 -379.935394	0.000 0.000 0.000
ttt_playerspawn	2869.601563 -1360.521118 -389.430786	1.168 0.111 1.096
ttt_playerspawn	2989.287842 -1566.588501 -412.209900	0.202 0.370 0.817
ttt_playerspawn	2850.339844 -1626.689209 -409.972931	0.198 1.301 0.879
ttt_playerspawn	2668.376465 -1708.751953 -409.733978	0.200 1.523 0.852
ttt_playerspawn	2514.519043 -1774.072144 -408.443268	0.199 -0.802 0.857
ttt_playerspawn	1818.318481 -1935.762207 -405.194611	0.000 2.389 0.000
ttt_playerspawn	1789.136108 -1757.353882 -374.653107	-0.000 1.349 0.000
ttt_playerspawn	665.010071 -2524.056641 -153.193527	0.013 0.000 0.013
ttt_playerspawn	756.696594 -2573.076416 -153.207962	-0.019 -0.000 0.019
ttt_playerspawn	618.968811 -1657.920532 -374.526855	-0.000 -0.000 -0.000
ttt_playerspawn	573.423340 -1789.509277 -402.954224	-0.044 0.047 0.064
ttt_playerspawn	764.912354 -1842.437622 -399.364838	-0.000 -0.000 0.000
ttt_playerspawn	805.858582 -1718.850464 -378.600525	0.000 -0.000 0.000
weapon_ttt_smokegrenade	439.815765 -2720.787354 -240.823822	-0.976 -1.572 -1.491
weapon_ttt_smokegrenade	428.160706 -2744.543213 -240.805252	-0.792 -1.677 -1.208
weapon_ttt_smokegrenade	3050.834961 -1050.591919 -361.770935	-27.968 43.621 94.775
weapon_ttt_smokegrenade	3064.259033 -1044.052002 -361.852570	-29.142 43.440 95.026
weapon_ttt_smokegrenade	1539.909180 -238.249481 -208.215912	-0.991 -1.578 -1.514
weapon_ttt_smokegrenade	1538.650024 -248.367996 -208.204666	-0.879 -1.638 -1.342
weapon_ttt_smokegrenade	3116.073486 -1062.098877 -64.006226	-0.269 -1.758 -0.405
weapon_ttt_smokegrenade	3122.321777 -1078.470459 -64.048889	-0.692 -1.712 -1.055
weapon_ttt_smokegrenade	1935.977783 -884.320557 -120.088326	14.188 45.193 -97.355
weapon_ttt_smokegrenade	1943.588989 -897.240051 -118.271706	14.782 45.134 -98.116
weapon_ttt_smokegrenade	-2806.686279 371.073151 -147.126007	-0.804 -0.911 -0.568
weapon_ttt_smokegrenade	-2784.351318 375.159149 -147.101547	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-2252.400391 1924.000366 1147.659546	-1.858 -1.283 -1.887
weapon_ttt_smokegrenade	-2257.213379 1911.718872 1147.679077	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	982.516479 -64.584198 -231.008621	-1.303 1.389 2.438
weapon_ttt_smokegrenade	985.918091 -173.984573 -233.811752	-1.236 -1.287 -1.862
item_box_buckshot_ttt	466.063477 -2726.971436 -302.851624	0.890 0.001 0.775
item_box_buckshot_ttt	474.127319 -2711.001953 -302.896545	-0.498 0.002 -0.419
item_box_buckshot_ttt	487.653717 -2718.393555 -302.794769	0.630 -0.009 0.517
item_box_buckshot_ttt	482.948700 -2734.278320 -302.775055	0.452 -0.012 0.371
item_box_buckshot_ttt	355.561676 -2970.155518 -302.778198	0.480 -0.012 0.394
item_box_buckshot_ttt	362.412537 -2950.607178 -302.838287	1.057 0.029 0.868
item_box_buckshot_ttt	379.213501 -2956.347168 -302.852631	0.818 0.001 0.720
item_box_buckshot_ttt	370.091034 -2975.524658 -302.762115	0.334 -0.013 0.275
item_box_buckshot_ttt	1970.293091 -1822.073120 -413.662811	0.030 0.164 0.898
item_box_buckshot_ttt	1977.919556 -1838.663818 -413.900543	0.052 0.163 0.884
item_box_buckshot_ttt	1957.122925 -1844.320801 -413.872589	0.091 0.161 0.858
item_box_buckshot_ttt	1952.339966 -1826.445679 -413.591522	0.116 0.162 0.843
item_box_buckshot_ttt	2035.855347 -1606.937134 -372.386963	2.904 3.153 15.065
item_box_buckshot_ttt	2044.841553 -1621.148682 -376.507294	2.939 3.075 14.805
item_box_buckshot_ttt	2022.592529 -1615.520142 -373.669067	2.890 3.192 15.121
item_box_buckshot_ttt	2034.432739 -1633.175659 -378.832092	2.940 3.074 14.796
item_box_buckshot_ttt	2220.932861 -1640.191895 -392.823608	2.914 3.128 15.000
item_box_buckshot_ttt	2236.079834 -1667.615479 -400.667725	2.923 3.108 14.929
item_box_buckshot_ttt	2217.525879 -1671.657349 -400.420502	2.967 3.054 14.442
item_box_buckshot_ttt	2203.810791 -1639.760864 -391.582306	2.934 3.081 14.864
item_box_buckshot_ttt	2269.455566 -1534.652466 -371.754211	5.669 0.802 13.016
item_box_buckshot_ttt	2274.878174 -1550.580566 -375.773590	5.727 0.807 12.751
item_box_buckshot_ttt	3020.058594 -994.440613 -355.664246	3.149 0.114 6.394
item_box_buckshot_ttt	3033.631348 -987.724854 -355.741638	3.116 0.112 6.492
item_box_buckshot_ttt	3045.271240 -1017.835510 -359.644531	3.082 0.111 6.593
item_box_buckshot_ttt	3030.845703 -1024.390137 -359.515045	3.094 0.111 6.557
item_box_buckshot_ttt	1222.822266 -70.286667 -269.001251	-0.718 -0.005 0.637
item_box_buckshot_ttt	1208.497070 -72.544228 -269.002106	-0.790 -0.013 0.618
item_box_buckshot_ttt	1195.254883 -73.883453 -269.036682	-1.000 -0.010 0.895
item_box_buckshot_ttt	3024.248535 -898.938354 -63.741062	0.396 0.005 0.339
item_box_buckshot_ttt	3034.386719 -916.340942 -63.878098	-0.277 -0.003 -0.213
item_box_buckshot_ttt	3044.053467 -932.661194 -63.819954	1.048 0.012 0.922
item_box_buckshot_ttt	1453.796265 825.556580 101.898491	0.033 9.198 1.842
item_box_buckshot_ttt	1441.934326 820.775879 101.821465	0.356 1.041 1.907
item_box_buckshot_ttt	-2842.679199 571.640381 -146.833740	-0.586 -0.007 0.520
item_box_buckshot_ttt	-2857.001221 568.843323 -146.838852	-0.660 -0.004 0.521
item_box_buckshot_ttt	-2872.962158 563.053772 -146.837204	-0.614 -0.006 0.545
item_box_buckshot_ttt	1348.042358 -286.955841 -244.609238	-0.431 0.000 0.435
item_box_buckshot_ttt	1332.040405 -287.284576 -245.300537	-13.222 -0.960 1.108
item_box_buckshot_ttt	-1237.700073 -6796.341797 -1758.671631	2.594 0.133 -0.376
item_box_buckshot_ttt	-1248.087402 -6796.195801 -1758.729736	-3.544 0.319 3.914
item_box_buckshot_ttt	1874.814087 1649.653320 3113.992920	-12.510 -0.035 -8.057
item_box_buckshot_ttt	1861.051636 1655.227661 3109.451416	-14.059 16.355 -14.300
item_ammo_357_ttt	429.231995 -2797.835205 -302.869080	0.458 0.059 0.040
item_ammo_357_ttt	445.615479 -2804.937500 -302.864563	0.459 0.059 0.038
item_ammo_357_ttt	310.387360 -3078.166748 -302.907135	0.451 0.070 0.055
item_ammo_357_ttt	325.892120 -3083.597168 -302.913605	0.449 0.070 0.057
item_ammo_357_ttt	307.008667 -3091.881348 -302.905029	0.451 0.066 0.054
item_ammo_357_ttt	320.555511 -3098.443604 -302.811646	0.469 0.055 0.017
item_ammo_357_ttt	1889.640381 -1609.989380 -364.499115	2.625 -0.610 13.841
item_ammo_357_ttt	1872.454224 -1609.463501 -363.731018	2.674 -0.706 13.518
item_ammo_357_ttt	2011.849121 -1497.994385 -343.596832	4.115 0.209 14.724
item_ammo_357_ttt	1992.259155 -1502.725342 -343.535461	3.649 -0.826 13.021
item_ammo_357_ttt	2287.305908 -1739.481689 -413.684662	0.607 0.024 0.954
item_ammo_357_ttt	2260.399414 -1750.412598 -413.763458	0.589 0.025 0.994
item_ammo_357_ttt	2224.878418 -1488.179077 -356.945190	6.027 -0.321 12.301
item_ammo_357_ttt	2252.889893 -1485.524048 -359.319366	5.880 -0.360 12.325
item_ammo_357_ttt	2342.346924 -1713.654297 -413.578064	0.572 0.026 1.031
item_ammo_357_ttt	2361.146973 -1710.785889 -413.541229	0.618 0.023 0.930
item_ammo_357_ttt	2095.920410 -1783.962646 -413.572815	0.631 0.023 0.901
item_ammo_357_ttt	2115.272217 -1779.863403 -413.638000	0.594 0.025 0.981
item_ammo_357_ttt	1943.948242 -1798.373657 -413.176697	3.025 0.136 0.653
item_ammo_357_ttt	1956.948730 -1796.570068 -413.309418	0.774 -0.067 0.785
item_ammo_357_ttt	3099.056152 -1021.287292 -363.125793	3.513 0.174 6.519
item_ammo_357_ttt	3082.777588 -1027.415894 -362.851440	3.516 0.176 6.513
item_ammo_357_ttt	2974.156006 -1082.702148 -362.721100	3.475 0.068 7.117
item_ammo_357_ttt	2954.512451 -1093.435547 -362.919800	3.462 0.063 7.155
item_ammo_357_ttt	1218.994019 -19.505419 -269.019501	0.471 -0.056 -0.025
item_ammo_357_ttt	1205.535156 -21.062288 -269.042206	0.468 -0.058 -0.033
item_ammo_357_ttt	1191.581665 -21.693968 -269.088013	0.464 -0.066 -0.050
item_ammo_357_ttt	3035.856689 -888.534912 -63.821518	0.462 -0.057 -0.032
item_ammo_357_ttt	3043.993164 -901.919922 -63.814400	0.463 -0.057 -0.030
item_ammo_357_ttt	3054.874023 -923.900879 -63.833473	0.459 -0.058 -0.037
item_ammo_357_ttt	1445.123535 856.686829 102.860107	1.621 5.200 1.641
item_ammo_357_ttt	1432.126221 850.798462 102.805481	1.051 0.285 1.743
item_ammo_357_ttt	-2815.274170 492.353943 -146.883652	0.461 -0.056 -0.033
item_ammo_357_ttt	-2827.551514 489.363892 -146.961182	0.446 -0.073 -0.064
item_ammo_357_ttt	-2844.901611 485.596924 -146.936737	0.451 -0.065 -0.054
item_ammo_357_ttt	-2012.936768 -2295.969727 390.545532	0.456 -0.062 -0.045
item_ammo_357_ttt	-2025.925171 -2299.449463 390.512512	0.450 -0.070 -0.058
