# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_peachs_castle
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-31.168766 1398.492920 9.112699	-0.084 -0.854 -0.084
ttt_playerspawn	-40.169876 1272.831543 8.106699	-0.065 -3.071 -0.066
ttt_playerspawn	-95.317528 1125.469727 8.150928	-0.076 -7.808 0.075
ttt_playerspawn	95.421700 1393.287354 7.789682	-0.081 -0.247 -0.081
ttt_playerspawn	58.481270 1246.966187 10.226006	-0.078 -0.894 0.078
ttt_playerspawn	39.363483 1137.573608 6.170247	-0.082 -1.949 0.082
ttt_playerspawn	244.249420 1395.703003 10.528224	-0.178 1.064 -0.145
ttt_playerspawn	202.464890 1253.658569 4.039449	0.413 2.430 0.203
ttt_playerspawn	167.842499 1119.793579 7.315999	0.000 7.361 0.000
ttt_playerspawn	-1426.070679 844.784546 -108.225578	-0.042 -2.357 0.043
ttt_playerspawn	-1236.164063 924.711365 -115.112694	-0.079 0.040 0.079
ttt_playerspawn	-1260.189697 -826.648804 -62.822647	-0.060 0.728 0.060
ttt_playerspawn	-1387.298828 -819.820374 -60.411278	-0.079 -2.719 0.079
ttt_playerspawn	-1320.885742 14.254151 -405.030823	-0.088 1.293 0.088
ttt_playerspawn	-1303.375000 314.389252 -407.739563	-0.080 -2.156 0.080
ttt_playerspawn	-1045.446899 492.644318 -405.573334	-0.072 -8.693 0.072
ttt_playerspawn	-743.164856 512.123901 -402.338898	-0.048 14.016 0.047
ttt_playerspawn	-681.402771 747.648254 -411.108734	-0.066 -3.337 0.066
ttt_playerspawn	-485.774231 562.782166 -402.935760	-0.048 5.518 0.049
ttt_playerspawn	-288.237488 758.852112 -407.864258	-0.085 -0.442 0.085
ttt_playerspawn	-115.914124 535.416443 -399.454895	-0.087 -0.364 0.085
ttt_playerspawn	71.111588 731.132690 -402.322540	-0.039 -2.877 0.040
ttt_playerspawn	271.730042 507.267883 -399.635284	-0.022 -1.481 0.063
ttt_playerspawn	477.383392 751.159241 -409.663879	-0.060 -0.573 0.059
ttt_playerspawn	587.117798 471.130280 -406.067017	-0.082 -0.573 0.083
ttt_playerspawn	791.292419 667.809021 -403.821899	-0.070 -0.770 0.070
ttt_playerspawn	940.342712 368.878815 -402.034393	-0.066 -1.011 0.066
ttt_playerspawn	1132.933594 587.900696 -401.154663	-0.042 -1.950 0.041
ttt_playerspawn	1239.768677 347.754425 -400.925354	-0.052 -1.596 0.051
ttt_playerspawn	-136.036041 -5828.562500 -18.775711	-0.083 7.969 0.082
ttt_playerspawn	30.249981 -5871.442871 -17.315674	-0.076 2.339 0.075
ttt_playerspawn	233.626724 -5845.208496 -22.421902	-0.050 -4.536 0.044
ttt_playerspawn	310.140259 -5608.815918 -17.920616	-0.048 -0.534 0.041
ttt_playerspawn	324.781219 -5385.486816 -16.605499	-0.069 0.293 0.068
ttt_playerspawn	277.220032 -5159.192383 -15.397269	-0.085 -0.765 0.085
