# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_pelicantown
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-490.395996 644.096558 10.686303	-0.068 -2.932 0.068
ttt_playerspawn	-692.400146 645.766968 14.357759	-0.060 -1.040 0.060
ttt_playerspawn	-489.943512 797.505188 10.651064	-0.055 -4.328 0.055
ttt_playerspawn	-660.801697 774.207764 9.970416	-0.071 1.702 0.071
ttt_playerspawn	-736.142090 129.381577 17.271246	-0.064 1.954 0.064
ttt_playerspawn	-741.471680 -53.766521 7.351107	-0.074 0.031 0.073
ttt_playerspawn	-417.656647 -48.968697 12.152434	-0.056 1.081 0.056
ttt_playerspawn	-433.233185 120.027969 10.126911	-0.049 -1.555 0.049
ttt_playerspawn	647.155457 -71.291710 16.436544	-0.014 -2.091 0.014
ttt_playerspawn	1225.289063 367.208282 11.422965	-0.010 -0.036 0.010
ttt_playerspawn	998.550232 378.817047 12.388903	-0.005 0.377 0.005
ttt_playerspawn	10.145862 967.786621 19.106079	0.064 -0.487 -0.063
ttt_playerspawn	-187.312057 970.143311 9.832845	0.076 -0.107 -0.076
ttt_playerspawn	-574.114441 -571.090393 9.502198	-0.037 -1.096 0.037
ttt_playerspawn	-202.116684 -551.368835 9.651404	-0.023 -0.121 0.034
ttt_playerspawn	270.260162 -566.750000 12.359413	-0.073 2.617 0.073
ttt_playerspawn	798.580444 -1278.700317 6.268205	-0.011 -0.243 0.010
ttt_playerspawn	1121.210083 -1251.671509 13.928333	-0.012 -0.366 0.012
ttt_playerspawn	1574.317139 -1231.869873 16.832893	-0.005 -0.249 0.009
ttt_playerspawn	1636.506958 -232.832886 14.939838	-0.011 -0.025 0.011
ttt_playerspawn	1735.332520 19.203585 10.086333	-0.009 1.826 0.010
ttt_playerspawn	1845.299438 136.668198 11.245046	0.069 1.471 0.167
ttt_playerspawn	1647.999268 839.513855 10.706564	0.095 -0.490 -0.095
ttt_playerspawn	-690.830200 1005.814270 16.436697	-0.052 -1.813 0.052
ttt_playerspawn	-549.432922 990.056396 10.500897	0.003 -2.237 0.094
ttt_playerspawn	-1394.223389 143.167145 14.527408	-0.014 -1.796 0.014
ttt_playerspawn	-1436.345703 879.032532 18.225166	-0.010 -0.512 0.010
ttt_playerspawn	-1357.066895 824.518066 11.134697	-0.012 -0.000 0.013
ttt_playerspawn	-1660.338989 41.393272 7.913342	-0.013 -0.265 0.013
ttt_playerspawn	-939.823425 -355.711578 5.711059	-0.015 -0.001 0.042
ttt_playerspawn	346.657806 -1148.644043 12.262647	-0.065 -2.479 0.002
ttt_playerspawn	407.116028 -943.473755 11.215285	-0.012 0.304 0.012
ttt_playerspawn	-232.574677 -1252.401489 12.817423	0.002 4.484 0.154
