# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_residentevil2_se
# Exported by: Razor
setting:	replacespawns 1
ttt_random_weapon	142.942993 262.052002 42.372898	0.000 0.000 0.000
ttt_random_weapon	-116.746002 965.543030 281.372986	0.000 0.000 0.000
ttt_random_weapon	-16.472300 967.356995 281.372986	0.000 0.000 0.000
ttt_random_weapon	120.664001 958.502991 281.372986	0.000 0.000 0.000
ttt_random_weapon	26.320900 30.288401 -166.626999	0.000 0.000 0.000
ttt_random_weapon	-1258.380005 81.738602 -166.626999	0.000 0.000 0.000
ttt_random_weapon	-1251.010010 63.532700 -166.626999	0.000 0.000 0.000
ttt_random_weapon	1919.930054 645.168030 -166.626999	0.000 0.000 0.000
ttt_random_weapon	-149.940918 559.037903 131.207932	1.786 4.709 -92.802
ttt_random_weapon	-149.062943 576.947876 131.228943	1.548 4.682 -93.345
ttt_random_weapon	-153.569473 604.525024 131.195343	1.928 4.718 -92.477
ttt_random_weapon	22.174417 722.718384 131.214096	1.716 4.703 -92.961
ttt_random_weapon	-115.162674 710.276367 131.197723	1.901 4.602 -92.538
ttt_random_weapon	82.070702 922.497192 273.237610	1.450 4.968 -93.569
ttt_random_weapon	1.908181 927.770691 273.225098	1.592 4.986 -93.245
ttt_random_weapon	-58.232716 924.025269 273.230042	1.536 4.981 -93.373
ttt_random_weapon	738.719666 -70.462502 313.204132	1.829 4.344 -92.704
ttt_random_weapon	736.942871 -97.341492 313.218414	1.667 4.697 -93.073
ttt_random_weapon	-656.181213 -0.859279 71.783150	1.358 6.654 -93.781
ttt_random_weapon	-656.222290 79.258102 71.781647	1.375 5.550 -93.742
ttt_random_weapon	-656.304199 58.123043 71.784576	1.303 3.856 -94.056
ttt_random_weapon	-484.666046 872.231750 57.472439	2.228 5.315 -92.563
ttt_random_weapon	-479.836853 890.126953 57.511742	1.982 -10.736 -92.353
ttt_random_weapon	-654.383911 1041.214111 323.742798	2.159 1.657 -93.244
ttt_random_weapon	-650.179260 1030.927002 323.750793	1.695 -6.082 -93.326
ttt_random_weapon	-900.788269 52.943253 296.911133	2.064 5.158 -91.763
ttt_random_weapon	-900.806702 87.599739 296.959351	1.896 5.966 -92.542
ttt_random_weapon	-1012.785278 -57.040211 296.961670	1.874 5.711 -92.728
ttt_random_weapon	-1051.423828 -63.636913 296.961670	1.874 5.711 -92.728
ttt_random_weapon	1509.881836 27.582294 273.223358	1.612 4.691 -93.200
ttt_random_weapon	1216.564941 -46.477245 99.196899	1.910 4.718 -92.517
ttt_random_weapon	1090.704346 -70.114174 99.199913	1.876 4.716 -92.595
ttt_random_weapon	980.804871 -25.725647 99.196121	1.919 4.718 -92.497
ttt_random_weapon	846.355713 -16.416750 99.207924	1.786 4.709 -92.802
ttt_random_weapon	768.526794 -73.879814 99.218857	1.662 4.677 -93.084
ttt_random_weapon	669.290100 222.344437 109.193710	1.946 4.720 -92.434
ttt_random_weapon	758.898621 233.110916 109.224792	1.595 4.689 -93.238
ttt_random_weapon	803.515259 -22.161524 99.215591	1.699 4.701 -93.000
ttt_random_weapon	910.336914 -57.299789 99.193703	1.946 4.720 -92.435
ttt_random_weapon	348.495453 207.530655 89.555527	1.511 -9.145 -94.870
ttt_random_weapon	348.521790 191.519455 89.527664	1.275 -9.150 -94.259
ttt_random_weapon	348.411835 166.006104 89.567200	1.592 -10.266 -95.332
ttt_random_weapon	348.811768 469.031891 89.473175	1.433 -3.875 -92.998
ttt_random_weapon	348.443695 450.773682 90.021416	-2.233 6.878 86.844
ttt_random_weapon	348.831146 424.476807 89.529335	1.332 -2.435 -93.841
