# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_richland_night
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	863.439087 1249.137329 11.296134	-0.065 -1.680 0.065
ttt_playerspawn	874.954895 1071.382446 9.284702	-0.048 -3.516 0.049
ttt_playerspawn	678.389832 1045.513428 15.181378	-0.059 -4.026 0.059
ttt_playerspawn	639.758301 1212.932373 10.481885	-0.051 0.903 0.051
ttt_playerspawn	446.695862 1282.630981 13.210581	-0.062 -0.594 0.062
ttt_playerspawn	442.961121 1094.463989 14.380893	-0.023 -0.000 0.023
ttt_playerspawn	98.880486 1036.487915 10.508271	-0.033 -1.339 0.033
ttt_playerspawn	90.768570 1204.015381 6.083614	-0.068 -1.281 0.062
ttt_playerspawn	-165.807129 1031.353149 13.896317	-0.047 -0.282 0.046
ttt_playerspawn	-187.059647 1235.454956 8.057173	-0.033 0.744 0.033
ttt_playerspawn	-458.596405 1007.766663 6.239666	-0.045 -0.133 0.039
ttt_playerspawn	-475.902252 1185.937622 5.122275	-0.063 -0.131 0.042
ttt_playerspawn	-779.549255 1002.111816 7.481178	-0.058 -1.063 0.058
ttt_playerspawn	-769.708923 1234.275757 10.172750	-0.036 1.208 0.036
ttt_playerspawn	-1172.072998 981.774597 9.727785	-0.068 4.130 0.068
ttt_playerspawn	-1143.609497 1224.410522 6.427605	0.056 -0.584 -0.056
ttt_playerspawn	-1435.255981 987.637390 13.678069	-0.067 -1.828 0.067
ttt_playerspawn	-1434.903320 1192.128540 9.514624	-0.047 -0.909 0.047
ttt_playerspawn	-866.986084 787.525574 10.035775	-0.062 -2.752 0.063
ttt_playerspawn	-589.099792 776.055054 11.318493	-0.076 1.666 0.076
ttt_playerspawn	-1068.548340 -928.220459 38.385262	0.251 1.191 -0.009
ttt_playerspawn	-554.145508 -971.466553 33.414017	0.140 0.408 0.024
ttt_playerspawn	-511.046112 -1200.885010 29.929882	-0.048 -0.951 -0.009
ttt_playerspawn	-1014.622437 -1258.981812 92.141090	-0.031 -0.119 0.028
ttt_playerspawn	716.056702 -741.073059 29.341387	0.066 -2.350 -0.447
ttt_playerspawn	362.077972 -776.141785 28.100071	0.299 -0.346 0.776
ttt_playerspawn	-66.838196 -698.211182 28.134394	1.487 -0.607 -1.451
ttt_playerspawn	-106.097488 -1050.801880 33.768749	1.363 -0.382 3.284
ttt_playerspawn	-72.550117 -1319.705078 36.389153	6.783 0.187 4.131
ttt_playerspawn	4.230765 -240.071259 38.908237	5.218 -1.140 0.021
ttt_playerspawn	7.873956 264.561096 30.328770	2.527 1.005 -0.006
ttt_playerspawn	370.515503 -257.908051 -251.468246	0.466 -6.518 3.931
ttt_playerspawn	-42.450584 200.820724 -259.138672	-1.882 0.635 -2.935
ttt_playerspawn	-456.687164 269.872253 -252.541031	-0.388 -0.612 2.178
ttt_playerspawn	141.065384 225.775345 -115.630196	-0.084 -8.446 0.084
ttt_playerspawn	-153.224838 144.703583 -121.002487	-0.063 0.748 0.063
weapon_ttt_ak47	582.914917 -370.351227 222.929703	0.079 13.139 -87.969
item_box_buckshot_ttt	474.060791 -38.559662 199.597031	-84.196 -51.260 17.432
item_box_buckshot_ttt	480.802124 -35.674107 199.408295	78.801 28.750 26.565
item_box_buckshot_ttt	471.285645 -57.020771 200.084106	86.860 -14.679 -155.999
