# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_skyscraper_2015_v1p_f4
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	-270.258118 373.968109 312.555450	0.044 0.000 0.044
ttt_playerspawn	-435.732819 369.842285 312.549744	-0.049 -0.000 0.049
ttt_playerspawn	-587.585449 367.217041 312.527863	-0.071 -0.000 0.071
ttt_playerspawn	-740.647644 365.871246 312.544159	-0.055 -0.000 0.055
ttt_playerspawn	-931.576416 365.210358 312.558044	-0.041 -0.000 0.041
ttt_playerspawn	-924.460754 -330.998871 312.599609	-0.169 0.596 -0.169
ttt_playerspawn	-755.041443 -333.759399 312.581940	-0.136 0.695 -0.118
ttt_playerspawn	-590.218872 -334.483124 312.544891	0.000 -2.148 0.175
ttt_playerspawn	-442.581543 -331.111908 312.544983	-0.054 -0.000 0.054
ttt_playerspawn	-292.181976 -337.589172 312.535095	-0.063 -0.000 0.063
ttt_playerspawn	-296.843811 -500.721375 312.561249	0.062 -0.156 -0.061
ttt_playerspawn	-436.545319 -505.352264 312.517334	-0.081 -0.000 0.081
ttt_playerspawn	-580.718750 -504.564148 312.569855	-0.029 -0.000 0.029
ttt_playerspawn	-754.826538 -500.024933 312.561096	-0.038 -0.000 0.038
ttt_playerspawn	-921.532410 -503.297546 312.550507	-0.048 -0.000 0.048
ttt_playerspawn	-654.620361 -280.508423 -503.434509	-0.034 -0.000 0.034
ttt_playerspawn	-651.926208 -146.430573 -503.476624	-0.075 -0.000 0.075
ttt_playerspawn	-659.174194 -9.167967 -503.438904	-0.038 -0.000 0.038
ttt_playerspawn	-511.338043 -5.670986 -503.466888	-0.065 -0.000 0.065
ttt_playerspawn	-506.139252 -140.508774 -503.480194	-0.078 -0.000 0.078
ttt_playerspawn	-511.539154 -275.669647 -503.482666	-0.081 -0.000 0.081
ttt_playerspawn	-514.733337 380.907593 -503.467926	-0.066 -0.000 0.066
ttt_playerspawn	-647.665710 381.414398 -503.446594	-0.045 -0.000 0.046
ttt_playerspawn	-623.283142 366.314484 -295.432343	-0.031 -0.000 0.031
ttt_playerspawn	-378.766357 364.763092 -295.424713	-0.024 -0.000 0.023
ttt_playerspawn	-183.624863 374.371582 -87.508858	-0.044 -0.000 0.044
ttt_playerspawn	-455.747894 372.736877 -87.508858	-0.044 -0.000 0.044
ttt_playerspawn	-1046.147095 -571.581360 -87.481728	-0.033 -0.000 0.033
ttt_playerspawn	-1042.410278 -373.092987 -87.499443	-0.040 -0.000 0.040
ttt_playerspawn	-102.510010 -711.994080 -87.472458	-0.029 -0.000 0.029
ttt_playerspawn	-258.196014 -711.408691 -87.457771	-0.023 -0.000 0.023
ttt_playerspawn	-581.179443 384.534332 120.541321	-0.024 -0.000 0.024
ttt_playerspawn	-379.286163 383.462189 120.533791	-0.027 -0.000 0.027
ttt_playerspawn	-862.763428 382.559387 120.479004	-0.049 -0.000 0.049
ttt_playerspawn	-1061.154785 376.239502 120.599777	0.148 0.036 0.148
ttt_playerspawn	-1067.928833 -88.094437 120.487793	-0.045 -0.000 0.045
ttt_playerspawn	-1068.902588 149.490952 120.489426	0.045 0.000 0.045
ttt_playerspawn	-215.619659 -710.579712 120.467232	-0.013 -0.000 0.013
ttt_playerspawn	-116.792488 -711.604919 120.471184	-0.013 -0.000 0.013
ttt_playerspawn	-20.795553 -713.819214 120.489212	-0.011 -0.000 0.011
weapon_ttt_ak47	-453.317444 -4.180795 -85.029411	-0.185 -1.723 87.975
item_ammo_357_ttt	-361.178986 -186.378006 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-369.725006 -185.822006 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-381.272003 -185.205002 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-404.408997 59.759998 441.276001	0.000 0.000 0.000
item_ammo_357_ttt	-418.842010 63.150002 441.276001	0.000 0.000 0.000
item_ammo_357_ttt	-361.178986 -186.378006 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-369.725006 -185.822006 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-381.272003 -185.205002 -86.724197	0.000 0.000 0.000
item_ammo_357_ttt	-404.408997 59.759998 441.276001	0.000 0.000 0.000
item_ammo_357_ttt	-418.842010 63.150002 441.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-387.179993 -258.278015 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-396.856995 -258.746002 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-411.013000 -258.152008 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-461.799988 174.949997 441.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-478.770996 177.250000 441.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-387.179993 -258.278015 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-396.856995 -258.746002 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-411.013000 -258.152008 -86.724197	0.000 0.000 0.000
item_ammo_revolver_ttt	-461.799988 174.949997 441.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-478.770996 177.250000 441.276001	0.000 0.000 0.000
item_ammo_smg1_ttt	-449.027008 -256.121002 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-470.449005 -256.996002 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-491.071014 -261.289001 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-510.796997 -261.946014 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-421.082001 179.289993 441.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-440.635010 180.669998 441.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-449.027008 -256.121002 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-470.449005 -256.996002 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-491.071014 -261.289001 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-510.796997 -261.946014 -86.655296	0.000 0.000 0.000
item_ammo_smg1_ttt	-421.082001 179.289993 441.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-440.635010 180.669998 441.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-511.306488 -541.035461 -294.258392	0.861 -0.099 -0.638
item_ammo_smg1_ttt	-839.914429 -551.930237 -295.518402	0.380 0.001 -0.365
item_ammo_pistol_ttt	-351.000000 -204.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-351.000000 -224.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-351.000000 -244.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-351.000000 -204.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-351.000000 -224.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-351.000000 -244.000000 -59.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-323.774750 -401.660736 120.376434	-0.107 -0.019 -0.032
weapon_ttt_g3sg1	-1015.212585 388.108093 -270.736267	-0.303 -86.670 85.427
ttt_random_weapon	-414.859009 -188.376007 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-950.263977 -506.845001 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-949.164001 -522.987000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-948.297974 -546.442017 -77.627098	0.000 0.000 0.000
ttt_random_weapon	48.011002 -679.473022 -77.627098	0.000 0.000 0.000
ttt_random_weapon	46.271999 -722.981018 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-295.473999 -492.528992 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-296.076996 181.740005 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-869.127014 -204.951996 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-864.726990 -187.604004 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-866.354980 -167.126999 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-638.510010 -103.863998 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-637.883972 -123.267998 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-634.687012 -141.591003 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1055.689941 454.440002 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1052.770020 428.500000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1107.599976 -197.544006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1114.160034 -140.916000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1121.910034 -705.723999 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1115.319946 -608.432983 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-337.819000 -770.408997 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-383.688995 -762.460022 -77.627098	0.000 0.000 0.000
ttt_random_weapon	10.179000 -577.280029 -77.627098	0.000 0.000 0.000
ttt_random_weapon	16.108999 -556.700989 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-60.487999 -558.202026 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-59.022999 -534.932007 -77.627098	0.000 0.000 0.000
ttt_random_weapon	28.267000 -358.696991 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-56.391998 -352.227997 -77.627098	0.000 0.000 0.000
ttt_random_weapon	90.080002 -2.400000 18.372999	0.000 0.000 0.000
ttt_random_weapon	92.800003 0.296000 226.373001	0.000 0.000 0.000
ttt_random_weapon	-123.204002 346.579987 322.372986	0.000 0.000 0.000
ttt_random_weapon	-595.310974 251.229996 322.372986	0.000 0.000 0.000
ttt_random_weapon	-793.549988 254.020004 322.372986	0.000 0.000 0.000
ttt_random_weapon	-992.848022 186.589996 322.372986	0.000 0.000 0.000
ttt_random_weapon	-985.570984 62.209999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-979.862976 -80.893997 322.372986	0.000 0.000 0.000
ttt_random_weapon	-755.484009 -710.237976 322.372986	0.000 0.000 0.000
ttt_random_weapon	-526.023010 -713.684998 322.372986	0.000 0.000 0.000
ttt_random_weapon	-288.894012 -711.963013 322.372986	0.000 0.000 0.000
ttt_random_weapon	-451.213989 -140.811005 322.372986	0.000 0.000 0.000
ttt_random_weapon	-581.822021 -149.164001 322.372986	0.000 0.000 0.000
ttt_random_weapon	-474.907990 126.889999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-721.359985 120.959999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-886.541992 -10.763000 322.372986	0.000 0.000 0.000
ttt_random_weapon	-356.053009 3.369000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-428.714996 4.335000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-494.571014 5.019000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-921.512024 -106.310997 178.373001	0.000 0.000 0.000
ttt_random_weapon	-697.562988 40.730000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-486.786011 43.610001 130.373001	0.000 0.000 0.000
ttt_random_weapon	-816.030029 21.730000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-928.437988 -651.377991 130.373001	0.000 0.000 0.000
ttt_random_weapon	-926.116028 -667.038025 130.373001	0.000 0.000 0.000
ttt_random_weapon	-681.695984 -767.672974 130.373001	0.000 0.000 0.000
ttt_random_weapon	-682.497986 -711.854004 130.373001	0.000 0.000 0.000
ttt_random_weapon	-483.855988 -690.651978 130.373001	0.000 0.000 0.000
ttt_random_weapon	-476.377991 -773.161987 130.373001	0.000 0.000 0.000
ttt_random_weapon	-431.339996 -484.968994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-477.636993 -422.419006 130.373001	0.000 0.000 0.000
ttt_random_weapon	-618.916992 -399.937988 130.373001	0.000 0.000 0.000
ttt_random_weapon	-616.586975 -469.010986 130.373001	0.000 0.000 0.000
ttt_random_weapon	-881.301025 -473.601990 130.373001	0.000 0.000 0.000
ttt_random_weapon	-886.195984 -436.459991 130.373001	0.000 0.000 0.000
ttt_random_weapon	-1008.710022 -642.255005 130.373001	0.000 0.000 0.000
ttt_random_weapon	-1004.780029 -392.122009 130.373001	0.000 0.000 0.000
ttt_random_weapon	-388.338989 -201.824997 130.373001	0.000 0.000 0.000
ttt_random_weapon	-307.641998 -195.770996 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.360001 -420.468994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-25.496000 -437.385986 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.634001 -459.138000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.402000 -485.473999 130.373001	0.000 0.000 0.000
ttt_random_weapon	-775.299011 262.339996 130.373001	0.000 0.000 0.000
ttt_random_weapon	-847.830017 259.309998 130.373001	0.000 0.000 0.000
ttt_random_weapon	-915.276001 256.519989 130.373001	0.000 0.000 0.000
ttt_random_weapon	-231.231003 262.399994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-277.083008 263.269989 130.373001	0.000 0.000 0.000
ttt_random_weapon	-168.748001 -100.550003 322.372986	0.000 0.000 0.000
ttt_random_weapon	-168.160995 -302.122009 322.372986	0.000 0.000 0.000
ttt_random_weapon	-442.505005 176.220001 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-440.394989 160.929993 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-437.071991 145.600006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	94.209999 482.350006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	92.660004 451.750000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-945.078003 159.750000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-742.971985 159.600006 130.373001	0.000 0.000 0.000
ttt_random_weapon	-451.002991 -572.520020 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-443.803009 -591.666992 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-542.898987 -652.510986 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-414.859009 -188.376007 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-950.263977 -506.845001 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-949.164001 -522.987000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-948.297974 -546.442017 -77.627098	0.000 0.000 0.000
ttt_random_weapon	48.011002 -679.473022 -77.627098	0.000 0.000 0.000
ttt_random_weapon	46.271999 -722.981018 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-295.473999 -492.528992 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-296.076996 181.740005 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-869.127014 -204.951996 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-864.726990 -187.604004 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-866.354980 -167.126999 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-638.510010 -103.863998 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-637.883972 -123.267998 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-634.687012 -141.591003 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1055.689941 454.440002 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1052.770020 428.500000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1107.599976 -197.544006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1114.160034 -140.916000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1121.910034 -705.723999 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1115.319946 -608.432983 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-337.819000 -770.408997 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-383.688995 -762.460022 -77.627098	0.000 0.000 0.000
ttt_random_weapon	10.179000 -577.280029 -77.627098	0.000 0.000 0.000
ttt_random_weapon	16.108999 -556.700989 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-60.487999 -558.202026 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-59.022999 -534.932007 -77.627098	0.000 0.000 0.000
ttt_random_weapon	28.267000 -358.696991 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-56.391998 -352.227997 -77.627098	0.000 0.000 0.000
ttt_random_weapon	90.080002 -2.400000 18.372999	0.000 0.000 0.000
ttt_random_weapon	92.800003 0.296000 226.373001	0.000 0.000 0.000
ttt_random_weapon	-123.204002 346.579987 322.372986	0.000 0.000 0.000
ttt_random_weapon	-595.310974 251.229996 322.372986	0.000 0.000 0.000
ttt_random_weapon	-793.549988 254.020004 322.372986	0.000 0.000 0.000
ttt_random_weapon	-992.848022 186.589996 322.372986	0.000 0.000 0.000
ttt_random_weapon	-985.570984 62.209999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-979.862976 -80.893997 322.372986	0.000 0.000 0.000
ttt_random_weapon	-755.484009 -710.237976 322.372986	0.000 0.000 0.000
ttt_random_weapon	-526.023010 -713.684998 322.372986	0.000 0.000 0.000
ttt_random_weapon	-288.894012 -711.963013 322.372986	0.000 0.000 0.000
ttt_random_weapon	-451.213989 -140.811005 322.372986	0.000 0.000 0.000
ttt_random_weapon	-581.822021 -149.164001 322.372986	0.000 0.000 0.000
ttt_random_weapon	-474.907990 126.889999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-721.359985 120.959999 322.372986	0.000 0.000 0.000
ttt_random_weapon	-886.541992 -10.763000 322.372986	0.000 0.000 0.000
ttt_random_weapon	-356.053009 3.369000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-428.714996 4.335000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-494.571014 5.019000 178.373001	0.000 0.000 0.000
ttt_random_weapon	-921.512024 -106.310997 178.373001	0.000 0.000 0.000
ttt_random_weapon	-697.562988 40.730000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-486.786011 43.610001 130.373001	0.000 0.000 0.000
ttt_random_weapon	-816.030029 21.730000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-928.437988 -651.377991 130.373001	0.000 0.000 0.000
ttt_random_weapon	-926.116028 -667.038025 130.373001	0.000 0.000 0.000
ttt_random_weapon	-681.695984 -767.672974 130.373001	0.000 0.000 0.000
ttt_random_weapon	-682.497986 -711.854004 130.373001	0.000 0.000 0.000
ttt_random_weapon	-483.855988 -690.651978 130.373001	0.000 0.000 0.000
ttt_random_weapon	-476.377991 -773.161987 130.373001	0.000 0.000 0.000
ttt_random_weapon	-431.339996 -484.968994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-477.636993 -422.419006 130.373001	0.000 0.000 0.000
ttt_random_weapon	-618.916992 -399.937988 130.373001	0.000 0.000 0.000
ttt_random_weapon	-616.586975 -469.010986 130.373001	0.000 0.000 0.000
ttt_random_weapon	-881.301025 -473.601990 130.373001	0.000 0.000 0.000
ttt_random_weapon	-886.195984 -436.459991 130.373001	0.000 0.000 0.000
ttt_random_weapon	-1008.710022 -642.255005 130.373001	0.000 0.000 0.000
ttt_random_weapon	-1004.780029 -392.122009 130.373001	0.000 0.000 0.000
ttt_random_weapon	-388.338989 -201.824997 130.373001	0.000 0.000 0.000
ttt_random_weapon	-307.641998 -195.770996 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.360001 -420.468994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-25.496000 -437.385986 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.634001 -459.138000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-23.402000 -485.473999 130.373001	0.000 0.000 0.000
ttt_random_weapon	-775.299011 262.339996 130.373001	0.000 0.000 0.000
ttt_random_weapon	-847.830017 259.309998 130.373001	0.000 0.000 0.000
ttt_random_weapon	-915.276001 256.519989 130.373001	0.000 0.000 0.000
ttt_random_weapon	-231.231003 262.399994 130.373001	0.000 0.000 0.000
ttt_random_weapon	-277.083008 263.269989 130.373001	0.000 0.000 0.000
ttt_random_weapon	-168.748001 -100.550003 322.372986	0.000 0.000 0.000
ttt_random_weapon	-168.160995 -302.122009 322.372986	0.000 0.000 0.000
ttt_random_weapon	-442.505005 176.220001 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-440.394989 160.929993 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-437.071991 145.600006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	94.209999 482.350006 -77.627098	0.000 0.000 0.000
ttt_random_weapon	92.660004 451.750000 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-945.078003 159.750000 130.373001	0.000 0.000 0.000
ttt_random_weapon	-742.971985 159.600006 130.373001	0.000 0.000 0.000
ttt_random_weapon	-451.002991 -572.520020 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-443.803009 -591.666992 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-542.898987 -652.510986 -77.627098	0.000 0.000 0.000
ttt_random_weapon	-1125.314941 -724.829834 -502.800018	1.875 4.206 -92.597
ttt_random_weapon	-1114.648193 109.721191 -502.781647	1.668 4.049 -93.072
ttt_random_weapon	-806.863342 203.074677 -502.789856	1.572 5.156 -93.753
ttt_random_weapon	-154.484024 212.123337 -502.795349	1.823 4.200 -92.717
ttt_random_weapon	-713.531189 445.598175 -78.843056	1.572 -0.595 -93.292
ttt_random_weapon	-709.704956 418.884033 -78.022453	1.512 2.615 -93.429
ttt_random_weapon	-396.487061 449.582092 -83.427139	1.517 2.539 -93.417
ttt_random_weapon	-391.116394 425.360687 -82.905403	1.523 3.458 -93.404
ttt_random_weapon	-700.176880 -750.903320 -73.148285	1.588 5.323 -93.254
ttt_random_weapon	-664.626221 -773.779236 -73.823372	1.592 0.921 -93.245
ttt_random_weapon	-918.210266 -775.410889 -79.544449	1.560 -2.197 -93.320
ttt_random_weapon	-941.424194 -752.232971 -76.990646	1.449 -1.628 -93.574
ttt_random_weapon	-92.601334 -774.518494 -77.445488	1.485 8.689 -93.491
