# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_slender_v2
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	2913.355713 2952.660400 65.548569	0.104 11.964 -87.777
ttt_playerspawn	-578.458191 -1101.471924 66.525620	-0.073 -0.000 0.073
ttt_playerspawn	-569.267944 -1014.534973 65.644928	-0.446 4.155 -0.320
ttt_playerspawn	-569.301086 -920.683472 66.547401	-0.051 -0.000 0.051
ttt_playerspawn	-567.624573 -842.918030 66.523346	-0.075 -0.000 0.075
ttt_playerspawn	-564.422119 -755.978760 66.529976	-0.068 -0.000 0.068
ttt_playerspawn	-560.951904 -659.865540 66.532051	-0.066 -0.000 0.066
ttt_playerspawn	-558.321838 -569.727234 66.547401	-0.051 -0.000 0.051
ttt_playerspawn	-554.830505 -461.783875 66.583183	-0.016 -0.000 0.016
ttt_playerspawn	-552.030762 -377.830231 66.516068	0.082 0.000 0.082
ttt_playerspawn	-547.854736 -245.898743 66.516090	-0.082 -0.000 0.082
ttt_playerspawn	-696.798584 -246.815887 66.539757	0.059 0.000 0.059
ttt_playerspawn	-700.081299 -369.213379 66.541557	-0.057 -0.000 0.057
ttt_playerspawn	-702.255859 -470.090546 66.533051	0.065 0.000 0.065
ttt_playerspawn	-704.577515 -570.121033 66.525620	-0.073 -0.000 0.073
ttt_playerspawn	-706.606140 -660.671265 66.537926	-0.061 -0.000 0.061
ttt_playerspawn	-708.686951 -753.600159 66.535057	-0.063 -0.000 0.063
ttt_playerspawn	-710.634766 -840.591553 66.543289	-0.055 -0.000 0.055
ttt_playerspawn	-712.439758 -921.216858 66.528908	-0.069 -0.000 0.069
ttt_playerspawn	-714.246460 -1001.894592 66.533066	-0.065 -0.000 0.065
ttt_playerspawn	-716.302429 -1093.741699 66.522179	-0.076 -0.000 0.076
ttt_playerspawn	-810.369995 -1094.479980 66.567978	-0.031 -0.000 0.031
ttt_playerspawn	-808.371460 -1005.263062 66.526733	-0.072 -0.000 0.072
ttt_playerspawn	-806.566467 -924.587036 66.551216	-0.048 -0.000 0.048
ttt_playerspawn	-815.226257 -841.103638 66.528908	-0.069 -0.000 0.069
ttt_playerspawn	-812.203064 -747.614319 66.517342	-0.081 -0.000 0.081
ttt_playerspawn	-809.198303 -654.783020 66.541557	-0.057 -0.000 0.057
ttt_playerspawn	-806.213989 -562.503479 66.526733	-0.072 -0.000 0.072
ttt_playerspawn	-802.886536 -462.052460 66.524475	0.074 0.000 0.074
ttt_playerspawn	-799.707214 -363.754852 66.570732	0.029 0.000 0.028
ttt_playerspawn	-794.037415 -257.718689 66.517326	0.081 0.000 0.081
ttt_playerspawn	-549.578064 -127.786499 66.541557	-0.057 -0.000 0.057
ttt_playerspawn	-547.296509 -23.649435 66.540657	0.058 0.000 0.058
ttt_playerspawn	-654.694641 -21.262585 66.522179	-0.076 -0.000 0.076
ttt_playerspawn	-658.868835 -133.904984 66.525620	-0.073 -0.000 0.073
ttt_playerspawn	-781.211853 -139.935043 66.514793	0.083 0.000 0.083
ttt_playerspawn	-778.764648 -14.420274 66.546600	-0.052 -0.000 0.052
ttt_playerspawn	-547.553284 87.495918 66.534065	-0.064 -0.000 0.064
ttt_playerspawn	-652.658630 94.296272 66.534065	-0.064 -0.000 0.064
ttt_playerspawn	-780.572388 100.003769 66.524490	-0.074 -0.000 0.074
weapon_ttt_smokegrenade	-993.084900 -993.179810 64.154037	-1.620 -1.419 -1.649
weapon_ttt_smokegrenade	-991.573608 -983.791626 64.174568	-1.182 -1.521 -1.202
weapon_ttt_smokegrenade	111.950989 802.514771 64.134850	-2.029 -1.257 -2.068
weapon_ttt_smokegrenade	106.194557 814.441223 64.133415	-2.060 -1.271 -2.100
weapon_ttt_smokegrenade	2336.429199 4189.793457 64.145622	-1.799 -1.352 -1.833
weapon_ttt_smokegrenade	2348.335693 4190.485840 64.141731	-1.882 -1.286 -1.918
weapon_ttt_smokegrenade	-622.070679 1158.748291 80.156288	-1.572 -1.414 -1.600
weapon_ttt_smokegrenade	-622.670227 1147.581787 80.167503	-1.333 -1.499 -1.356
item_box_buckshot_ttt	-463.751129 -1170.537964 64.396194	-0.935 -0.003 0.831
item_box_buckshot_ttt	-462.968109 -1191.709229 64.459915	1.600 -0.046 -0.554
item_box_buckshot_ttt	-476.395111 -1192.120605 64.401962	-0.870 -0.012 0.773
item_box_buckshot_ttt	-476.114319 -1171.373047 64.410217	-0.807 -0.006 0.716
item_box_buckshot_ttt	-446.893982 -1170.759399 64.396500	-0.916 -0.009 0.818
item_box_buckshot_ttt	-857.504333 -1208.966187 64.394936	-0.951 -0.004 0.843
item_box_buckshot_ttt	-846.657227 -1208.001709 64.416328	-0.758 -0.007 0.673
item_box_buckshot_ttt	-836.910217 -1207.760254 64.383278	-0.541 -0.004 0.522
item_box_buckshot_ttt	-869.395081 -1209.579956 64.377037	0.473 0.018 -0.295
item_box_buckshot_ttt	-975.223328 -1038.062500 64.417542	-0.748 -0.006 0.665
item_box_buckshot_ttt	-974.893677 -1022.412964 64.347298	0.720 0.003 -0.574
item_box_buckshot_ttt	-962.499512 -1022.283020 64.398430	-0.922 -0.009 0.818
item_box_buckshot_ttt	-962.231873 -1035.306519 64.397049	-0.938 -0.004 0.830
item_box_buckshot_ttt	-1001.466980 -801.495789 64.429535	-0.653 -0.007 0.580
item_box_buckshot_ttt	-988.815735 -800.940979 64.376534	0.490 0.018 -0.312
item_box_buckshot_ttt	-979.206055 -801.757568 64.395035	-0.951 -0.004 0.843
item_box_buckshot_ttt	-995.563538 -814.829529 64.402283	-0.870 -0.012 0.772
item_box_buckshot_ttt	-983.801575 -813.578979 64.443512	-0.544 -0.007 0.482
item_box_buckshot_ttt	-413.816101 -792.624023 138.116302	-0.150 -2.640 -0.182
item_box_buckshot_ttt	-423.019379 -793.919983 138.007828	-0.652 -1.713 0.578
item_box_buckshot_ttt	-434.344818 -791.900452 137.878891	-0.798 -5.316 1.472
