# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_stadium_2019
# Exported by: Razor  武士
setting:	replacespawns 0
item_box_buckshot_ttt	-2023.660034 565.265015 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2033.079956 565.947021 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2041.319946 565.289001 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1563.829956 1714.000000 225.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1550.000000 1714.359985 225.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1572.000000 1714.000000 225.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2334.179932 1507.829956 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2318.010010 1508.709961 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2311.850098 1509.060059 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	1241.569946 2974.419922 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	1234.719971 2974.459961 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	1223.849976 2973.659912 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	458.212006 185.781006 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	469.385986 188.037994 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	482.891998 181.729004 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	128.123993 499.947998 33.293900	0.000 0.000 0.000
item_box_buckshot_ttt	136.358002 501.884003 33.293900	0.000 0.000 0.000
item_box_buckshot_ttt	144.000000 501.156006 33.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-2256.149902 1226.380005 227.610992	0.000 0.000 0.000
item_box_buckshot_ttt	-2247.209961 1226.000000 227.610992	0.000 0.000 0.000
item_box_buckshot_ttt	-2238.000000 1226.069946 227.610992	0.000 0.000 0.000
item_box_buckshot_ttt	-3234.060059 2638.939941 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-3223.360107 2638.510010 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-3211.250000 2639.139893 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	104.325996 669.020996 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	116.397003 667.174988 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	132.244003 667.396973 1.293880	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1914.000000 1236.410034 234.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2290.000000 931.234009 242.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-366.247986 574.078003 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	202.811005 246.442993 47.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	68.009102 252.054001 47.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	632.434998 -69.894897 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	477.888000 251.802994 237.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-284.855988 -117.600998 237.735001	0.000 0.000 0.000
item_ammo_357_ttt	-1832.989990 2341.709961 1.275810	0.000 0.000 0.000
item_ammo_357_ttt	-1842.479980 2341.840088 1.275810	0.000 0.000 0.000
item_ammo_357_ttt	-175.901001 2899.939941 193.276001	0.000 0.000 0.000
item_ammo_357_ttt	-168.959000 2901.639893 193.276001	0.000 0.000 0.000
item_ammo_357_ttt	-2456.379883 1555.790039 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-2446.879883 1555.560059 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	25.358601 251.408005 43.275799	0.000 0.000 0.000
item_ammo_357_ttt	37.741798 251.582993 43.275799	0.000 0.000 0.000
item_ammo_357_ttt	-1677.329956 62.813301 193.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1684.699951 60.426300 193.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-742.328979 1815.589966 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-747.799988 1815.650024 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-757.693970 1813.689941 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	444.653992 2995.040039 41.275799	0.000 0.000 0.000
item_ammo_revolver_ttt	443.026001 2981.889893 41.275799	0.000 0.000 0.000
item_ammo_revolver_ttt	445.141998 3011.709961 41.275799	0.000 0.000 0.000
item_ammo_revolver_ttt	1116.130005 2725.080078 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1098.859985 2726.050049 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1108.219971 2730.050049 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-151.697998 2937.860107 193.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-137.990005 2936.879883 193.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-127.319000 2936.050049 193.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1555.280029 1692.900024 225.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1564.569946 1692.550049 225.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1570.000000 1692.000000 225.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1886.550049 1228.020020 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1895.150024 1228.939941 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1904.869995 1228.189941 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1902.979980 1215.949951 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1894.650024 1214.699951 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1884.000000 1210.000000 229.541000	0.000 0.000 0.000
item_ammo_revolver_ttt	-2178.699951 816.025024 235.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-2164.379883 822.698975 235.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-2172.000000 824.000000 235.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-2331.840088 1600.520020 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-2323.070068 1601.150024 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-2314.500000 1600.760010 233.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-1820.650024 2797.040039 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	-1813.979980 2795.570068 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	-1805.699951 2797.350098 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	-3288.729980 2639.040039 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	-3280.610107 2638.479980 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	-3271.590088 2637.620117 1.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	108.394997 539.661987 33.275799	0.000 0.000 0.000
item_ammo_revolver_ttt	99.567398 542.612976 33.275799	0.000 0.000 0.000
item_ammo_revolver_ttt	108.563004 551.502991 33.275799	0.000 0.000 0.000
item_ammo_smg1_ttt	-2298.000000 870.000000 236.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-2287.300049 867.494995 236.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-2590.189941 2761.979980 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-2608.840088 2768.350098 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	179.699997 248.401001 43.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	167.643005 248.975998 43.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	150.154999 530.060974 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	163.785004 530.523010 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-746.966980 1748.449951 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-759.679016 1744.000000 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-2054.209961 820.273010 235.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-2067.239990 820.273987 235.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-274.729004 -12.842400 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-287.010986 -12.126400 233.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-3339.590088 2641.159912 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-3326.300049 2639.550049 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-1948.000000 88.346603 193.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-1966.829956 87.986000 193.345001	0.000 0.000 0.000
