# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_terrortrain_2019_b1
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	-398.452148 855.531372 74.566185	-0.005 0.075 0.112
ttt_playerspawn	-400.412018 779.986938 74.539146	0.058 0.000 0.058
ttt_playerspawn	-400.317108 689.430603 74.547653	-0.050 -0.000 0.050
ttt_playerspawn	-401.934082 615.070557 74.540962	-0.056 -0.000 0.056
ttt_playerspawn	-400.571930 546.947693 74.530312	-0.067 -0.000 0.067
ttt_playerspawn	-264.505371 848.452454 74.551628	-0.026 0.043 0.179
ttt_playerspawn	-264.035187 774.802185 74.563774	-0.050 0.000 -0.050
ttt_playerspawn	-261.893036 685.413452 74.540054	-0.057 -0.000 0.057
ttt_playerspawn	-257.842224 609.464844 74.524071	0.173 0.010 0.333
ttt_playerspawn	-257.562988 545.759338 74.535378	-0.062 -0.000 0.062
ttt_playerspawn	-265.524811 -1823.075317 74.563538	-0.035 -0.000 0.034
ttt_playerspawn	-341.223694 -1823.473877 74.547668	-0.050 -0.000 0.050
ttt_playerspawn	-284.437408 4607.714355 -26.851175	-0.208 0.413 -0.009
ttt_playerspawn	-316.525574 1043.815063 -48.483902	-0.082 -0.000 0.082
ttt_playerspawn	-314.658356 961.984131 -48.435570	-0.035 -0.000 0.035
ttt_playerspawn	-260.402618 1390.220459 -48.462067	-0.061 -0.000 0.061
ttt_playerspawn	-258.865967 1510.576538 -48.482643	-0.081 -0.000 0.081
ttt_playerspawn	-260.213074 1620.891602 -48.478989	-0.077 -0.000 0.077
ttt_playerspawn	-258.332550 1717.312134 -48.483902	-0.082 -0.000 0.082
ttt_playerspawn	-245.807327 2161.584961 -48.421413	0.029 0.000 -0.030
ttt_playerspawn	-244.060867 2272.117920 -48.447811	-0.046 -0.000 0.046
ttt_playerspawn	-244.894516 2386.860352 -48.442390	-0.041 -0.000 0.040
ttt_playerspawn	-244.808914 2531.648193 -48.445698	-0.044 -0.000 0.044
ttt_playerspawn	-390.310852 2547.329834 74.558487	-0.024 -0.000 0.010
ttt_playerspawn	-335.303711 3348.472900 -48.472927	-0.070 -0.000 0.070
ttt_playerspawn	-338.163269 3436.164795 -48.463646	-0.061 -0.000 0.061
ttt_playerspawn	-339.342804 3512.230469 -48.424316	-0.021 0.000 0.025
ttt_playerspawn	-264.310852 -171.738327 -48.444347	-0.042 -0.000 0.042
ttt_playerspawn	-264.564758 -245.462250 -48.454777	-0.052 -0.000 0.052
ttt_playerspawn	-349.284454 -1561.094849 -48.437023	-0.036 -0.000 0.035
ttt_playerspawn	-350.990875 -1479.417969 -48.469666	-0.067 -0.000 0.067
ttt_playerspawn	-257.125336 2230.735840 74.477196	-0.049 -0.000 0.049
weapon_ttt_ak47	-419.828644 3102.855225 -5.859929	0.021 -12.387 87.071
weapon_ttt_ak47	-374.251984 2829.853516 -23.843531	0.030 -8.638 89.209
item_box_buckshot_ttt	-420.974609 3014.052490 -48.618702	-0.197 0.001 0.244
item_ammo_357_ttt	-304.775909 -177.278259 75.833832	0.457 2.366 0.042
item_ammo_357_ttt	-330.212280 3933.740967 -46.842789	-0.271 -28.434 0.169
item_ammo_revolver_ttt	-239.206802 2960.932617 99.015648	11.314 2.347 -0.372
item_ammo_revolver_ttt	-385.386414 3643.726563 74.358727	0.455 0.058 0.045
item_ammo_revolver_ttt	-374.502045 3643.732422 74.365273	0.457 0.043 0.042
item_ammo_smg1_ttt	-408.793549 3098.566162 -47.827988	0.098 -0.885 0.053
item_ammo_smg1_ttt	-401.600281 2822.775146 -26.353294	0.028 0.022 -9.242
item_ammo_smg1_ttt	-345.079773 2341.340088 109.115990	0.201 -1.936 0.336
item_ammo_smg1_ttt	-330.917511 2340.418945 109.854408	-0.441 -1.699 0.058
item_ammo_smg1_ttt	-268.276520 3242.729492 107.504227	-0.660 0.011 -0.502
item_ammo_smg1_ttt	-235.918259 3431.859131 107.432602	0.840 -0.001 0.551
item_ammo_smg1_ttt	-256.361389 3437.954102 107.413513	0.302 -0.005 0.191
item_ammo_smg1_ttt	-239.720139 494.429718 -47.490128	0.732 0.734 0.756
item_ammo_smg1_ttt	-414.278412 489.590912 -48.494003	-0.534 0.009 -0.412
item_ammo_smg1_ttt	-224.280685 4463.506348 -43.994114	0.534 -1.007 0.347
item_ammo_smg1_ttt	-414.246155 2192.812988 -47.903320	-0.531 -0.286 0.344
item_ammo_smg1_ttt	-365.848816 -1663.788452 109.586700	0.857 0.227 0.562
