# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_vault
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-3498.208984 2971.436523 -254.673843	-0.090 -1.843 0.090
ttt_playerspawn	-3492.528320 3167.942627 -249.364624	-0.046 -1.457 -0.001
ttt_playerspawn	-3488.503662 3379.572998 -250.747147	-0.078 0.901 0.078
ttt_playerspawn	-3492.216309 3573.437012 -250.402771	-0.057 4.462 0.058
ttt_playerspawn	-3357.534668 3716.117676 -252.133362	-0.055 5.163 0.056
ttt_playerspawn	-3119.418213 3715.126221 -245.821503	-0.092 6.751 0.092
ttt_playerspawn	-2903.853516 3714.172607 -251.418549	-0.051 3.049 0.051
ttt_playerspawn	-2702.836426 3710.031982 -254.833588	-0.080 0.238 0.080
ttt_playerspawn	-2528.642334 3686.718506 -251.423233	-0.207 -0.102 -0.003
ttt_playerspawn	-2461.540283 3533.329834 -253.149963	-0.070 -4.860 0.070
ttt_playerspawn	-2462.807373 3313.972412 -249.449081	0.009 1.356 0.135
ttt_playerspawn	-2469.385742 3106.353760 -246.842590	-0.085 1.157 0.085
ttt_playerspawn	-2479.950684 2899.370361 -250.733856	-0.067 -3.069 0.067
ttt_playerspawn	-2619.889893 2810.387207 -253.340210	-0.081 -3.074 0.081
ttt_playerspawn	-2851.796143 2809.595459 -249.006500	-0.072 -1.168 0.072
ttt_playerspawn	-3053.475342 2804.156250 -250.584579	-0.073 0.038 0.073
ttt_playerspawn	-3285.111572 2804.549805 -245.615250	-0.081 -0.501 0.081
ttt_playerspawn	-3476.954102 2802.846924 -246.693069	-0.074 1.298 0.074
ttt_playerspawn	-3645.730713 3254.940430 -254.884933	-0.007 -2.756 0.039
ttt_playerspawn	-3825.830811 3254.637939 -252.189072	-0.088 -0.962 0.088
ttt_playerspawn	-3927.730957 3294.128662 -44.076504	-0.080 -3.284 0.080
ttt_playerspawn	-3756.449463 3300.239746 -45.148800	-0.050 -1.041 0.052
ttt_playerspawn	-3576.697754 3298.705811 -46.244362	-0.070 -1.961 0.070
ttt_playerspawn	-3495.022461 3487.680664 -38.150467	-0.063 -1.560 0.064
ttt_playerspawn	-3458.369385 3688.629639 -40.607079	-0.069 1.149 0.069
ttt_playerspawn	-3447.431641 3306.612549 -41.744408	-0.076 0.025 0.077
ttt_playerspawn	-3458.802002 3080.711426 -38.296459	-0.086 2.218 0.086
ttt_playerspawn	-3467.373535 2915.728516 -42.443390	-0.065 0.855 0.066
ttt_playerspawn	-3219.487305 3293.763428 -43.686665	-0.019 -3.069 0.037
ttt_playerspawn	-3025.127686 3298.670166 -44.934910	-0.081 -5.027 0.081
ttt_playerspawn	-3940.286133 3251.677734 -253.446793	-0.050 0.104 0.052
ttt_playerspawn	-3514.560791 3728.330078 -251.132996	-0.035 -1.038 0.041
ttt_playerspawn	-2450.186523 3740.074951 -248.329849	-0.036 -2.929 0.037
ttt_playerspawn	-2417.552002 2751.293457 -256.370850	-0.039 0.000 0.039
ttt_playerspawn	-2308.902344 3249.999268 -252.591553	-0.086 -1.961 0.086
ttt_playerspawn	-2113.967041 3251.000977 -252.768951	-0.092 -3.336 0.092
item_box_buckshot_ttt	-2202.000000 4446.000000 -19.000000	0.000 270.000 0.000
item_box_buckshot_ttt	-2222.000000 4446.000000 -19.000000	0.000 270.000 0.000
item_box_buckshot_ttt	-1717.000000 2951.000000 -25.000000	0.000 90.000 0.000
item_box_buckshot_ttt	-1704.000000 2951.000000 -25.000000	0.000 90.000 0.000
item_box_buckshot_ttt	-4711.000000 3529.000000 85.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-4701.000000 3529.000000 85.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-4691.000000 3529.000000 85.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-4681.000000 3529.000000 85.000000	0.000 0.000 0.000
item_ammo_357_ttt	-3556.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3578.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3601.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3630.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3564.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3587.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3609.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-3622.800049 1570.160034 180.276001	0.000 0.000 0.000
item_ammo_357_ttt	-4711.000000 3661.000000 85.000000	0.000 0.000 0.000
item_ammo_357_ttt	-4701.000000 3661.000000 85.000000	0.000 0.000 0.000
item_ammo_357_ttt	-4691.000000 3661.000000 85.000000	0.000 0.000 0.000
item_ammo_357_ttt	-4681.000000 3661.000000 85.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-4681.000000 3757.000000 85.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-4691.000000 3757.000000 85.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-4701.000000 3757.000000 85.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-4711.000000 3757.000000 85.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-4476.899902 3861.969971 51.344700	0.000 90.000 0.000
item_ammo_smg1_ttt	-4476.899902 3839.969971 51.344700	0.000 90.000 0.000
item_ammo_smg1_ttt	-4476.899902 3817.969971 51.344700	0.000 90.000 0.000
item_ammo_smg1_ttt	-4685.000000 3579.000000 85.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-4685.000000 3562.000000 85.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-4705.000000 3562.000000 85.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-4705.000000 3579.000000 85.000000	0.000 90.000 0.000
item_ammo_pistol_ttt	-4711.000000 3720.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4701.000000 3720.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4691.000000 3720.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4681.000000 3720.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4681.000000 3626.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4691.000000 3626.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4701.000000 3626.000000 85.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-4711.000000 3626.000000 85.000000	0.000 0.000 0.000
ttt_random_weapon	-3566.979980 2826.389893 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3570.639893 2975.209961 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3575.179932 3088.790039 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3658.620117 3185.419922 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3745.000000 3185.000000 -46.000000	0.000 0.000 0.000
ttt_random_weapon	-3871.860107 3181.000000 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3998.409912 3179.419922 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-4016.939941 3409.169922 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3755.659912 3411.250000 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3254.379883 3406.770020 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3056.429932 3403.709961 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3056.169922 3190.350098 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3266.300049 3194.100098 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3571.270020 3513.719971 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3359.610107 3718.750000 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3356.550049 3505.090088 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3367.830078 2907.439941 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3215.209961 2690.159912 -11.072300	0.000 90.000 0.000
ttt_random_weapon	-3362.280029 2073.060059 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3585.830078 2061.229980 -45.627102	0.000 0.000 0.000
ttt_random_weapon	-3556.959961 2511.580078 -45.627102	0.000 90.000 0.000
ttt_random_weapon	-2289.629883 3326.010010 -44.000000	0.000 90.000 0.000
ttt_random_weapon	-2134.969971 3057.449951 -44.627102	0.000 90.000 0.000
ttt_random_weapon	-1384.349976 2464.439941 -45.627102	0.000 90.000 0.000
ttt_random_weapon	-1586.199951 2661.870117 -45.627102	0.000 90.000 0.000
ttt_random_weapon	-1308.000000 2827.000000 -45.627102	0.000 90.000 0.000
