# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_vessel
# Exported by: Roj4s 138
setting:	replacespawns 0
ttt_random_weapon	-144.733002 -1960.579956 1225.369995	0.000 0.000 0.000
ttt_random_weapon	-145.541000 -1994.810059 1225.369995	0.000 0.000 0.000
ttt_random_weapon	-148.975998 -2009.660034 1001.369995	0.000 0.000 0.000
ttt_random_weapon	353.294006 -2068.229980 746.372986	0.000 0.000 0.000
ttt_random_weapon	468.489014 -2166.530029 617.372986	0.000 0.000 0.000
ttt_random_weapon	376.756989 -2372.199951 651.476990	0.000 0.000 0.000
ttt_random_weapon	-247.141998 -2207.179932 648.507996	0.000 0.000 0.000
ttt_random_weapon	-240.500000 -2155.610107 648.507996	0.000 0.000 0.000
ttt_random_weapon	-238.013000 -2181.429932 467.246002	0.000 0.000 0.000
ttt_random_weapon	-238.044006 -2142.649902 467.246002	0.000 0.000 0.000
ttt_random_weapon	-181.350006 -1967.500000 393.372986	0.000 0.000 0.000
ttt_random_weapon	-179.184006 -2019.180054 393.372986	0.000 0.000 0.000
ttt_random_weapon	143.281006 -2218.530029 450.782990	0.000 0.000 0.000
ttt_random_weapon	228.014999 -2539.030029 617.372986	0.000 0.000 0.000
ttt_random_weapon	-14.511500 -2251.290039 875.372986	0.000 0.000 0.000
ttt_random_weapon	-511.522003 -2271.129883 1169.369995	0.000 0.000 0.000
ttt_random_weapon	-277.462006 -700.260010 653.765015	0.000 0.000 0.000
ttt_random_weapon	-281.386993 -745.307983 653.765015	0.000 0.000 0.000
ttt_random_weapon	-23.192200 -483.808014 909.372986	0.000 0.000 0.000
ttt_random_weapon	-35.643101 1489.319946 1005.369995	0.000 0.000 0.000
ttt_random_weapon	-287.084015 2133.560059 401.372986	0.000 0.000 0.000
ttt_random_weapon	-55.632000 -737.309998 80.719002	0.000 0.000 0.000
ttt_random_weapon	-120.295998 -1435.140015 -40.937099	0.000 0.000 0.000
ttt_random_weapon	-26.917601 -1455.849976 32.000000	0.000 0.000 0.000
ttt_random_weapon	-64.153603 -1458.089966 32.000000	0.000 0.000 0.000
ttt_random_weapon	714.552002 -2251.879883 526.650024	0.000 0.000 0.000
ttt_random_weapon	716.169006 -2284.330078 526.650024	0.000 0.000 0.000
ttt_random_weapon	-752.268982 -2338.750000 527.315979	0.000 0.000 0.000
ttt_random_weapon	-753.232971 -2354.270020 527.315979	0.000 0.000 0.000
ttt_random_weapon	-162.496994 -1982.689941 1001.369995	0.000 0.000 0.000
ttt_random_weapon	-348.058014 -2389.550049 746.372986	0.000 0.000 0.000
ttt_random_weapon	-193.518997 -2452.250000 155.229996	0.000 0.000 0.000
ttt_random_weapon	-183.326996 -2480.350098 155.229996	0.000 0.000 0.000
ttt_random_weapon	-270.256012 1977.219971 489.372986	0.000 0.000 0.000
ttt_random_weapon	-270.537994 2036.290039 489.372986	0.000 0.000 0.000
ttt_random_weapon	459.929993 1834.410034 489.372986	0.000 0.000 0.000
ttt_random_weapon	467.056000 1879.630005 489.372986	0.000 0.000 0.000
ttt_random_weapon	-19.307301 -205.740005 523.150024	0.000 0.000 0.000
ttt_random_weapon	49.065102 -204.996002 523.150024	0.000 0.000 0.000
ttt_random_weapon	-117.208000 -1630.829956 192.009003	0.000 0.000 0.000
ttt_random_weapon	-24.000000 -116.000000 64.508499	0.000 0.000 0.000
ttt_random_weapon	-21.823400 -139.311005 64.508598	0.000 0.000 0.000
ttt_random_weapon	-21.378300 -161.205994 64.508598	0.000 0.000 0.000
ttt_random_weapon	-19.444901 -182.938995 64.508499	0.000 0.000 0.000
ttt_random_weapon	-20.365400 -204.149994 64.508499	0.000 0.000 0.000
ttt_random_weapon	-22.075199 -233.143997 64.508499	0.000 0.000 0.000
ttt_random_weapon	-20.724899 -263.069000 64.508598	0.000 0.000 0.000
ttt_random_weapon	-21.608299 -288.640991 64.508499	0.000 0.000 0.000
ttt_random_weapon	-20.380501 -317.385986 64.508598	0.000 0.000 0.000
ttt_random_weapon	-118.377998 -139.311005 64.508598	0.000 0.000 0.000
ttt_random_weapon	-117.932999 -161.205994 64.508598	0.000 0.000 0.000
ttt_random_weapon	-116.000000 -182.938995 64.508499	0.000 0.000 0.000
ttt_random_weapon	-116.920998 -204.149994 64.508499	0.000 0.000 0.000
ttt_random_weapon	-118.629997 -233.143997 64.508499	0.000 0.000 0.000
ttt_random_weapon	-117.279999 -263.069000 64.508598	0.000 0.000 0.000
ttt_random_weapon	-118.163002 -288.640991 64.508499	0.000 0.000 0.000
ttt_random_weapon	-116.935997 -317.385986 64.508598	0.000 0.000 0.000
ttt_random_weapon	-100.188004 -748.421997 80.718903	0.000 0.000 0.000
ttt_random_weapon	-144.718994 -707.138000 108.360001	0.000 0.000 0.000
ttt_random_weapon	95.333504 600.093018 25.372900	0.000 0.000 0.000
ttt_random_weapon	115.640999 582.234009 25.372900	0.000 0.000 0.000
ttt_random_weapon	-274.808990 2155.719971 401.372986	0.000 0.000 0.000
ttt_random_weapon	-263.747986 2000.130005 489.372986	0.000 0.000 0.000
ttt_random_weapon	454.368011 1912.619995 489.372986	0.000 0.000 0.000
ttt_random_weapon	464.145996 1776.589966 489.372986	0.000 0.000 0.000
ttt_random_weapon	351.135986 1033.130005 441.967010	0.000 0.000 0.000
ttt_random_weapon	451.312012 84.366798 653.765015	0.000 0.000 0.000
ttt_random_weapon	359.200012 -238.914001 781.765015	0.000 0.000 0.000
ttt_random_weapon	-39.143101 -443.346008 909.372986	0.000 0.000 0.000
ttt_random_weapon	-162.149002 -2028.770020 1001.369995	0.000 0.000 0.000
ttt_random_weapon	137.059998 -2173.870117 1001.369995	0.000 0.000 0.000
ttt_random_weapon	145.149994 -2194.969971 1001.369995	0.000 0.000 0.000
ttt_random_weapon	-594.312988 -2555.590088 446.467010	0.000 0.000 0.000
ttt_random_weapon	-532.905029 -2584.270020 393.372986	0.000 0.000 0.000
ttt_random_weapon	-534.450989 -2554.639893 393.372986	0.000 0.000 0.000
ttt_random_weapon	-128.225006 -2017.939941 467.246002	0.000 0.000 0.000
ttt_random_weapon	-130.623001 -2150.270020 467.246002	0.000 0.000 0.000
ttt_random_weapon	-69.583702 -1969.030029 393.372986	0.000 0.000 0.000
ttt_random_weapon	-66.923897 -2010.630005 393.372986	0.000 0.000 0.000
ttt_random_weapon	425.453003 -2178.219971 393.372986	0.000 0.000 0.000
ttt_random_weapon	351.953003 -2176.520020 393.372986	0.000 0.000 0.000
ttt_random_weapon	377.005005 -2212.560059 393.372986	0.000 0.000 0.000
ttt_random_weapon	-128.819000 -889.254028 393.372986	0.000 0.000 0.000
ttt_random_weapon	-121.026001 -920.757996 393.372986	0.000 0.000 0.000
ttt_random_weapon	-568.909973 -991.520020 271.653992	0.000 0.000 0.000
ttt_random_weapon	-575.067017 -920.492004 271.653992	0.000 0.000 0.000
ttt_random_weapon	-216.647995 1166.489990 271.653992	0.000 0.000 0.000
ttt_random_weapon	-179.449997 -2510.370117 155.229996	0.000 0.000 0.000
ttt_random_weapon	-290.475006 -2171.669922 393.372986	0.000 0.000 0.000
ttt_random_weapon	-456.297974 1932.654053 481.248047	1.332 4.005 -93.841
ttt_random_weapon	-459.479279 1922.472900 481.247742	1.327 3.941 -93.876
ttt_random_weapon	-461.182739 1916.991211 481.241028	1.408 3.338 -93.666
ttt_random_weapon	-150.578384 1916.693115 603.248108	1.332 3.908 -93.841
ttt_random_weapon	-182.254807 1911.319336 603.248047	1.332 4.827 -93.840
ttt_random_weapon	-21.397640 2464.136963 481.248047	1.332 3.954 -93.841
ttt_random_weapon	16.755590 2460.082031 481.248047	1.332 3.970 -93.841
ttt_random_weapon	-25.975918 2435.284180 481.248047	1.332 3.977 -93.841
ttt_random_weapon	17.738028 2432.151367 481.248047	1.332 4.004 -93.841
ttt_random_weapon	-20.198896 2390.273193 481.241943	1.343 2.596 -93.750
ttt_random_weapon	2.218477 2401.031250 481.745270	-2.100 13.114 85.851
ttt_random_weapon	-333.303284 -2094.712402 1161.225586	1.584 4.033 -93.263
ttt_random_weapon	-335.844360 -2106.965088 1161.218140	1.668 4.045 -93.071
ttt_random_weapon	-331.517822 -2192.598145 1161.213867	1.716 4.191 -92.962
ttt_random_weapon	-334.413757 -2204.228027 1161.222534	1.620 4.177 -93.182
ttt_random_weapon	313.755798 -2267.113281 1161.217773	1.672 4.184 -93.062
ttt_random_weapon	307.025299 -2246.995605 1161.229614	1.535 4.165 -93.376
ttt_random_weapon	306.678925 -2108.567139 1161.228027	1.554 4.168 -93.331
ttt_random_weapon	313.685974 -2094.540039 1161.211914	1.740 4.194 -92.908
ttt_random_weapon	361.413544 -2397.533203 993.246338	1.321 3.978 -93.961
ttt_random_weapon	359.417511 -2387.740723 993.244629	1.370 5.047 -93.755
ttt_random_weapon	359.008942 -2371.625488 993.248047	1.332 4.003 -93.840
ttt_random_weapon	-215.413696 -2383.729248 637.503967	34.090 -33.952 -113.989
ttt_random_weapon	-215.768661 -2319.642090 637.571472	32.184 -44.546 -120.588
ttt_random_weapon	-332.350616 -2367.554688 640.310181	1.328 -2.068 -93.869
ttt_random_weapon	-335.419952 -2323.784668 639.813416	7.632 1.913 -6.271
ttt_random_weapon	-330.088837 -2238.810547 640.306335	1.357 -0.832 -93.839
ttt_random_weapon	-335.267151 -2196.648926 640.306946	1.316 -8.168 -94.048
ttt_random_weapon	52.411922 -2518.292236 385.248077	1.332 4.011 -93.841
ttt_random_weapon	97.538872 -2513.486572 385.248077	1.332 3.959 -93.841
ttt_random_weapon	250.721054 1833.906616 481.248047	1.332 4.706 -93.841
ttt_random_weapon	242.787399 1825.022705 481.248047	1.332 4.774 -93.841
ttt_random_weapon	247.930725 1880.143677 481.248047	1.332 4.021 -93.841
ttt_random_weapon	-79.992027 -1082.547241 -30.751968	1.332 4.020 -93.841
ttt_random_weapon	180.249802 -1101.338013 -30.751968	1.332 3.984 -93.841
ttt_random_weapon	60.460747 666.239136 645.358826	1.332 3.986 -93.841
ttt_random_weapon	60.831768 691.913025 645.358826	1.332 4.006 -93.841
ttt_random_weapon	-133.571152 918.529297 263.521423	1.374 4.091 -94.357
ttt_random_weapon	-136.131744 932.893066 264.010590	-2.222 9.742 85.349
ttt_random_weapon	419.678314 -2363.032227 867.235168	1.217 3.903 -93.827
ttt_random_weapon	407.280670 -2369.418457 867.830017	0.138 2.324 -71.801
