# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_waterworld_lite
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_random_weapon	436.678986 -593.427979 -165.626999	0.000 0.000 0.000
ttt_random_weapon	1923.689941 -2883.199951 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-1233.479980 -2944.439941 -215.119995	0.000 0.000 0.000
ttt_random_weapon	-1271.619995 -2936.879883 -215.117996	0.000 0.000 0.000
ttt_random_weapon	-3274.820068 -804.911987 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-3225.540039 682.023987 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-1058.459961 858.309998 9.372910	0.000 0.000 0.000
ttt_random_weapon	-41.237701 301.850006 -90.627098	0.000 0.000 0.000
ttt_random_weapon	2458.780029 -206.483994 -442.259003	0.000 0.000 0.000
ttt_random_weapon	2646.020020 -2794.580078 -150.889999	0.000 0.000 0.000
ttt_random_weapon	2923.409912 -2574.739990 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-322.989990 -3821.000000 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-317.000000 -3766.949951 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1956.920044 -3815.840088 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1962.910034 -3869.889893 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-439.937012 454.042999 -313.769012	0.000 0.000 0.000
ttt_random_weapon	-1768.949951 244.970001 -374.627014	0.000 0.000 0.000
ttt_random_weapon	319.760986 -580.130005 -374.627014	0.000 0.000 0.000
ttt_random_weapon	1945.349976 -354.729004 -422.044006	0.000 0.000 0.000
ttt_random_weapon	795.155029 -1746.300049 425.989990	0.000 90.000 0.000
ttt_random_weapon	-2828.320068 -632.966003 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-2970.379883 -1226.530029 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-2796.459961 -2007.459961 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-894.354004 -4019.020020 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-1404.609985 -4041.939941 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-1430.140015 -2936.439941 -215.490005	0.000 0.000 0.000
ttt_random_weapon	-1392.000000 -2944.000000 -215.492004	0.000 0.000 0.000
ttt_random_weapon	-1112.000000 -2936.439941 -215.490005	0.000 0.000 0.000
ttt_random_weapon	-1073.859985 -2944.000000 -215.492004	0.000 0.000 0.000
ttt_random_weapon	-1021.229980 -1579.229980 -328.859985	0.000 0.000 0.000
ttt_random_weapon	-302.674011 -1310.989990 -341.388000	0.000 0.000 0.000
ttt_random_weapon	1684.959961 -1643.339966 -326.621002	0.000 0.000 0.000
ttt_random_weapon	1308.920044 -167.514008 -447.572998	0.000 0.000 0.000
ttt_random_weapon	1179.849976 -1401.979980 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-872.885010 70.996803 -374.627014	0.000 0.000 0.000
ttt_random_weapon	2315.620117 -2395.419922 -215.490005	0.000 0.000 0.000
ttt_random_weapon	2353.760010 -2402.979980 -215.492004	0.000 0.000 0.000
ttt_random_weapon	2753.669922 -1397.790039 -246.625000	0.000 0.000 0.000
ttt_random_weapon	1297.670044 -884.395996 -118.625000	0.000 0.000 0.000
ttt_random_weapon	2320.889893 197.209000 -182.625000	0.000 0.000 0.000
ttt_random_weapon	2459.550049 204.664001 -182.625000	0.000 0.000 0.000
ttt_random_weapon	1638.010010 70.189003 -118.625000	0.000 0.000 0.000
ttt_random_weapon	-2763.560059 717.301025 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-2906.780029 233.186996 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3047.520020 -43.866901 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-2918.260010 -331.454010 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-2869.280029 -978.171021 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3283.969971 -1357.380005 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3250.389893 -964.635010 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-2772.850098 -1820.989990 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-2763.310059 -2371.620117 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3063.600098 -2819.250000 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3096.000000 -3318.000000 -246.625000	0.000 0.000 0.000
ttt_random_weapon	-3265.070068 616.224976 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-3275.889893 717.723999 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2485.800049 -2114.179932 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2119.449951 -2701.649902 -194.697006	0.000 0.000 0.000
ttt_random_weapon	2110.889893 -2647.479980 -194.697006	0.000 0.000 0.000
ttt_random_weapon	2892.310059 -3303.560059 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2656.370117 -2754.919922 -150.889999	0.000 0.000 0.000
ttt_random_weapon	2919.120117 -2732.439941 -212.322006	0.000 0.000 0.000
ttt_random_weapon	312.006989 727.914978 -182.626999	0.000 0.000 0.000
ttt_random_weapon	1178.900024 338.095001 -182.626999	0.000 0.000 0.000
ttt_random_weapon	2762.399902 -169.876007 -184.595001	0.000 0.000 0.000
ttt_random_weapon	2899.209961 180.048004 9.372920	0.000 0.000 0.000
ttt_random_weapon	-1308.680054 -4017.239990 -215.490005	0.000 0.000 0.000
ttt_random_weapon	-1270.540039 -4024.800049 -215.492004	0.000 0.000 0.000
ttt_random_weapon	-1046.400024 -4020.239990 -215.490005	0.000 0.000 0.000
ttt_random_weapon	-1008.260010 -4027.800049 -215.492004	0.000 0.000 0.000
ttt_random_weapon	-318.462006 -3580.979980 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-324.451996 -3635.030029 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1959.569946 -3658.270020 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1965.560059 -3712.320068 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1958.949951 -3980.520020 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1964.939941 -4034.570068 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1966.150024 -3493.699951 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1972.140015 -3547.750000 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-321.029999 -3414.179932 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-327.019989 -3468.229980 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-319.673004 -3941.669922 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-325.662994 -3995.719971 -215.492004	0.000 90.000 0.000
ttt_random_weapon	-1354.119995 605.353027 -215.492004	0.000 135.000 0.000
ttt_random_weapon	-1320.130005 562.898010 -215.492004	0.000 135.000 0.000
ttt_random_weapon	-1421.400024 -1469.050049 -332.735992	0.000 0.000 0.000
ttt_random_weapon	2442.500000 624.346985 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-3246.084229 -3201.404785 -254.758530	1.406 4.751 -93.670
ttt_random_weapon	-3146.286377 -3196.945801 -254.755829	1.374 4.739 -93.743
ttt_random_weapon	-3255.285156 -3038.665039 -254.758286	1.404 4.751 -93.677
ttt_random_weapon	-3174.214844 -3050.802979 -254.755173	1.367 4.735 -93.760
ttt_random_weapon	-28.708443 -2773.621338 321.248077	1.332 4.004 -93.841
ttt_random_weapon	232.064362 -3277.232178 321.248077	1.332 4.011 -93.841
ttt_random_weapon	389.417358 -3282.667725 321.248077	1.332 3.964 -93.841
ttt_random_weapon	551.304688 -3276.481445 321.248077	1.332 3.984 -93.841
ttt_random_weapon	713.152710 -3269.384766 321.248077	1.332 4.005 -93.841
ttt_random_weapon	815.819824 -3281.138672 321.248077	1.332 3.990 -93.841
ttt_random_weapon	908.585999 -3279.316650 321.248077	1.332 4.020 -93.841
ttt_random_weapon	2450.842041 -3309.828125 321.248077	1.332 4.012 -93.841
ttt_random_weapon	2070.480225 -3280.316406 321.248077	1.332 3.990 -93.841
ttt_random_weapon	1896.805420 -3281.513672 321.248077	1.332 3.923 -93.841
ttt_random_weapon	1716.029297 -3283.350586 321.248077	1.332 3.964 -93.841
ttt_random_weapon	1529.871460 -3283.557373 321.248077	1.332 3.970 -93.841
ttt_random_weapon	1360.605225 -3280.895264 321.248077	1.332 4.012 -93.841
ttt_random_weapon	1150.642334 -3276.610840 321.248077	1.332 3.977 -93.841
