# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_waterworld_remastered_2020
# Exported by: Kopa King
setting:	replacespawns 1
ttt_playerspawn	-484.518951 -3570.041992 -255.468628	-0.066 -0.000 0.066
ttt_playerspawn	-587.378845 -3563.807861 -255.466583	-0.064 -0.000 0.064
ttt_playerspawn	-713.284180 -3558.702393 -255.445007	-0.043 -0.000 0.043
ttt_playerspawn	-862.962341 -3564.100098 -255.463638	-0.061 -0.000 0.061
ttt_playerspawn	-1027.239380 -3567.426270 -255.470718	-0.068 -0.000 0.068
ttt_playerspawn	-1185.538940 -3578.577148 -255.448532	-0.046 -0.000 0.046
ttt_playerspawn	-1336.208740 -3584.305420 -255.455582	-0.053 -0.000 0.053
ttt_playerspawn	-1493.566162 -3581.901855 -255.475113	-0.072 -0.000 0.072
ttt_playerspawn	-1658.486206 -3588.582031 -255.463638	-0.061 -0.000 0.061
ttt_playerspawn	-1811.958984 -3571.007568 -255.452332	-0.050 -0.000 0.050
ttt_playerspawn	-1838.573853 -3378.231201 -255.469666	-0.067 -0.000 0.067
ttt_playerspawn	-1664.525146 -3385.346436 -255.443680	-0.042 -0.000 0.042
ttt_playerspawn	-1521.697266 -3390.148926 -255.459030	-0.056 -0.000 0.056
ttt_playerspawn	-1346.086060 -3367.829590 -255.471786	-0.069 -0.000 0.069
ttt_playerspawn	-1184.539063 -3337.539307 -255.425064	-0.024 -0.000 0.024
ttt_playerspawn	-1028.786011 -3385.407959 -255.483475	-0.080 -0.000 0.080
ttt_playerspawn	-854.049011 -3399.080322 -255.465591	-0.063 -0.000 0.063
ttt_playerspawn	-684.193787 -3417.480225 -255.457275	-0.055 -0.000 0.055
ttt_playerspawn	-574.149170 -3412.845703 -255.478592	-0.075 -0.000 0.075
ttt_playerspawn	-480.963043 -3396.718750 -255.472885	-0.070 -0.000 0.070
ttt_playerspawn	-480.610443 -3173.034424 -255.465591	-0.063 -0.000 0.063
ttt_playerspawn	-607.517517 -3180.536133 -255.475113	-0.072 -0.000 0.072
ttt_playerspawn	-715.519348 -3166.270508 -255.437576	-0.036 -0.000 0.036
ttt_playerspawn	-800.408752 -3165.385986 -255.460831	-0.058 -0.000 0.058
ttt_playerspawn	-928.812561 -3163.296143 -255.463638	-0.061 -0.000 0.061
ttt_playerspawn	-1054.036377 -3139.908691 -255.438156	-0.036 -0.000 0.036
ttt_playerspawn	-1182.353027 -3153.349365 -255.451538	-0.049 -0.000 0.049
ttt_playerspawn	-1275.999634 -3138.917725 -255.463638	-0.061 -0.000 0.061
ttt_playerspawn	-1417.527710 -3165.431396 -255.459915	-0.057 -0.000 0.057
ttt_playerspawn	-1556.699463 -3157.276611 -255.456421	-0.054 -0.000 0.054
ttt_playerspawn	-626.281921 -4564.250977 -255.468628	-0.066 0.000 -0.066
ttt_playerspawn	-1680.284668 -4526.973145 -255.473999	-0.071 -0.000 0.071
ttt_playerspawn	-1422.263184 -4690.032715 -255.445007	-0.043 -0.000 0.043
ttt_playerspawn	-1382.555298 -4513.180664 -255.471802	-0.069 -0.000 0.069
ttt_playerspawn	-1126.135254 -4570.176758 -255.427414	-0.026 -0.000 0.026
ttt_playerspawn	-1277.185547 -4768.843750 -255.459030	-0.056 -0.000 0.056
ttt_playerspawn	-1026.323486 -4745.666992 -255.457275	-0.055 -0.000 0.055
ttt_playerspawn	-939.073486 -4548.244629 -255.434860	-0.033 0.000 -0.033
ttt_playerspawn	-1207.154541 -4490.146484 -255.450775	-0.049 -0.000 0.049
ttt_playerspawn	-1214.828735 -4679.994141 -255.441757	-0.040 -0.000 0.040
ttt_playerspawn	-734.848450 -4507.937500 -255.428680	-0.027 0.000 -0.027
ttt_playerspawn	-834.172546 -4753.219238 -255.455582	-0.053 -0.000 0.053
ttt_playerspawn	-1064.578003 -4454.555664 -255.459030	-0.056 0.000 -0.056
ttt_playerspawn	-1510.559204 -4613.822266 -255.466583	-0.064 -0.000 0.064
ttt_playerspawn	-1304.138672 -4621.288086 -255.443680	-0.042 -0.000 0.042
item_box_buckshot_ttt	2408.329346 -3039.275879 -255.566330	-0.623 -0.007 0.552
item_box_buckshot_ttt	2390.299072 -3049.381592 -255.610748	-0.973 0.003 0.869
item_box_buckshot_ttt	2364.551758 -3037.358887 -255.532593	-0.356 -0.006 0.316
item_box_buckshot_ttt	2342.771973 -3032.357666 -255.644760	1.043 0.000 -0.838
item_ammo_357_ttt	-1195.084106 40.451569 0.336548	0.451 0.063 0.054
item_ammo_357_ttt	-1187.476929 70.446228 0.379998	0.460 0.055 0.036
item_ammo_357_ttt	-967.779114 152.799973 0.330346	0.450 0.067 0.056
item_ammo_357_ttt	-1020.618713 163.739456 0.346281	0.453 0.061 0.050
item_ammo_357_ttt	-260.908295 -1082.026855 352.346283	0.453 0.061 0.050
item_ammo_357_ttt	-244.000214 -1083.973389 352.342468	0.452 0.061 0.052
item_ammo_357_ttt	826.421021 -3266.894531 320.387848	0.461 0.056 0.033
item_ammo_357_ttt	807.629639 -3268.959473 320.395020	0.463 0.055 0.030
item_ammo_357_ttt	735.729309 -3263.086426 320.323914	0.449 0.069 0.058
item_ammo_357_ttt	707.813538 -3253.332520 320.360443	0.456 0.058 0.044
item_ammo_357_ttt	642.446289 -3257.716797 320.338623	0.452 0.065 0.053
item_ammo_357_ttt	621.725952 -3245.748047 320.330414	0.450 0.068 0.056
item_ammo_357_ttt	594.371826 -3246.598145 320.323914	0.449 0.069 0.058
item_ammo_357_ttt	558.979919 -3242.127686 320.358765	0.456 0.060 0.045
item_ammo_357_ttt	467.894135 -3295.223633 320.396149	0.463 0.055 0.030
item_ammo_357_ttt	430.988434 -3271.406738 320.328278	0.450 0.068 0.057
item_ammo_357_ttt	402.306274 -3273.278076 320.325043	0.396 0.149 0.029
item_ammo_357_ttt	374.916656 -3290.115723 320.390320	0.462 0.055 0.032
item_ammo_357_ttt	-3243.500488 877.305359 0.355340	0.455 0.060 0.046
item_ammo_357_ttt	-3243.782471 853.942444 0.385320	0.461 0.056 0.034
item_ammo_revolver_ttt	-3273.748779 -1720.159302 -255.694962	0.444 0.079 0.067
item_ammo_revolver_ttt	-3263.511719 -1751.287842 -255.631607	0.457 0.056 0.041
item_ammo_revolver_ttt	-3294.621582 -1778.506348 -255.650024	0.454 0.061 0.049
item_ammo_revolver_ttt	-3315.612061 -1759.227295 -255.615997	0.460 0.054 0.035
item_ammo_revolver_ttt	-3310.857422 -1712.172607 -255.637955	0.456 0.057 0.044
item_ammo_revolver_ttt	-3293.353516 -1709.360229 -255.639603	0.456 0.057 0.044
item_ammo_revolver_ttt	-3242.204590 -1761.282715 -255.676147	0.448 0.067 0.059
item_ammo_revolver_ttt	-3266.013916 -1778.165161 -255.630081	0.458 0.056 0.040
item_ammo_smg1_ttt	2623.357178 -553.958008 -255.593445	0.212 -0.005 0.130
item_ammo_smg1_ttt	2628.293457 -577.143494 -255.480179	-0.247 0.014 -0.208
item_ammo_smg1_ttt	2619.107666 -601.420227 -255.481445	0.188 0.164 -0.064
item_ammo_smg1_ttt	2607.210693 -619.048889 -255.444824	-0.017 0.587 0.019
item_ammo_smg1_ttt	2607.941895 -643.912720 -246.303757	0.022 -23.233 87.764
item_ammo_smg1_ttt	2600.902588 -656.327637 -246.293457	0.298 -19.818 87.965
item_ammo_smg1_ttt	2613.442871 -701.960999 -255.472672	-0.192 0.016 -0.167
item_ammo_smg1_ttt	2605.374756 -727.734985 -255.502457	-0.865 -0.013 -0.642
item_ammo_smg1_ttt	-2287.333984 -1097.232422 -255.571426	0.667 -0.003 0.435
item_ammo_smg1_ttt	-2283.938477 -1129.097534 -255.523285	0.554 -0.014 0.243
item_ammo_smg1_ttt	-2509.190186 -1090.951538 -255.470566	0.179 -0.016 -0.156
item_ammo_smg1_ttt	-2507.587158 -1146.207153 -255.517990	0.384 0.001 -0.369
