# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zs_krusty_krab_large_v5
# Exported by: Razor
setting:	replacespawns 0
ttt_random_weapon	69.953194 -680.317627 -254.775131	1.594 4.172 -93.241
ttt_random_weapon	8.513818 -682.714722 -254.784744	1.703 4.187 -92.991
ttt_random_weapon	-68.135551 -681.296082 -254.790085	1.763 4.195 -92.853
ttt_random_weapon	-145.885468 -676.515442 -254.791290	1.777 4.196 -92.822
ttt_random_weapon	-232.932495 -671.138000 -254.776184	1.606 4.173 -93.213
ttt_random_weapon	403.451843 -697.938538 -254.781418	1.665 4.183 -93.077
ttt_random_weapon	479.769867 -699.691650 -254.789505	1.757 4.194 -92.868
ttt_random_weapon	560.633545 -701.967163 -254.787796	1.738 4.193 -92.912
ttt_random_weapon	635.605896 -704.095886 -254.796341	1.834 4.204 -92.691
ttt_random_weapon	716.569275 -706.394775 -254.784714	1.703 4.188 -92.991
ttt_random_weapon	313.041595 -357.860962 -206.757431	1.394 3.809 -93.699
ttt_random_weapon	508.554260 -501.513367 -206.751938	1.332 3.993 -93.841
ttt_random_weapon	548.303101 -252.602890 -206.789673	1.759 4.320 -92.863
ttt_random_weapon	9.438488 -475.979919 -206.759598	1.418 4.228 -93.644
ttt_random_weapon	-157.087753 -242.555939 -206.751938	1.332 4.006 -93.841
ttt_random_weapon	269.251465 -74.757874 -210.772095	1.560 5.903 -93.319
ttt_random_weapon	291.710571 -20.698351 -210.767090	1.503 5.897 -93.449
ttt_random_weapon	394.889923 47.887089 -78.769363	1.529 5.897 -93.389
ttt_random_weapon	419.988831 99.343407 -78.769859	1.535 5.900 -93.376
ttt_random_weapon	469.907593 129.794724 -214.943756	2.175 1.269 -91.936
ttt_random_weapon	284.390320 365.152466 -229.677078	-16.232 -25.107 -80.736
ttt_random_weapon	283.427979 346.199127 -202.146774	-4.597 -4.758 -3.340
ttt_random_weapon	-209.849686 602.634155 -254.771942	1.558 5.900 -93.323
ttt_random_weapon	36.363037 227.745575 -254.768921	1.524 5.860 -93.401
ttt_random_weapon	36.905937 194.575012 -254.768433	1.518 5.858 -93.414
ttt_random_weapon	236.703903 490.849518 -494.768890	1.523 5.896 -93.404
ttt_random_weapon	156.258545 506.890594 -494.770477	1.541 5.898 -93.361
ttt_random_weapon	-146.684448 549.004150 -358.751953	1.332 4.002 -93.840
ttt_random_weapon	-71.324074 550.773254 -358.751953	1.332 4.772 -93.840
ttt_random_weapon	169.894547 -1535.233276 -638.317932	2.384 4.028 -95.422
ttt_random_weapon	1288.765991 -860.417786 -632.651550	5.134 0.848 -99.401
ttt_random_weapon	1188.213013 -940.829224 -630.935486	-6.844 7.500 -97.558
ttt_random_weapon	-200.726120 -384.913757 -509.641144	1.332 4.010 -93.840
ttt_random_weapon	864.024414 -3.757824 -494.762146	1.446 5.881 -93.580
ttt_random_weapon	1202.212036 360.260315 -494.763885	1.467 5.734 -93.532
ttt_random_weapon	1097.121338 371.632294 -494.764038	1.469 5.887 -93.527
ttt_random_weapon	447.482056 1222.223755 -430.764954	1.479 5.884 -93.505
ttt_random_weapon	344.145355 1097.595093 -430.770782	1.546 5.896 -93.352
ttt_random_weapon	1455.991211 33.693218 -414.767242	1.504 5.895 -93.448
ttt_random_weapon	1633.292847 -533.150024 -462.769409	1.529 5.897 -93.390
ttt_random_weapon	1633.600830 -484.266357 -462.762573	1.451 5.882 -93.567
ttt_random_weapon	2171.150146 -1375.810181 -368.306915	1.501 5.891 -93.453
ttt_random_weapon	2129.107422 -1377.737671 -368.311493	1.555 5.899 -93.331
ttt_random_weapon	1421.440186 -1892.871582 -462.770050	1.537 5.894 -93.372
ttt_random_weapon	1479.826782 -1881.031616 -462.773285	1.574 5.896 -93.287
ttt_random_weapon	2266.765625 -2183.847168 -254.784363	1.527 5.263 -93.532
ttt_random_weapon	2229.454834 -2232.285645 -254.785156	1.519 5.346 -93.518
ttt_random_weapon	2182.833008 -2203.644775 -254.817841	1.728 5.258 -93.212
ttt_random_weapon	2135.294922 -2247.222656 -254.767502	1.508 5.906 -93.438
ttt_random_weapon	2062.602295 -2155.450439 -254.799622	1.601 5.347 -93.378
weapon_ttt_sg550	-194.961777 -385.736664 -398.084656	0.358 -14.774 -89.844
weapon_ttt_revolver	-358.596375 -1357.485962 -628.032776	8.904 26.872 74.740
weapon_ttt_revolver	-334.691589 -1450.559326 -628.031616	8.946 26.850 74.630
weapon_ttt_tmp	1044.822144 1188.485352 -590.750793	0.151 -23.285 -88.662
weapon_ttt_confgrenade	1079.251099 242.135620 -492.398651	0.104 -0.916 -0.058
weapon_ttt_confgrenade	1077.288940 221.946243 -492.441406	0.199 -0.909 -0.111
weapon_ttt_confgrenade	1077.742676 208.585190 -492.454437	0.228 -0.906 -0.128
weapon_ttt_confgrenade	1068.991821 188.934601 -492.444153	0.205 -0.910 -0.115
weapon_ttt_confgrenade	1043.858521 189.699020 -492.476685	0.277 -0.897 -0.155
weapon_ttt_confgrenade	1026.174561 185.068558 -492.445587	0.208 -0.909 -0.117
weapon_ttt_confgrenade	1368.978149 170.556564 -422.315613	0.117 0.136 0.049
weapon_ttt_confgrenade	1389.469360 160.998703 -422.033630	0.537 1.882 -0.077
weapon_ttt_confgrenade	1402.303467 160.578873 -423.387634	0.640 -2.916 0.200
weapon_ttt_confgrenade	1385.380127 174.546097 -424.568176	-14.032 24.581 -95.131
weapon_ttt_confgrenade	1402.403564 172.253326 -425.674835	0.349 -1.385 1.439
weapon_zm_shotgun	947.440002 76.430870 -494.953247	-0.246 -8.760 -83.683
weapon_zm_shotgun	924.790955 1159.804932 -590.906067	-0.342 -8.766 -84.120
weapon_ttt_ak47	2089.914795 -1616.651123 -294.359253	0.050 -21.312 88.146
weapon_ttt_smokegrenade	1948.074097 -2006.600586 -297.329742	77.586 -79.901 -93.632
weapon_ttt_smokegrenade	1931.332764 -2008.343994 -297.608276	0.212 -0.944 0.179
weapon_ttt_smokegrenade	1913.135010 -2012.317871 -295.840149	-2.179 -1.628 0.720
item_ammo_smg1_ttt	1063.435059 1161.080933 -591.495605	-0.661 0.012 -0.504
item_ammo_smg1_ttt	1041.968140 1162.131714 -591.497498	-0.803 0.012 -0.595
item_ammo_smg1_ttt	2137.538086 -1613.728394 -335.577728	-0.476 0.004 0.308
item_ammo_smg1_ttt	2135.860840 -1637.186279 -335.481903	0.236 -0.013 -0.206
item_ammo_smg1_ttt	2156.034668 -1620.671875 -335.519012	0.372 0.001 -0.358
weapon_zm_molotov	2358.838867 -1848.987061 -251.504211	0.452 -0.573 -0.106
weapon_zm_molotov	2390.456055 -1871.604980 -251.469879	0.368 -0.679 -0.085
weapon_zm_molotov	2402.094727 -1905.470337 -251.449448	0.318 -0.734 -0.072
weapon_zm_molotov	2415.764404 -1941.995728 -251.411316	0.224 -0.785 -0.048
weapon_zm_molotov	2429.562744 -1978.472900 -251.414001	0.231 -0.756 -0.050
weapon_zm_molotov	2447.752441 -2026.221069 -251.371780	0.127 -0.787 -0.024
weapon_zm_molotov	2426.288086 -2058.068604 -251.472107	0.373 -0.702 -0.086
weapon_zm_molotov	2379.590088 -2079.221191 -251.442093	0.300 -0.773 -0.067
weapon_zm_molotov	2376.026367 -2129.541504 -251.377945	0.142 -0.791 -0.028
weapon_zm_molotov	2405.468506 -2190.747070 -251.412643	0.227 -0.764 -0.049
weapon_zm_molotov	2361.328857 -2229.126465 -251.496231	0.432 -0.664 -0.101
weapon_zm_molotov	2303.468018 -2221.334717 -251.402618	0.203 -0.787 -0.043
weapon_zm_molotov	2283.797119 -2263.754395 -251.425552	0.259 -0.753 -0.057
item_box_buckshot_ttt	964.617310 117.633690 -495.652679	0.723 0.003 -0.577
item_box_buckshot_ttt	942.047668 115.137505 -495.619965	-0.019 0.002 0.100
