# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zs_last_mansion_v3
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	173.620438 1357.067139 288.936249	0.033 11.149 -88.085
weapon_ttt_ak47	183.427216 1264.462891 288.883148	-0.035 11.144 -87.679
weapon_ttt_ak47	635.684631 1149.373047 -63.112377	0.138 13.136 -87.509
weapon_ttt_ak47	571.589661 974.657410 -63.115841	-0.034 11.144 -87.687
ttt_playerspawn	-601.323853 2337.854492 -123.640297	0.033 1.075 0.056
ttt_playerspawn	-165.903458 2405.954102 -131.003540	-0.262 1.392 0.663
ttt_playerspawn	507.374146 2282.998291 -119.146049	-1.767 -0.487 -1.743
ttt_playerspawn	1482.466064 1873.515747 -118.190178	7.695 -5.669 4.270
ttt_playerspawn	1574.458862 1092.197021 -132.396317	-2.201 1.170 2.290
ttt_playerspawn	1405.692993 110.579124 -132.165344	3.926 1.732 -2.620
ttt_playerspawn	1030.353027 -308.575256 -120.397514	0.450 1.293 3.779
ttt_playerspawn	41.592941 -302.415131 -118.869034	-1.030 1.100 1.031
ttt_playerspawn	-693.853149 -377.232208 -113.547661	-0.052 1.723 -1.137
ttt_playerspawn	-1401.952393 92.640648 -113.156334	-3.783 0.042 -0.261
ttt_playerspawn	-1556.650879 655.616150 -112.531403	2.228 4.110 -5.199
ttt_playerspawn	-1576.033691 1217.853394 -111.628090	-3.404 1.780 1.279
ttt_playerspawn	-1441.410034 1752.699707 -109.309669	-4.064 -0.902 -1.655
ttt_playerspawn	-1229.518921 2124.607666 -127.678444	-3.021 1.168 -2.178
ttt_playerspawn	48.530464 1211.406738 441.938965	0.069 -0.462 -0.069
ttt_playerspawn	-189.726669 1218.947510 435.540070	-0.041 0.184 0.041
ttt_playerspawn	-394.858948 1217.833618 435.720825	-0.040 1.294 0.040
ttt_playerspawn	-585.871033 1211.095093 435.720947	-0.036 0.277 0.036
ttt_playerspawn	-598.078674 973.860291 437.631134	-0.047 0.277 0.047
ttt_playerspawn	-646.543762 1141.588989 288.528656	-0.029 -0.000 0.029
ttt_playerspawn	-574.434143 946.759216 288.520721	-0.032 -0.000 0.032
ttt_playerspawn	-438.797272 1164.753784 292.180908	-0.240 0.879 -0.008
ttt_playerspawn	-156.262482 1148.141479 293.847626	-0.039 0.739 0.039
ttt_playerspawn	-30.395832 1133.899780 151.194443	-0.024 0.554 0.024
ttt_playerspawn	-215.507629 1153.067017 151.316086	-0.046 3.049 0.046
ttt_playerspawn	-448.792480 1143.162598 150.561584	-0.176 0.635 -0.003
ttt_playerspawn	-486.299438 1477.942627 151.066010	0.038 0.584 0.161
ttt_playerspawn	-348.521698 1486.804688 147.657272	-0.035 1.386 0.035
ttt_playerspawn	-135.235840 1473.752441 149.122070	-0.046 -0.416 0.046
ttt_playerspawn	-149.073746 1293.366089 0.502093	-0.039 -0.000 0.039
ttt_playerspawn	-318.964996 1308.348877 0.524232	-0.030 -0.000 0.030
ttt_playerspawn	-321.503937 1152.915527 0.532838	-0.027 -0.000 0.027
ttt_playerspawn	-183.438828 1140.310791 0.491190	-0.044 -0.000 0.044
item_box_buckshot_ttt	194.423080 1295.474121 171.373627	0.619 -0.007 -0.431
item_box_buckshot_ttt	164.583267 1291.993652 171.378738	-0.294 0.001 0.305
item_box_buckshot_ttt	106.026176 1375.621826 144.344177	0.617 0.003 -0.491
item_box_buckshot_ttt	103.653488 1355.454346 144.425812	-0.682 -0.007 0.605
item_box_buckshot_ttt	118.312866 1249.545898 144.439560	-0.613 -0.003 0.475
item_box_buckshot_ttt	99.634079 1241.097534 144.424103	-0.693 -0.006 0.617
item_box_buckshot_ttt	-398.837372 1325.535645 144.334976	0.388 0.004 -0.303
item_box_buckshot_ttt	-375.727081 1326.034424 144.338028	0.453 0.004 -0.357
item_ammo_357_ttt	2.780904 1459.880615 288.336639	0.452 0.066 0.053
item_ammo_357_ttt	-49.815887 1455.387573 288.307617	0.446 0.081 0.064
item_ammo_357_ttt	-490.547729 1457.068237 288.328308	0.450 0.070 0.056
item_ammo_357_ttt	-476.438934 1496.796875 288.360474	0.457 0.060 0.043
item_ammo_357_ttt	-535.021790 1489.651978 144.389160	0.507 0.050 -0.004
item_ammo_357_ttt	-561.941162 1494.967407 144.338638	0.452 0.066 0.052
